DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,17,9,17,25,22,0,58,10,1018,0.875,26,16,23,113,113,113,0,1,8.7,météo idéale
2009-01-02,28,18,19,18,28,22,0,37,10,1015,3.875,26,16,24,113,113,113,0,1,8.7,météo idéale
2009-01-03,22,16,32,18,22,18,0,54,10,1018,6.25,24,17,21,113,113,113,0,1,8.7,météo favorable
2009-01-04,21,14,20,14,21,18,0,62,10,1019,3.75,21,12,18,113,113,113,0,1,8.7,météo favorable
2009-01-05,22,15,20,15,22,18,0,56,10,1018,2.25,24,12,20,113,113,113,0,1,8.7,météo favorable
2009-01-06,21,15,15,15,21,18,0,52,10,1017,0,21,12,19,113,113,113,0,1,8.7,météo favorable
2009-01-07,21,14,10,14,21,18,0,59,10,1018,0,24,12,19,113,113,113,0,1,8.7,météo favorable
2009-01-08,22,14,11,14,22,20,0,62,10,1019,11.25,24,12,19,113,116,113,0,1,8.7,météo favorable
2009-01-09,23,16,14,16,23,19,0,52,10,1021,5.25,24,12,20,113,113,113,0,1,8.7,météo favorable
2009-01-10,22,14,15,14,22,19,0,51,10,1021,10.875,24,11,19,113,113,113,0,1,8.7,météo favorable
2009-01-11,22,16,12,16,22,19,0,40,10,1021,26.375,24,9,21,113,116,116,0,1,8.7,météo favorable
2009-01-12,22,17,18,17,22,17,2,71,10,1021,29.125,24,14,19,113,113,353,0,1,8.7,météo favorable
2009-01-13,19,16,10,16,19,17,0.6,66,9.25,1022,54.75,19,13,17,116,116,263,0,1,7.1,météo favorable
2009-01-14,21,16,16,16,21,18,0.7,61,10,1023,26,21,12,19,353,113,113,0,1,8.7,météo favorable
2009-01-15,18,14,10,14,18,17,1.2,65,10,1024,28.75,18,11,16,116,353,113,0,1,5.5,météo correcte
2009-01-16,19,15,13,15,19,17,0,41,10,1025,4,19,8,18,113,113,113,0,1,8.7,météo favorable
2009-01-17,20,14,12,14,20,18,0,45,10,1024,7.5,20,7,19,113,113,113,0,1,8.7,météo favorable
2009-01-18,21,14,9,14,20,19,0,42,10,1021,7.375,21,10,19,113,113,113,0,1,8.7,météo favorable
2009-01-19,19,15,10,15,19,17,2.1,67,9.875,1020,42.375,19,12,18,113,116,293,0,1,7.1,météo favorable
2009-01-20,20,14,7,14,19,18,0.4,68,9.875,1020,11.25,20,12,17,113,113,113,0,1,8.7,météo favorable
2009-01-21,20,14,10,14,20,18,0,60,10,1021,6.25,20,11,18,113,113,113,0,1,8.7,météo favorable
2009-01-22,20,15,16,15,20,18,0,55,10,1020,2.875,20,11,18,113,113,113,0,1,8.7,météo favorable
2009-01-23,20,14,20,14,19,17,0.1,65,10,1016,29.25,20,11,18,113,113,116,0,1,8.7,météo favorable
2009-01-24,18,13,29,13,18,16,2.4,52,9.75,1016,12.875,18,9,15,176,113,113,0,1,8.7,météo favorable
2009-01-25,20,14,14,14,20,18,0,60,10,1018,8.25,20,12,17,113,113,113,0,1,8.7,météo favorable
2009-01-26,21,15,14,15,21,19,0,59,10,1019,3,24,12,19,113,113,113,0,1,8.7,météo favorable
2009-01-27,22,15,14,15,21,19,0,62,10,1018,0.25,24,12,19,113,113,113,0,1,8.7,météo favorable
2009-01-28,23,16,22,16,23,20,0,60,10,1017,13.625,25,13,20,113,113,113,0,1,8.7,météo favorable
2009-01-29,23,16,10,16,22,21,0,61,10,1018,20.5,24,13,19,113,113,116,0,1,8.7,météo favorable
