DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,0,-3,14,-3,-1,-3,1.4,95,6.5,1022,65.125,0,0,-7,143,326,113,,,,météo très défavorable
2009-01-02,-3,-5,12,-6,-4,-4,0,93,10,1022,47.375,0,0,-10,119,116,116,,,,météo très défavorable
2009-01-03,-1,-3,25,-5,-1,-3,18.2,98,5.125,1016,96.375,0,0,-8,326,332,332,,,,météo très défavorable
2009-01-04,-4,-10,13,-7,-9,-10,6.6,93,7.375,1015,42.375,0,0,-15,323,113,116,,,,météo très défavorable
2009-01-05,-9,-17,10,-16,-10,-11,0,98,1.75,1024,32.375,0,0,-17,260,116,260,,,,météo très défavorable
2009-01-06,-6,-9,28,-11,-7,-7,2.3,98,7.75,1025,79.125,0,0,-16,119,326,326,,,,météo très défavorable
2009-01-07,-3,-8,30,-6,-8,-5,10.5,98,3.75,1011,100,0,0,-17,227,227,332,,,,météo très défavorable
2009-01-08,-4,-8,15,-9,-5,-5,1.5,99,5.375,1021,61.125,0,0,-13,260,143,119,,,,météo très défavorable
2009-01-09,3,1,26,1,2,3,12.4,100,6,1016,98,3,3,-4,317,296,266,,,,météo très défavorable
2009-01-10,1,-6,9,-3,-2,-2,0.1,99,3,1029,40.875,1,0,-9,260,143,260,,,,météo très défavorable
2009-01-11,1,-1,19,-2,0,0,1.9,97,4.875,1029,80.5,1,0,-6,266,119,119,,,,météo très défavorable
2009-01-12,0,-1,23,-2,0,0,0,91,10,1024,5.5,0,0,-7,113,113,113,,,,météo très défavorable
2009-01-13,0,-2,21,-4,-1,-1,0.1,94,10,1018,23.375,0,0,-8,113,113,116,,,,météo très défavorable
2009-01-14,1,-1,11,-2,0,1,0.9,99,1.125,1015,87,1,1,-4,260,248,248,,,,météo très défavorable
2009-01-15,1,-1,12,-2,0,0,3.2,99,8,1017,96.5,1,0,-4,284,317,326,,,,météo très défavorable
2009-01-16,0,-2,13,-3,-1,-1,1.6,93,10,1027,92.25,0,0,-6,122,326,122,,,,météo très défavorable
2009-01-17,-3,-4,8,-6,-3,-3,0.4,89,10,1027,94.75,0,0,-8,122,122,122,,,,météo très défavorable
2009-01-18,-4,-5,6,-6,-4,-5,0.4,98,5.5,1022,94,0,0,-7,260,119,143,,,,météo très défavorable
2009-01-19,-4,-6,13,-8,-5,-5,0.5,96,7,1009,79.375,0,0,-12,143,122,143,,,,météo très défavorable
2009-01-20,0,-2,18,-3,-1,-1,0.6,97,5.625,1006,90.75,0,0,-7,260,119,122,,,,météo très défavorable
2009-01-21,1,-1,10,-2,1,1,7.5,99,5,1012,97.5,1,1,-3,317,143,296,,,,météo très défavorable
2009-01-22,1,1,14,0,1,1,13.9,100,8.25,1010,100,1,1,-3,296,320,317,,,,météo très défavorable
2009-01-23,1,0,18,0,1,1,1.1,98,5.125,1004,86.625,1,0,-4,260,143,122,,,,météo très défavorable
