DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,6,0,29,4,2,1,9.1,97,8.625,1018,97.375,6,5,-4,296,296,338,3.2,1,3.7,météo très défavorable
2009-01-02,3,0,16,1,3,1,2.8,80,8,1024,44,3,0,-1,338,113,113,2.4,1,8.7,météo très défavorable
2009-01-03,9,0,15,2,9,4,0,51,10,1025,2.875,10,0,1,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,8,0,16,3,8,5,0,83,10,1025,33.25,8,4,3,116,113,122,0,1,8.7,météo très défavorable
2009-01-05,12,0,18,5,12,9,0,45,10,1022,5.5,14,2,5,113,113,113,0,1,8.7,météo très défavorable
2009-01-06,10,0,18,6,10,6,0,67,10,1021,4.875,11,5,7,113,113,113,0,1,8.7,météo très défavorable
2009-01-07,10,0,13,4,10,6,0,74,10,1022,11.625,10,6,7,113,113,113,0,1,8.7,météo très défavorable
2009-01-08,12,0,16,6,12,6,0,62,10,1024,21.125,13,5,7,113,113,116,0,1,8.7,météo très défavorable
2009-01-09,13,0,12,5,13,8,0,58,10,1024,25.625,14,5,7,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,3,0,14,1,1,0,2.6,82,9.25,1030,68.25,3,2,-5,332,116,116,0.2,1,7,météo très défavorable
2009-01-11,9,0,17,3,9,4,0,62,10,1024,24.5,10,3,5,113,113,116,0,1,8.7,météo très défavorable
2009-01-12,4,0,19,3,3,3,4.3,94,8.125,1032,84.25,4,3,-2,296,296,266,0,1,3.7,météo très défavorable
2009-01-13,7,0,8,1,7,4,0,63,10,1035,12.875,8,1,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-14,10,0,14,3,10,6,0,52,10,1038,9.375,11,0,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-15,12,0,15,5,12,7,0,59,10,1034,8.625,14,4,7,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,12,0,9,5,12,8,0,61,10,1029,1.625,15,5,10,113,113,113,0,1,8.7,météo très défavorable
2009-01-17,13,0,17,6,13,10,0,53,10,1025,2,14,3,6,113,113,113,0,1,8.7,météo très défavorable
2009-01-18,13,0,14,8,13,8,0,56,10,1024,31.875,14,3,8,116,116,113,0,1,8.7,météo très défavorable
2009-01-19,11,0,14,4,11,7,0,73,10,1025,30.125,11,4,7,116,116,113,0,1,8.7,météo très défavorable
2009-01-20,13,0,12,6,13,9,0,57,10,1021,9.5,15,4,7,113,113,113,0,1,8.7,météo très défavorable
2009-01-21,10,0,16,5,10,6,0.8,86,9.875,1027,46.625,10,5,4,113,116,296,0,1,7.1,météo très défavorable
2009-01-22,4,0,12,4,4,3,3,88,9.75,1033,76.75,4,4,1,296,119,116,0,1,3.8,météo très défavorable
2009-01-23,6,0,10,2,6,3,0,68,10,1031,17.625,6,1,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-24,9,0,13,1,9,6,0,58,10,1028,5.5,9,2,7,113,113,113,0,1,8.7,météo très défavorable
2009-01-25,12,0,17,5,12,9,0,52,10,1017,15.375,13,2,5,113,113,113,0,1,8.7,météo très défavorable
2009-01-26,14,0,22,6,13,11,0,57,10,1018,8.5,15,4,6,113,113,113,0,1,8.7,météo très défavorable
2009-01-27,14,0,14,8,14,10,0,65,10,1019,24.5,15,6,8,116,113,113,0,1,8.7,météo très défavorable
2009-01-28,12,0,14,6,12,8,0,74,10,1022,18.625,13,6,9,116,113,113,0,1,8.7,météo très défavorable
2009-01-29,14,0,10,6,14,10,0,60,10,1020,5.625,16,5,9,113,113,113,0,1,8.7,météo très défavorable
2009-01-30,18,0,17,10,17,13,0,45,10,1015,11.375,18,4,11,113,113,113,0,1,8.7,météo favorable
2009-01-31,17,0,10,11,17,13,0,58,9.875,1015,19.75,17,7,12,113,113,113,0,1,8.7,météo très défavorable
2009-02-01,13,0,15,9,13,10,1.4,72,9.875,1016,34.25,14,8,9,113,116,296,0,1,8.7,météo très défavorable
2009-02-02,8,0,14,6,8,6,0.8,88,8.875,1024,58.625,8,6,5,143,119,119,0,1,5.5,météo très défavorable
2009-02-03,9,0,17,6,9,6,0,84,10,1026,63.875,9,5,5,119,113,119,0,1,8.7,météo très défavorable
2009-02-04,7,0,7,4,6,5,1.1,86,8,1031,45.625,8,4,4,266,116,113,0,1,7.1,météo très défavorable
2009-02-05,14,0,16,5,14,11,0,46,10,1029,12.75,15,0,7,113,113,113,0,1,8.7,météo très défavorable
2009-02-06,17,0,10,9,17,13,0,47,10,1017,25.375,17,2,11,113,113,116,0,1,8.7,météo très défavorable
2009-02-07,17,0,14,10,17,12,0,45,10,1015,16.375,18,4,12,113,113,113,0,1,8.7,météo très défavorable
2009-02-08,16,0,8,9,16,11,0,57,10,1020,8.875,17,5,13,113,113,113,0,1,8.7,météo très défavorable
2009-02-09,16,0,12,8,16,12,0,57,10,1021,12.125,18,5,12,113,113,113,0,1,8.7,météo très défavorable
2009-02-10,18,0,13,12,18,15,0,49,10,1016,28.5,18,5,14,113,113,116,0,1,8.7,météo favorable
2009-02-11,14,0,23,13,13,8,3.2,70,9.75,1007,34.125,14,8,8,299,116,116,0,1,8.7,météo très défavorable
2009-02-12,9,0,15,6,9,8,0,73,10,1018,13.625,9,5,6,113,113,113,0,1,8.7,météo très défavorable
2009-02-13,15,0,16,7,15,11,0,54,10,1019,27.375,16,6,11,116,116,113,0,1,8.7,météo très défavorable
2009-02-14,17,0,17,8,17,12,0,56,10,1017,14.5,17,5,13,116,113,113,0,1,8.7,météo très défavorable
2009-02-15,18,0,12,10,18,13,0,49,10,1016,6.875,19,6,13,113,113,113,0,1,8.7,météo favorable
2009-02-16,20,0,19,12,19,15,0,45,10,1015,7.625,20,4,15,113,113,116,0,1,8.7,météo favorable
2009-02-17,20,0,17,12,20,15,0,42,10,1016,24.25,23,5,16,113,113,116,0,1,8.7,météo favorable
2009-02-18,14,0,17,11,8,7,0.1,86,9.875,1021,55.625,14,6,5,113,116,119,0,1,7.2,météo très défavorable
2009-02-19,9,0,19,6,9,7,0.2,84,9,1024,47.875,9,5,5,119,113,116,0,1,8.7,météo très défavorable
2009-02-20,14,0,11,6,12,11,0,55,10,1020,21.625,14,4,8,113,113,113,0,1,8.7,météo très défavorable
2009-02-21,18,0,20,10,18,12,0.2,48,9.375,1014,17.5,18,6,12,113,113,263,0,1,8.7,météo favorable
2009-02-22,14,0,18,9,14,10,1.5,44,9.875,1011,12.75,15,8,11,113,113,113,0,1,8.7,météo très défavorable
2009-02-23,10,0,15,4,10,7,0,68,10,1020,9.125,10,4,6,113,113,113,0,1,11.5,météo très défavorable
2009-02-24,12,0,18,4,12,8,0,64,10,1023,5.5,12,6,9,113,113,113,0,1,11.5,météo très défavorable
2009-02-25,14,0,13,6,14,9,0,53,10,1021,5.125,14,5,12,113,113,113,0,1,11.5,météo très défavorable
2009-02-26,14,0,15,7,14,10,0,54,10,1019,9.375,14,5,12,113,113,113,0,1,11.6,météo très défavorable
2009-02-27,17,0,22,7,17,13,0,48,10,1017,10.125,17,4,14,113,113,113,0,1,11.6,météo très défavorable
2009-02-28,17,0,14,11,15,14,0,56,9.875,1008,13.625,17,6,15,113,200,113,0,1,11.6,météo très défavorable
2009-03-01,16,0,18,10,16,10,0,46,10,1011,12.875,17,5,12,113,113,116,0,1,11.6,météo très défavorable
2009-03-02,9,0,14,7,8,7,0.1,88,10,1014,38.375,9,6,6,116,116,113,0,1,10.2,météo très défavorable
2009-03-03,15,0,12,7,15,11,0,44,10,1018,24.125,16,4,10,116,113,116,0,1,11.6,météo très défavorable
2009-03-04,12,0,17,5,12,7,0,63,10,1019,23,12,5,8,113,113,113,0,1,11.6,météo très défavorable
2009-03-05,6,0,15,4,6,5,0.3,90,9,1023,69.875,6,4,3,119,122,266,0,1,5.9,météo très défavorable
2009-03-06,13,0,18,5,13,9,0,54,10,1022,9.25,13,4,11,113,113,113,0,1,11.6,météo très défavorable
2009-03-07,19,0,15,8,19,13,0,54,10,1021,9.125,20,6,14,113,113,113,0,1,11.6,météo favorable
