DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-9,-19,26,-16,-14,-12,1.6,94,6.875,1013,100,0,0,-24,122,122,122,0.1,1,0,météo très défavorable
2009-01-02,-9,-27,22,-18,-23,-25,0.2,97,7.75,1009,91.875,0,0,-35,119,122,122,0,1,0,météo très défavorable
2009-01-03,-22,-27,40,-24,-23,-23,0.7,99,5,1020,100,0,0,-38,122,122,122,0,1,0,météo très défavorable
2009-01-04,-22,-25,30,-25,-24,-25,0.5,98,6.25,1026,100,0,0,-37,122,122,122,0,1,0,météo très défavorable
2009-01-05,-24,-29,9,-25,-26,-27,0,100,7.5,1025,100,0,0,-34,122,260,260,0.1,1,0,météo très défavorable
2009-01-06,-27,-31,10,-28,-29,-30,0,100,2.5,1023,74.375,0,0,-38,260,260,116,0,1,0,météo très défavorable
2009-01-07,-29,-31,14,-31,-29,-30,0,100,7.5,1023,53,0,0,-40,260,116,260,0,1,0,météo très défavorable
2009-01-08,-29,-32,9,-30,-30,-32,0,100,3.75,1017,100,0,0,-38,260,260,260,0,1,0,météo très défavorable
2009-01-09,-30,-31,8,-31,-30,-30,0,100,3.75,1010,100,0,0,-38,260,260,260,0.1,1,0,météo très défavorable
2009-01-10,-28,-29,14,-28,-28,-28,0.3,99,8.75,1007,100,0,0,-38,122,122,122,0.2,1,0,météo très défavorable
2009-01-11,-29,-31,29,-30,-30,-31,0,100,9,1015,90.75,0,0,-46,122,122,119,0,1,0,météo très défavorable
2009-01-12,-28,-31,23,-31,-30,-29,0,100,9.875,1018,57.125,0,0,-44,119,113,116,0,1,0,météo très défavorable
2009-01-13,-28,-31,22,-29,-28,-31,0,100,10,1017,94.75,0,0,-42,122,122,122,0,1,0,météo très défavorable
2009-01-14,-27,-29,19,-29,-28,-27,0,100,10,1020,77.375,0,0,-40,122,122,113,0,1,0,météo très défavorable
2009-01-15,-28,-33,2,-33,-33,-29,0,100,1.75,1020,8.75,0,0,-33,260,260,143,0,1,0,météo très défavorable
2009-01-16,-25,-30,8,-25,-27,-25,0,92,9,1008,6.375,0,0,-34,113,113,113,0,1,0,météo très défavorable
2009-01-17,-22,-25,15,-23,-22,-22,0,82,10,1009,38.5,0,0,-31,113,116,122,0,1,0,météo très défavorable
2009-01-18,-22,-23,12,-22,-22,-22,0,100,3.75,1000,89.125,0,0,-31,122,260,116,0,1,0,météo très défavorable
2009-01-19,-16,-20,8,-18,-16,-18,1.2,97,1.625,1001,100,0,0,-22,260,143,260,1,1,0,météo très défavorable
2009-01-20,-19,-25,20,-21,-22,-25,0.4,97,6.5,1010,97,0,0,-33,260,122,122,0.2,1,0,météo très défavorable
2009-01-21,-23,-25,46,-24,-23,-23,0.2,98,6,1013,100,0,0,-39,122,122,122,0,1,0,météo très défavorable
2009-01-22,-23,-26,47,-24,-23,-26,0.4,99,5,1013,100,0,0,-40,122,122,122,0,1,0,météo très défavorable
2009-01-23,-23,-25,30,-24,-23,-25,0.3,100,7,1013,89.125,0,0,-37,122,122,119,0,1,0,météo très défavorable
2009-01-24,-24,-26,18,-26,-24,-25,0,100,10,1013,78,0,0,-35,116,122,122,0.1,1,0,météo très défavorable
2009-01-25,-24,-25,21,-25,-25,-24,0,100,10,1007,100,0,0,-37,122,122,122,0.1,1,0,météo très défavorable
2009-01-26,-20,-25,23,-23,-20,-23,0.2,98,10,1001,100,0,0,-31,122,122,122,0.1,1,0,météo très défavorable
2009-01-27,-25,-27,13,-27,-26,-25,0,100,8.75,997,84.375,0,0,-36,119,119,122,0,1,0,météo très défavorable
2009-01-28,-24,-26,17,-24,-24,-26,0,100,8.75,1003,100,0,0,-34,122,122,260,0,1,0,météo très défavorable
2009-01-29,-24,-28,15,-28,-25,-28,0,100,6.25,1005,80.625,0,0,-36,260,119,260,0,1,0,météo très défavorable
2009-01-30,-28,-33,4,-33,-32,-29,0,100,0,1012,59.5,0,0,-37,260,260,260,0,1,0,météo très défavorable
2009-01-31,-27,-32,9,-28,-28,-30,0,93,6.5,1018,10.875,0,0,-36,113,113,113,0,1,0,météo très défavorable
2009-02-01,-30,-34,7,-33,-33,-30,0,95,5.5,1025,26.75,0,0,-41,113,143,143,0,1,0,météo très défavorable
2009-02-02,-29,-32,8,-30,-30,-32,0,98,0.25,1028,85,0,0,-37,143,260,260,0,1,0,météo très défavorable
