DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,1,19,0,2,2,0.1,89,10,1028,34.375,2,0,-4,116,119,113,,,,météo très défavorable
2009-01-02,1,0,17,0,1,1,0,79,10,1030,13,1,0,-5,113,116,113,,,,météo très défavorable
2009-01-03,7,3,42,1,6,6,4.8,89,8.625,1028,65.75,7,4,-3,116,317,296,,,,météo très défavorable
2009-01-04,3,1,22,-1,2,3,8.3,91,7.375,1014,84,3,2,-2,119,122,332,,,,météo très défavorable
2009-01-05,0,-2,30,-2,-2,-2,2.4,74,8.875,1028,24.75,0,0,-9,116,179,113,,,,météo très défavorable
2009-01-06,2,-1,35,-3,1,1,0.2,82,10,1028,50.625,2,0,-7,116,122,119,,,,météo très défavorable
2009-01-07,3,1,34,0,2,3,2.9,77,8,1022,56.375,3,0,-6,227,119,113,,,,météo très défavorable
2009-01-08,2,0,38,-1,2,2,0.1,86,10,1027,41,2,0,-6,113,116,116,,,,météo très défavorable
2009-01-09,4,3,33,2,4,4,0.9,93,7,1027,73,4,3,-3,266,116,116,,,,météo très défavorable
2009-01-10,4,3,21,2,4,4,0,93,10,1030,49.5,4,3,-2,119,116,116,,,,météo très défavorable
2009-01-11,5,2,39,0,4,4,0,79,10,1027,15.75,5,1,-5,116,116,113,,,,météo très défavorable
2009-01-12,7,4,44,3,6,6,0,72,10,1022,31.75,7,1,-2,113,116,116,,,,météo très défavorable
2009-01-13,5,4,36,3,5,5,7.9,94,7.625,1011,91.625,5,4,-2,302,122,122,,,,météo très défavorable
2009-01-14,4,4,14,3,4,4,7.4,97,5.625,1014,91.375,4,4,0,296,266,266,,,,météo très défavorable
2009-01-15,4,3,10,2,4,4,0.2,92,8.375,1025,32.5,4,3,0,113,116,116,,,,météo très défavorable
2009-01-16,2,1,29,1,2,2,0,89,10,1027,55.375,2,1,-4,116,116,116,,,,météo très défavorable
2009-01-17,4,2,26,0,4,4,0,90,10,1024,62.625,4,2,-4,116,116,119,,,,météo très défavorable
2009-01-18,8,4,36,3,7,7,5.4,93,8.375,1011,75.125,8,6,-1,116,116,296,,,,météo très défavorable
2009-01-19,4,3,40,2,4,4,6.4,92,9.25,999,75.75,4,3,-3,116,119,119,,,,météo très défavorable
2009-01-20,6,4,30,3,6,6,4,88,8.25,1001,57.75,6,4,-1,266,116,113,,,,météo très défavorable
2009-01-21,3,2,16,2,3,3,0.1,89,10,1008,38.375,3,2,-2,119,113,113,,,,météo très défavorable
2009-01-22,5,3,34,1,4,4,0,92,10,1008,44,5,3,-1,116,122,113,,,,météo très défavorable
2009-01-23,3,2,43,1,3,3,4.5,87,7.625,995,78.75,3,0,-5,317,116,332,,,,météo très défavorable
2009-01-24,2,1,24,2,1,1,6.3,94,6.625,988,94.375,2,1,-5,326,332,317,,,,météo très défavorable
2009-01-25,4,3,19,2,4,4,0.2,95,10,1003,65,4,3,-2,116,119,116,,,,météo très défavorable
2009-01-26,2,1,13,0,2,2,0.1,90,10,1011,50.125,2,1,-3,119,116,113,,,,météo très défavorable
2009-01-27,2,1,8,0,2,2,0,88,10,1018,20,2,0,-2,113,116,113,,,,météo très défavorable
2009-01-28,2,0,12,-1,1,1,0,89,10,1023,23.5,2,0,-3,116,116,113,,,,météo très défavorable
2009-01-29,1,-1,8,-2,0,0,0,80,10,1029,30.375,1,0,-3,113,116,113,,,,météo très défavorable
2009-01-30,2,0,10,-1,1,1,0,86,10,1030,18.5,2,0,-4,113,113,116,,,,météo très défavorable
2009-01-31,3,2,24,1,3,3,0.9,84,10,1029,88.625,3,0,-3,119,122,122,,,,météo très défavorable
2009-02-01,1,-1,42,-1,0,0,2.4,79,10,1025,94.125,1,0,-8,326,119,122,,,,météo très défavorable
2009-02-02,3,1,42,0,2,2,0.6,81,10,1021,98.125,3,0,-6,122,122,122,,,,météo très défavorable
2009-02-03,4,2,33,1,3,3,0.5,89,8.875,1011,99.5,4,2,-4,122,122,122,,,,météo très défavorable
2009-02-04,3,2,12,1,3,3,0.9,92,10,1002,90.875,3,2,-2,122,122,119,,,,météo très défavorable
2009-02-05,5,3,17,2,4,4,4.6,95,8,999,79.875,5,3,-1,296,143,116,,,,météo très défavorable
2009-02-06,6,4,17,3,5,5,2,95,8.75,995,60.25,6,4,0,122,122,113,,,,météo très défavorable
2009-02-07,4,3,14,2,4,4,9.6,94,8,993,58.25,4,3,-1,176,116,302,,,,météo très défavorable
2009-02-08,2,2,27,1,2,2,4.5,89,9.75,1000,71,2,2,-4,326,122,368,,,,météo très défavorable
2009-02-09,2,1,20,1,2,2,0.3,91,10,1005,58.25,2,0,-4,119,116,116,,,,météo très défavorable
2009-02-10,2,1,37,1,2,2,11.3,92,5.625,1001,93.25,2,1,-5,119,227,227,,,,météo très défavorable
2009-02-11,1,0,36,0,0,0,5.5,87,7.375,1009,99.875,1,0,-7,326,122,122,,,,météo très défavorable
