DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,-3,12,-0,1,-2,0,80,8.75,1028,33.25,1,0,-4,119,113,113,0,1,7.2,météo très défavorable
2009-01-02,1,-4,15,-4,1,-1,0,78,10,1029,11,1,0,-5,113,113,113,0,1,7.2,météo très défavorable
2009-01-03,4,-2,35,1,3,3,1.5,94,8.625,1025,74,4,3,-4,122,122,116,0,1,2.7,météo très défavorable
2009-01-04,-1,-4,17,-2,-2,-3,0.3,84,8.375,1016,49.625,0,0,-7,116,122,113,0.3,1,4.7,météo très défavorable
2009-01-05,-2,-5,15,-4,-2,-5,0,60,10,1028,8,0,0,-8,113,113,113,0,1,7.2,météo très défavorable
2009-01-06,1,-5,27,-3,1,0,0.1,86,9.375,1027,67.875,1,0,-7,119,119,122,0.1,1,2.7,météo très défavorable
2009-01-07,2,-3,21,1,1,-2,0.9,76,8.75,1023,45.25,2,0,-6,122,113,113,0,1,7.7,météo très défavorable
2009-01-08,4,-3,33,-3,1,3,0.2,90,10,1026,67.625,4,3,-7,116,119,122,0,1,4.8,météo très défavorable
2009-01-09,4,3,26,3,4,4,0.4,96,9,1026,81.75,5,3,-1,122,119,143,0,1,4.8,météo très défavorable
2009-01-10,4,1,15,3,4,2,0.1,95,6.75,1029,66.25,4,3,-0,143,116,116,0,1,4.8,météo très défavorable
2009-01-11,2,-0,27,-0,1,2,0,82,10,1026,19.375,3,0,-6,116,113,113,0,1,7.8,météo très défavorable
2009-01-12,4,2,32,2,4,3,0,78,10,1019,43.5,4,0,-3,113,116,122,0,1,7.8,météo très défavorable
2009-01-13,5,3,26,3,5,5,3.1,95,6.875,1010,100,5,4,-1,122,122,122,0,1,2.9,météo très défavorable
2009-01-14,4,4,10,4,4,4,0.6,97,2.25,1014,92.75,5,4,2,248,143,143,0,1,2.9,météo très défavorable
2009-01-15,3,-1,10,2,3,-0,0,93,6,1026,32.625,4,3,-2,143,116,113,0,1,7.9,météo très défavorable
2009-01-16,1,-1,21,-0,1,0,0,84,10,1028,78.25,1,0,-5,122,122,116,0,1,3,météo très défavorable
2009-01-17,1,-0,25,-0,1,0,0,84,10,1024,53.875,1,0,-6,113,116,116,0,1,7.9,météo très défavorable
2009-01-18,4,1,30,2,4,3,2.5,93,8.875,1010,89.625,4,3,-2,119,119,122,0,1,3,météo très défavorable
2009-01-19,3,2,24,2,2,2,0,94,10,999,79.625,3,3,-3,119,119,116,0,1,4.9,météo très défavorable
2009-01-20,5,2,21,4,4,2,0,92,8.875,1002,63.5,5,4,-1,119,116,143,0,1,6.8,météo très défavorable
2009-01-21,4,0,10,2,4,0,0,94,3.75,1009,55.25,4,2,-0,143,113,143,0,1,8,météo très défavorable
2009-01-22,2,-1,21,-1,2,1,0,95,5.75,1008,57.5,3,1,-3,260,119,116,0,1,6.8,météo très défavorable
2009-01-23,2,1,38,1,1,2,0.1,87,10,993,80.875,2,1,-6,122,116,122,0.1,1,6.8,météo très défavorable
2009-01-24,3,2,15,2,3,3,0.8,96,6.75,989,92.875,3,2,-2,248,122,143,0.7,1,3.1,météo très défavorable
2009-01-25,3,2,10,2,3,2,0.1,98,4.5,1004,82.875,3,2,0,248,143,143,0,1,3.1,météo très défavorable
2009-01-26,2,-1,5,0,2,-0,0,89,10,1012,78.25,2,0,-0,122,122,116,0,1,3.1,météo très défavorable
2009-01-27,3,-1,6,-0,3,-1,0,93,6,1019,29.125,4,1,-1,143,113,143,0,1,8.3,météo très défavorable
2009-01-28,1,-3,9,-2,1,-3,0,93,5,1024,38.75,1,0,-2,143,116,143,0,1,8.3,météo très défavorable
2009-01-29,0,-3,3,-3,0,-3,0,87,7,1029,31.125,1,0,-1,143,113,113,0,1,6.8,météo très défavorable
2009-01-30,2,-4,6,-3,2,-1,0,92,5,1031,38.25,2,0,-3,143,116,143,0,1,8.4,météo très défavorable
2009-01-31,2,-1,17,0,2,0,0.2,84,10,1029,84.125,2,0,-4,119,122,122,0.1,1,3.2,météo très défavorable
2009-02-01,-0,-3,32,-2,0,0,1.3,79,5,1026,89.875,0,0,-7,122,122,122,0,1,3.2,météo très défavorable
2009-02-02,1,-0,36,-0,1,0,0.1,83,8.75,1023,93,1,0,-7,122,122,119,0,1,3.2,météo très défavorable
2009-02-03,2,-0,28,0,2,0,0,88,10,1013,83.25,2,0,-5,122,119,116,0,1,3.3,météo très défavorable
2009-02-04,1,-1,14,0,1,1,0,93,7,1002,96.75,1,0,-4,122,122,143,0,1,3.4,météo très défavorable
2009-02-05,2,1,12,1,2,1,2.3,98,4.25,999,91.625,2,2,-2,248,143,119,0.4,1,3.4,météo très défavorable
2009-02-06,5,2,11,3,4,2,0.1,97,3.25,994,88.125,5,4,1,248,143,248,0,1,3.4,météo très défavorable
2009-02-07,3,1,13,2,3,2,2.2,96,7.5,993,87.625,3,2,-1,119,122,248,0,1,3.4,météo très défavorable
2009-02-08,3,-0,19,1,3,0,0.8,92,7.125,1000,67.875,3,2,-3,122,119,113,0.7,1,5.3,météo très défavorable
2009-02-09,2,-0,17,-0,2,-0,0,90,10,1005,66.125,2,0,-3,116,122,116,0,1,5.3,météo très défavorable
2009-02-10,1,0,30,1,1,0,3.7,91,6.5,1000,97.75,2,0,-5,122,122,122,0.9,1,3.6,météo très défavorable
