DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,0,25,26,26,26,0,78,10,1016,18.5,29,23,26,113,113,113,0,1,8.7,météo favorable
2009-01-02,26,0,27,26,26,26,2.1,82,9.875,1016,56.5,29,23,26,116,116,116,0,1,8.7,météo très défavorable
2009-01-03,27,0,33,27,27,27,0.1,80,10,1016,17.875,30,23,27,113,113,113,0,1,8.7,météo favorable
2009-01-04,27,0,27,27,26,26,0,79,10,1016,16.625,29,23,26,113,116,113,0,1,8.7,météo favorable
2009-01-05,26,0,29,26,26,26,0,81,10,1016,22.625,29,23,26,113,116,116,0,1,8.7,météo favorable
2009-01-06,27,0,30,26,26,27,2,81,9.875,1016,33.5,30,23,26,116,116,116,0,1,8.7,météo favorable
2009-01-07,26,0,34,26,26,26,0.4,81,9.875,1016,19.75,29,22,25,116,116,113,0,1,8.7,météo favorable
2009-01-08,26,0,30,26,26,26,0.6,80,9.875,1016,20.25,29,22,26,116,113,113,0,1,8.7,météo favorable
2009-01-09,26,0,32,26,26,26,0.1,80,10,1017,29.5,29,23,26,113,116,116,0,1,8.7,météo favorable
2009-01-10,26,0,32,26,26,26,0.1,80,10,1018,16.75,29,23,26,113,113,113,0,1,8.7,météo favorable
2009-01-11,26,0,36,26,26,26,0.6,81,9.875,1018,30.5,29,22,26,113,116,119,0,1,8.7,météo favorable
2009-01-12,26,0,36,26,26,26,0.1,78,10,1018,17.75,29,22,26,116,113,113,0,1,8.7,météo favorable
2009-01-13,27,0,41,26,27,26,0.1,75,10,1019,12.125,29,22,26,116,113,113,0,1,8.7,météo favorable
2009-01-14,26,0,41,26,26,26,0.1,76,10,1019,15.5,29,22,26,113,116,113,0,1,8.7,météo favorable
2009-01-15,26,0,37,26,26,26,1.6,80,9.75,1017,29.875,28,22,26,116,116,116,0,1,8.7,météo favorable
2009-01-16,26,0,27,25,26,26,3.4,82,9.5,1016,43.25,29,23,25,116,116,113,0,1,8.7,météo favorable
2009-01-17,26,0,24,26,26,26,0.3,84,9.875,1018,24.125,29,23,26,113,113,113,0,1,8.7,météo favorable
2009-01-18,26,0,29,26,26,26,0.3,81,9.875,1018,26.375,29,23,26,116,113,116,0,1,8.7,météo favorable
2009-01-19,26,0,30,26,26,26,1.1,83,10,1017,48.375,29,23,26,116,116,119,0,1,7.2,météo favorable
2009-01-20,26,0,32,26,26,26,2.3,83,9.875,1017,46.125,29,23,26,119,116,116,0,1,8.7,météo favorable
