DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,-3,12,-0,1,-2,0,78,8.75,1028,30.625,2,0,-4,116,113,113,0,1,7.1,météo très défavorable
2009-01-02,1,-3,14,-3,1,-1,0,78,10,1029,11.875,1,0,-5,113,113,113,0,1,7.1,météo très défavorable
2009-01-03,4,-2,35,1,3,2,0.2,93,8.75,1025,71.875,4,3,-4,122,122,116,0,1,2.7,météo très défavorable
2009-01-04,-1,-4,16,-2,-2,-3,0,83,9,1016,52.375,0,0,-7,116,119,113,0,1,2.7,météo très défavorable
2009-01-05,-2,-5,14,-4,-2,-5,0,58,10,1028,6.25,0,0,-8,113,113,113,0,1,7.2,météo très défavorable
2009-01-06,1,-4,27,-3,1,1,0.5,85,8.75,1027,68.375,1,0,-7,119,119,122,0.1,1,2.7,météo très défavorable
2009-01-07,2,-2,20,1,1,-2,0,75,10,1023,44.5,2,0,-6,122,113,113,0,1,7.2,météo très défavorable
2009-01-08,4,-3,34,-2,2,3,0.1,90,9.375,1026,73,4,3,-7,116,122,122,0.1,1,2.9,météo très défavorable
2009-01-09,5,3,25,3,5,4,0.1,96,9,1026,84,5,3,-1,122,119,143,0,1,2.9,météo très défavorable
2009-01-10,4,1,15,3,4,2,0,95,6.75,1029,68.125,4,3,-0,143,116,116,0,1,4.8,météo très défavorable
2009-01-11,2,-0,27,-0,1,2,0,83,10,1025,21.375,3,0,-6,116,113,113,0,1,7.7,météo très défavorable
2009-01-12,4,2,31,2,4,3,0.2,79,9,1018,38.375,4,1,-3,113,116,116,0,1,7.7,météo très défavorable
2009-01-13,5,3,25,3,5,5,2.9,95,8.875,1010,100,5,5,-1,122,122,122,0,1,2.9,météo très défavorable
2009-01-14,4,4,10,4,4,4,0,97,2,1014,93.75,5,4,2,248,143,143,0,1,2.9,météo très défavorable
2009-01-15,3,-1,10,2,3,-0,0,93,7,1026,29.375,4,3,-1,143,116,113,0,1,7.8,météo très défavorable
2009-01-16,1,-1,21,-0,1,0,0,83,10,1028,77.25,1,0,-5,122,122,119,0,1,2.9,météo très défavorable
2009-01-17,1,-0,26,-0,1,0,0.2,84,9.875,1024,53.75,1,0,-6,113,116,119,0,1,7.9,météo très défavorable
2009-01-18,4,1,30,2,4,3,2.7,94,9.875,1010,92,4,3,-2,119,119,122,0,1,3,météo très défavorable
2009-01-19,3,2,23,2,3,2,1.2,94,9,998,79.5,3,3,-2,119,119,116,0.9,1,4.9,météo très défavorable
2009-01-20,5,2,21,4,4,2,0.5,91,8,1002,65.75,5,4,-1,119,116,143,0,1,6.8,météo très défavorable
2009-01-21,4,-0,11,2,4,0,0,95,4.75,1009,55.75,5,2,-0,143,113,143,0,1,6.8,météo très défavorable
2009-01-22,2,-1,20,-1,2,1,0,95,5.75,1008,60.25,2,1,-3,260,119,116,0,1,4.9,météo très défavorable
2009-01-23,2,1,37,1,1,2,0.8,88,7.125,992,85.25,2,1,-6,122,116,122,0.5,1,4.9,météo très défavorable
2009-01-24,3,2,15,2,3,2,1.4,96,6.625,989,92.875,3,2,-1,248,122,143,0.7,1,3,météo très défavorable
2009-01-25,3,2,10,2,3,2,0,97,4.5,1004,81.25,3,3,0,248,143,143,0,1,3.1,météo très défavorable
2009-01-26,2,-0,5,0,2,-0,0,89,10,1012,80.25,2,1,-0,122,122,116,0,1,3.1,météo très défavorable
2009-01-27,3,-1,6,-0,3,-1,0,93,5,1019,29.5,4,1,-0,143,113,143,0,1,8.2,météo très défavorable
2009-01-28,1,-2,9,-2,1,-2,0,93,4.75,1024,39.25,1,0,-2,260,116,143,0,1,8.3,météo très défavorable
2009-01-29,0,-3,4,-3,0,-3,0,87,6,1029,29.25,2,0,-1,143,113,113,0,1,6.8,météo très défavorable
2009-01-30,2,-4,6,-3,2,-1,0,92,5,1031,35,2,0,-2,143,116,143,0,1,8.3,météo très défavorable
2009-01-31,2,-1,16,-0,2,0,0,83,10,1029,75.25,2,0,-4,119,119,122,0,1,3.1,météo très défavorable
2009-02-01,0,-3,30,-2,0,0,0.9,78,6.25,1026,88,0,0,-7,122,122,122,0,1,3.2,météo très défavorable
2009-02-02,1,-0,35,-0,1,0,0.2,83,7.75,1024,93.75,1,0,-7,122,122,119,0,1,3.2,météo très défavorable
2009-02-03,2,-0,27,0,2,-0,0,88,10,1013,84,2,0,-5,122,119,116,0,1,3.2,météo très défavorable
2009-02-04,1,-1,15,0,1,1,0.1,94,6.25,1002,96.75,1,0,-4,122,122,143,0.1,1,3.4,météo très défavorable
2009-02-05,2,0,9,1,2,1,3.3,98,3.25,998,93,2,2,-1,248,143,143,0.4,1,3.4,météo très défavorable
2009-02-06,5,2,12,3,4,2,0.2,98,3,994,95,5,4,1,248,143,248,0,1,5.2,météo très défavorable
2009-02-07,3,1,13,2,3,2,2.4,96,7.25,993,95.375,3,2,-1,122,122,248,0,1,3.4,météo très défavorable
2009-02-08,3,-0,18,1,3,0,0.8,91,7,999,67,3,2,-3,122,116,113,0.6,1,7,météo très défavorable
2009-02-09,2,-0,17,-0,2,-0,0.1,89,9.375,1005,65,2,0,-3,116,119,116,0.1,1,5.3,météo très défavorable
2009-02-10,2,0,29,1,2,0,1.1,90,8.375,1000,98.5,2,0,-5,122,122,122,0.9,1,3.6,météo très défavorable
2009-02-11,1,-0,24,-0,1,0,0,87,10,1008,100,1,0,-5,122,122,122,0,1,3.6,météo très défavorable
2009-02-12,-0,-2,23,-1,0,-1,0,84,10,1015,81.75,0,0,-6,122,122,116,0,1,3.6,météo très défavorable
2009-02-13,1,-4,14,-4,1,-2,0,80,8,1019,8.75,3,0,-4,143,113,113,0,1,8.7,météo très défavorable
2009-02-14,2,-3,16,-3,2,-2,0,79,10,1023,8.25,2,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-02-15,1,-2,8,-2,1,-1,0.6,89,7,1023,75.125,1,0,-2,143,122,122,0.5,1,5.4,météo très défavorable
2009-02-16,1,-1,14,-1,1,-1,1.6,90,6.75,1019,100,1,0,-4,122,122,122,1.3,1,3.7,météo très défavorable
2009-02-17,-1,-5,14,-5,-1,-4,0,87,10,1029,24.875,0,0,-7,116,113,116,0,1,8.7,météo très défavorable
2009-02-18,-1,-6,9,-6,-1,-2,1,86,8.375,1029,50.75,0,0,-6,113,119,122,0.8,1,5.4,météo très défavorable
2009-02-19,-0,-1,6,-1,-1,-1,1.5,93,4.5,1023,95.75,0,0,-3,143,122,260,1.2,1,3.7,météo très défavorable
2009-02-20,1,-2,8,-2,0,-1,0.1,94,4.125,1027,95.25,1,0,-3,260,122,143,0.1,1,3.8,météo très défavorable
2009-02-21,1,-2,13,-1,1,-0,4,92,6,1029,94.5,1,0,-3,143,122,122,3.4,1,3.8,météo très défavorable
2009-02-22,5,1,26,2,5,4,0,99,10,1017,96.375,5,4,-1,122,119,122,0,1,3.8,météo très défavorable
2009-02-23,3,0,22,0,1,1,0,95,10,1017,99.625,3,3,-5,122,122,122,0,1,3.8,météo très défavorable
2009-02-24,3,-4,13,-4,3,1,0,90,8,1024,34.5,5,2,-1,143,113,119,0,1,8.7,météo très défavorable
2009-02-25,5,3,22,5,5,4,0.8,96,7,1021,97.375,5,4,0,122,122,122,0,1,3.8,météo très défavorable
2009-02-26,5,3,31,3,5,4,0.7,94,9,1011,90.5,5,4,-1,122,122,122,0,1,3.9,météo très défavorable
2009-02-27,5,2,17,2,5,3,0.1,97,9,1011,62,5,4,-1,122,122,143,0,1,3.9,météo très défavorable
2009-02-28,2,-2,10,-2,2,1,0.1,90,7,1016,66.625,2,1,-1,143,119,119,0,1,3.9,météo très défavorable
2009-03-01,4,1,21,2,4,3,0.6,91,8,1015,84.375,4,3,-2,122,116,119,0,1,5.5,météo très défavorable
2009-03-02,4,3,18,3,4,3,1.5,98,6.625,1012,95.375,4,4,-1,122,248,143,0,1,3.9,météo très défavorable
2009-03-03,6,2,15,2,5,4,0.2,95,7.75,1013,73.5,6,4,-1,143,122,116,0,1,4.1,météo très défavorable
2009-03-04,5,2,26,2,5,4,0.3,91,8,1007,57.125,5,3,-1,116,113,122,0,1,7.2,météo très défavorable
2009-03-05,4,3,26,4,4,3,0.6,94,9,996,99.125,4,4,-1,122,122,122,0,1,4.1,météo très défavorable
2009-03-06,4,2,19,3,3,2,0.4,91,9,1002,100,4,3,-1,122,122,122,0.1,1,4.2,météo très défavorable
2009-03-07,3,1,10,1,3,2,0.8,92,5,1008,94.125,4,2,0,143,122,143,0.6,1,4.2,météo très défavorable
2009-03-08,5,1,27,3,3,3,1.8,99,6.875,1007,58.875,5,5,-2,119,122,143,0,1,7.2,météo très défavorable
2009-03-09,5,0,16,1,5,3,1.4,94,6.625,1001,71,5,3,-0,119,119,248,0.3,1,5.8,météo très défavorable
2009-03-10,7,2,12,2,7,2,1.2,95,4,1005,75,7,5,1,248,119,143,0,1,8.7,météo très défavorable
2009-03-11,5,1,18,2,5,1,0.3,94,6.5,1018,73.75,5,3,0,143,119,113,0.3,1,7.3,météo très défavorable
2009-03-12,3,-1,21,-1,3,2,3.4,94,8.25,1019,58.25,3,2,-3,113,122,122,0,1,7.3,météo très défavorable
2009-03-13,5,3,9,3,5,5,0.2,97,2.75,1017,91.125,6,5,2,143,143,143,0,1,5.9,météo très défavorable
2009-03-14,7,2,12,3,6,5,0.8,94,5.125,1017,96.875,7,5,4,248,122,143,0,1,5.9,météo très défavorable
2009-03-15,6,4,11,5,6,4,0.5,97,2.25,1028,91.875,6,5,4,248,143,143,0,1,5.9,météo très défavorable
2009-03-16,6,4,16,4,6,6,1.1,96,3.75,1031,99.75,6,5,2,143,122,248,0,1,6,météo très défavorable
2009-03-17,7,4,33,5,7,5,0.2,78,10,1028,38,7,5,1,119,113,113,0,1,11.6,météo très défavorable
2009-03-18,8,2,18,3,8,5,0,81,10,1029,30,8,4,2,116,116,116,0,1,11.6,météo très défavorable
2009-03-19,7,2,18,2,7,3,0,67,9,1033,17.75,7,2,2,116,113,113,0,1,11.6,météo très défavorable
2009-03-20,5,-1,10,-1,5,2,0,68,10,1035,30.625,6,0,3,113,116,116,0,1,11.6,météo très défavorable
2009-03-21,6,1,17,1,5,5,0,84,10,1028,37.875,6,4,-0,113,119,116,0,1,8.8,météo très défavorable
2009-03-22,8,3,25,5,6,6,0.2,91,10,1015,79.5,8,5,-0,122,116,122,0,1,8.9,météo très défavorable
2009-03-23,5,2,16,4,5,2,0.7,89,9.875,1004,63.625,6,3,1,122,119,116,0,1,8.9,météo très défavorable
2009-03-24,2,-2,27,-0,1,-1,0.3,68,9.625,1007,58.875,2,0,-6,119,119,116,0.2,1,8.9,météo très défavorable
2009-03-25,2,-3,21,-2,2,-1,0,54,10,1007,8,2,0,-4,113,113,113,0,1,11.6,météo très défavorable
2009-03-26,4,-2,24,-0,4,3,1,80,9.25,1004,58.5,4,4,-2,113,122,122,0.2,1,10.6,météo très défavorable
2009-03-27,6,3,18,3,6,3,3.1,90,6.875,995,66.125,6,4,2,143,116,143,0,1,12.8,météo très défavorable
2009-03-28,7,3,14,3,7,4,1.5,87,5.875,998,71.5,7,4,3,143,116,122,0,1,11.9,météo très défavorable
2009-03-29,8,1,7,3,8,2,0.7,85,9.875,1013,50.25,9,5,7,122,116,113,0,1,12.9,météo très défavorable
2009-03-30,7,1,18,1,7,4,0,81,8,1020,21.25,7,3,3,116,113,113,0,1,13,météo très défavorable
2009-03-31,9,4,17,5,9,7,0.2,93,10,1022,73.625,10,7,4,122,119,122,0,1,8.1,météo très défavorable
2009-04-01,10,4,6,6,9,4,0.1,94,8,1027,54.25,11,7,7,143,119,113,0,1,10.7,météo très défavorable
2009-04-02,10,3,11,3,9,4,0,74,8,1029,2,11,6,7,113,113,113,0,1,13.1,météo très défavorable
2009-04-03,12,1,5,4,12,5,0,64,10,1024,3.25,14,7,12,113,113,113,0,1,13.2,météo très défavorable
2009-04-04,15,3,9,5,14,10,0,71,10,1017,7.25,16,10,14,113,113,113,0,1,13.2,météo correcte
2009-04-05,10,5,19,7,9,7,0.1,88,10,1022,56.25,10,6,4,122,119,113,0,1,10.8,météo très défavorable
2009-04-06,11,3,5,5,11,6,0,69,10,1022,21.75,13,6,10,113,113,113,0,1,13.7,météo très défavorable
2009-04-07,12,7,26,7,12,8,0,72,10,1015,45.625,12,6,8,116,116,113,0,1,13.8,météo défavorable
2009-04-08,13,7,14,8,13,10,1.4,84,8.75,1012,35.25,14,9,10,116,113,143,0,1,13.3,météo correcte
2009-04-09,13,7,15,7,13,8,0,82,7,1018,24.5,14,8,10,143,113,113,0,1,13.8,météo correcte
2009-04-10,13,6,20,8,13,8,0,67,10,1018,3.625,13,6,10,113,113,113,0,1,13.9,météo correcte
2009-04-11,12,6,22,8,12,8,0,71,10,1017,1,12,7,9,113,113,113,0,1,13.9,météo défavorable
2009-04-12,12,6,15,8,12,9,0,71,10,1017,4.5,13,7,10,113,113,113,0,1,14,météo défavorable
2009-04-13,13,6,16,7,13,9,0,75,8,1015,21.25,13,8,11,113,113,116,0,1,14,météo correcte
2009-04-14,15,7,10,8,15,11,0,77,10,1014,49.5,15,10,13,116,119,116,0,1,11.1,météo correcte
2009-04-15,13,7,23,8,13,9,0,73,10,1021,32.5,13,7,9,116,116,113,0,1,14.1,météo correcte
2009-04-16,12,5,24,6,12,7,0,76,10,1020,21.625,12,7,8,113,116,113,0,1,14.2,météo très défavorable
2009-04-17,12,4,14,4,11,8,0,55,10,1015,2.875,14,4,7,113,113,113,0,1,14.2,météo très défavorable
2009-04-18,12,4,11,8,12,7,0,60,10,1025,7.5,14,6,12,113,113,113,0,1,14.2,météo très défavorable
2009-04-19,9,3,15,4,8,5,0,61,10,1030,16,10,2,5,116,113,113,0,1,14.5,météo très défavorable
2009-04-20,14,1,6,6,14,8,0,60,10,1028,12.25,15,8,13,113,113,113,0,1,14.5,météo très défavorable
2009-04-21,11,5,17,6,11,8,0,71,10,1028,4.5,11,5,8,113,113,113,0,1,14.5,météo très défavorable
2009-04-22,10,3,13,7,9,9,0,78,9.875,1021,44.25,10,7,7,116,116,116,0,1,12.4,météo très défavorable
2009-04-23,15,4,6,7,15,8,0,55,10,1026,8,16,7,13,113,113,113,0,1,14.5,météo correcte
2009-04-24,15,4,10,10,15,10,0,56,10,1028,3.75,16,8,15,113,113,113,0,1,14.5,météo correcte
2009-04-25,14,6,24,10,14,11,0,56,10,1023,2,14,7,12,113,113,113,0,1,14.5,météo correcte
2009-04-26,18,9,13,12,18,14,0,67,10,1014,11,19,11,17,113,113,113,0,1,14.5,météo favorable
2009-04-27,18,11,20,12,17,13,0.1,66,10,1006,22.375,19,11,16,113,113,116,0,1,14.5,météo favorable
