DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-0,-1,52,-0,-0,0,0,72,10,1023,100,0,0,-9,122,122,122,0,1,0,météo très défavorable
2009-01-02,1,-0,46,1,1,1,0,80,10,1022,100,2,0,-7,122,122,122,0,1,0,météo très défavorable
2009-01-03,1,-0,31,-0,1,1,2.4,72,7.125,1016,96,1,0,-5,119,122,122,0.6,1,0,météo très défavorable
2009-01-04,2,1,46,2,1,1,1.6,71,5.25,1017,98.75,2,0,-6,122,122,122,0,1,0,météo très défavorable
2009-01-05,4,1,50,4,4,2,4.3,85,7.25,1013,100,4,1,-5,122,122,122,0,1,0,météo très défavorable
2009-01-06,1,-3,55,-1,-1,-3,0,77,10,1001,99,1,0,-13,122,122,122,0,1,0,météo très défavorable
2009-01-07,-0,-3,60,-2,-2,-1,0,77,10,1007,100,0,0,-11,122,122,122,0,1,0,météo très défavorable
2009-01-08,6,1,56,5,5,4,1.7,88,8.625,1000,100,7,5,-2,122,122,122,0,1,0,météo très défavorable
2009-01-09,8,3,54,3,5,8,0.8,88,8,1006,89.875,8,6,-2,119,122,122,0,2,0.4,météo très défavorable
2009-01-10,7,7,70,7,7,7,8.2,88,9,996,87.125,7,5,0,119,122,122,0,2,0.4,météo très défavorable
2009-01-11,8,6,68,8,7,7,4.3,80,9.375,982,89.875,8,5,0,200,119,122,0,2,0.4,météo très défavorable
2009-01-12,5,1,61,4,3,1,8.8,85,7.375,986,100,5,4,-7,122,122,122,0,1,0.4,météo très défavorable
2009-01-13,0,-1,48,0,-1,-1,0.2,76,7.75,999,100,1,0,-10,122,122,122,0,1,0.9,météo très défavorable
2009-01-14,-1,-2,38,-2,-2,-2,0.2,76,9.375,1019,100,0,0,-9,122,122,122,0.1,1,0.9,météo très défavorable
2009-01-15,2,-2,32,-0,2,2,0,75,10,1024,31.125,2,0,-6,113,113,116,0,1,3.8,météo très défavorable
2009-01-16,5,3,58,4,4,5,1,83,8.625,1021,71.25,5,2,-5,116,122,122,0,2,1,météo très défavorable
2009-01-17,5,3,48,5,3,3,0.4,84,9.25,1010,66.25,5,3,-3,122,122,113,0.1,1,3.4,météo très défavorable
2009-01-18,3,2,49,3,3,3,0,71,10,1003,31.625,3,0,-4,116,116,113,0,2,4.1,météo très défavorable
2009-01-19,5,3,46,5,4,4,0,67,10,996,65.5,5,0,-3,122,116,122,0,2,3.4,météo très défavorable
2009-01-20,5,3,41,3,3,5,0,65,10,996,47.125,5,0,-3,116,113,116,0,1,4.2,météo très défavorable
2009-01-21,6,2,61,3,6,6,5.9,81,7.875,992,97.25,6,3,-4,122,122,122,0,1,1.1,météo très défavorable
2009-01-22,7,6,35,7,6,6,2.3,84,10,998,30.75,7,4,1,116,113,113,0,2,4.4,météo très défavorable
2009-01-23,5,3,40,5,4,3,0,67,10,995,39.25,5,0,-3,113,119,122,0,2,1.1,météo très défavorable
2009-01-24,4,3,29,4,4,3,0,68,10,998,24.5,4,0,-2,116,116,113,0,2,5,météo très défavorable
2009-01-25,3,2,31,2,3,3,0.2,81,8.75,1003,66,3,0,-4,116,116,122,0,2,3.5,météo très défavorable
2009-01-26,3,2,18,3,3,3,0,74,10,1009,44.5,3,0,-1,119,113,113,0,1,5.6,météo très défavorable
2009-01-27,4,3,33,4,4,4,0,83,10,1010,55.875,4,1,-2,116,122,119,0,2,1.4,météo très défavorable
2009-01-28,6,3,46,3,3,4,1.1,88,8.875,1012,85.375,6,3,-3,122,122,122,0,2,1.4,météo très défavorable
2009-01-29,6,5,44,5,6,6,0.7,88,8.375,1020,74,6,5,-0,122,122,122,0,3,1.5,météo très défavorable
2009-01-30,7,6,46,6,6,7,0,79,10,1020,37.75,8,4,0,116,113,116,0,2,5.8,météo très défavorable
2009-01-31,8,7,53,8,7,8,0,77,10,1023,11.5,8,4,2,113,113,113,0,3,5.8,météo très défavorable
2009-02-01,7,7,43,7,7,7,0.4,87,8,1025,74.375,7,5,1,119,122,122,0,3,1.5,météo très défavorable
2009-02-02,7,5,37,6,6,6,2,89,7.875,1025,99.125,7,5,1,122,122,122,0,2,1.5,météo très défavorable
2009-02-03,5,2,30,3,2,2,0.8,75,8,1016,100,5,1,-3,122,122,122,0.4,1,1.6,météo très défavorable
2009-02-04,2,2,33,2,2,2,0.8,68,8.625,1002,37.75,2,0,-4,116,116,113,0.6,1,5.8,météo très défavorable
2009-02-05,2,-4,42,1,-2,-3,0.2,83,8.375,1000,82.375,2,0,-10,119,122,122,0.1,2,1.6,météo très défavorable
2009-02-06,-2,-4,29,-2,-3,-2,1.1,85,8.625,1000,84.25,0,0,-10,122,116,119,1,1,5.8,météo très défavorable
2009-02-07,-3,-3,25,-3,-3,-3,0,80,10,1000,93.875,0,0,-10,122,122,122,0,1,1.7,météo très défavorable
2009-02-08,-3,-4,35,-4,-3,-4,0.1,85,9,997,100,0,0,-11,122,122,122,0,1,1.8,météo très défavorable
2009-02-09,3,-3,39,-3,-3,2,4.4,88,6.75,984,100,3,0,-9,122,122,122,2.3,1,1.9,météo très défavorable
2009-02-10,4,2,56,3,3,4,7.4,78,5.75,990,97,4,0,-5,122,119,200,2.7,1,1.9,météo très défavorable
2009-02-11,3,2,16,3,3,3,5.5,72,7.875,1003,79.375,3,0,-1,116,122,116,4.6,1,1.9,météo très défavorable
2009-02-12,3,2,18,2,2,2,1.8,76,8.25,1009,60.75,3,0,-2,122,116,116,1.5,1,5.8,météo très défavorable
2009-02-13,4,3,50,3,3,4,2.4,73,6.5,1013,51.625,4,0,-4,122,116,113,0.9,1,5.8,météo très défavorable
2009-02-14,4,3,44,3,4,3,0.1,75,10,1018,43.75,4,0,-4,119,116,113,0.1,2,5.8,météo très défavorable
2009-02-15,3,2,13,3,2,2,0.5,74,9.25,1018,22.625,3,0,-1,116,113,113,0.4,2,5.8,météo très défavorable
2009-02-16,2,1,19,1,2,2,0,65,10,1020,11,2,0,-3,113,113,113,0,2,5.8,météo très défavorable
2009-02-17,2,1,39,1,1,2,0,76,10,1020,26,2,0,-6,113,113,113,0,2,5.8,météo très défavorable
2009-02-18,3,2,37,3,2,3,0,87,10,1022,98.875,3,1,-4,122,122,122,0,1,2.1,météo très défavorable
2009-02-19,1,-0,42,0,1,0,0,85,10,1022,62,1,0,-7,122,116,116,0,1,5.8,météo très défavorable
2009-02-20,6,-1,49,3,5,5,2.8,82,8.75,1012,94.75,6,4,-3,122,119,122,0,1,2.1,météo très défavorable
2009-02-21,6,5,73,5,5,5,4.3,91,9.5,1010,100,6,4,-3,122,122,122,0,2,2.1,météo très défavorable
2009-02-22,5,2,28,3,2,3,0.7,81,7.75,1003,94.375,5,3,-2,122,119,122,0.5,1,3.4,météo très défavorable
2009-02-23,5,2,70,5,3,3,0.4,85,10,1004,97.75,5,2,-5,122,122,122,0,1,3.4,météo très défavorable
2009-02-24,2,-0,56,1,0,-0,0.8,79,6.25,1006,100,2,0,-9,122,122,122,0,1,4.8,météo très défavorable
2009-02-25,3,2,47,3,2,2,1.3,70,7.125,1004,85.5,3,0,-4,119,119,122,0.1,1,6.5,météo très défavorable
2009-02-26,1,0,35,1,0,1,1.1,79,9.25,1001,93.25,1,0,-7,122,122,119,1,1,4.8,météo très défavorable
2009-02-27,1,0,28,1,0,1,0.6,79,8.625,1009,53.625,2,0,-6,122,116,113,0.5,1,9.8,météo très défavorable
2009-02-28,2,0,27,1,0,1,0,63,10,1014,19.375,2,0,-5,113,113,116,0,2,9.8,météo très défavorable
