DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-2,0,5,-5,-2,-4,0,82,10,1030,12.5,0,0,-5,113,113,116,0,1,8,météo très défavorable
2009-01-02,-0,0,14,-2,-0,-1,0,95,10,1030,48.875,0,0,-5,122,116,113,0,1,6.8,météo très défavorable
2009-01-03,-2,0,10,-4,-2,-3,0,68,10,1031,27.125,0,0,-6,113,116,116,0,1,8,météo très défavorable
2009-01-04,0,0,24,-2,0,-0,0,92,10,1025,81.625,0,0,-7,119,116,122,0,1,4.9,météo très défavorable
2009-01-05,-1,0,26,-1,-1,-4,0.7,95,7.75,1026,76,0,0,-9,260,122,116,0.6,1,3,météo très défavorable
2009-01-06,-6,0,14,-11,-7,-12,0,91,10,1027,2.625,0,0,-17,113,113,113,0,1,8.1,météo très défavorable
2009-01-07,-3,0,16,-10,-5,-3,0,97,6.75,1026,60.75,0,0,-13,116,116,143,0,1,4.9,météo très défavorable
2009-01-08,-5,0,10,-9,-6,-8,0,93,7,1032,11.5,0,0,-12,143,113,113,0,1,8.1,météo très défavorable
2009-01-09,-5,0,9,-9,-5,-9,0,83,10,1032,3.25,0,0,-11,113,113,113,0,1,8.1,météo très défavorable
2009-01-10,-4,0,11,-8,-4,-6,0,90,10,1031,0.375,0,0,-10,113,113,113,0,1,8.1,météo très défavorable
2009-01-11,-0,0,20,-6,-0,-1,0,84,10,1031,13.5,0,0,-10,116,113,113,0,1,8.2,météo très défavorable
2009-01-12,3,0,29,-0,3,3,0,85,10,1027,31.5,3,0,-6,113,116,116,0,1,6.8,météo très défavorable
2009-01-13,3,0,22,3,3,3,0.1,95,10,1016,99.625,3,3,-2,122,122,122,0,1,3.1,météo très défavorable
2009-01-14,3,0,15,2,3,2,0,99,2.75,1018,90.25,3,3,-1,248,248,248,0,1,3.1,météo très défavorable
2009-01-15,4,0,14,-1,4,0,0,91,9,1023,5.5,4,2,-4,113,113,113,0,1,8.3,météo très défavorable
2009-01-16,2,0,19,-1,2,2,0,86,10,1022,57.5,2,1,-5,116,122,119,0,1,5,météo très défavorable
2009-01-17,6,0,27,2,6,5,0,94,10,1020,38.75,6,4,-1,116,113,116,0,1,6.9,météo très défavorable
2009-01-18,6,0,33,6,5,4,0,96,10,1010,70.25,6,4,-1,122,122,116,0,1,3.3,météo très défavorable
2009-01-19,8,0,37,3,6,8,0.3,90,9.25,1005,71.25,8,6,-1,119,122,200,0,1,3.3,météo très défavorable
2009-01-20,5,0,22,2,5,3,0,90,10,1001,33.125,5,2,-3,116,113,113,0,1,8.7,météo très défavorable
2009-01-21,4,0,12,-0,4,2,0,96,7,1009,50,4,2,-3,143,116,143,0,1,6.9,météo très défavorable
2009-01-22,5,0,42,2,5,4,0.7,90,9,1008,58.25,5,3,-4,116,116,122,0,1,5.1,météo très défavorable
2009-01-23,7,0,47,4,7,4,0.6,94,8.875,989,93.5,7,6,-2,122,122,122,0,1,3.3,météo très défavorable
