DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,24,12,15,19,24,16,2.8,91,8.625,1014,21.5,26,17,17,113,116,113,0,1,12.6,météo favorable
2009-01-02,26,13,20,18,26,17,0,83,10,1015,16.375,26,16,17,113,113,113,0,1,12.6,météo favorable
2009-01-03,26,14,17,18,26,16,0.5,91,7.875,1015,25.125,26,16,17,113,113,116,0,1,12.6,météo favorable
2009-01-04,21,14,9,18,21,16,1.9,95,5.75,1015,46.75,24,16,16,116,116,143,0,1,12.6,météo favorable
2009-01-05,24,13,14,17,24,17,0.1,92,7.75,1014,35.625,25,16,17,113,116,113,0,1,12.6,météo favorable
2009-01-06,23,14,12,19,23,17,7.5,95,6.625,1013,37.25,25,17,17,113,116,143,0,1,12.6,météo favorable
2009-01-07,22,15,13,18,22,18,0,94,7,1013,40.25,25,17,18,116,116,122,0,1,12.2,météo favorable
2009-01-08,22,14,13,18,22,16,0,97,6,1014,38.875,25,18,16,113,116,143,0,1,12.2,météo favorable
2009-01-09,23,13,14,18,23,15,0,93,7,1015,35.75,25,17,16,116,116,113,0,1,11.6,météo favorable
2009-01-10,26,13,15,19,26,16,0,85,9,1015,12.125,26,17,17,113,113,113,0,1,11.6,météo favorable
2009-01-11,26,12,17,19,26,17,0,80,10,1015,10,26,16,18,113,113,113,0,1,11.6,météo favorable
2009-01-12,26,13,17,18,26,17,0,76,8,1015,18.875,26,16,18,113,113,113,0,1,11.6,météo favorable
2009-01-13,26,13,15,18,26,18,0,79,10,1015,12.25,26,15,18,113,113,113,0,1,11.6,météo favorable
2009-01-14,27,13,19,19,27,17,0.5,90,9.875,1015,15.25,27,17,17,113,113,113,0,1,11.6,météo favorable
2009-01-15,25,14,17,19,25,19,0,80,10,1014,25.25,26,16,19,113,116,116,0,1,11.6,météo favorable
2009-01-16,23,13,12,18,23,16,0.1,92,10,1013,33.5,25,16,17,116,116,113,0,1,11.6,météo favorable
2009-01-17,21,14,9,18,20,15,0,90,9,1014,30.5,25,15,16,116,116,113,0,1,11.6,météo favorable
2009-01-18,25,13,14,19,25,18,0,89,8,1013,33.125,26,16,18,116,116,116,0,1,11.6,météo favorable
2009-01-19,26,13,14,19,26,16,0,92,10,1012,27.625,26,17,17,116,116,116,0,1,11.6,météo favorable
2009-01-20,23,15,9,19,22,17,0.5,92,9.875,1013,37,25,17,17,113,116,116,0,1,11.6,météo favorable
2009-01-21,22,15,9,17,22,17,3.6,96,7.375,1014,50.625,25,17,17,119,116,143,0,1,11.6,météo favorable
2009-01-22,20,15,7,17,20,17,1.5,93,7.75,1015,52.875,21,17,17,116,116,116,0,1,11.6,météo favorable
2009-01-23,23,14,10,17,23,17,1.3,92,9,1014,37.625,25,17,17,113,119,116,0,1,10.2,météo correcte
2009-01-24,25,14,13,18,25,17,1.9,93,6.875,1014,28,26,17,17,113,116,116,0,1,11.6,météo favorable
2009-01-25,23,14,12,17,23,17,0.9,95,6.875,1015,37.5,25,18,18,116,200,143,0,1,11.6,météo correcte
2009-01-26,24,14,17,17,24,16,0.7,96,6.625,1016,37.125,26,17,17,116,113,143,0,1,11.6,météo favorable
2009-01-27,20,15,12,18,18,16,0.3,91,8.125,1015,45,20,17,17,113,119,113,0,1,10.2,météo correcte
2009-01-28,22,15,14,18,21,17,2.2,93,9.875,1015,38,25,17,17,116,116,116,0,1,11.6,météo favorable
2009-01-29,24,13,13,18,24,18,7.1,95,7.625,1015,38.875,26,18,18,116,116,143,0,1,11.6,météo favorable
2009-01-30,23,16,10,19,23,17,1.5,96,6,1014,43.75,25,18,18,116,116,143,0,1,10.2,météo favorable
2009-01-31,23,15,10,19,23,16,0.4,93,7.875,1013,33,25,17,17,113,116,113,0,1,11.6,météo favorable
2009-02-01,24,15,16,18,24,17,2.6,93,7.375,1014,49.375,26,17,17,116,116,116,0,1,11.6,météo favorable
2009-02-02,22,14,12,18,22,17,3.7,95,5.25,1015,52.25,25,18,18,116,200,143,0,1,10.2,météo correcte
2009-02-03,23,15,14,17,23,17,2.1,95,6,1015,37.375,25,17,18,113,116,143,0,1,11.6,météo favorable
2009-02-04,21,15,12,19,21,17,3,96,6.375,1015,60.5,24,17,17,116,116,143,0,1,10.2,météo correcte
2009-02-05,24,13,10,18,24,16,4.5,94,6.625,1016,34.25,26,18,17,116,116,116,0,1,11.6,météo favorable
2009-02-06,22,14,3,18,22,17,1,96,5.875,1015,40.5,25,18,18,113,116,143,0,1,10.2,météo favorable
2009-02-07,23,16,8,19,23,18,16.6,93,7.125,1013,57.625,26,18,18,116,116,119,0,1,10.2,météo très défavorable
2009-02-08,23,16,8,16,23,17,3.6,92,8.625,1014,32.25,25,17,17,116,116,116,0,1,11.6,météo favorable
2009-02-09,22,16,9,18,22,18,3.4,95,6.625,1016,48.25,25,18,18,113,200,143,0,1,11.6,météo correcte
2009-02-10,19,16,7,18,17,16,4.1,95,5.75,1016,52,19,17,17,116,119,143,0,1,8.8,météo correcte
2009-02-11,22,14,12,17,22,17,0,95,6,1016,44.875,24,17,17,116,116,143,0,1,10.2,météo favorable
2009-02-12,21,14,14,18,21,16,1.5,96,5.875,1014,39.125,21,18,17,116,116,143,0,1,11.6,météo favorable
2009-02-13,21,14,13,18,21,15,0,95,6,1014,28.75,24,17,16,116,116,143,0,1,11.6,météo favorable
2009-02-14,22,13,14,17,22,15,0,93,10,1014,29.125,25,17,16,119,116,113,0,1,11.6,météo favorable
2009-02-15,24,13,14,18,24,15,0,91,10,1013,28.875,25,16,16,116,116,113,0,1,11.6,météo favorable
2009-02-16,24,13,13,18,24,16,0.1,90,10,1013,26,26,16,17,116,116,113,0,1,11.6,météo favorable
2009-02-17,22,15,10,18,22,17,1.7,96,6.75,1013,55.625,25,18,18,113,119,143,0,1,10.2,météo correcte
2009-02-18,21,14,13,17,21,16,4,95,6.625,1013,41.75,24,17,16,116,116,143,0,1,10.2,météo favorable
2009-02-19,23,14,12,17,23,16,1.9,94,9,1012,39.375,25,18,17,116,116,143,0,1,11.6,météo favorable
2009-02-20,24,13,15,18,24,16,0.9,96,5.875,1013,22.75,25,17,16,113,116,143,0,1,11.6,météo favorable
2009-02-21,22,14,14,18,22,16,1.5,95,7.875,1013,32.125,25,18,16,116,116,143,0,1,11.6,météo favorable
2009-02-22,24,14,14,18,24,17,0.3,91,10,1012,32.5,26,17,18,113,116,116,0,1,11.6,météo favorable
2009-02-23,21,16,8,18,21,17,8.6,96,6.875,1012,54.375,24,18,17,116,116,143,0,1,11.6,météo correcte
2009-02-24,23,15,12,17,23,17,0,96,5.75,1013,35.625,25,18,17,113,200,143,0,1,11.6,météo correcte
2009-02-25,21,13,11,17,18,14,0,93,8,1014,35,24,17,14,116,122,113,0,1,10.2,météo correcte
2009-02-26,23,14,12,17,23,16,0,91,8,1014,29,25,16,17,119,116,113,0,1,11.6,météo favorable
2009-02-27,23,14,11,16,23,16,0,92,8,1014,38.75,25,17,17,119,116,113,0,1,10.2,météo favorable
2009-02-28,23,13,13,18,23,15,1.3,93,7.75,1014,27.25,25,17,16,116,116,113,0,1,11.6,météo favorable
2009-03-01,23,13,16,18,23,16,0.4,93,8.875,1015,30.875,25,17,17,119,116,113,0,1,11.6,météo favorable
2009-03-02,25,15,17,19,25,16,1.2,94,6.875,1015,30,26,18,17,116,116,143,0,1,11.6,météo favorable
2009-03-03,21,14,8,18,21,16,0,95,7,1015,34,24,18,17,116,116,143,0,1,11.6,météo favorable
2009-03-04,24,13,11,18,24,18,0,89,8,1015,31.5,25,16,18,113,116,116,0,1,11.6,météo favorable
2009-03-05,24,15,13,20,24,17,3.4,94,7.625,1014,33.625,25,18,18,113,116,143,0,1,11.6,météo favorable
2009-03-06,22,14,14,19,22,17,1.8,96,7,1013,29.75,25,18,18,113,116,143,0,1,11.6,météo favorable
2009-03-07,21,14,11,17,21,16,0,93,7,1014,30.25,24,17,17,116,116,113,0,1,11.6,météo favorable
