DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,10,3,14,4,10,7,0.2,61,9.375,1019,55.75,10,1,1,263,116,116,0,1,7,météo très défavorable
2009-01-02,6,-1,20,6,4,1,4.8,91,9.625,1018,48.875,6,5,-1,116,293,116,0,1,7,météo très défavorable
2009-01-03,3,-3,10,-3,3,-2,0,57,10,1024,5.75,3,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,3,-3,9,-3,3,-2,0,51,10,1026,26,3,0,-4,113,116,116,0,1,8.7,météo très défavorable
2009-01-05,5,-2,10,-2,5,-0,0,40,10,1024,9,5,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-06,5,-2,10,-2,5,-0,0,39,10,1020,11.75,5,0,-4,116,113,113,0,1,8.7,météo très défavorable
2009-01-07,8,-1,11,-1,8,1,0,35,10,1022,13.125,8,0,-4,113,113,113,0,1,8.7,météo très défavorable
2009-01-08,7,-1,12,-1,7,1,0,39,10,1021,4.625,7,0,-4,113,113,113,0,1,8.7,météo très défavorable
2009-01-09,6,-2,11,-2,6,1,0,50,10,1024,8.75,6,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,6,-1,12,-1,6,2,0.2,54,9,1023,36.625,6,0,-4,113,116,266,0,1,7,météo très défavorable
2009-01-11,5,-1,16,-1,5,1,0.2,92,9.625,1023,31.75,5,0,-3,116,113,113,0.2,1,8.7,météo très défavorable
2009-01-12,5,-2,7,-2,5,2,0.8,70,9.875,1026,33.625,5,0,-2,113,113,293,0,1,7,météo très défavorable
2009-01-13,3,-2,12,-2,3,0,0.1,73,10,1032,24.625,3,0,-6,116,116,113,0,1,8.7,météo très défavorable
2009-01-14,3,-3,10,-3,3,-1,0,65,10,1037,17,3,0,-6,113,113,116,0,1,8.7,météo très défavorable
2009-01-15,4,-2,8,-2,4,0,0,64,10,1035,18,4,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,5,-2,10,-2,5,0,0,58,10,1030,8.25,5,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-17,6,-2,12,-2,6,1,0,65,10,1025,6,6,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-18,7,-1,12,-1,7,1,0,74,10,1023,1.75,7,0,-3,113,113,113,0,1,8.7,météo très défavorable
2009-01-19,8,-1,10,-1,8,2,0,52,10,1024,36.125,8,0,-3,116,119,113,0,1,5.4,météo très défavorable
2009-01-20,4,1,11,2,4,2,0.4,59,9.375,1021,59.75,4,0,-2,122,263,116,0,1,7.1,météo très défavorable
2009-01-21,9,-0,11,0,9,5,0,84,10,1022,22.625,9,0,-3,113,113,116,0,1,8.7,météo très défavorable
2009-01-22,6,3,13,3,6,4,0.3,73,9,1025,70.875,6,0,1,266,116,119,0,1,7.1,météo très défavorable
2009-01-23,7,0,30,1,7,3,0.1,76,10,1026,53.875,7,0,-3,119,116,116,0,1,8.7,météo très défavorable
2009-01-24,7,-1,20,-1,7,3,0,64,10,1025,33.5,7,0,-6,113,116,116,0,1,8.7,météo très défavorable
2009-01-25,4,2,13,2,3,3,0,88,10,1018,55.5,4,0,-1,116,122,116,0,1,7.1,météo très défavorable
2009-01-26,7,1,15,1,6,4,0,92,10,1019,29.75,7,0,-2,116,116,113,0,1,8.7,météo très défavorable
2009-01-27,8,1,12,1,8,4,0,70,10,1019,37.75,8,0,-2,116,116,116,0,1,7.1,météo très défavorable
2009-01-28,9,2,10,3,9,5,0,69,10,1019,43,9,0,0,116,116,116,0,1,8.7,météo très défavorable
2009-01-29,8,-0,12,-0,7,4,0,95,8,1021,20,8,0,-1,143,113,113,0,1,8.7,météo très défavorable
2009-01-30,12,1,12,1,11,7,0,85,10,1020,10.875,12,0,-2,113,113,116,0,1,8.7,météo très défavorable
2009-01-31,13,5,16,5,13,9,0.2,64,9.875,1016,28.875,13,3,2,176,113,113,0,1,8.7,météo correcte
2009-02-01,14,5,15,5,14,9,0,86,9.875,1015,25.625,14,5,3,113,113,200,0,1,8.7,météo correcte
2009-02-02,7,1,34,6,4,2,4.8,93,9.5,1021,64.25,7,5,-3,302,296,116,0,1,5.6,météo très défavorable
2009-02-03,3,-1,10,-1,3,0,0,85,10,1024,68.5,3,0,-3,113,119,119,0,1,4,météo très défavorable
2009-02-04,4,-1,15,-1,4,1,0.2,86,9.375,1032,54.5,4,0,-4,332,116,113,0.2,1,8.7,météo très défavorable
2009-02-05,4,-2,12,-2,4,-0,0,75,10,1033,14,4,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-02-06,7,-2,14,-2,7,3,0,58,10,1025,16.375,7,0,-5,113,113,116,0,1,8.7,météo très défavorable
2009-02-07,11,-0,13,0,10,7,0,62,10,1020,15.375,11,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-02-08,7,2,10,2,7,5,0,66,10,1019,52.125,7,2,-1,116,119,116,0,1,5.6,météo très défavorable
2009-02-09,10,4,21,4,10,6,1.4,94,9.5,1020,45.25,10,3,2,200,113,113,0,1,7.2,météo très défavorable
2009-02-10,12,3,8,3,10,8,0,85,10,1019,21.375,12,2,0,113,113,113,0,1,8.7,météo très défavorable
2009-02-11,11,6,28,7,8,8,1.2,76,9.875,1010,38.125,11,5,3,116,176,113,0,1,7.2,météo défavorable
2009-02-12,7,1,18,3,5,3,2,80,8.625,1015,44.125,7,1,0,293,263,116,0,1,8.7,météo très défavorable
2009-02-13,7,0,12,0,5,5,0,88,10,1019,36,7,1,0,116,116,113,0,1,8.7,météo très défavorable
2009-02-14,12,1,9,1,11,7,0,89,10,1019,11.875,12,1,1,113,113,113,0,1,8.7,météo très défavorable
2009-02-15,13,2,9,2,13,8,0,69,10,1017,17.125,13,0,-0,116,116,113,0,1,8.7,météo correcte
2009-02-16,14,6,15,6,14,10,0.2,68,9.75,1016,31.375,15,2,5,116,176,113,0,1,8.7,météo correcte
2009-02-17,15,5,12,5,15,11,0,54,10,1017,26.25,15,2,3,113,116,116,0,1,8.7,météo correcte
2009-02-18,12,5,20,7,12,8,0.6,75,10,1015,19.625,12,5,5,113,386,113,0,1,8.7,météo très défavorable
