DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,24,12,8,12,24,16,0,37,10,1018,19.5,24,4,17,113,113,116,0,1,8.7,météo favorable
2009-01-02,24,12,10,13,24,17,0,32,10,1017,18.625,24,3,18,116,113,113,0,1,8.7,météo favorable
2009-01-03,24,12,8,13,24,17,0,33,10,1016,13,24,3,18,113,113,113,0,1,8.7,météo favorable
2009-01-04,21,14,13,14,21,17,0,41,10,1016,14.125,23,5,18,116,113,113,0,1,8.7,météo favorable
2009-01-05,21,12,17,12,21,16,0,42,10,1017,1.375,24,7,16,113,113,113,0,1,8.7,météo favorable
2009-01-06,21,10,8,11,21,15,0,37,10,1017,0,24,5,17,113,113,113,0,1,8.7,météo favorable
2009-01-07,22,9,9,11,22,15,0,30,10,1021,0,24,3,17,113,113,113,0,1,8.7,météo favorable
2009-01-08,21,10,7,11,21,15,0,37,10,1024,0.875,24,3,17,113,113,113,0,1,8.7,météo favorable
2009-01-09,22,11,10,11,22,15,0,32,10,1023,9.375,23,1,16,113,113,113,0,1,8.7,météo favorable
2009-01-10,22,11,14,11,22,15,0,32,10,1024,1.375,23,2,16,113,113,113,0,1,8.7,météo favorable
2009-01-11,21,10,5,11,21,14,0,28,10,1023,28,22,0,16,116,119,113,0,1,5.5,météo correcte
2009-01-12,23,11,4,11,23,15,0,28,10,1024,3.875,23,0,17,113,113,113,0,1,8.7,météo favorable
2009-01-13,24,12,10,12,24,17,0,25,10,1024,9.125,23,0,17,113,113,113,0,1,8.7,météo favorable
2009-01-14,23,12,17,12,23,17,0,35,10,1024,5,24,4,17,113,113,113,0,1,8.7,météo favorable
2009-01-15,20,12,18,13,19,15,1.3,66,9.875,1022,44.125,20,11,15,113,116,293,0,1,7.1,météo favorable
2009-01-16,14,13,12,14,14,14,6.5,89,9.375,1021,70.5,15,12,13,293,302,293,0,1,3.9,météo défavorable
2009-01-17,20,12,12,12,20,16,0,76,8,1022,41.625,20,13,16,116,113,116,0,1,8.7,météo favorable
2009-01-18,22,14,15,14,22,16,0.1,42,10,1020,12.5,23,13,17,113,113,113,0,1,8.7,météo favorable
2009-01-19,21,11,15,11,21,16,0,56,10,1022,7.5,21,9,16,113,113,113,0,1,8.7,météo favorable
2009-01-20,22,11,8,12,22,15,0,42,10,1022,40.625,23,5,16,116,116,116,0,1,8.7,météo favorable
2009-01-21,24,12,10,13,24,19,0,32,10,1019,21.5,24,3,19,113,116,116,0,1,8.7,météo favorable
2009-01-22,23,15,9,15,23,19,0,36,10,1017,28.625,24,4,19,116,116,116,0,1,8.7,météo favorable
