DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,12,11,16,8,11,11,3.7,97,7.625,1019,82.5,12,11,10,119,353,353,,,,météo défavorable
2009-01-01,12,11,16,8,11,11,3.7,97,7.625,1019,82.5,12,11,10,119,353,353,,,,météo défavorable
2009-01-02,10,10,13,8,10,10,7.3,95,4,1019,91.875,10,10,8,248,263,302,,,,météo défavorable
2009-01-03,12,9,10,10,12,9,19.6,97,8.75,1018,81.75,12,11,7,356,353,353,,,,météo très défavorable
2009-01-04,9,5,13,2,7,5,0,94,5.5,1022,43.25,9,5,2,143,113,116,,,,météo très défavorable
2009-01-05,7,5,8,4,7,5,0.6,89,5.5,1021,77.375,7,4,3,143,266,119,,,,météo très défavorable
2009-01-06,6,3,15,1,6,3,0.9,89,6.375,1019,46.625,6,4,0,143,266,116,,,,météo très défavorable
2009-01-07,4,3,23,-1,3,3,1.2,82,10,1022,48,4,0,-2,323,326,113,,,,météo très défavorable
2009-01-08,6,2,20,-2,6,2,0,84,9,1023,4.125,6,0,-2,113,113,113,,,,météo très défavorable
2009-01-09,5,-1,5,0,5,-1,2,93,8.25,1022,44,5,1,-1,332,182,116,,,,météo très défavorable
2009-01-10,9,3,15,-1,8,3,0,90,10,1027,14.625,9,3,1,113,116,113,,,,météo très défavorable
2009-01-11,9,3,13,0,8,3,0,71,10,1030,4.375,9,0,-1,113,113,113,,,,météo très défavorable
2009-01-12,8,6,25,3,8,6,4.4,92,9.5,1029,43.875,8,5,2,113,116,296,,,,météo très défavorable
2009-01-13,9,6,9,7,9,6,25.9,95,7.5,1024,74.5,9,8,6,308,353,353,,,,météo très défavorable
2009-01-14,9,7,26,2,8,7,0.2,88,7,1023,51.25,9,6,3,143,116,122,,,,météo défavorable
2009-01-15,8,7,13,3,7,7,17,98,7.625,1017,88.125,8,7,4,296,302,302,,,,météo très défavorable
2009-01-16,10,5,13,2,9,5,0.3,93,6.125,1022,47.75,10,7,3,248,113,113,,,,météo très défavorable
2009-01-17,11,9,24,6,10,9,4.7,96,8.625,1024,63.125,11,9,5,296,113,266,,,,météo défavorable
2009-01-18,12,12,28,9,12,12,30.2,95,7,1020,87.75,12,11,9,308,293,266,,,,météo très défavorable
2009-01-19,12,5,28,10,8,5,32.1,96,7.625,1010,78.25,12,11,1,308,356,299,,,,météo très défavorable
2009-01-20,5,3,20,2,4,4,26.4,97,7.75,1013,77.5,5,4,-1,365,365,356,,,,météo très défavorable
2009-01-21,8,5,24,4,6,7,11.5,99,7.375,1018,95.75,8,8,2,353,296,296,,,,météo très défavorable
2009-01-22,14,12,33,12,13,14,49.8,99,6.875,1010,100,14,14,10,308,302,389,,,,météo très défavorable
2009-01-23,14,12,47,13,12,12,112.5,99,5.25,1006,99.125,14,14,8,308,308,308,,,,météo très défavorable
2009-01-24,10,8,28,6,10,10,16,91,8.875,1013,70.875,10,8,5,356,353,176,,,,météo très défavorable
2009-01-25,9,4,29,6,5,4,50.4,98,7.25,1004,94.625,9,9,-1,308,356,356,,,,météo très défavorable
2009-01-26,8,6,14,4,8,8,13.7,98,8.25,1019,84.75,8,8,3,356,353,353,,,,météo très défavorable
2009-01-27,11,9,21,7,11,11,19.4,99,5.5,1020,100,11,11,7,266,296,302,,,,météo très défavorable
2009-01-28,12,11,13,10,12,12,26.7,99,7,1018,100,12,12,10,356,296,302,,,,météo très défavorable
2009-01-29,12,11,28,11,12,12,36.1,98,6.375,1013,100,12,12,9,359,302,302,,,,météo très défavorable
2009-01-30,11,9,30,7,11,11,21.1,98,5.5,1007,98.25,11,11,5,266,266,308,,,,météo très défavorable
2009-01-31,8,6,24,5,7,7,20,96,8.125,1008,52.125,8,6,4,293,113,263,,,,météo très défavorable
2009-02-01,10,6,18,6,8,6,10.3,94,7,992,58.375,10,7,2,176,296,263,,,,météo défavorable
2009-02-02,7,5,22,4,7,7,2.4,96,3.75,1001,96.75,7,6,1,266,266,266,,,,météo très défavorable
2009-02-03,7,3,29,2,7,6,7.6,96,9.125,1001,75.25,7,7,0,113,122,302,,,,météo très défavorable
2009-02-04,7,6,34,5,7,7,29.4,96,7.625,992,91.875,7,7,1,356,356,359,,,,météo très défavorable
2009-02-05,7,4,25,3,6,6,23.2,100,7.875,996,87.625,7,6,0,356,353,359,,,,météo très défavorable
2009-02-06,5,3,23,2,5,3,13.1,92,7.75,1006,54.625,5,3,-1,371,176,362,,,,météo très défavorable
2009-02-07,7,4,15,3,7,4,3.1,94,7.25,1014,63.25,7,4,2,263,176,353,,,,météo très défavorable
2009-02-08,11,7,24,5,10,11,25.1,99,8,1015,96.625,11,11,3,296,302,308,,,,météo très défavorable
2009-02-09,12,9,45,8,11,11,42.4,98,6.5,1015,100,12,11,5,296,302,308,,,,météo très défavorable
2009-02-10,10,6,20,6,9,6,7.3,91,9.5,1031,52.125,10,7,4,353,176,116,,,,météo défavorable
2009-02-11,10,8,11,7,10,8,0.3,92,5.75,1032,75.5,10,7,7,266,116,116,,,,météo défavorable
2009-02-12,12,8,21,7,12,8,0.2,94,5.25,1029,56.5,12,8,5,248,116,116,,,,météo défavorable
2009-02-13,15,6,10,4,14,7,0,91,8,1024,6.125,15,7,4,113,113,113,,,,météo correcte
2009-02-14,15,7,8,4,14,8,0,89,9,1021,19,15,6,5,113,116,113,,,,météo correcte
2009-02-15,14,6,13,4,13,7,0,83,9,1021,5.5,14,5,3,113,113,113,,,,météo correcte
2009-02-16,15,7,9,3,15,8,0,84,10,1024,7,15,6,5,113,113,113,,,,météo correcte
2009-02-17,15,5,11,3,13,8,0,89,10,1025,24.875,15,6,3,116,116,113,,,,météo correcte
2009-02-18,15,7,11,4,14,9,0,85,9,1026,8,15,7,6,113,113,113,,,,météo correcte
2009-02-19,13,5,17,3,11,9,0,89,7,1023,17.125,13,6,2,143,113,113,,,,météo correcte
2009-02-20,13,6,18,3,13,9,0,75,10,1024,6.25,13,5,4,113,113,113,,,,météo correcte
2009-02-21,16,7,9,4,16,10,0,81,10,1033,4.25,16,8,6,113,113,113,,,,météo correcte
2009-02-22,15,7,15,4,13,10,0,79,10,1034,4.125,15,7,4,113,113,113,,,,météo correcte
2009-02-23,16,7,16,5,13,11,0,77,10,1029,7.625,16,7,4,113,113,113,,,,météo correcte
2009-02-24,18,9,8,5,18,12,0,90,10,1020,1.75,18,10,8,113,113,113,,,,météo favorable
2009-02-25,18,9,9,6,18,12,0,90,9,1024,0.375,18,11,8,143,113,113,,,,météo favorable
2009-02-26,21,12,9,7,21,13,0,84,9,1025,3,24,12,11,113,113,113,,,,météo favorable
2009-02-27,20,12,8,8,19,13,0,78,10,1022,2.5,20,10,11,113,113,113,,,,météo favorable
2009-02-28,14,9,12,6,14,9,0.1,89,8.75,1014,45.75,14,8,8,116,113,119,,,,météo correcte
2009-03-01,10,7,16,5,9,9,4.9,94,6,1018,89.25,10,8,6,266,353,353,,,,météo défavorable
2009-03-02,11,7,23,4,11,7,0.1,90,7,1023,32.875,11,5,4,143,116,113,,,,météo défavorable
2009-03-03,11,7,12,2,11,7,1.2,91,7.875,1023,48.25,11,7,5,143,119,122,,,,météo défavorable
2009-03-04,9,6,31,5,8,8,39.1,98,7,1008,100,9,9,2,308,302,302,,,,météo très défavorable
2009-03-05,8,6,27,5,8,8,22.6,96,8.375,1015,97.5,8,7,2,356,356,353,,,,météo très défavorable
2009-03-06,11,8,18,7,10,10,22.1,99,6.875,1021,100,11,11,6,302,302,302,,,,météo très défavorable
2009-03-07,13,10,10,8,12,12,3.8,99,4.5,1025,99,13,12,9,266,296,266,,,,météo défavorable
2009-03-08,10,9,14,9,10,9,1.6,94,3.875,1024,76,10,9,7,266,266,263,,,,météo défavorable
2009-03-09,15,7,14,3,13,10,0,85,9,1025,12.875,15,6,5,143,113,113,,,,météo correcte
2009-03-10,15,9,12,3,15,11,0,73,9,1025,5.625,15,6,8,113,113,113,,,,météo correcte
2009-03-11,19,9,9,3,18,13,0,75,10,1026,12.75,19,9,7,113,113,113,,,,météo favorable
2009-03-12,21,12,9,7,21,16,0,77,10,1023,2.25,24,12,11,113,113,113,,,,météo favorable
2009-03-13,19,14,13,8,19,14,0,75,10,1022,2,19,9,13,113,113,113,,,,météo favorable
2009-03-14,16,11,14,5,15,13,0,86,10,1025,36.375,16,10,10,113,116,116,,,,météo correcte
2009-03-15,21,12,14,9,19,16,0,83,10,1025,21.625,24,12,11,116,113,113,,,,météo favorable
2009-03-16,25,15,9,10,25,18,0,74,10,1023,1.5,26,14,15,113,113,113,,,,météo idéale
2009-03-17,22,16,10,11,22,17,0,75,10,1021,2.25,24,13,16,113,113,113,,,,météo favorable
2009-03-18,22,15,10,10,22,17,0,68,10,1021,1,24,11,15,113,113,113,,,,météo favorable
2009-03-19,21,14,9,9,21,15,0,69,10,1018,0.25,24,10,14,113,113,113,,,,météo favorable
2009-03-20,20,16,10,8,20,16,0,75,10,1021,1.375,20,11,16,113,113,113,,,,météo favorable
2009-03-21,20,11,20,5,18,15,0,75,7,1022,11.75,20,7,10,143,113,113,,,,météo favorable
2009-03-22,17,10,23,6,15,13,0,58,10,1026,0.125,17,5,7,113,113,113,,,,météo correcte
2009-03-23,20,10,14,6,18,15,0,60,10,1025,14.75,20,7,9,113,113,116,,,,météo favorable
2009-03-24,18,11,22,7,17,13,0,65,10,1021,11.375,18,7,9,113,113,113,,,,météo favorable
2009-03-25,16,10,20,5,15,12,0,59,10,1020,8.25,16,4,7,113,113,116,,,,météo correcte
2009-03-26,17,11,15,5,17,12,0,66,10,1020,6.5,17,6,10,113,113,113,,,,météo correcte
2009-03-27,15,10,14,4,13,12,0.8,87,6,1018,38.375,15,9,10,143,116,119,,,,météo correcte
2009-03-28,9,6,23,5,9,6,5.2,86,7.5,1013,76.125,9,7,3,263,353,353,,,,météo défavorable
2009-03-29,9,6,19,5,8,8,2,82,10,1018,82.875,9,5,3,353,353,116,,,,météo défavorable
2009-03-30,13,8,17,3,12,10,0,68,9,1019,12.25,13,3,7,143,113,113,,,,météo correcte
2009-03-31,14,8,18,2,14,10,0,58,10,1019,7.5,14,1,5,113,113,113,,,,météo correcte
2009-04-01,16,9,12,1,16,12,0,64,10,1019,18.75,16,5,7,113,113,113,,,,météo correcte
2009-04-02,15,11,14,3,14,11,0,71,7,1020,1.75,15,6,10,143,113,113,,,,météo correcte
2009-04-03,16,10,12,-1,16,12,0.2,69,5.75,1022,44.5,16,7,10,143,116,116,,,,météo correcte
2009-04-04,15,11,12,10,15,13,2.8,94,7.75,1025,67.25,15,10,10,296,353,116,,,,météo défavorable
2009-04-05,19,8,14,5,19,12,0.3,89,6.25,1025,61.625,19,9,8,248,113,116,,,,météo correcte
2009-04-06,9,9,17,6,9,9,15.3,98,8.75,1017,60.125,9,9,6,302,302,176,,,,météo défavorable
2009-04-07,11,9,15,5,11,10,2.8,81,9,1021,60.375,11,6,8,353,353,119,,,,météo défavorable
2009-04-08,15,10,17,7,13,12,0.5,91,6,1021,75.75,15,8,8,266,119,116,,,,météo défavorable
2009-04-09,10,9,23,6,9,9,15.4,97,6.25,1015,92.25,10,9,6,119,302,356,,,,météo défavorable
2009-04-10,8,6,16,4,8,7,19.6,97,8.875,1012,72.5,8,6,4,356,353,353,,,,météo très défavorable
2009-04-11,12,7,17,4,9,8,4.5,96,7.375,1018,82,12,7,6,353,263,353,,,,météo défavorable
2009-04-12,15,9,7,7,12,12,0.7,83,8,1019,57.5,15,6,8,266,119,113,,,,météo correcte
2009-04-13,11,9,13,9,10,9,9.6,99,6.375,1017,80.5,11,10,7,296,302,353,,,,météo défavorable
2009-04-14,10,8,18,5,10,9,3.8,90,7.625,1011,73,10,7,6,248,353,353,,,,météo défavorable
2009-04-15,12,6,18,4,10,9,3.7,94,6.5,1005,86.125,12,8,3,248,266,353,,,,météo défavorable
2009-04-16,10,8,14,6,9,9,16.6,96,8.875,1013,81.125,10,9,6,353,356,356,,,,météo très défavorable
2009-04-17,12,10,13,8,12,10,16.6,95,8.875,1015,83.875,12,10,8,356,356,356,,,,météo très défavorable
2009-04-18,13,11,10,9,13,11,13.2,94,9.125,1017,73,13,10,10,356,356,353,,,,météo défavorable
2009-04-19,17,10,12,4,17,12,1.1,88,7.375,1026,36.625,17,8,9,248,113,113,,,,météo correcte
2009-04-20,18,13,12,7,17,14,0,60,10,1027,15.25,18,7,13,113,113,113,,,,météo favorable
2009-04-21,19,12,15,5,18,16,0,68,10,1029,3.875,19,10,11,113,113,113,,,,météo favorable
2009-04-22,23,15,10,6,23,18,0,65,10,1027,17.375,24,12,15,113,116,113,,,,météo favorable
2009-04-23,23,17,16,9,23,17,0,64,9,1022,19.75,24,10,17,113,113,116,,,,météo favorable
2009-04-24,12,9,14,6,10,11,2.4,97,5.625,1017,40.875,12,9,8,248,293,113,,,,météo défavorable
2009-04-25,11,9,12,1,11,9,3.4,80,6,1017,70.5,11,5,7,248,353,353,,,,météo défavorable
2009-04-26,11,9,17,1,11,9,0.3,76,7.375,1019,79,11,6,8,248,119,119,,,,météo défavorable
