DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,6,0,22,4,5,6,0.5,76,9,1025,57.875,6,2,1,116,119,116,0,1,2.1,météo très défavorable
2009-01-02,6,0,37,5,6,3,0,71,10,1026,25,6,2,0,116,113,113,0,1,5.8,météo très défavorable
2009-01-03,5,0,30,3,5,3,0,70,10,1026,0.375,5,0,-0,113,113,113,0,1,5.8,météo très défavorable
2009-01-04,4,0,7,-0,4,2,0,62,10,1027,32.75,4,1,3,116,116,116,0,1,5.8,météo très défavorable
2009-01-05,7,0,25,6,6,5,0.9,87,8.875,1022,84,7,5,1,122,119,119,0,1,2.1,météo très défavorable
2009-01-06,4,0,28,4,3,2,0.6,72,6.75,1025,67.5,4,1,-2,122,119,116,0.3,1,3.9,météo très défavorable
2009-01-07,5,0,22,1,4,4,0.1,72,10,1028,44.125,5,3,0,116,113,122,0,1,5.8,météo très défavorable
2009-01-08,7,0,21,5,6,6,0.3,83,10,1029,75.375,7,4,3,122,122,116,0,1,2.1,météo très défavorable
2009-01-09,4,0,7,-2,3,2,0,61,10,1027,0.25,4,0,1,113,113,113,0,1,5.8,météo très défavorable
2009-01-10,7,0,11,2,6,5,0,50,10,1028,11.875,7,0,4,113,113,113,0,1,5.8,météo très défavorable
2009-01-11,10,0,44,7,10,9,0,80,10,1028,19.25,10,6,6,113,116,116,0,1,5.8,météo très défavorable
2009-01-12,12,0,44,9,10,11,3.9,91,9.25,1021,58,12,10,6,119,200,116,0,1,2.1,météo très défavorable
2009-01-13,10,0,26,9,10,8,0.5,83,9.875,1016,27.875,10,9,7,113,116,113,0,1,5.8,météo très défavorable
2009-01-14,11,0,28,6,9,8,0.2,87,10,1016,48.625,11,7,6,116,119,116,0,1,4,météo très défavorable
2009-01-15,9,0,37,9,9,9,0.3,78,9,1012,72.875,10,8,5,116,116,122,0,1,4,météo très défavorable
2009-01-16,11,0,31,9,11,10,0.5,85,9,1015,52.125,11,8,8,113,119,116,0,1,2.1,météo très défavorable
2009-01-17,11,0,41,10,11,11,1,77,8.875,1015,50.25,11,9,6,113,116,116,0,1,5.8,météo très défavorable
2009-01-18,11,0,37,7,8,9,3.7,77,8.5,1005,63,11,8,4,116,116,116,0,1,4,météo très défavorable
2009-01-19,12,0,44,9,7,6,7.4,78,9.625,993,78.5,12,10,1,122,119,116,0,1,5,météo très défavorable
2009-01-20,7,0,25,5,7,5,0.4,72,9.625,998,45.625,7,3,3,116,113,200,0,1,6.9,météo très défavorable
2009-01-21,10,0,35,6,8,8,5.9,86,9.375,1006,61.5,10,8,4,113,116,122,0,1,6.9,météo très défavorable
2009-01-22,11,0,27,11,10,10,9.1,85,7.5,994,91.875,11,10,7,122,119,122,0,1,3.4,météo très défavorable
2009-01-23,11,0,44,9,8,8,3,72,9.625,991,45,12,10,4,113,116,113,0,1,9.4,météo très défavorable
2009-01-24,8,0,23,5,8,7,6.7,82,8.375,997,69.75,9,6,5,122,116,116,0,1,9.5,météo très défavorable
2009-01-25,10,0,31,9,9,7,4.4,74,9.75,988,52.5,10,9,5,116,116,113,0,1,9.5,météo très défavorable
2009-01-26,8,0,40,7,8,8,1.3,84,10,1009,74.5,8,6,4,119,119,122,0,1,4.8,météo très défavorable
2009-01-27,10,0,21,7,9,9,1.2,94,8.875,1014,68.625,10,9,5,116,122,119,0,1,4.8,météo très défavorable
2009-01-28,10,0,13,10,10,8,3.1,94,8.5,1014,84,10,9,8,122,122,119,0,1,4.8,météo très défavorable
2009-01-29,10,0,34,8,10,9,0.6,89,9,1013,88.625,10,9,5,122,119,122,0,1,4.8,météo très défavorable
2009-01-30,11,0,34,10,10,9,0.5,81,9,1010,60.375,11,10,6,116,116,116,0,1,9.6,météo très défavorable
2009-01-31,9,0,16,7,8,9,0.1,85,10,1005,71,9,7,5,119,119,122,0,1,4.8,météo très défavorable
2009-02-01,7,0,45,5,5,2,0.1,67,9,1003,43,7,6,-1,119,113,113,0,1,9.7,météo très défavorable
2009-02-02,2,0,26,2,2,1,1.8,77,6.75,1001,68.25,2,0,-3,122,122,116,0.5,1,8.2,météo très défavorable
2009-02-03,4,0,23,3,4,4,2.8,86,9.25,997,51.375,4,2,0,116,119,116,0.6,1,8.2,météo très défavorable
2009-02-04,9,0,41,4,4,8,1.4,93,9.75,993,70.375,9,7,-2,119,200,116,0,1,6.6,météo très défavorable
2009-02-05,9,0,17,5,9,7,1.5,79,9.5,987,54.25,9,6,7,113,119,119,0,1,8.3,météo très défavorable
2009-02-06,7,0,53,7,5,5,2.7,90,8.75,995,77.125,8,6,-2,122,122,113,0,1,6.6,météo très défavorable
2009-02-07,6,0,35,4,6,5,1.1,73,9.875,1005,60,6,1,0,119,113,116,0,1,8.3,météo très défavorable
2009-02-08,8,0,31,4,6,8,0.7,90,9,1007,61.25,8,6,1,116,122,119,0,1,6.6,météo très défavorable
2009-02-09,12,0,54,6,11,11,18.1,92,7.25,1007,88.75,12,11,8,122,122,122,0,1,5,météo très défavorable
2009-02-10,9,0,28,6,9,7,1.4,72,8.75,1018,52.5,9,4,4,116,116,116,0,1,10,météo très défavorable
2009-02-11,8,0,10,7,7,6,0.5,85,9.375,1023,55.5,8,5,5,116,116,119,0,1,8.3,météo très défavorable
2009-02-12,7,0,6,6,7,5,0,65,10,1028,32,7,4,6,119,116,116,0,1,10,météo très défavorable
2009-02-13,10,0,21,8,10,8,0,79,10,1027,54.875,10,7,7,122,113,116,0,1,10.1,météo très défavorable
2009-02-14,7,0,13,6,7,5,0.1,74,10,1030,60.25,7,6,4,122,116,113,0,1,8.3,météo très défavorable
2009-02-15,7,0,8,2,7,4,0,64,10,1031,14.5,7,1,6,113,113,113,0,1,10.1,météo très défavorable
2009-02-16,10,0,14,4,10,6,0,77,10,1031,26.875,10,6,7,113,113,113,0,1,10.2,météo très défavorable
2009-02-17,10,0,19,6,10,7,0,79,10,1031,35,10,6,7,116,116,113,0,1,10.2,météo très défavorable
2009-02-18,9,0,13,6,9,8,0.2,87,9,1030,62.375,9,7,6,116,119,122,0,1,6.7,météo très défavorable
2009-02-19,10,0,9,8,9,8,0.4,86,6,1030,72.125,10,7,9,143,116,119,0,1,8.4,météo très défavorable
2009-02-20,10,0,14,8,10,7,0,75,10,1034,33.25,10,7,8,119,113,113,0,1,10.3,météo très défavorable
2009-02-21,9,0,15,5,9,7,0,76,10,1036,23.375,9,5,7,116,113,113,0,1,10.3,météo très défavorable
2009-02-22,10,0,29,7,10,9,0,89,10,1036,55.375,10,8,6,116,116,119,0,1,5.2,météo très défavorable
2009-02-23,10,0,16,7,10,7,0,81,10,1031,17.125,10,7,7,116,113,113,0,1,10.4,météo très défavorable
2009-02-24,10,0,15,5,10,9,0,80,10,1029,35.25,10,7,8,116,116,116,0,1,10,météo très défavorable
