DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,3,0,13,1,3,3,0,92,10,1033,51.75,3,2,-2,113,116,116,0,1,3.8,météo très défavorable
2009-01-02,4,0,14,3,3,0,0,82,10,1036,53.5,4,2,-1,119,119,113,0,1,3.8,météo très défavorable
2009-01-03,2,0,22,0,2,1,0,83,10,1034,32.375,2,0,-5,113,116,116,0,1,5.8,météo très défavorable
2009-01-04,4,0,18,2,3,4,0.4,94,9.875,1023,85.5,4,3,-2,122,119,122,0,1,1.8,météo très défavorable
2009-01-05,3,0,16,2,3,0,0,77,10,1030,19,3,0,-3,116,113,113,0,1,5.8,météo très défavorable
2009-01-06,3,0,38,0,3,3,0.7,89,8.875,1029,48.75,4,2,-5,116,200,122,0,1,3.8,météo très défavorable
2009-01-07,4,0,17,1,4,3,0,93,10,1024,34.25,4,2,-2,116,116,116,0,1,5.8,météo très défavorable
2009-01-08,5,0,29,5,5,3,0,91,10,1024,32.75,5,4,-2,113,116,113,0,1,5.8,météo très défavorable
2009-01-09,4,0,29,3,4,4,0,90,10,1025,26.625,4,2,-3,113,116,116,0,1,5.8,météo très défavorable
2009-01-10,8,0,58,3,6,7,0,85,10,1021,60,8,6,-2,116,119,119,0,1,1.8,météo très défavorable
2009-01-11,10,0,63,8,10,10,0.6,86,8.375,1007,83.5,10,8,4,122,119,119,0,1,1.9,météo très défavorable
2009-01-12,10,0,45,8,8,6,1.3,84,9.875,999,42.75,10,8,1,116,116,113,0,1,5.8,météo très défavorable
2009-01-13,6,0,18,5,6,4,0,89,10,1008,23.125,6,4,0,113,116,116,0,1,5.8,météo très défavorable
2009-01-14,4,0,12,1,4,3,1.7,91,9.875,1011,41,4,2,-0,113,113,122,0,1,3.9,météo très défavorable
2009-01-15,8,0,37,7,8,7,0.3,91,9,1006,99.75,8,6,2,122,122,122,0,1,1.9,météo très défavorable
2009-01-16,8,0,34,7,7,7,0,91,10,1004,77,8,6,2,122,116,122,0,1,5.8,météo très défavorable
2009-01-17,7,0,64,7,5,6,0.3,85,10,998,56,7,6,-1,119,113,122,0,1,5.8,météo très défavorable
2009-01-18,5,0,39,3,3,5,0.2,85,9.875,982,42.5,5,2,-4,200,116,113,0,1,3.9,météo très défavorable
2009-01-19,4,0,30,4,3,2,1.2,95,9.875,983,68.125,4,3,-2,122,122,122,0,1,2,météo très défavorable
2009-01-20,4,0,38,3,3,4,0.1,88,10,983,54.25,4,2,-3,116,116,119,0,1,3.9,météo très défavorable
2009-01-21,5,0,28,4,4,4,0.2,85,9,995,42.375,5,2,-2,113,116,119,0,1,3.9,météo très défavorable
2009-01-22,7,0,37,6,5,4,0,87,10,983,60.375,7,5,-2,122,116,116,0,1,5.8,météo très défavorable
2009-01-23,4,0,21,2,4,4,0.9,91,8.875,977,51.75,4,2,-1,119,113,116,0,1,3.9,météo très défavorable
2009-01-24,4,0,26,2,4,3,0,88,10,985,9.75,4,1,-3,113,113,113,0,1,5.8,météo très défavorable
2009-01-25,5,0,34,3,5,5,0.2,95,9.375,986,47.625,5,4,-1,122,116,113,0,1,5.8,météo très défavorable
2009-01-26,5,0,10,2,5,3,0,92,10,1004,13.25,5,3,0,113,113,113,0,1,5.8,météo très défavorable
2009-01-27,6,0,21,5,6,6,0.7,95,7,1008,67.875,6,5,2,119,119,143,0,1,2,météo très défavorable
2009-01-28,6,0,15,4,6,4,0,93,10,1014,25,6,4,1,116,113,113,0,1,5.8,météo très défavorable
