DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,6,1,15,4,4,6,16.6,96,8.625,1029,72.5,6,6,-2,116,296,302,,,,météo très défavorable
2009-01-02,8,3,7,3,7,8,1.5,97,3.625,1021,92.375,8,7,1,248,266,122,,,,météo très défavorable
2009-01-03,6,3,16,3,5,6,23.8,97,7.75,1016,99.875,6,5,-2,302,302,317,,,,météo très défavorable
2009-01-04,4,2,19,2,3,2,0.9,93,10,1016,65.25,4,2,-3,122,119,113,,,,météo très défavorable
2009-01-05,7,-5,6,-5,3,2,0,87,10,1015,27.125,7,2,-6,113,116,119,,,,météo très défavorable
2009-01-06,8,-3,10,-3,4,5,0.1,85,10,1014,34.375,8,3,-6,116,116,116,,,,météo très défavorable
2009-01-07,7,-1,15,-1,2,7,10,91,8.25,1014,58.25,7,6,-5,113,263,299,,,,météo très défavorable
2009-01-08,6,2,13,2,4,6,10.4,97,5.625,1022,80.125,6,6,0,143,266,296,,,,météo très défavorable
2009-01-09,5,4,8,4,5,5,12.4,95,5.875,1026,99.875,5,4,2,296,266,122,,,,météo très défavorable
2009-01-10,7,5,11,5,6,7,2.6,95,4.75,1025,95.875,7,6,3,143,122,296,,,,météo très défavorable
2009-01-11,8,6,7,6,7,8,1.1,96,2,1029,93.25,8,7,4,143,143,143,,,,météo très défavorable
2009-01-12,8,7,10,7,8,8,2.6,95,4.875,1028,93.25,8,7,6,143,122,266,,,,météo très défavorable
2009-01-13,9,8,18,8,8,8,8.5,96,6.5,1024,98.625,9,8,5,122,296,296,,,,météo défavorable
2009-01-14,10,7,18,7,9,9,12,98,6.875,1009,93.75,10,9,5,296,296,266,,,,météo défavorable
2009-01-15,8,7,9,8,7,8,6.5,95,8.125,1019,71.625,8,7,6,122,116,296,,,,météo très défavorable
2009-01-16,9,5,10,5,8,9,4,95,6.75,1024,79,9,8,3,353,266,116,,,,météo très défavorable
2009-01-17,11,5,6,7,7,9,0.1,92,8.375,1025,52.125,11,7,3,116,119,119,,,,météo très défavorable
2009-01-18,12,-1,13,-1,6,11,0.1,87,10,1024,18.875,12,8,-5,113,113,113,,,,météo très défavorable
2009-01-19,12,7,16,7,9,12,1.8,88,8.75,1015,54.75,12,9,4,116,266,116,,,,météo défavorable
2009-01-20,13,7,19,7,10,12,0.3,85,10,1009,50.75,13,10,4,116,119,113,,,,météo correcte
2009-01-21,10,6,8,6,8,9,12.1,95,7.375,1003,86.625,10,9,4,266,296,302,,,,météo défavorable
2009-01-22,10,7,9,7,9,9,9.7,93,8.375,1005,72.25,10,8,7,296,116,296,,,,météo défavorable
2009-01-23,10,5,19,5,9,9,3.8,93,7.375,1001,43,10,6,1,266,113,113,,,,météo très défavorable
2009-01-24,9,7,20,7,9,9,9.1,93,6.5,990,68.625,9,8,5,266,119,302,,,,météo défavorable
2009-01-25,9,7,18,7,9,9,19.3,96,8,998,89.625,9,8,5,386,302,296,,,,météo très défavorable
2009-01-26,10,7,17,7,9,8,8.8,93,9.5,1002,70.25,10,7,6,122,113,296,,,,météo défavorable
2009-01-27,9,2,8,3,6,8,4.6,91,8.625,1002,54.375,9,7,0,116,116,263,,,,météo très défavorable
2009-01-28,7,6,16,6,7,7,10.7,95,6.375,1007,95.75,7,7,3,266,296,296,,,,météo très défavorable
2009-01-29,7,6,14,6,6,6,2.4,91,5.375,1013,98.5,7,6,3,122,266,122,,,,météo très défavorable
2009-01-30,7,5,13,5,7,7,1,92,6.75,1015,80.5,7,5,3,122,266,116,,,,météo très défavorable
2009-01-31,7,5,8,5,6,7,1,91,8.375,1015,80.5,7,4,3,122,122,119,,,,météo très défavorable
2009-02-01,9,4,19,4,8,8,1.4,92,7.75,1011,62.5,9,6,1,122,266,113,,,,météo très défavorable
2009-02-02,10,1,19,1,6,10,8.4,93,7.75,1006,57.5,10,9,-2,116,263,293,,,,météo très défavorable
2009-02-03,11,5,13,6,7,11,14.1,95,8,1001,73.375,11,10,3,116,293,302,,,,météo très défavorable
2009-02-04,12,8,9,8,10,11,5.8,94,8.625,1005,55.125,12,9,7,263,296,176,,,,météo défavorable
2009-02-05,13,6,15,6,10,12,0.9,90,8.625,1008,25.375,13,9,3,113,113,263,,,,météo correcte
2009-02-06,15,4,14,4,10,14,1.7,85,9,1006,36.125,15,11,1,263,116,113,,,,météo correcte
2009-02-07,11,8,17,8,11,11,11.3,89,9.25,998,48.75,11,10,5,119,386,293,,,,météo défavorable
2009-02-08,9,4,8,5,7,8,1.6,91,9,999,40.375,9,6,2,113,200,386,,,,météo très défavorable
2009-02-09,7,2,11,2,5,7,3.4,93,9.625,1013,41.875,7,5,-1,200,353,176,,,,météo très défavorable
2009-02-10,13,0,21,0,6,12,1.1,88,9.125,1014,22.625,13,10,-5,113,113,263,,,,météo très défavorable
2009-02-11,10,3,21,4,8,3,15.5,92,8.875,1005,41.125,10,7,-1,113,113,389,,,,météo très défavorable
2009-02-12,5,4,18,4,5,4,14,86,9.25,1009,60.75,5,1,0,362,353,113,,,,météo très défavorable
2009-02-13,4,1,16,2,3,2,5.8,81,8.375,1012,43.5,4,0,-3,371,323,113,,,,météo très défavorable
2009-02-14,4,-5,19,-5,1,3,4.1,84,8.75,1015,63,4,0,-7,116,329,368,,,,météo très défavorable
2009-02-15,4,2,18,2,4,3,3.6,75,9.375,1023,58.75,4,0,-2,368,119,116,,,,météo très défavorable
2009-02-16,7,-4,5,-4,3,5,0,69,10,1024,30.5,7,0,-7,113,116,116,,,,météo très défavorable
2009-02-17,9,-5,14,-5,3,7,0.1,72,9.75,1022,30.375,9,3,-9,116,113,116,,,,météo très défavorable
2009-02-18,5,-1,30,2,-1,0,12.5,94,7,1016,77.25,5,2,-8,302,326,326,,,,météo très défavorable
2009-02-19,3,0,22,0,2,2,0.8,81,10,1021,64.875,3,0,-5,122,122,113,,,,météo très défavorable
2009-02-20,6,-4,14,-4,2,4,0,77,10,1026,4.875,6,0,-9,113,113,113,,,,météo très défavorable
2009-02-21,9,-5,8,-5,5,7,0.1,79,10,1025,35.25,9,3,-5,116,116,116,,,,météo très défavorable
2009-02-22,8,-4,11,-4,5,6,0.7,88,8.125,1024,38.875,8,4,-6,116,116,263,,,,météo très défavorable
2009-02-23,10,-4,8,-4,5,8,0.8,76,9.25,1018,41.875,10,4,-7,113,116,119,,,,météo très défavorable
2009-02-24,6,3,10,3,5,6,10.8,93,8.375,1018,85.375,6,5,1,296,266,353,,,,météo très défavorable
2009-02-25,6,4,14,4,5,5,7,93,9.625,1027,48.125,6,3,0,353,113,116,,,,météo très défavorable
2009-02-26,12,-3,8,-3,6,10,0,90,10,1027,17.125,12,3,-6,113,116,113,,,,météo très défavorable
2009-02-27,12,0,11,0,7,10,0,90,10,1020,37.5,12,7,-4,119,116,116,,,,météo très défavorable
2009-02-28,16,1,11,1,10,14,0,86,10,1020,4.375,16,9,-2,113,113,113,,,,météo très défavorable
2009-03-01,10,2,11,2,6,10,2.5,87,9,1020,25.625,10,8,-2,113,116,263,,,,météo très défavorable
2009-03-02,11,3,5,4,6,11,14.3,94,7.125,1015,78.125,11,10,3,263,296,296,,,,météo très défavorable
2009-03-03,14,3,8,4,8,12,4.1,97,7,1016,71.25,14,10,1,248,116,353,,,,météo très défavorable
2009-03-04,16,4,21,4,11,15,10.1,92,8.25,1013,58.375,16,12,2,296,293,116,,,,météo correcte
2009-03-05,14,3,18,3,9,10,4.8,90,8.875,991,53.25,14,10,-1,116,293,263,,,,météo correcte
2009-03-06,9,4,17,4,7,8,1,86,7.625,990,42.75,9,5,1,113,113,266,,,,météo très défavorable
2009-03-07,9,7,22,7,8,9,15.4,95,8.125,1004,77.25,9,6,3,302,353,176,,,,météo défavorable
2009-03-08,15,2,6,2,10,13,0.2,89,10,1011,24.375,15,7,0,116,113,113,,,,météo correcte
2009-03-09,12,3,20,3,11,10,5.5,87,9.625,1013,31.375,12,9,-2,116,116,353,,,,météo très défavorable
2009-03-10,13,1,9,1,9,11,1.7,86,9.875,1020,29.75,13,4,0,113,113,113,,,,météo très défavorable
2009-03-11,12,7,12,7,10,10,9.4,87,8.375,1015,63.375,12,8,5,263,122,353,,,,météo défavorable
2009-03-12,9,5,18,5,7,9,3.1,86,9.75,1023,15.125,9,4,2,113,113,113,,,,météo très défavorable
2009-03-13,15,0,15,0,10,13,0,67,10,1022,28.25,15,6,-4,113,116,116,,,,météo très défavorable
2009-03-14,15,3,10,3,11,13,0,79,10,1021,38.625,15,9,1,116,116,119,,,,météo correcte
2009-03-15,15,4,8,4,12,13,0.7,91,9.375,1022,49,15,9,3,116,113,119,,,,météo correcte
2009-03-16,12,8,13,8,10,11,25.4,95,8.375,1027,55,12,8,7,308,116,113,,,,météo très défavorable
2009-03-17,13,1,13,1,9,11,0,88,10,1028,11.375,13,5,-1,113,113,116,,,,météo très défavorable
2009-03-18,13,4,14,4,10,11,0.3,76,9.875,1025,20.625,13,7,3,113,113,116,,,,météo correcte
2009-03-19,11,0,9,0,9,10,9.7,83,9.25,1022,63.5,11,8,-3,116,119,296,,,,météo très défavorable
2009-03-20,7,3,22,3,6,6,19.2,90,7.5,1016,91.75,7,5,-2,296,317,263,,,,météo très défavorable
2009-03-21,4,2,26,2,3,3,11.4,89,6.5,1016,98.875,4,2,-3,368,332,332,,,,météo très défavorable
2009-03-22,8,4,22,4,7,6,3.4,84,9.625,1018,49.875,8,1,0,122,116,113,,,,météo très défavorable
2009-03-23,15,-2,11,-2,10,12,0,73,10,1019,8.25,15,8,-3,113,113,113,,,,météo très défavorable
2009-03-24,14,0,23,0,12,11,7.9,88,9.375,1011,41.875,14,11,-6,113,116,296,,,,météo très défavorable
2009-03-25,12,1,13,1,7,10,12.8,83,9.125,1009,23.5,12,4,-3,113,113,113,,,,météo très défavorable
2009-03-26,11,5,18,5,11,10,1.7,83,9.875,1013,30.375,11,5,3,116,116,113,,,,météo très défavorable
2009-03-27,17,1,13,1,11,15,0,72,10,1014,25.125,17,8,-3,116,113,113,,,,météo très défavorable
2009-03-28,18,3,13,3,14,13,0.3,75,9.125,1013,15.875,18,9,-1,113,113,116,,,,météo favorable
2009-03-29,19,8,28,8,14,19,11,91,8,1006,61.375,19,14,5,296,296,116,,,,météo correcte
2009-03-30,18,10,12,10,15,16,9.5,84,9.25,1013,36,18,13,8,113,353,353,,,,météo correcte
2009-03-31,15,13,11,13,14,15,27.9,98,6.375,1013,94.375,15,15,13,266,296,389,,,,météo très défavorable
2009-04-01,16,8,9,8,12,15,5.9,97,7.25,1012,54.75,16,14,7,143,116,176,,,,météo correcte
2009-04-02,16,12,7,12,16,13,11.6,96,8.875,1016,47.375,16,12,12,296,113,176,,,,météo correcte
2009-04-03,16,6,10,6,15,14,4.9,93,9.375,1019,28.5,16,12,4,116,116,176,,,,météo correcte
2009-04-04,17,4,8,4,15,15,1.4,96,6.25,1018,24.5,17,11,3,143,113,113,,,,météo correcte
2009-04-05,17,4,9,4,15,15,3.7,90,9.625,1018,15.125,17,12,4,113,113,176,,,,météo correcte
2009-04-06,19,6,12,6,15,17,1.3,84,10,1016,6.125,19,12,3,113,113,113,,,,météo favorable
2009-04-07,21,7,11,7,17,17,2.4,87,9.75,1015,7.875,23,11,5,113,113,176,,,,météo favorable
2009-04-08,19,7,10,7,17,17,0.3,89,10,1017,10.125,19,11,6,113,113,113,,,,météo favorable
2009-04-09,19,7,13,7,17,17,2.8,89,9.75,1018,10,19,12,6,113,113,176,,,,météo favorable
2009-04-10,19,5,16,5,18,17,1.6,87,9.875,1016,5.5,19,11,4,113,113,113,,,,météo favorable
2009-04-11,18,6,15,6,18,16,0.4,90,9.875,1013,15,18,10,6,113,113,113,,,,météo favorable
2009-04-12,18,7,19,7,18,15,0,90,10,1012,10.125,18,9,5,113,113,113,,,,météo favorable
2009-04-13,13,8,13,8,13,12,8.1,95,6.25,1005,67.375,13,11,6,299,263,353,,,,météo défavorable
2009-04-14,17,7,18,7,16,15,0.7,95,7.25,1009,36.5,17,10,6,143,116,113,,,,météo correcte
2009-04-15,20,8,10,8,18,18,0,80,10,1014,3.875,20,8,8,113,113,113,,,,météo favorable
2009-04-16,21,8,10,8,18,16,1.1,77,9.375,1015,21.75,22,12,6,113,113,176,,,,météo favorable
2009-04-17,20,12,11,12,18,16,1.8,88,9.125,1014,22.125,20,10,11,263,113,113,,,,météo favorable
2009-04-18,17,6,9,6,16,15,0.7,73,8.375,1014,32.125,17,10,4,116,113,263,,,,météo correcte
2009-04-19,14,5,9,5,14,13,22.7,96,5.875,1014,80.875,14,13,5,248,353,302,,,,météo très défavorable
2009-04-20,14,5,14,5,14,14,3.8,96,6.375,1016,74.25,14,13,5,143,353,263,,,,météo très défavorable
2009-04-21,12,11,22,11,12,12,24.7,98,5.75,1013,87.75,12,12,9,143,302,302,,,,météo très défavorable
2009-04-22,15,12,14,12,14,15,6.6,97,8.25,1011,81.875,15,12,11,266,353,119,,,,météo défavorable
2009-04-23,18,10,10,10,18,15,5.9,95,7.25,1014,39.625,18,12,9,143,113,386,,,,météo favorable
2009-04-24,15,11,12,11,14,15,6.6,95,6.5,1018,86.5,15,13,10,266,266,353,,,,météo défavorable
2009-04-25,17,11,10,11,17,15,0.6,94,7.875,1020,46.375,17,12,11,143,113,116,,,,météo correcte
2009-04-26,19,9,18,9,17,17,0.7,91,9.125,1019,45.125,19,14,8,119,113,263,,,,météo favorable
2009-04-27,20,8,23,8,20,17,10.7,91,8,1014,51.75,20,15,6,293,113,353,,,,météo correcte
2009-04-28,15,10,10,10,14,15,19.1,91,8.125,1006,47.25,15,12,9,113,386,263,,,,météo très défavorable
