DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,7,14,7,23,23,0,35,10,1019,1.375,24,0,15,113,113,113,0,1,14.5,météo favorable
2009-01-02,25,4,22,4,22,23,0,48,10,1018,9.125,24,4,14,113,113,113,0,1,14.5,météo favorable
2009-01-03,28,6,9,6,24,27,0,49,10,1020,3.375,26,4,15,113,113,113,0,1,14.5,météo favorable
2009-01-04,24,9,29,9,23,20,0,70,10,1014,4.75,23,8,12,113,113,113,0,1,14.5,météo favorable
2009-01-05,16,10,28,11,13,13,0.5,75,9.375,1014,44.5,16,9,7,263,113,113,0,1,14.5,météo correcte
2009-01-06,12,7,23,7,10,12,0.5,79,8.75,1015,43.875,12,6,5,263,263,116,0,1,14.5,météo défavorable
2009-01-07,21,2,16,2,17,20,0,66,10,1019,12.375,22,4,7,116,113,113,0,1,14.5,météo favorable
2009-01-08,24,3,15,3,21,23,0,43,10,1019,3.875,23,3,14,113,113,113,0,1,14.5,météo favorable
2009-01-09,26,5,20,5,23,23,0,44,10,1017,8.5,24,3,16,113,113,113,0,1,14.5,météo favorable
2009-01-10,22,6,18,6,19,21,0,64,10,1018,6.125,24,9,11,113,113,113,0,1,14.5,météo favorable
2009-01-11,27,9,15,9,23,26,0,58,10,1019,9.25,25,8,13,113,113,113,0,1,14.5,météo favorable
2009-01-12,21,9,24,9,21,14,0.1,72,10,1015,28.625,21,5,8,116,116,113,0,1,13.5,météo favorable
2009-01-13,19,8,22,8,15,18,0.7,80,8.75,1015,45.625,19,9,7,263,116,113,0,1,14.5,météo favorable
2009-01-14,15,8,31,8,15,12,0.1,73,10,1019,30,15,9,6,116,113,113,0,1,14.5,météo correcte
2009-01-15,19,1,26,1,16,15,0,43,10,1023,7.25,19,1,6,113,113,113,0,1,14.5,météo favorable
2009-01-16,9,4,26,4,8,9,1.6,88,8.625,1014,48.625,9,7,2,263,293,263,0,1,11.4,météo très défavorable
2009-01-17,16,3,21,3,12,16,0.2,73,10,1020,25.75,16,5,2,119,113,113,0,1,14.5,météo correcte
2009-01-18,18,2,22,2,14,18,0,70,10,1023,24.375,18,7,6,116,116,113,0,1,14.5,météo favorable
2009-01-19,27,7,15,7,23,26,0,66,9,1024,13.375,25,7,12,143,113,113,0,1,14.5,météo favorable
2009-01-20,27,8,20,8,24,25,0,53,10,1020,0.125,25,9,16,113,113,113,0,1,14.5,météo favorable
2009-01-21,27,8,15,8,24,26,0,59,9,1018,6.125,25,10,16,143,113,113,0,1,14.5,météo favorable
2009-01-22,26,10,22,10,23,24,0,59,10,1016,3.125,25,10,16,113,113,113,0,1,14.5,météo favorable
2009-01-23,25,10,33,10,23,22,0,61,10,1015,9.5,24,10,15,113,113,113,0,1,14.5,météo favorable
2009-01-24,11,5,33,10,8,8,3.7,85,9.625,1018,49.625,11,9,1,293,293,176,0,1,12.4,météo très défavorable
2009-01-25,17,1,15,1,13,17,0,65,10,1022,21.75,17,2,2,116,113,113,0,1,14.5,météo très défavorable
2009-01-26,19,2,18,2,15,18,0,65,10,1021,8.625,19,5,6,113,113,113,0,1,14.5,météo favorable
2009-01-27,26,5,12,5,20,23,0,71,8,1023,15.625,24,5,8,143,113,113,0,1,14.5,météo favorable
2009-01-28,29,8,21,8,25,26,0,41,10,1017,1.625,27,5,17,113,113,113,0,1,14.5,météo favorable
2009-01-29,24,8,24,8,21,21,0,71,10,1014,6.75,24,10,12,113,113,113,0,1,14.5,météo favorable
2009-01-30,14,9,23,12,11,14,0.9,83,9.375,1021,36.875,14,11,7,263,116,113,0,1,14.5,météo correcte
2009-01-31,22,1,11,1,17,21,0,49,10,1023,15.125,22,0,8,116,116,113,0,1,14.5,météo favorable
2009-02-01,19,3,21,3,16,17,0,45,10,1015,9.875,19,0,7,113,113,113,0,1,14.5,météo favorable
2009-02-02,17,5,23,5,14,15,0.1,69,10,1013,33.5,17,4,6,113,113,116,0,1,14.5,météo correcte
2009-02-03,18,7,19,7,13,17,0.1,86,10,1015,46.375,18,7,7,119,116,113,0,1,13.4,météo favorable
2009-02-04,18,5,24,6,16,16,0,82,6.625,1016,36,18,8,9,248,113,113,0,1,14.5,météo favorable
2009-02-05,11,6,34,6,8,10,3,84,9.125,1019,45.125,11,8,3,263,176,116,0,1,14.4,météo défavorable
2009-02-06,17,5,15,5,12,17,0.3,78,9.375,1022,27.25,17,4,3,116,113,113,0,1,14.4,météo correcte
2009-02-07,20,3,23,3,16,17,0,57,10,1020,15.375,20,3,7,116,116,113,0,1,11.6,météo favorable
2009-02-08,20,3,17,3,15,20,0,68,10,1021,14.625,20,7,4,113,113,113,0,1,11.6,météo favorable
2009-02-09,26,7,23,7,23,23,0,72,10,1018,5.625,25,10,13,113,113,113,0,1,11.6,météo favorable
2009-02-10,12,7,31,9,10,12,0.3,84,9.375,1017,41.125,12,10,3,116,263,113,0,1,10.4,météo défavorable
2009-02-11,17,4,21,4,11,17,0,78,10,1022,20,17,3,2,116,113,113,0,1,11.6,météo correcte
2009-02-12,21,4,26,4,18,16,0.1,86,10,1019,18.875,21,9,8,113,113,116,0,1,11.6,météo favorable
2009-02-13,16,10,26,11,11,16,1.6,83,9.25,1016,38.875,16,10,6,263,116,113,0,1,11.6,météo correcte
2009-02-14,23,8,19,8,19,22,0,81,10,1017,28.75,24,10,10,116,116,113,0,1,11.6,météo favorable
2009-02-15,20,9,43,10,19,13,0.7,82,8.375,1011,32,20,10,5,113,113,263,0,1,11.6,météo favorable
2009-02-16,11,5,40,5,8,8,0.9,88,8.375,1013,50.75,11,6,0,263,113,266,0,1,10.4,météo très défavorable
2009-02-17,21,9,31,9,15,19,0.8,86,8,1013,44,21,9,6,266,113,113,0,1,10.4,météo favorable
2009-02-18,19,9,33,9,17,14,0.1,84,10,1011,28.625,19,9,9,113,113,116,0,1,11.6,météo favorable
2009-02-19,12,6,21,9,9,11,3.9,84,9.125,1017,51.5,12,9,4,293,263,113,0,1,11.6,météo défavorable
2009-02-20,15,2,17,2,10,14,0,75,10,1023,21.5,15,3,-0,113,113,113,0,1,11.6,météo correcte
2009-02-21,19,2,19,2,16,18,0,78,8,1019,24.25,19,7,5,143,113,113,0,1,11.6,météo favorable
2009-02-22,20,6,18,6,15,18,0,81,10,1020,24.625,20,8,6,116,113,113,0,1,11.6,météo favorable
2009-02-23,24,8,11,8,19,22,0,85,6.75,1019,29.125,23,9,8,248,113,113,0,1,11.6,météo favorable
2009-02-24,27,7,12,7,23,26,0,46,10,1019,0.75,25,5,14,113,113,113,0,1,11.6,météo favorable
2009-02-25,26,9,16,9,22,25,0,56,10,1017,3.25,25,7,12,113,113,113,0,1,11.6,météo favorable
2009-02-26,26,8,11,8,20,26,0,71,10,1018,2.75,25,9,10,113,113,113,0,1,11.6,météo favorable
2009-02-27,29,11,15,11,24,27,0,58,10,1017,0,26,7,15,113,113,113,0,1,11.6,météo favorable
2009-02-28,23,10,27,10,20,19,0,81,10,1011,9.125,24,10,11,113,113,113,0,1,11.6,météo favorable
2009-03-01,12,7,13,10,11,9,3.4,88,9.125,1014,52.25,12,10,6,116,293,293,0,1,9.1,météo défavorable
2009-03-02,11,2,10,2,11,11,0.1,81,9,1018,36,11,5,4,113,116,116,0,1,11.6,météo très défavorable
2009-03-03,19,5,20,5,15,18,0,86,8,1016,14.625,19,5,6,143,113,113,0,1,11.6,météo favorable
2009-03-04,17,5,26,5,14,13,0,68,10,1020,32.125,17,4,5,113,116,116,0,1,11.6,météo correcte
2009-03-05,15,7,18,8,11,14,1.7,88,8.875,1017,43.5,15,7,5,266,116,113,0,1,10.3,météo correcte
2009-03-06,18,2,21,2,12,15,0,65,10,1018,25.25,18,4,4,113,116,116,0,1,11.6,météo favorable
2009-03-07,19,7,15,7,14,18,0,86,9,1019,31.125,19,7,6,143,116,113,0,1,11.6,météo favorable
2009-03-08,26,6,8,6,21,25,0,63,10,1020,1.875,25,6,11,113,113,113,0,1,11.6,météo favorable
2009-03-09,26,10,17,10,23,26,0,48,10,1018,0.25,25,5,14,113,113,113,0,1,11.6,météo favorable
2009-03-10,27,10,17,10,22,25,0,65,10,1016,0.875,25,10,14,113,113,113,0,1,11.6,météo favorable
2009-03-11,17,11,16,11,17,15,0.3,86,9,1014,48.375,17,11,10,116,116,266,0,1,9,météo correcte
2009-03-12,19,9,18,9,15,18,0.1,88,9,1016,26,19,10,7,143,113,113,0,1,11.6,météo favorable
2009-03-13,12,7,27,7,12,12,0.4,87,10,1017,20.625,12,9,6,113,116,113,0,1,11.6,météo défavorable
2009-03-14,13,4,23,4,7,13,0.1,84,10,1022,36,13,5,0,116,113,113,0,1,11.6,météo correcte
2009-03-15,21,0,27,0,17,19,0,45,10,1024,13.125,21,0,5,113,116,113,0,1,11.6,météo favorable
2009-03-16,10,6,29,6,8,8,0.4,86,9.375,1020,47.875,10,6,3,116,119,116,0,1,10.3,météo défavorable
2009-03-17,19,7,13,7,14,19,0,85,10,1022,39.375,19,8,6,119,113,113,0,1,11.6,météo favorable
2009-03-18,25,6,14,6,20,24,0,71,8,1019,4.375,24,7,11,143,113,113,0,1,11.6,météo favorable
2009-03-19,17,8,24,8,15,15,0,87,10,1019,11.5,17,8,6,113,113,113,0,1,11.6,météo correcte
2009-03-20,21,3,15,3,18,19,0,67,6.75,1022,30.75,21,7,7,143,113,116,0,1,11.6,météo favorable
2009-03-21,19,3,17,3,16,17,0,68,10,1019,1.25,19,3,5,113,113,113,0,1,11.6,météo favorable
2009-03-22,17,5,13,5,12,16,0,84,10,1019,22.625,17,4,3,116,113,113,0,1,11.6,météo correcte
2009-03-23,21,4,10,4,18,20,0,63,10,1018,10,22,4,8,113,113,113,0,1,11.6,météo favorable
2009-03-24,22,4,19,4,19,19,0,84,10,1017,3.625,24,10,10,113,113,113,0,1,11.6,météo favorable
2009-03-25,17,9,17,10,14,16,0.2,88,8.375,1017,38.625,17,9,7,116,263,113,0,1,10.2,météo correcte
2009-03-26,17,4,9,4,15,16,0,57,10,1017,24,17,4,4,113,113,113,0,1,11.6,météo correcte
2009-03-27,17,7,45,7,16,13,0.1,84,10,1014,23.25,17,9,6,113,113,116,0,1,11.6,météo correcte
2009-03-28,13,8,41,12,12,10,6,85,9.5,1004,61.25,13,10,3,296,296,176,0,1,8.8,météo correcte
2009-03-29,8,5,34,5,7,6,0.6,85,9.875,1015,53.375,8,4,1,116,119,353,0,1,8.8,météo très défavorable
