DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,19,19,20,19,19,19,0,76,10,1022,8.25,20,15,19,113,113,113,0,1,10.6,météo favorable
2009-01-02,19,18,16,18,19,19,0,78,10,1023,0.125,19,15,19,113,113,113,0,1,10.6,météo favorable
2009-01-03,19,19,22,19,19,19,0,78,10,1024,0.5,19,15,19,113,113,113,0,1,10.6,météo favorable
2009-01-04,19,18,26,19,19,18,0,74,10,1024,5.125,19,15,18,113,113,113,0,1,10.6,météo favorable
2009-01-05,18,18,24,18,18,18,0.1,72,10,1023,18.75,19,14,18,116,113,113,0,1,10.6,météo favorable
2009-01-06,18,18,24,18,18,18,0.6,75,9.875,1021,17.625,18,14,18,113,116,113,0,1,10.7,météo favorable
2009-01-07,18,17,23,17,17,18,0,67,10,1020,36.75,18,12,17,116,119,113,0,1,6.9,météo correcte
2009-01-08,18,17,18,17,18,18,0,73,10,1020,17.75,18,14,17,113,113,116,0,1,10.7,météo favorable
2009-01-09,19,18,19,18,19,18,0.9,81,9.875,1018,44.625,19,16,18,113,116,200,0,1,8.5,météo favorable
2009-01-10,18,18,27,18,18,18,0,77,10,1022,20.75,18,15,18,113,116,113,0,1,10.7,météo favorable
2009-01-11,18,17,25,17,18,18,0.3,81,9.875,1024,55.125,18,14,17,116,122,122,0,1,6.9,météo correcte
2009-01-12,17,16,28,16,17,17,0,67,10,1027,41.75,17,11,17,113,116,122,0,1,8.5,météo correcte
2009-01-13,18,17,23,17,18,18,0,71,10,1028,20.25,18,12,17,116,113,113,0,1,10.7,météo favorable
2009-01-14,18,17,14,17,18,18,0,73,10,1027,4,19,14,17,113,113,113,0,1,10.7,météo favorable
2009-01-15,19,17,37,18,19,18,0.6,79,10,1023,17,19,14,18,113,113,113,0,1,10,météo favorable
2009-01-16,18,17,39,17,17,18,0,67,10,1026,46,18,11,17,116,119,116,0,1,8.5,météo correcte
2009-01-17,19,18,20,18,18,19,0.1,78,10,1026,43.375,19,15,18,116,116,116,0,1,10.7,météo favorable
2009-01-18,18,18,30,18,18,18,0,76,10,1029,13.25,18,14,18,113,113,113,0,1,10.8,météo favorable
2009-01-19,19,18,19,18,18,18,0,83,10,1028,24.25,19,16,18,116,113,113,0,1,10.8,météo favorable
