DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,12,5,6,5,12,7,0,75,10,1024,13.75,13,6,8,113,113,113,0,3,9.8,météo très défavorable
2009-01-02,11,6,22,8,11,8,0.6,98,7.75,1018,50,11,10,5,122,266,113,0,3,8.2,météo défavorable
2009-01-03,10,4,14,4,10,6,0,62,10,1019,19,11,5,4,113,116,116,0,3,9.8,météo très défavorable
2009-01-04,10,2,5,2,10,4,0,66,10,1025,19.75,12,1,4,113,113,116,0,3,9.8,météo très défavorable
2009-01-05,7,5,12,7,6,6,0.7,85,9,1025,67.75,7,4,4,122,266,116,0,3,6.6,météo très défavorable
2009-01-06,13,4,5,5,13,8,0,94,9,1026,11,15,10,10,113,113,113,0,3,9.8,météo correcte
2009-01-07,14,5,6,5,14,8,0,76,10,1026,4.375,18,9,8,113,113,113,0,3,9.8,météo correcte
2009-01-08,13,4,12,4,13,8,0,82,10,1024,9.125,14,9,9,113,113,113,0,3,9.8,météo correcte
2009-01-09,14,5,14,5,14,9,0,52,10,1029,0,17,7,10,113,113,113,0,3,9.8,météo correcte
2009-01-10,15,6,12,6,15,9,0,51,10,1034,0.625,18,5,10,113,113,113,0,3,9.9,météo correcte
2009-01-11,17,7,11,8,17,12,0,47,10,1033,3.5,19,10,13,113,113,113,0,4,9.9,météo correcte
2009-01-12,20,10,19,10,20,15,0,57,10,1026,0.75,24,11,16,113,113,113,0,4,9.9,météo favorable
2009-01-13,18,10,9,10,18,12,0,58,10,1027,0.25,24,10,15,113,113,113,0,4,9.9,météo favorable
2009-01-14,18,9,8,9,18,11,0,50,10,1024,7.625,20,8,12,113,113,116,0,4,9.9,météo favorable
2009-01-15,18,9,8,9,18,12,0,59,10,1022,1.625,24,8,13,113,113,113,0,4,9.9,météo favorable
2009-01-16,19,9,9,10,19,12,0,58,10,1025,0.625,24,9,15,113,113,113,0,4,9.9,météo favorable
2009-01-17,18,8,9,8,18,11,0,56,10,1024,0,24,9,14,113,113,113,0,4,9.9,météo favorable
2009-01-18,18,9,12,9,18,12,0,51,10,1026,0,20,7,14,113,113,113,0,4,10,météo favorable
2009-01-19,19,9,16,9,19,13,0,47,10,1025,0,20,7,14,113,113,113,0,4,10,météo favorable
2009-01-20,18,9,12,9,18,13,0,48,10,1022,12.375,19,5,13,113,116,113,0,4,10,météo favorable
2009-01-21,13,11,8,12,13,11,1.3,81,9.875,1018,70.75,14,9,10,116,119,296,0,4,6.7,météo défavorable
2009-01-22,12,10,7,10,11,11,1.8,94,6.875,1017,74.25,13,11,11,266,122,143,0,3,8.3,météo défavorable
2009-01-23,12,10,9,10,12,11,2.8,94,4.75,1019,89.375,12,11,11,266,266,266,0,3,5,météo défavorable
2009-01-24,12,10,14,11,12,10,0.7,89,9,1021,78.5,12,11,9,122,119,119,0,3,6.7,météo défavorable
2009-01-25,11,7,24,7,11,8,0.4,80,9.875,1021,18.25,12,6,6,113,116,176,0,3,10.1,météo défavorable
2009-01-26,11,5,13,5,11,8,0,74,10,1024,14.75,12,5,8,113,116,113,0,3,10.1,météo très défavorable
2009-01-27,13,3,5,3,13,7,0,57,10,1033,2.125,17,5,8,113,113,113,0,3,10.1,météo correcte
2009-01-28,14,5,13,5,14,10,0,76,10,1033,3.375,16,9,11,113,113,113,0,3,10.1,météo correcte
2009-01-29,16,6,14,6,16,10,0,61,10,1028,2.125,17,8,11,113,113,113,0,4,10.1,météo correcte
2009-01-30,16,7,8,7,16,10,0,70,10,1027,0,20,9,13,113,113,113,0,4,10.2,météo correcte
2009-01-31,17,6,9,7,17,11,0,69,10,1023,0.125,21,9,13,113,113,113,0,4,10.2,météo correcte
2009-02-01,16,7,10,7,16,10,0,67,10,1023,1.125,19,9,13,113,113,113,0,4,10.2,météo correcte
2009-02-02,18,8,11,8,18,11,0,69,10,1024,3.5,21,9,13,113,113,113,0,4,10.2,météo favorable
2009-02-03,19,9,12,9,19,11,0,70,10,1020,5.75,24,10,13,113,113,113,0,4,10.3,météo favorable
2009-02-04,18,8,8,8,18,11,0,64,10,1015,30.5,20,5,11,116,113,113,0,4,10.3,météo favorable
2009-02-05,14,10,14,10,14,11,0.9,91,7.875,1015,59.375,14,10,10,176,116,113,0,3,8.4,météo correcte
2009-02-06,11,10,9,10,11,10,3.7,95,6.625,1012,80.875,12,10,9,302,353,143,0,3,6.8,météo défavorable
2009-02-07,14,9,13,9,14,10,0.7,80,8.25,1013,39.625,15,10,9,113,116,176,0,3,10,météo correcte
2009-02-08,11,7,21,7,11,9,0,91,10,1015,38.25,12,8,6,113,119,122,0,3,8.4,météo défavorable
