DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,28,0,34,24,27,26,0.1,70,10,1014,22.125,30,21,25,113,113,113,0,1,8.7,météo favorable
2009-01-02,27,0,30,24,27,26,0,77,10,1013,29.125,30,22,25,116,116,113,0,1,8.7,météo favorable
2009-01-03,28,0,31,25,27,27,0,76,10,1013,33.5,31,22,26,116,113,113,0,1,8.7,météo favorable
2009-01-04,28,0,29,24,28,27,0,78,10,1014,15.375,31,22,26,116,113,113,0,1,8.7,météo favorable
2009-01-05,29,0,28,25,28,27,0,77,10,1015,22.5,32,23,26,116,113,113,0,1,8.7,météo favorable
2009-01-06,28,0,23,25,28,27,0.1,77,10,1013,34.25,31,22,26,116,113,113,0,1,8.7,météo favorable
2009-01-07,28,0,22,25,28,27,0,79,10,1013,23,31,22,26,116,113,113,0,1,8.7,météo favorable
2009-01-08,28,0,24,25,28,26,0.2,78,10,1012,25.625,31,23,26,116,113,113,0,1,8.7,météo favorable
2009-01-09,27,0,33,25,27,26,0.2,79,10,1014,39,30,22,25,116,113,116,0,1,8.7,météo favorable
2009-01-10,27,0,32,25,27,26,0,74,10,1014,37.25,30,21,26,119,113,113,0,1,8.7,météo favorable
2009-01-11,27,0,27,25,27,26,0.4,78,9,1014,54.625,30,22,25,119,116,116,0,1,7.2,météo favorable
2009-01-12,28,0,36,25,27,27,0.3,78,10,1013,45.625,31,22,26,119,113,116,0,1,8.7,météo favorable
2009-01-13,29,0,26,25,28,27,0.1,79,10,1015,37.875,31,22,25,119,113,113,0,1,7.2,météo favorable
2009-01-14,28,0,32,25,28,26,0.1,74,10,1014,34.375,31,22,26,116,113,113,0,1,8.7,météo favorable
2009-01-15,27,0,29,25,27,26,0.7,80,10,1015,59.125,30,22,25,122,116,116,0,1,7.2,météo très défavorable
2009-01-16,28,0,38,25,28,27,0.2,74,10,1017,30.625,30,21,26,116,113,113,0,1,8.7,météo favorable
2009-01-17,28,0,33,24,28,26,0.3,73,10,1017,34.125,30,21,25,116,113,116,0,1,8.7,météo favorable
