DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,19,8,14,8,19,12,0,56,10,1020,2.5,19,5,11,113,113,113,0,1,9.9,météo favorable
2009-01-02,18,9,16,9,18,11,0.2,91,9.375,1017,30,18,10,10,113,113,263,0,1,8.3,météo favorable
2009-01-03,14,6,15,8,14,8,0,71,10,1017,19.75,14,7,6,113,116,113,0,1,9.9,météo correcte
2009-01-04,15,4,14,4,15,8,0,58,10,1023,4.5,15,2,6,113,113,113,0,1,9.9,météo correcte
2009-01-05,11,4,9,5,10,8,0,56,10,1024,36.875,11,2,7,113,116,116,0,1,9.9,météo très défavorable
2009-01-06,16,6,16,6,16,11,0,61,10,1024,3.5,16,4,9,113,113,113,0,1,10,météo correcte
2009-01-07,21,9,9,9,21,13,0,56,10,1024,0.375,24,6,12,113,113,113,0,1,10,météo favorable
2009-01-08,21,9,15,9,21,14,0,50,10,1020,0,21,5,13,113,113,113,0,1,10,météo favorable
2009-01-09,19,7,13,7,19,13,0,48,10,1026,0,19,3,12,113,113,113,0,1,10,météo favorable
2009-01-10,22,8,13,10,22,14,0,28,10,1031,0.25,22,0,13,113,113,113,0,1,10,météo favorable
2009-01-11,23,11,16,12,23,16,0,27,10,1030,0,23,0,16,113,113,113,0,1,10,météo favorable
2009-01-12,26,10,10,13,26,17,0,29,10,1024,0,24,4,17,113,113,113,0,1,10,météo favorable
2009-01-13,27,12,12,15,27,18,0,31,10,1025,0,26,4,18,113,113,113,0,1,10,météo favorable
2009-01-14,26,12,9,14,26,16,0,35,10,1022,1.375,25,5,16,113,113,113,0,1,10,météo favorable
2009-01-15,25,11,9,13,25,11,0,44,10,1020,0,24,1,12,113,113,113,0,1,10.1,météo favorable
2009-01-16,25,11,7,12,25,11,0,41,10,1024,0,24,0,12,113,113,113,0,1,10.1,météo favorable
2009-01-17,25,12,6,12,25,12,0,35,10,1024,0,25,0,13,113,113,113,0,1,10.1,météo favorable
2009-01-18,25,11,7,12,25,13,0,35,10,1025,0,25,0,13,113,113,113,0,1,10.1,météo favorable
2009-01-19,25,12,8,13,25,14,0,30,10,1023,0,24,0,14,113,113,113,0,1,10.1,météo favorable
2009-01-20,26,12,5,13,26,14,0,40,10,1021,10.25,25,3,14,113,113,113,0,1,10.1,météo favorable
2009-01-21,23,15,18,15,23,16,0,50,10,1017,42.375,24,7,16,116,116,116,0,1,10.1,météo favorable
2009-01-22,16,13,9,13,16,15,0.3,87,9,1017,77.5,16,13,14,353,119,116,0,1,6.7,météo défavorable
2009-01-23,16,13,15,14,16,13,1.6,93,8.875,1020,93.625,16,13,12,296,122,122,0,1,5.1,météo défavorable
2009-01-24,14,9,12,12,14,11,0.1,89,7,1023,51.75,14,12,10,143,116,113,0,1,10,météo correcte
2009-01-25,12,7,23,8,12,9,0,74,10,1021,29.25,12,7,6,116,116,113,0,1,10.2,météo défavorable
2009-01-26,12,6,19,7,12,8,0.1,71,10,1023,21.25,12,5,6,113,116,113,0,1,10.2,météo défavorable
2009-01-27,15,4,11,4,15,9,0,57,10,1032,0,15,1,7,113,113,113,0,1,10.2,météo correcte
2009-01-28,18,7,17,7,18,11,0,51,10,1031,0,18,3,9,113,113,113,0,1,10.2,météo favorable
2009-01-29,21,9,12,9,21,14,0,37,10,1025,0,22,4,13,113,113,113,0,1,10.3,météo favorable
2009-01-30,25,10,8,12,25,15,0,39,10,1025,0,25,5,14,113,113,113,0,1,10.3,météo favorable
2009-01-31,24,10,9,11,24,14,0,41,10,1021,0,24,5,14,113,113,113,0,1,10.3,météo favorable
2009-02-01,23,10,11,10,23,13,0,52,10,1023,0,23,7,13,113,113,113,0,1,10.3,météo favorable
2009-02-02,25,8,5,11,25,10,0,50,10,1023,0,25,5,12,113,113,113,0,1,10.7,météo favorable
2009-02-03,24,8,12,10,24,11,0,50,10,1021,3.75,23,4,11,113,113,113,0,1,10.7,météo favorable
2009-02-04,21,7,21,9,21,14,0,43,10,1016,36.875,22,4,13,116,116,116,0,1,10,météo favorable
2009-02-05,13,10,19,10,10,11,6.8,94,5.625,1016,70.625,13,10,7,302,266,143,0,1,6.9,météo défavorable
2009-02-06,11,9,16,11,10,9,3.8,96,5,1014,82.125,11,10,8,248,389,143,0,1,5.4,météo défavorable
2009-02-07,11,6,7,8,10,8,2.5,96,4.5,1012,58.875,11,9,8,263,389,143,0,1,8.5,météo défavorable
2009-02-08,12,6,12,7,12,9,0.2,91,6.875,1016,76.375,12,8,8,248,119,119,0,1,5.4,météo défavorable
2009-02-09,9,3,24,3,9,6,7.4,94,9.5,1018,31.375,9,7,3,296,176,113,0,1,10.1,météo très défavorable
2009-02-10,12,3,18,3,12,6,0,77,10,1024,13.5,12,2,4,113,116,113,0,1,10.9,météo très défavorable
2009-02-11,11,3,16,5,11,7,1,93,9.75,1023,32.375,11,8,4,296,176,113,0,1,10.1,météo très défavorable
2009-02-12,11,5,19,5,11,7,0,84,9,1024,28.125,11,5,6,116,116,113,0,1,10.1,météo très défavorable
2009-02-13,9,1,12,7,9,4,0.3,98,7.625,1022,44,9,6,3,122,176,116,0,1,10.1,météo très défavorable
2009-02-14,11,1,12,2,11,7,0,84,7,1020,22.5,11,5,5,143,116,113,0,1,11,météo très défavorable
2009-02-15,12,7,37,7,12,10,0,71,10,1017,37.25,12,7,6,113,116,116,0,1,10.1,météo défavorable
2009-02-16,9,7,18,9,9,7,8.6,95,9.125,1013,69.875,9,9,5,200,356,113,0,1,8.6,météo défavorable
2009-02-17,11,7,14,7,11,7,0,95,5.75,1022,37.875,11,8,6,143,113,143,0,1,11,météo défavorable
2009-02-18,15,5,8,5,15,6,0,94,6,1025,4.5,16,7,8,113,113,143,0,1,11,météo correcte
2009-02-19,18,6,11,7,18,8,0,79,10,1023,0,18,6,7,113,113,113,0,1,11.1,météo favorable
2009-02-20,20,7,8,8,20,12,0,69,10,1021,52.375,20,7,11,122,116,116,0,1,7.1,météo favorable
2009-02-21,15,9,7,10,15,11,0,80,10,1020,53.125,15,8,11,116,116,119,0,1,8.6,météo correcte
2009-02-22,15,10,6,10,15,12,1.4,96,5.375,1021,74.25,15,13,12,266,116,263,0,1,10.1,météo défavorable
2009-02-23,18,8,11,11,18,10,2.3,94,6.75,1022,35.625,18,12,10,293,113,143,0,1,11.1,météo favorable
2009-02-24,19,7,13,7,19,11,0,92,6,1023,6.875,19,11,10,143,113,113,0,1,11.2,météo favorable
2009-02-25,16,8,18,8,16,10,0,87,7,1023,17.25,16,8,8,113,113,113,0,1,11.2,météo correcte
2009-02-26,17,8,19,8,17,11,0,87,9,1023,18.875,17,9,10,113,113,116,0,1,11.2,météo correcte
