DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,28,19,9,19,28,22,0,86,10,1017,11,28,19,19,113,113,113,,,,météo idéale
2009-01-02,28,19,10,19,28,22,0,90,10,1017,13,29,19,19,113,113,176,,,,météo idéale
2009-01-03,28,19,10,19,28,23,0,91,10,1017,7,30,20,19,113,113,113,,,,météo idéale
2009-01-04,29,20,9,20,29,24,0,93,10,1018,9,32,21,20,113,113,113,,,,météo idéale
2009-01-05,29,21,9,21,29,23,1,91,10,1018,15,31,21,21,113,113,176,,,,météo idéale
2009-01-06,28,20,10,20,28,24,0,89,10,1016,13,30,22,20,113,113,113,,,,météo idéale
2009-01-07,28,21,9,21,28,24,0,90,10,1016,11,31,22,21,113,113,113,,,,météo idéale
2009-01-08,29,21,10,21,29,23,0,89,10,1017,13,31,21,21,113,113,113,,,,météo idéale
2009-01-09,28,21,10,21,28,23,1,88,10,1018,17,30,21,21,113,113,113,,,,météo idéale
2009-01-10,28,21,14,21,28,24,0,88,10,1020,8,30,20,21,113,113,113,,,,météo idéale
2009-01-11,29,21,10,21,29,24,0,90,10,1019,6,31,22,21,113,113,113,,,,météo idéale
2009-01-12,28,21,10,21,28,24,0,90,10,1018,7,31,21,21,113,113,113,,,,météo idéale
2009-01-13,28,21,12,21,28,24,0,89,10,1019,11,30,21,21,113,113,113,,,,météo idéale
2009-01-14,30,20,7,20,30,24,0,85,10,1020,3,32,21,20,113,113,113,,,,météo idéale
2009-01-15,30,20,12,20,30,24,0,91,10,1020,8,32,21,20,113,113,113,,,,météo idéale
2009-01-16,26,21,13,21,26,23,0,90,10,1021,12,27,20,21,113,113,113,,,,météo idéale
2009-01-17,24,22,15,22,24,23,1,91,9,1020,37,26,21,22,116,116,263,,,,météo favorable
