DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,13,6,9,4,11,9,0.5,85,7.375,1023,33.5,13,8,4,113,116,263,,,,météo correcte
2009-01-02,14,8,13,6,13,10,1.1,88,8.375,1020,45.5,14,8,7,119,116,113,,,,météo correcte
2009-01-03,12,6,5,4,11,8,0,84,9,1017,25.5,12,7,6,113,116,113,,,,météo défavorable
2009-01-04,8,3,15,3,8,5,0.3,75,10,1021,7.625,8,3,0,113,113,113,,,,météo très défavorable
2009-01-05,8,1,17,-1,7,4,0,68,10,1021,31.25,8,0,-3,116,113,116,,,,météo très défavorable
2009-01-06,7,2,32,1,7,1,0.3,77,10,1015,32,7,1,-2,116,113,113,,,,météo très défavorable
2009-01-07,3,-1,31,-2,3,-1,0,62,10,1019,1.625,3,0,-7,113,113,113,,,,météo très défavorable
2009-01-08,3,-1,14,-3,2,-2,0.1,67,10,1022,40.625,3,0,-6,119,119,113,,,,météo très défavorable
2009-01-09,5,1,6,-3,5,1,2.7,78,9,1023,74.625,5,0,-1,326,200,296,,,,météo très défavorable
2009-01-10,6,1,6,0,4,2,3.9,87,8.5,1029,72.625,6,2,-1,317,266,116,,,,météo très défavorable
2009-01-11,9,2,7,-1,7,4,0,90,9,1033,15.75,9,4,0,143,113,113,,,,météo très défavorable
2009-01-12,9,3,7,0,8,3,0,60,10,1031,14,9,0,1,113,113,116,,,,météo très défavorable
2009-01-13,6,1,12,-2,4,4,0.4,75,9.375,1025,48.625,6,2,-2,116,263,119,,,,météo très défavorable
2009-01-14,10,5,23,4,9,5,0,80,10,1021,29.375,10,2,1,116,113,113,,,,météo très défavorable
2009-01-15,11,2,8,-1,9,5,0,64,10,1019,16.375,11,1,0,113,116,113,,,,météo très défavorable
2009-01-16,9,3,8,0,8,4,0,68,10,1024,17,9,1,2,113,113,113,,,,météo très défavorable
2009-01-17,11,4,11,0,10,7,0.1,83,10,1025,18,11,4,2,116,113,113,,,,météo très défavorable
2009-01-18,13,4,14,0,11,8,0,85,10,1024,26.625,13,7,1,113,116,116,,,,météo correcte
2009-01-19,15,9,28,6,14,12,1.6,79,8.875,1018,32.375,15,8,7,113,113,266,,,,météo correcte
2009-01-20,9,5,21,6,9,5,3.2,72,9.625,1009,24,9,4,1,176,200,176,,,,météo très défavorable
2009-01-21,8,2,31,-1,8,5,0,67,10,1017,23.875,8,0,-3,113,116,116,,,,météo très défavorable
2009-01-22,10,4,13,2,8,8,3,88,7.125,1016,65.25,10,6,2,266,263,296,,,,météo très défavorable
2009-01-23,14,12,33,11,14,12,6.8,83,7.125,1004,61.125,14,10,10,299,263,263,,,,météo correcte
2009-01-24,11,8,59,9,10,8,0.7,63,9.375,1011,36,11,6,3,116,263,116,,,,météo défavorable
2009-01-25,11,5,21,2,11,7,2.2,74,9.75,1010,30.375,11,4,2,113,116,293,,,,météo très défavorable
2009-01-26,9,3,34,2,9,7,1.2,75,8.375,1011,46.25,9,3,-1,113,116,263,,,,météo très défavorable
2009-01-27,9,7,28,6,9,9,5.9,89,8,1017,65.25,9,6,3,266,299,263,,,,météo défavorable
2009-01-28,14,7,21,4,12,11,1.1,86,8.375,1018,52.125,14,9,4,116,122,266,,,,météo correcte
2009-01-29,15,8,12,6,13,12,1.7,87,8.25,1016,63,15,9,7,119,263,119,,,,météo correcte
2009-01-30,17,9,15,6,15,12,0,83,9,1016,12.75,17,8,8,143,113,113,,,,météo correcte
2009-01-31,10,8,11,6,9,9,6.6,88,8.875,1009,61.75,10,8,6,116,296,299,,,,météo défavorable
2009-02-01,8,4,20,4,8,7,6.4,88,8.5,1003,54.5,8,5,3,116,116,293,,,,météo très défavorable
2009-02-02,7,5,7,4,7,7,8.3,93,6.375,996,77.625,7,6,4,119,296,293,,,,météo très défavorable
2009-02-03,10,4,15,2,9,7,0.4,79,9.875,1001,30.75,10,3,1,113,113,116,,,,météo très défavorable
2009-02-04,12,6,21,4,12,10,1.2,75,9.25,1000,25.875,12,4,3,113,113,116,,,,météo défavorable
2009-02-05,10,4,15,2,9,8,0.7,80,8.75,999,30.875,10,4,1,113,116,263,,,,météo très défavorable
2009-02-06,7,4,20,2,7,4,4,82,9.125,997,40.5,7,3,0,116,386,293,,,,météo très défavorable
2009-02-07,6,4,36,3,6,4,0.6,75,10,1007,47,6,0,-1,116,353,116,,,,météo très défavorable
2009-02-08,10,4,26,3,8,7,1.5,80,7.25,1015,61.25,10,4,0,266,263,116,,,,météo très défavorable
2009-02-09,15,10,23,7,15,11,0,75,10,1016,38.75,15,6,8,122,113,116,,,,météo correcte
2009-02-10,13,8,31,8,13,8,0.3,67,10,1025,37.5,13,5,5,113,119,113,,,,météo correcte
2009-02-11,11,8,40,6,11,10,1.9,73,5.75,1025,73.25,11,6,4,266,263,266,,,,météo défavorable
2009-02-12,11,7,34,9,11,7,2.1,76,8.25,1023,40.375,11,7,3,263,113,113,,,,météo défavorable
2009-02-13,12,5,21,2,10,7,0,59,10,1024,1.5,12,0,1,113,113,113,,,,météo très défavorable
2009-02-14,14,5,19,2,12,8,0,71,10,1023,17.625,14,3,2,113,113,116,,,,météo correcte
2009-02-15,13,5,6,0,12,7,0,69,10,1024,9.5,13,2,5,113,113,113,,,,météo correcte
2009-02-16,11,5,9,1,11,7,0,79,7,1026,21,11,2,5,143,113,113,,,,météo très défavorable
2009-02-17,13,3,17,-1,11,9,0,63,10,1027,14.625,13,2,0,113,116,113,,,,météo correcte
2009-02-18,13,5,23,2,11,8,0,71,10,1025,11.5,13,3,1,113,116,113,,,,météo correcte
2009-02-19,14,5,12,1,12,9,0,77,10,1024,8.625,14,3,3,113,113,113,,,,météo correcte
2009-02-20,13,5,13,0,11,8,0,84,9,1028,10.5,13,5,4,113,116,113,,,,météo correcte
2009-02-21,14,6,24,2,14,9,0,70,8,1031,10.375,14,3,3,113,116,113,,,,météo correcte
2009-02-22,13,7,27,3,12,9,0,73,10,1033,14.125,13,4,3,116,113,113,,,,météo correcte
2009-02-23,14,7,27,5,13,9,0,67,10,1028,8.125,14,3,4,113,113,113,,,,météo correcte
2009-02-24,15,7,15,3,13,10,0,76,10,1022,12,15,4,4,116,113,113,,,,météo correcte
2009-02-25,15,7,11,1,15,10,0,78,9,1029,8.75,15,6,7,113,113,113,,,,météo correcte
2009-02-26,20,8,4,5,18,13,0.2,80,8,1030,25.625,20,8,8,119,113,113,,,,météo favorable
2009-02-27,21,11,4,4,19,13,0,56,10,1024,0,23,5,11,113,113,113,,,,météo favorable
2009-02-28,15,8,12,3,15,10,0.3,64,9.375,1016,37.375,15,4,7,116,116,263,,,,météo correcte
2009-03-01,16,8,10,4,15,11,0.7,75,8.875,1015,54.625,16,6,8,143,116,176,,,,météo correcte
2009-03-02,14,8,16,4,14,10,0.1,76,10,1020,40.625,14,5,6,116,119,116,,,,météo correcte
2009-03-03,13,7,11,4,12,9,0,73,10,1021,29.875,13,3,4,116,116,113,,,,météo correcte
2009-03-04,10,5,32,4,10,5,9,77,9.375,1010,52.5,10,4,1,116,299,296,,,,météo très défavorable
2009-03-05,8,5,52,1,8,5,3.8,77,9.125,1001,49.75,8,2,-1,293,386,353,,,,météo très défavorable
2009-03-06,10,6,45,3,10,7,0,64,10,1013,17.875,10,2,1,113,113,113,,,,météo défavorable
2009-03-07,13,9,39,8,12,10,0.9,75,7.375,1021,52.5,13,6,6,266,263,113,,,,météo correcte
2009-03-08,17,10,18,6,17,12,0,74,10,1021,9.5,17,7,8,113,113,113,,,,météo correcte
2009-03-09,15,9,21,6,14,10,0,64,10,1025,13,15,4,7,113,113,113,,,,météo correcte
2009-03-10,19,10,13,4,18,13,0,56,10,1025,6.25,19,3,10,113,113,113,,,,météo favorable
2009-03-11,19,9,22,5,17,14,0,60,10,1026,41.875,19,6,7,116,119,116,,,,météo correcte
2009-03-12,20,11,6,4,19,14,0,65,10,1026,4.5,20,7,11,113,113,113,,,,météo favorable
2009-03-13,26,15,5,7,24,18,0,55,10,1024,0.375,25,8,15,113,113,113,,,,météo idéale
2009-03-14,22,14,17,8,22,16,0,53,10,1024,12.75,23,7,13,113,113,116,,,,météo favorable
2009-03-15,21,12,12,7,19,16,0,60,10,1026,7.75,24,8,10,113,113,113,,,,météo favorable
2009-03-16,22,13,15,7,22,16,0,55,10,1027,2.75,24,7,13,113,113,113,,,,météo favorable
2009-03-17,20,13,12,5,19,14,0,48,10,1028,0.875,20,3,12,113,113,113,,,,météo favorable
2009-03-18,22,13,7,6,21,16,0,43,10,1027,0.875,23,2,14,113,113,113,,,,météo favorable
2009-03-19,25,15,5,5,24,18,0,39,10,1021,0,24,3,15,113,113,113,,,,météo idéale
2009-03-20,23,13,18,7,22,17,0,38,10,1020,2,23,4,13,113,113,113,,,,météo favorable
2009-03-21,19,9,9,4,19,13,0.2,78,10,1023,12.5,19,7,9,116,113,113,,,,météo favorable
2009-03-22,18,9,17,3,17,13,0,43,10,1027,1.875,18,0,7,113,113,113,,,,météo favorable
2009-03-23,20,9,11,3,18,15,0,44,10,1028,0,20,1,8,113,113,113,,,,météo favorable
2009-03-24,15,10,36,5,15,10,0,53,10,1021,5.875,15,3,7,113,113,113,,,,météo correcte
2009-03-25,17,7,21,1,16,13,0,46,10,1022,8.5,17,0,5,113,113,113,,,,météo correcte
2009-03-26,22,10,12,4,19,15,0,50,10,1020,5.25,23,3,9,113,113,113,,,,météo favorable
2009-03-27,25,14,9,5,23,18,0,41,10,1015,4.125,24,4,14,113,113,113,,,,météo favorable
2009-03-28,12,8,26,8,11,8,3.5,72,8.5,1005,39.5,12,5,4,113,263,293,,,,météo défavorable
2009-03-29,14,8,22,5,14,10,5,63,8.25,1012,46.75,14,3,5,293,116,263,,,,météo correcte
2009-03-30,15,10,13,5,14,11,0.8,54,8.75,1016,32.5,15,2,8,113,113,263,,,,météo correcte
