DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,14,0,5,6,14,8,0,82,9,1021,26.375,14,9,9,113,113,143,0,1,8.7,météo très défavorable
2009-01-02,12,0,4,5,12,7,0,91,9,1019,34.375,12,8,9,116,113,116,0,1,8.7,météo très défavorable
2009-01-03,8,0,8,2,8,3,0,75,10,1018,2.375,10,3,2,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,7,0,11,-1,7,-0,0,68,9,1022,4.375,7,1,5,113,113,113,0,1,8.7,météo très défavorable
2009-01-05,7,0,13,3,7,3,0,87,7,1021,52.25,7,3,3,143,122,116,0,1,5.2,météo très défavorable
2009-01-06,2,0,9,1,2,-2,0.5,89,8.375,1016,53.625,2,0,-2,119,116,113,0.1,1,6.9,météo très défavorable
2009-01-07,-0,0,12,-5,-1,-3,0,79,9,1022,30.25,0,0,-5,113,116,116,0,1,8.7,météo très défavorable
2009-01-08,1,0,7,-4,0,-4,0,62,10,1021,29.375,1,0,-5,116,113,113,0,1,8.7,météo très défavorable
2009-01-09,3,0,9,-4,3,0,0.4,69,9.375,1023,42.25,3,0,-2,116,116,116,0,1,8.7,météo très défavorable
2009-01-10,6,0,6,-1,6,1,0.1,88,7,1028,24.375,7,3,-0,143,116,113,0,1,8.7,météo très défavorable
2009-01-11,10,0,8,-1,10,3,0,77,10,1031,1.625,11,6,1,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,10,0,9,-0,9,4,0,64,10,1030,19.625,10,1,1,113,116,113,0,1,8.7,météo très défavorable
2009-01-13,8,0,15,3,8,5,1.6,90,7.625,1021,65.125,9,6,3,116,116,143,0,1,6.9,météo très défavorable
2009-01-14,10,0,7,2,10,5,0.2,92,8.625,1021,27.125,10,6,5,113,116,113,0,1,8.7,météo très défavorable
2009-01-15,13,0,11,3,12,5,0,70,10,1016,16.5,13,4,2,116,116,113,0,1,8.7,météo très défavorable
2009-01-16,12,0,9,3,11,7,0,67,10,1022,6.75,13,5,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-17,12,0,10,4,11,6,0,71,10,1025,11.875,12,5,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-18,12,0,23,7,12,10,0.1,84,10,1019,53.625,12,8,7,116,119,116,0,1,5.2,météo très défavorable
2009-01-19,12,0,17,11,12,9,7,93,9.5,1011,48.75,12,10,10,113,119,119,0,1,5.2,météo très défavorable
2009-01-20,7,0,22,4,7,4,1.2,85,10,1006,59.875,7,4,2,116,119,119,0,1,6.5,météo très défavorable
2009-01-21,6,0,17,5,6,5,2,94,6.5,1015,81.125,6,5,2,122,119,143,0,1,6.5,météo très défavorable
2009-01-22,10,0,19,6,8,9,6.7,90,9.375,1013,76.5,10,9,3,119,122,119,0,1,4.9,météo très défavorable
2009-01-23,14,0,35,13,13,10,12.6,95,9.125,1000,90.125,14,13,9,122,122,119,0,1,4.9,météo très défavorable
2009-01-24,13,0,64,9,8,7,4.7,90,9.625,1009,59.875,13,11,1,116,119,116,0,1,8.2,météo très défavorable
2009-01-25,8,0,19,5,8,5,3.8,97,9.5,1006,36.875,8,6,2,113,116,113,0,1,9.8,météo très défavorable
2009-01-26,8,0,23,5,8,7,3.8,94,9.875,1010,77.375,8,7,3,122,119,116,0,1,4.9,météo très défavorable
2009-01-27,10,0,8,7,10,6,0.3,92,8,1018,56.875,10,7,6,122,116,113,0,1,9.8,météo très défavorable
2009-01-28,11,0,15,6,9,10,1.1,96,5.75,1018,73.375,11,10,6,143,122,119,0,1,6.6,météo très défavorable
2009-01-29,14,0,8,6,14,10,0,86,7,1015,29.375,14,10,9,143,116,116,0,1,9.9,météo très défavorable
2009-01-30,17,0,14,8,16,11,0,85,9,1014,14.5,17,11,9,143,113,113,0,1,9.9,météo très défavorable
2009-01-31,14,0,9,8,14,10,0,80,9,1006,36.125,14,9,9,113,116,116,0,1,8.3,météo très défavorable
2009-02-01,12,0,12,7,12,8,0.8,85,8.625,1002,38.125,12,7,8,113,113,116,0,1,9.9,météo très défavorable
2009-02-02,11,0,10,5,10,7,1,82,9.875,998,66.375,11,6,7,119,116,119,0,1,9.9,météo très défavorable
2009-02-03,9,0,9,2,8,6,0,82,10,1002,33,9,2,2,116,116,116,0,1,10,météo très défavorable
2009-02-04,13,0,19,7,13,10,0.1,72,10,996,27,13,5,7,113,113,116,0,1,10,météo très défavorable
2009-02-05,13,0,20,8,13,9,0.7,66,9.375,995,25.125,13,4,7,116,113,113,0,1,10.1,météo très défavorable
2009-02-06,8,0,19,6,6,6,2.4,94,9.875,995,66.5,8,5,2,116,122,119,0,1,5,météo très défavorable
2009-02-07,6,0,12,4,6,3,2.8,92,8.625,1006,63.625,6,5,1,119,119,143,0,1,8.3,météo très défavorable
2009-02-08,9,0,12,4,5,6,1.3,90,9.375,1013,75.75,9,8,3,122,119,119,0,1,5.1,météo très défavorable
2009-02-09,15,0,23,8,15,12,0.6,87,8.375,1014,47.375,15,9,9,143,113,113,0,1,10.2,météo très défavorable
2009-02-10,12,0,27,9,9,6,4.3,87,9.875,1023,62.625,12,8,4,119,119,119,0,1,6.7,météo très défavorable
2009-02-11,6,0,15,5,5,4,13.2,100,6.875,1024,90.25,6,5,1,143,122,248,0,1,5.1,météo très défavorable
2009-02-12,8,0,6,4,8,6,0.5,93,6.75,1027,68.625,8,6,6,143,116,119,0,1,8.4,météo très défavorable
2009-02-13,9,0,7,-0,9,2,0,75,10,1027,6.75,10,2,4,113,113,113,0,1,10.3,météo très défavorable
2009-02-14,9,0,11,5,9,3,0,85,10,1026,29.125,9,4,5,119,113,113,0,1,10.3,météo très défavorable
2009-02-15,8,0,13,-1,7,2,0,59,10,1026,10.625,9,0,-1,113,113,113,0,1,10.3,météo très défavorable
2009-02-16,9,0,7,-2,9,1,0,50,10,1028,12.75,9,0,3,113,113,113,0,1,10.3,météo très défavorable
2009-02-17,11,0,9,0,11,3,0,72,10,1029,12.25,11,3,6,113,113,113,0,1,10.4,météo très défavorable
2009-02-18,11,0,8,2,11,3,0,77,5,1028,41.875,11,5,7,143,116,143,0,1,10,météo très défavorable
2009-02-19,11,0,12,4,11,5,0,78,6.75,1027,20.25,11,5,8,143,113,113,0,1,10.8,météo très défavorable
2009-02-20,12,0,11,-0,11,6,0,62,10,1028,14.125,12,2,3,113,113,113,0,1,10.9,météo très défavorable
2009-02-21,12,0,10,1,11,7,0,67,10,1034,24,12,2,5,116,116,113,0,1,10.9,météo très défavorable
2009-02-22,11,0,13,1,11,8,0.1,78,8,1034,40.375,11,6,8,143,113,122,0,1,10.1,météo très défavorable
2009-02-23,10,0,6,6,10,6,0.3,88,6.375,1031,64.5,11,7,8,143,122,143,0,1,7,météo très défavorable
2009-02-24,12,0,12,5,10,6,0,85,7,1024,38,12,5,6,143,116,113,0,1,11,météo très défavorable
2009-02-25,14,0,9,1,13,7,0,70,10,1028,0,15,3,8,113,113,113,0,1,11,météo très défavorable
2009-02-26,16,0,6,3,16,7,0,68,10,1028,0.125,18,7,13,113,113,113,0,1,11,météo très défavorable
2009-02-27,16,0,10,2,15,9,0,58,10,1025,3.25,16,7,10,113,113,113,0,1,11.1,météo très défavorable
2009-02-28,19,0,8,6,18,11,0,58,10,1016,16.5,20,7,11,113,116,116,0,1,11.1,météo favorable
2009-03-01,12,0,11,8,12,9,0.1,75,9,1015,57.875,12,7,9,116,122,116,0,1,7.1,météo très défavorable
2009-03-02,14,0,10,5,14,7,0.7,85,6.875,1022,48.25,14,7,10,248,119,113,0,1,10.1,météo très défavorable
2009-03-03,13,0,4,-0,13,5,0,70,7,1023,2,14,5,10,143,113,113,0,1,11.2,météo très défavorable
2009-03-04,8,0,22,8,6,4,2.7,97,9.375,1006,70.75,8,5,1,122,122,113,0,1,7.1,météo très défavorable
2009-03-05,6,0,29,3,6,4,7.6,96,9.25,1000,96,6,4,-1,122,200,200,0,1,5.6,météo très défavorable
2009-03-06,10,0,15,4,10,6,0.9,78,9,1014,36.625,10,4,4,116,113,113,0,1,11.6,météo très défavorable
2009-03-07,11,0,15,8,11,9,1.4,93,7.875,1022,74,11,8,7,122,119,113,0,1,7.3,météo très défavorable
2009-03-08,13,0,16,10,13,10,0.2,92,6.75,1022,73.75,13,10,9,143,116,122,0,1,8.7,météo très défavorable
2009-03-09,12,0,11,8,12,6,0.1,81,10,1026,35.375,12,8,9,119,116,113,0,1,11.6,météo très défavorable
2009-03-10,14,0,17,2,13,8,0,61,10,1026,12.25,14,5,10,113,113,113,0,1,11.6,météo très défavorable
2009-03-11,14,0,9,8,13,7,0.1,80,10,1027,34.625,14,7,9,119,116,113,0,1,11.6,météo très défavorable
