DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,13,0,13,-1,10,10,0,73,8.75,1025,23.375,13,10,-1,113,113,113,0,2,8.7,météo très défavorable
2009-01-02,19,0,14,14,17,17,0,98,3.75,1014,90,19,17,15,248,119,248,0,3,3.8,météo très défavorable
2009-01-03,23,0,20,18,21,20,0,91,9.875,1010,57.75,25,17,19,200,116,113,0,4,7.1,météo très défavorable
2009-01-04,18,0,17,17,14,11,0,94,7.75,1023,87.25,18,17,10,119,119,122,0,4,3.8,météo très défavorable
2009-01-05,9,0,9,7,6,6,1.8,96,6.875,1024,98.25,9,7,4,122,143,122,0,2,3.8,météo très défavorable
2009-01-06,10,0,12,6,7,9,0,97,3.75,1011,68.125,10,9,4,143,143,143,0,2,5.4,météo très défavorable
2009-01-07,14,0,15,2,12,8,0,70,10,1012,6.625,14,7,2,113,113,113,0,2,8.7,météo très défavorable
2009-01-08,17,0,10,7,16,11,0,69,10,1016,1.875,17,10,9,113,113,113,0,3,8.7,météo très défavorable
2009-01-09,18,0,18,9,18,18,0,94,7.75,1017,43.875,19,16,10,248,116,116,0,3,7.1,météo favorable
2009-01-10,18,0,24,17,8,5,0,90,10,1025,58,18,17,5,122,116,113,0,4,7.1,météo très défavorable
2009-01-11,10,0,10,-0,7,3,0,70,10,1029,16.75,10,0,-2,113,113,113,0,2,8.7,météo très défavorable
2009-01-12,14,0,11,2,13,8,0,61,10,1025,9.875,14,4,6,116,113,113,0,2,8.7,météo très défavorable
2009-01-13,6,0,23,2,4,1,0,69,10,1029,7.125,6,2,-5,113,113,113,0,3,8.7,météo très défavorable
2009-01-14,12,0,13,-1,10,2,0,52,10,1027,1.5,12,0,-1,113,113,113,0,2,8.7,météo très défavorable
2009-01-15,5,0,17,-1,4,1,0,69,10,1039,2.125,5,1,-5,113,113,113,0,2,8.7,météo très défavorable
2009-01-16,6,0,9,-5,5,1,0,43,10,1041,20.25,6,0,-7,113,113,119,0,2,8.7,météo très défavorable
2009-01-17,11,0,19,4,8,10,0,89,7.5,1033,79,11,11,2,119,116,248,0,1,3.8,météo très défavorable
2009-01-18,15,0,19,6,14,10,0,73,10,1022,14.125,15,11,6,113,113,113,0,3,8.7,météo très défavorable
2009-01-19,10,0,23,9,10,6,0,68,10,1016,22.875,10,3,5,116,113,113,0,3,8.7,météo très défavorable
2009-01-20,7,0,20,2,6,3,0,72,10,1024,1.875,7,0,-0,113,113,113,0,2,8.7,météo très défavorable
2009-01-21,12,0,18,-1,10,7,0,70,10,1025,0.125,12,4,-0,113,113,113,0,2,8.7,météo très défavorable
2009-01-22,18,0,14,3,16,13,0,77,10,1019,2.25,18,9,5,113,113,113,0,2,8.7,météo favorable
2009-01-23,19,0,20,12,18,17,0,85,9,1017,36.25,19,16,13,116,116,116,0,4,5.5,météo favorable
2009-01-24,16,0,19,6,3,4,0,92,8.75,1028,94.875,16,16,-0,122,122,122,0,4,3.9,météo très défavorable
2009-01-25,8,0,9,2,5,5,0,79,9,1025,60,8,3,1,119,119,116,0,1,5.5,météo très défavorable
2009-01-26,9,0,13,3,4,7,0.1,97,4.5,1025,93.5,9,8,1,122,143,248,0,1,3.9,météo très défavorable
2009-01-27,17,0,13,15,17,7,0.2,98,6.375,1020,95.25,17,16,15,122,119,122,0,3,3.9,météo très défavorable
2009-01-28,6,0,14,-1,3,0,0,85,10,1024,31.625,6,2,-6,119,113,113,0,1,8.7,météo très défavorable
2009-01-29,11,0,10,-3,8,1,0,57,10,1026,0,11,0,-1,113,113,113,0,2,8.7,météo très défavorable
2009-01-30,13,0,14,-3,12,8,0,58,10,1029,1.375,13,2,4,113,113,113,0,2,8.7,météo très défavorable
2009-01-31,17,0,10,2,15,11,0,59,10,1026,0.75,17,6,8,113,113,113,0,2,8.7,météo très défavorable
2009-02-01,14,0,16,6,14,12,0,93,7.5,1019,55,14,12,8,113,122,248,0,3,5.5,météo très défavorable
2009-02-02,12,0,18,6,10,7,0.4,75,8.75,1025,36.125,12,11,2,113,113,113,0,3,8.7,météo très défavorable
2009-02-03,14,0,16,3,13,8,0,60,10,1028,7.375,14,3,4,113,113,113,0,2,8.7,météo très défavorable
2009-02-04,9,0,7,-2,6,1,0,58,10,1037,1.75,9,0,-2,113,113,113,0,2,8.7,météo très défavorable
2009-02-05,14,0,14,-1,10,9,0,58,10,1035,0.5,14,7,-1,113,113,113,0,2,8.7,météo très défavorable
2009-02-06,20,0,24,9,19,16,0,93,10,1029,41.75,20,13,10,119,116,116,0,3,8.7,météo favorable
2009-02-07,20,0,19,13,20,18,0,85,10,1025,43,20,14,14,116,122,113,0,4,7.1,météo très défavorable
2009-02-08,21,0,18,12,21,18,0,90,7.5,1027,65.75,21,16,14,248,122,113,0,4,5.5,météo très défavorable
2009-02-09,17,0,18,13,16,16,2.5,94,6.875,1020,83,17,16,13,122,122,143,0,4,3.9,météo très défavorable
2009-02-10,21,0,24,17,19,18,0.3,98,9.75,1015,84.375,24,19,18,122,119,200,0,5,4,météo très défavorable
