DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,0,19,23,23,23,0,72,10,1014,52.5,26,18,22,116,116,116,0,6,8.7,météo favorable
2009-01-02,28,0,19,21,27,26,0.4,72,9.375,1015,54,29,18,23,116,116,116,0,5,10.2,météo favorable
2009-01-03,23,0,16,21,21,22,0,76,10,1016,29.125,25,17,21,116,116,113,0,6,11.6,météo favorable
2009-01-04,30,0,9,20,29,26,0,62,10,1015,15.375,31,18,25,113,113,113,0,6,11.6,météo favorable
2009-01-05,31,0,12,22,30,26,0,57,10,1013,10.75,33,19,27,113,113,113,0,6,11.6,météo favorable
2009-01-06,31,0,14,22,31,27,0,47,10,1014,8.75,32,17,28,113,113,113,0,6,11.6,météo favorable
2009-01-07,31,0,14,22,31,27,0,48,10,1015,14.5,32,17,27,113,113,116,0,6,11.6,météo favorable
2009-01-08,31,0,13,23,31,27,0,53,10,1016,11.75,31,17,27,113,113,113,0,7,11.6,météo favorable
2009-01-09,28,0,24,22,28,25,0,56,10,1018,5.125,28,16,24,113,113,113,0,6,11.6,météo favorable
2009-01-10,26,0,21,18,25,23,0,55,10,1020,4.75,26,13,21,113,113,113,0,6,11.6,météo favorable
2009-01-11,26,0,18,17,25,22,0,48,10,1018,3.5,26,11,20,113,113,113,0,5,11.6,météo favorable
2009-01-12,27,0,16,17,26,23,0,44,10,1019,1.75,27,10,22,113,113,113,0,5,11.6,météo favorable
2009-01-13,28,0,21,19,26,24,0,49,10,1021,12.875,27,13,22,113,113,113,0,6,11.6,météo favorable
2009-01-14,27,0,21,18,26,23,0,51,10,1021,2.25,27,12,22,113,113,113,0,6,11.6,météo favorable
2009-01-15,27,0,19,17,26,22,0,52,10,1021,0.25,27,13,21,113,113,113,0,6,11.6,météo favorable
2009-01-16,28,0,18,18,27,23,0,51,10,1020,0,28,14,22,113,113,113,0,6,11.6,météo favorable
2009-01-17,29,0,13,19,28,24,0,45,10,1017,3.625,29,14,24,113,113,113,0,5,11.6,météo favorable
2009-01-18,30,0,10,20,30,25,0,46,10,1016,4.125,32,16,26,113,113,113,0,6,11.6,météo favorable
2009-01-19,31,0,7,20,31,25,0,44,10,1015,7.75,33,17,27,113,113,113,0,6,11.6,météo favorable
2009-01-20,31,0,5,21,31,26,0,49,10,1014,3.25,38,21,31,113,113,113,0,6,11.6,météo favorable
2009-01-21,31,0,7,21,31,26,0,49,10,1014,3.875,39,21,31,113,113,113,0,6,11.6,météo favorable
2009-01-22,32,0,7,22,32,26,0,53,10,1012,6.125,36,20,29,113,113,113,0,6,11.6,météo favorable
2009-01-23,32,0,5,21,32,26,0,52,10,1012,2.5,38,21,31,113,113,113,0,6,11.6,météo favorable
2009-01-24,31,0,12,23,31,28,0,49,10,1013,19.625,34,20,28,113,113,113,0,6,11.6,météo favorable
2009-01-25,31,0,15,25,29,27,0,60,10,1014,47,35,21,25,116,116,116,0,7,10.2,météo favorable
2009-01-26,33,0,9,23,33,27,0,56,10,1014,10.625,38,22,29,113,113,113,0,7,11.6,météo favorable
2009-01-27,32,0,14,24,32,26,0.2,63,9.875,1013,10.25,34,24,30,113,113,113,0,6,11.6,météo favorable
2009-01-28,31,0,11,24,31,27,1.2,67,9.75,1013,24.25,33,22,28,113,113,113,0,5,11.6,météo favorable
2009-01-29,33,0,6,23,33,28,0,60,10,1013,7.125,37,24,32,113,113,113,0,6,11.6,météo favorable
2009-01-30,32,0,10,24,32,27,0,59,10,1012,10.875,35,22,31,113,116,113,0,6,11.6,météo favorable
2009-01-31,32,0,12,23,32,27,0,61,10,1013,10.625,34,22,30,113,113,113,0,6,11.6,météo favorable
2009-02-01,31,0,11,24,31,27,0,62,10,1013,22.125,34,23,30,113,116,113,0,6,11.6,météo favorable
2009-02-02,33,0,9,24,33,28,0,58,10,1014,15.75,37,23,31,113,116,113,0,7,11.6,météo favorable
2009-02-03,33,0,8,25,33,27,0,60,10,1014,17.875,37,21,29,116,113,113,0,6,11.6,météo favorable
2009-02-04,32,0,13,24,32,27,0,56,10,1013,14.5,34,21,30,113,113,113,0,6,11.6,météo favorable
2009-02-05,31,0,7,24,30,27,0,64,10,1012,16.375,35,21,28,113,116,113,0,7,11.6,météo favorable
2009-02-06,33,0,8,24,33,27,0,56,10,1013,14.875,36,22,30,113,113,113,0,6,11.6,météo favorable
2009-02-07,32,0,11,24,32,28,0,46,10,1013,11,35,20,29,113,113,113,0,7,11.6,météo favorable
2009-02-08,34,0,6,23,34,27,0,49,10,1014,7.625,37,20,31,113,113,113,0,6,11.6,météo favorable
2009-02-09,34,0,6,24,34,28,0,45,10,1014,4.375,38,21,31,113,113,113,0,6,11.6,météo favorable
2009-02-10,34,0,8,24,34,28,0,41,10,1013,7.25,36,18,31,113,113,113,0,6,11.6,météo favorable
2009-02-11,33,0,6,24,33,28,0,48,10,1012,6.25,37,19,31,113,113,113,0,6,11.6,météo favorable
2009-02-12,33,0,10,24,33,27,0,52,10,1010,7.5,38,22,31,113,113,113,0,7,11.6,météo favorable
2009-02-13,33,0,7,25,33,28,0,54,10,1010,6.75,36,23,31,113,113,113,0,7,11.6,météo favorable
2009-02-14,34,0,11,24,34,27,0,45,10,1009,3.625,37,20,30,113,113,113,0,7,11.6,météo favorable
2009-02-15,34,0,10,23,34,28,0,46,10,1010,0.25,40,21,32,113,113,113,0,7,11.6,météo très défavorable
2009-02-16,33,0,10,24,33,29,0,51,10,1012,5.875,37,22,32,113,113,113,0,7,11.6,météo favorable
2009-02-17,35,0,7,26,35,30,0.3,51,9.875,1011,20.875,40,21,33,116,113,113,0,7,11.6,météo très défavorable
2009-02-18,32,0,12,27,32,29,1.4,67,9.75,1011,34.625,36,24,30,116,116,113,0,7,11.6,météo favorable
