DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,6,1,15,1,6,4,0,45,10,1029,0.375,7,0,1,113,113,113,0,2,8.7,météo très défavorable
2009-01-02,8,3,11,4,8,5,0,79,10,1026,10,8,2,5,113,113,113,0,2,8.7,météo très défavorable
2009-01-03,10,5,13,7,9,9,2,89,9.875,1025,73.25,10,9,6,119,122,122,0,3,3.5,météo très défavorable
2009-01-04,11,10,12,10,11,10,0,78,10,1019,53.25,11,9,9,119,116,119,0,4,8.7,météo défavorable
2009-01-05,12,11,15,11,12,12,0.9,82,10,1017,60.5,12,10,10,119,116,116,0,3,7,météo défavorable
2009-01-06,12,12,18,12,12,12,5.9,87,9.625,1015,80.25,12,10,10,200,200,200,0,4,3.5,météo défavorable
2009-01-07,14,9,19,12,14,10,4.8,64,9.625,1020,23.875,14,10,11,113,113,113,0,3,8.7,météo correcte
2009-01-08,12,8,5,9,12,8,0,84,10,1023,3.625,15,8,10,113,113,113,0,3,8.7,météo défavorable
2009-01-09,13,8,14,8,13,9,0,55,10,1027,10.375,13,4,10,113,113,113,0,3,8.7,météo correcte
2009-01-10,11,8,6,9,11,9,0,81,10,1026,19.25,12,6,9,113,116,113,0,3,8.7,météo défavorable
2009-01-11,12,6,22,9,12,7,0,51,10,1031,2,12,5,5,113,113,113,0,3,8.7,météo défavorable
2009-01-12,10,5,13,5,10,7,0,45,10,1034,1.125,11,0,7,113,113,113,0,3,8.7,météo très défavorable
2009-01-13,13,6,10,7,13,10,0,42,10,1034,10.25,14,0,9,113,113,113,0,3,9.9,météo correcte
2009-01-14,14,8,3,10,14,11,0,54,10,1030,21.375,15,4,12,113,113,116,0,4,10,météo correcte
2009-01-15,15,10,4,11,15,11,0,64,10,1028,8.625,16,6,13,113,113,113,0,4,10,météo correcte
2009-01-16,11,10,13,11,11,10,1.2,85,9.875,1024,51.25,12,8,10,116,119,119,0,4,6.6,météo défavorable
2009-01-17,13,10,9,11,13,11,0.1,76,10,1020,28.5,13,9,11,116,113,113,0,3,10,météo correcte
2009-01-18,13,8,11,8,13,9,0,61,10,1022,18.875,14,4,9,116,113,113,0,3,10,météo correcte
2009-01-19,12,7,12,9,12,10,0,83,10,1020,19.625,12,7,9,116,113,113,0,3,10,météo défavorable
2009-01-20,13,8,8,9,13,9,0,72,10,1021,2.125,15,7,13,113,113,113,0,3,10,météo correcte
2009-01-21,13,8,8,10,13,11,0,77,10,1022,18.125,13,7,11,113,116,116,0,4,10,météo correcte
2009-01-22,16,10,11,11,16,11,0,67,10,1023,1.625,18,9,15,113,113,113,0,4,10.1,météo correcte
2009-01-23,12,10,56,12,12,12,3.7,84,9.5,1017,58,12,10,8,116,122,119,0,4,6.7,météo défavorable
2009-01-24,12,11,39,11,12,12,7.5,92,8.875,1007,74.125,12,11,8,122,200,116,0,3,8.3,météo défavorable
2009-01-25,14,11,41,12,14,13,12.4,94,8.75,1007,87.625,14,13,11,122,200,200,0,4,5.1,météo défavorable
