DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,16,6,11,5,11,14,0,77,9,1028,8,16,6,4,113,113,113,,,,météo correcte
2009-01-02,17,8,8,7,13,15,0,64,10,1023,42.25,17,4,7,116,119,116,,,,météo correcte
2009-01-03,12,8,13,7,10,11,0.5,82,9,1017,64.625,12,7,6,116,119,119,,,,météo défavorable
2009-01-04,13,5,5,4,10,12,4.2,90,4.625,1016,68.375,13,8,4,248,119,386,,,,météo très défavorable
2009-01-05,10,7,15,6,9,9,27.3,93,6.5,1016,83.875,10,7,5,302,266,119,,,,météo très défavorable
2009-01-06,9,3,9,3,6,9,0,90,7,1016,34.75,9,5,2,143,116,116,,,,météo très défavorable
2009-01-07,13,4,10,3,9,11,0,77,10,1014,23.875,13,4,2,113,113,116,,,,météo correcte
2009-01-08,13,4,7,3,10,11,0,69,8.5,1016,22.625,13,6,3,113,113,113,,,,météo correcte
2009-01-09,14,7,5,6,11,11,1.5,91,5.375,1018,51.75,14,7,7,248,116,176,,,,météo correcte
2009-01-10,11,4,10,4,8,9,0.3,91,8.375,1023,30.875,11,5,2,116,116,116,,,,météo très défavorable
2009-01-11,11,5,9,3,8,10,0.8,98,3.875,1023,96.375,11,8,4,248,266,122,,,,météo très défavorable
2009-01-12,10,8,11,8,9,9,35.8,97,6,1020,96.75,10,9,7,296,266,302,,,,météo très défavorable
2009-01-13,11,9,10,8,10,10,24.7,96,7.75,1008,75.875,11,9,7,353,263,116,,,,météo très défavorable
2009-01-14,11,8,14,9,9,9,9.1,89,9.25,1017,67,11,9,5,296,116,119,,,,météo défavorable
2009-01-15,12,5,8,5,9,9,0,90,9,1020,34.125,12,5,3,113,113,116,,,,météo très défavorable
2009-01-16,15,4,8,3,9,12,0,80,9.625,1023,6.5,15,6,2,113,113,113,,,,météo correcte
2009-01-17,12,4,11,3,9,10,0,87,7,1024,8.25,12,6,2,143,113,113,,,,météo très défavorable
2009-01-18,12,6,8,5,8,12,0.3,94,3.875,1024,64.75,12,8,4,248,116,113,,,,météo défavorable
2009-01-19,13,5,8,4,8,13,1.4,93,4,1023,32.25,13,10,3,143,263,113,,,,météo correcte
2009-01-20,11,9,10,8,10,10,15.2,95,6.875,1013,56,11,10,7,116,293,302,,,,météo défavorable
2009-01-21,11,9,10,8,10,10,16.5,94,7.125,1005,94,11,9,7,296,122,296,,,,météo très défavorable
2009-01-22,8,7,28,6,7,7,17,93,7.375,1012,85.125,8,7,2,302,296,122,,,,météo très défavorable
2009-01-23,11,8,15,7,9,11,5.9,92,5.625,1011,94.875,11,11,5,122,266,266,,,,météo défavorable
2009-01-24,14,11,21,12,14,12,3.7,88,8.5,1005,47.875,14,12,10,116,113,263,,,,météo correcte
2009-01-25,13,8,26,7,10,11,0.7,77,9,1007,32.375,13,5,4,116,113,113,,,,météo correcte
2009-01-26,13,7,10,6,11,9,2.2,78,9.5,1008,25.25,13,5,5,113,176,176,,,,météo correcte
2009-01-27,8,4,19,3,7,7,0.2,72,10,1011,40.25,8,3,0,113,116,119,,,,météo très défavorable
2009-01-28,9,7,23,6,9,9,1.9,81,4.75,1013,82.875,9,6,3,266,263,353,,,,météo défavorable
2009-01-29,10,8,11,7,9,9,4.4,92,5,1015,86.125,10,9,7,266,296,266,,,,météo défavorable
2009-01-30,14,9,11,8,12,12,0.2,88,5.75,1016,44.875,14,7,8,143,113,113,,,,météo correcte
2009-01-31,17,6,10,4,12,15,0,91,5.375,1015,48.5,17,8,5,248,113,113,,,,météo correcte
2009-02-01,14,7,13,7,10,13,3.3,86,9.125,1006,22.625,14,5,6,263,113,113,,,,météo correcte
