DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-6,-7,20,-7,-7,-7,0,89,10,1018,40.375,0,0,-14,116,116,119,0,1,0.5,météo très défavorable
2009-01-02,-6,-8,19,-7,-7,-8,0,90,10,1016,47.25,0,0,-14,116,116,116,0,1,2.9,météo très défavorable
2009-01-03,-8,-9,18,-9,-9,-9,0,92,10,1012,23.75,0,0,-16,113,116,113,0,1,2.9,météo très défavorable
2009-01-04,-9,-10,19,-10,-9,-10,0,91,10,1016,30,0,0,-17,116,116,113,0,1,2.9,météo très défavorable
2009-01-05,-2,-12,24,-8,-4,-2,0.1,90,8.625,1016,49.125,0,0,-11,116,116,119,0.1,1,2.9,météo très défavorable
2009-01-06,-0,-8,10,-3,-5,-7,0.4,92,9,995,79.5,0,0,-9,122,122,116,0.3,1,0.5,météo très défavorable
2009-01-07,-8,-12,17,-11,-12,-10,0,86,10,1006,25.25,0,0,-19,113,113,116,0,1,2.9,météo très défavorable
2009-01-08,-3,-10,13,-10,-5,-4,0,93,7.75,1007,66.5,0,0,-11,116,116,122,0,1,0.6,météo très défavorable
2009-01-09,-0,-5,20,-3,-2,-5,0,92,9,1011,17.25,0,0,-8,113,113,113,0,1,2.9,météo très défavorable
2009-01-10,1,-1,23,1,1,0,0,95,10,1010,32.375,1,1,-4,113,116,116,0,1,2.9,météo très défavorable
2009-01-11,2,-1,26,-0,1,2,0.6,94,9.375,997,40.375,2,2,-5,119,113,116,0.4,1,2.9,météo très défavorable
2009-01-12,3,1,24,2,3,2,0.2,98,9.375,985,68.25,3,3,-2,119,119,116,0,1,0.6,météo très défavorable
2009-01-13,2,-7,18,-1,-5,-6,2.5,97,3.875,996,100,2,1,-11,260,122,122,1.5,1,0.6,météo très défavorable
2009-01-14,-7,-11,18,-9,-9,-11,0.8,93,9,1018,58.875,0,0,-16,122,116,113,0.6,1,2.9,météo très défavorable
2009-01-15,-12,-15,15,-13,-13,-15,0,90,10,1028,0.75,0,0,-21,113,113,113,0,1,2.9,météo très défavorable
2009-01-16,-6,-12,19,-12,-9,-7,0,82,10,1030,9.625,0,0,-16,113,113,113,0,1,2.9,météo très défavorable
2009-01-17,-4,-5,28,-4,-4,-4,0,92,10,1025,48.875,0,0,-11,116,119,116,0,1,0.7,météo très défavorable
2009-01-18,-3,-4,23,-3,-3,-4,0,97,10,1019,95,0,0,-10,122,122,122,0,1,0.7,météo très défavorable
2009-01-19,-4,-4,15,-4,-4,-4,0.2,97,5.875,1010,100,0,0,-9,143,122,260,0.1,1,1.3,météo très défavorable
2009-01-20,-2,-5,17,-5,-3,-2,0,97,9,1006,100,0,0,-8,122,122,122,0,1,1.5,météo très défavorable
2009-01-21,0,-3,21,-2,0,0,1.1,98,7.375,1005,100,0,0,-5,122,122,122,0.9,1,1.5,météo très défavorable
2009-01-22,0,-0,13,0,0,-0,0,98,8.75,1005,91.875,0,0,-4,119,122,260,0.1,1,1.5,météo très défavorable
2009-01-23,-1,-6,11,-2,-3,-4,0.3,97,2.375,1003,92.75,0,0,-7,260,260,143,0.3,1,1.5,météo très défavorable
2009-01-24,-5,-6,14,-6,-5,-6,0,97,5.75,1008,95.5,0,0,-11,143,122,122,0,1,1.5,météo très défavorable
2009-01-25,-4,-6,15,-6,-5,-5,0,98,7.5,1010,100,0,0,-10,122,122,260,0,1,1.5,météo très défavorable
2009-01-26,-4,-5,13,-4,-5,-4,0,98,3.75,1014,99.375,0,0,-10,260,122,122,0,1,1.5,météo très défavorable
2009-01-27,-5,-9,9,-5,-5,-7,0,98,0,1015,71.375,0,0,-10,260,260,260,0,1,4.6,météo très défavorable
2009-01-28,-5,-8,5,-6,-5,-7,0,97,1.5,1019,76.5,0,0,-7,143,143,143,0,1,2.5,météo très défavorable
2009-01-29,-5,-11,9,-5,-7,-9,0,97,1.25,1027,50,0,0,-11,143,260,143,0,1,6.8,météo très défavorable
2009-01-30,-6,-12,1,-10,-8,-6,0,98,1.5,1032,46.625,0,0,-8,260,260,260,0,1,6.7,météo très défavorable
2009-01-31,-3,-5,23,-4,-3,-4,0,85,10,1031,33.125,0,0,-9,116,113,116,0,1,6.9,météo très défavorable
2009-02-01,-2,-5,9,-5,-2,-4,0,90,10,1028,8.625,0,0,-6,113,113,113,0,1,7,météo très défavorable
2009-02-02,-2,-4,8,-4,-2,-3,0,70,10,1026,6.875,0,0,-5,113,116,113,0,1,7.1,météo très défavorable
2009-02-03,-3,-6,14,-4,-5,-6,0,74,10,1018,16.25,0,0,-10,113,116,113,0,1,7.1,météo très défavorable
2009-02-04,-4,-8,6,-7,-4,-4,0.3,98,4,1002,77.25,0,0,-7,119,260,260,0.2,1,2.7,météo très défavorable
2009-02-05,-5,-6,17,-6,-6,-5,5.5,98,6,1003,100,0,0,-12,122,122,122,4.7,1,2.7,météo très défavorable
2009-02-06,-7,-15,17,-13,-13,-15,1.8,98,8,1005,100,0,0,-22,122,122,122,1.5,1,2.7,météo très défavorable
2009-02-07,-12,-16,19,-16,-15,-12,1.1,98,7,1005,100,0,0,-24,122,122,122,0.9,1,2.8,météo très défavorable
2009-02-08,-7,-11,26,-10,-9,-8,0.9,98,8.375,1000,100,0,0,-18,122,122,122,0.8,1,2.9,météo très défavorable
2009-02-09,-5,-12,18,-9,-12,-7,0.8,95,5.875,990,96.625,0,0,-20,122,119,122,0.6,1,3,météo très défavorable
2009-02-10,-3,-8,13,-4,-4,-7,0,97,7.5,1002,28.875,0,0,-9,116,113,113,0,1,8,météo très défavorable
2009-02-11,-6,-10,10,-10,-6,-8,0,97,2.5,1011,2.5,0,0,-11,113,143,143,0,1,8.1,météo très défavorable
2009-02-12,-7,-13,15,-13,-7,-7,0,97,7,1013,31,0,0,-13,143,113,116,0,1,8.1,météo très défavorable
2009-02-13,-7,-13,6,-10,-11,-12,0,94,4.25,1015,24.875,0,0,-15,113,113,143,0,1,8.6,météo très défavorable
2009-02-14,-4,-11,10,-7,-4,-6,0,97,4.5,1017,60.5,0,0,-8,143,260,119,0,1,6.9,météo très défavorable
2009-02-15,-9,-14,9,-10,-10,-13,0,98,3.75,1022,85.875,0,0,-15,260,260,260,0,1,3.3,météo très défavorable
2009-02-16,-14,-22,3,-15,-14,-21,0,94,1.75,1027,3.125,0,0,-14,113,143,260,0,1,8.7,météo très défavorable
2009-02-17,-15,-26,2,-23,-15,-25,0,93,4,1030,7.25,0,0,-15,113,113,260,0,1,8.7,météo très défavorable
2009-02-18,-14,-27,11,-17,-15,-15,0,97,5,1033,20,0,0,-22,113,260,116,0,1,8.7,météo très défavorable
2009-02-19,-12,-17,12,-17,-14,-13,0.9,99,5.5,1030,71.5,0,0,-21,116,260,260,0.6,1,3.4,météo très défavorable
2009-02-20,-6,-13,17,-13,-8,-6,0,97,8,1028,90.875,0,0,-15,143,122,122,0,1,3.4,météo très défavorable
2009-02-21,-4,-5,33,-5,-4,-4,0.2,96,9,1027,98.375,0,0,-12,122,122,122,0.1,1,3.4,météo très défavorable
2009-02-22,-2,-5,21,-5,-4,-3,0,97,10,1016,100,0,0,-11,122,122,122,0,1,3.5,météo très défavorable
2009-02-23,-2,-4,22,-4,-4,-3,1,98,7.375,1011,95.125,0,0,-11,122,122,122,0.9,1,3.5,météo très défavorable
2009-02-24,-0,-6,15,-3,-0,-5,0,97,10,1007,34.5,0,0,-5,116,116,113,0,1,7,météo très défavorable
2009-02-25,-3,-7,23,-6,-3,-5,0,96,10,1006,19.25,0,0,-9,113,113,113,0,1,8.7,météo très défavorable
2009-02-26,-5,-9,7,-9,-5,-8,0,96,3,1000,41.875,0,0,-8,116,143,143,0,1,5.4,météo très défavorable
2009-02-27,-7,-11,9,-8,-7,-10,0,96,5,1008,42.625,0,0,-11,122,143,143,0,1,7,météo très défavorable
2009-02-28,-7,-12,18,-11,-7,-8,0.1,97,8.125,1019,65.75,0,0,-14,122,122,116,0.1,1,3.8,météo très défavorable
2009-03-01,-6,-14,10,-11,-6,-8,0,96,2,1020,83.5,0,0,-11,260,143,143,0,1,3.8,météo très défavorable
2009-03-02,-2,-9,31,-4,-2,-2,1,97,7.5,1016,100,0,0,-9,122,122,122,0,1,3.8,météo très défavorable
2009-03-03,-2,-3,18,-3,-3,-2,0.5,98,8.125,1007,99.25,0,0,-9,122,122,122,0.4,1,3.8,météo très défavorable
2009-03-04,-3,-7,4,-6,-3,-6,0,97,1,1014,40.375,0,0,-5,143,143,260,0,1,8.7,météo très défavorable
2009-03-05,-0,-3,5,-1,0,-1,0,99,0,1017,88,0,0,-1,260,248,260,0,1,4,météo très défavorable
2009-03-06,-0,-2,6,-2,-0,-1,0,99,0,1017,75.375,0,0,-3,260,260,260,0,1,4.1,météo très défavorable
2009-03-07,-1,-3,8,-1,-1,-3,0,97,1.25,1017,71,0,0,-4,260,260,260,0,1,8.7,météo très défavorable
2009-03-08,-3,-4,17,-4,-3,-3,0,98,8.75,1014,100,0,0,-8,122,122,122,0,1,4.1,météo très défavorable
2009-03-09,-2,-4,9,-4,-4,-4,0.1,96,4.875,1009,99.625,0,0,-8,143,143,260,0.1,1,4.1,météo très défavorable
2009-03-10,-4,-7,15,-5,-6,-7,0.2,97,8.125,1008,100,0,0,-11,122,122,122,0.2,1,4.2,météo très défavorable
2009-03-11,-6,-7,12,-7,-6,-7,0.5,97,5.375,1019,100,0,0,-11,122,143,143,0.4,1,4.2,météo très défavorable
2009-03-12,-3,-12,10,-8,-4,-3,0,97,4.5,1019,77.625,0,0,-8,143,260,122,0,1,5.7,météo très défavorable
2009-03-13,-1,-3,25,-2,-1,-1,0,97,10,1012,98.875,0,0,-7,122,122,122,0,1,4.2,météo très défavorable
2009-03-14,-0,-1,15,-1,-0,-0,0.3,99,6.875,1014,96.875,0,0,-5,122,122,260,0.2,1,5.9,météo très défavorable
2009-03-15,0,-1,8,0,0,-1,0.1,100,3.75,1021,96.5,0,0,-2,248,248,122,0,1,5.9,météo très défavorable
2009-03-16,1,-1,16,-1,0,1,0.7,99,9,1020,74,1,0,-4,122,119,116,0,1,5.9,météo très défavorable
2009-03-17,-0,-3,10,-2,0,-0,0,99,6.5,1012,61,1,0,-3,116,248,116,0,1,8.8,météo très défavorable
2009-03-18,-0,-3,10,-3,-0,-1,0,97,8,1023,23.125,0,0,-4,116,143,143,0,1,11.6,météo très défavorable
2009-03-19,-2,-8,8,-8,-3,-3,0.7,97,7.375,1031,29.5,0,0,-6,113,143,116,0.6,1,10.2,météo très défavorable
2009-03-20,2,-1,16,1,2,0,0,100,10,1016,58.5,2,2,-2,116,116,113,0,1,8.8,météo très défavorable
2009-03-21,0,-4,10,-4,0,-2,0.4,98,8.375,1014,50.75,0,0,-3,113,248,116,0.3,1,8.9,météo très défavorable
2009-03-22,-2,-16,5,-8,-2,-16,0,98,4,1013,42.125,0,0,-4,116,260,260,0,1,11.6,météo très défavorable
2009-03-23,-3,-7,8,-5,-3,-6,0.2,97,3.75,1000,92.625,0,0,-6,143,143,143,0.2,1,8,météo très défavorable
2009-03-24,-5,-10,12,-10,-5,-7,0,97,6,1003,46.75,0,0,-9,116,143,143,0,1,11.9,météo très défavorable
2009-03-25,-8,-13,10,-10,-8,-11,0,95,3.5,1006,46.75,0,0,-12,119,143,143,0,1,12.9,météo très défavorable
2009-03-26,-5,-16,3,-12,-5,-8,0,93,3.5,1006,31.5,0,0,-7,143,116,143,0,1,13,météo très défavorable
2009-03-27,-5,-8,12,-8,-5,-7,0,95,5,1008,57.5,0,0,-10,119,143,143,0,1,12,météo très défavorable
2009-03-28,-2,-9,12,-7,-4,-3,0.3,95,4.5,1009,51.75,0,0,-9,113,143,260,0.2,1,12,météo très défavorable
2009-03-29,-3,-4,10,-3,-3,-3,2,98,2,1007,96,0,0,-7,260,260,260,1.7,1,8.2,météo très défavorable
2009-03-30,-0,-6,8,-4,-0,-1,0,99,4.25,1007,67.5,0,0,-3,113,260,122,0,1,10.8,météo très défavorable
2009-03-31,1,-1,9,-1,1,-1,0,99,6.25,1002,54.375,1,0,-2,113,248,260,0,1,12.1,météo très défavorable
2009-04-01,1,-3,8,-2,1,0,0,98,8.75,1021,53,1,0,-2,116,248,116,0,1,13.3,météo très défavorable
2009-04-02,0,-2,4,-1,0,0,0.7,98,1,1020,87.875,0,0,-1,143,248,248,0,1,9.8,météo très défavorable
2009-04-03,-0,-4,16,-2,-3,-4,0.6,97,4.75,1018,98.875,0,0,-9,122,122,143,0.5,1,8.7,météo très défavorable
2009-04-04,-1,-4,4,-4,-1,-2,0,96,2,1017,83,0,0,-3,143,143,143,0,1,8.7,météo très défavorable
2009-04-05,-2,-7,8,-5,-2,-7,0,94,1.5,1016,51,0,0,-5,143,143,260,0,1,13.4,météo très défavorable
2009-04-06,-2,-3,17,-2,-2,-3,0.1,96,5.875,1016,97.875,0,0,-7,122,122,122,0.1,1,8.8,météo très défavorable
2009-04-07,-2,-4,5,-4,-2,-3,0,95,4,1021,71.875,0,0,-4,143,143,143,0.1,1,11.1,météo très défavorable
2009-04-08,0,-5,6,-2,0,-0,0.1,97,3.875,1023,86.5,0,0,-2,143,248,122,0.1,1,10,météo très défavorable
2009-04-09,-0,-0,21,-0,0,-0,0,99,10,1020,100,0,0,-5,122,122,122,0,1,8.9,météo très défavorable
2009-04-10,1,-2,4,-0,1,-0,2.3,99,1.75,1019,91.5,1,1,-0,260,248,260,2,1,9,météo très défavorable
2009-04-11,1,-3,13,-0,0,1,0,98,5,1021,76.25,1,1,-3,260,116,119,0,1,9.3,météo très défavorable
2009-04-12,5,-0,23,1,5,3,0.2,95,10,1019,70.625,5,5,0,122,116,116,0,1,12.4,météo très défavorable
2009-04-13,9,3,9,4,9,5,1.2,88,7.5,1015,40.625,9,7,7,116,113,143,0,1,14.5,météo très défavorable
2009-04-14,7,0,6,2,7,1,0.4,76,9.375,1023,47.625,7,3,6,116,119,122,0.2,1,11.4,météo très défavorable
2009-04-15,1,-3,8,-2,1,-2,0,70,10,1030,20.375,1,0,-2,113,113,113,0,1,14.5,météo très défavorable
2009-04-16,-0,-5,9,-1,0,-0,0,93,9,1030,64,0,0,-2,122,116,116,0,1,12.6,météo très défavorable
2009-04-17,2,-2,16,1,2,-1,1.7,96,7.625,1012,53.125,2,1,-3,116,119,143,1.4,1,13.6,météo très défavorable
2009-04-18,-0,-7,14,-5,-0,-6,0,88,10,1024,19.625,0,0,-5,113,113,113,0,1,14.5,météo très défavorable
2009-04-19,2,-4,26,-3,2,-1,0.6,93,9.375,1022,42.625,2,1,-4,122,116,113,0.5,1,12.6,météo très défavorable
2009-04-20,1,-8,8,-3,1,-8,0,91,8.75,1030,11.125,1,0,-2,113,113,260,0,1,14.5,météo très défavorable
2009-04-21,3,-5,15,-0,3,2,0,93,7.5,1028,47.375,3,2,-1,113,113,248,0,1,12.7,météo très défavorable
2009-04-22,2,-0,6,0,2,2,0,96,2.75,1021,82.125,3,2,1,248,143,119,0,1,10.9,météo très défavorable
2009-04-23,7,2,8,5,7,3,0,81,8,1022,39.5,8,4,6,113,116,143,0,1,14.5,météo très défavorable
2009-04-24,10,3,16,4,10,8,0.8,74,8.875,1022,44,10,7,8,116,113,143,0,1,13.6,météo très défavorable
2009-04-25,12,5,14,8,12,9,0,69,8,1018,24.875,12,7,11,119,113,113,0,1,13.6,météo très défavorable
2009-04-26,12,5,13,7,12,9,0,66,10,1010,32.125,12,6,11,116,113,113,0,1,14.5,météo très défavorable
2009-04-27,5,2,9,3,2,3,3.2,92,7.875,1009,74.75,5,3,-0,116,119,248,0,1,10.2,météo très défavorable
2009-04-28,3,1,4,1,2,1,1,96,1.875,1011,97.25,3,3,2,143,143,248,0,1,10.3,météo très défavorable
2009-04-29,8,2,6,2,8,5,0,91,5,1025,67.375,8,7,8,116,116,248,0,1,13.7,météo très défavorable
2009-04-30,9,1,17,4,8,6,0,81,7.5,1028,36.75,9,5,5,116,113,113,0,1,14.5,météo très défavorable
2009-05-01,15,4,2,8,15,11,0,66,10,1025,4.875,15,8,15,113,113,113,0,1,14.5,météo correcte
2009-05-02,13,7,15,9,13,10,0,61,10,1023,9.375,13,6,12,113,113,113,0,1,17.1,météo correcte
2009-05-03,12,5,15,9,12,9,0.1,52,10,1014,17.75,13,6,11,116,113,113,0,1,17.4,météo très défavorable
2009-05-04,9,4,9,6,9,6,0.3,55,9,1014,53.75,10,1,8,122,116,116,0,1,16.7,météo très défavorable
2009-05-05,9,4,6,5,8,5,1.2,59,9.875,1002,64.125,9,2,8,119,116,119,0,1,14.6,météo très défavorable
2009-05-06,5,2,3,2,4,4,4.7,99,6.25,999,73.875,5,4,4,122,248,143,0,1,14,météo très défavorable
2009-05-07,9,2,15,4,9,6,0,56,8,1003,23.375,9,3,6,113,113,116,0,1,17.4,météo très défavorable
2009-05-08,11,4,11,6,11,7,0.7,54,8,1007,32.75,11,3,10,113,113,113,0,1,16.7,météo très défavorable
2009-05-09,7,4,7,5,6,7,2.6,97,7.5,1004,75.375,7,6,4,122,248,116,0,1,14.1,météo très défavorable
2009-05-10,11,4,18,6,11,9,0.2,53,9.875,1010,27.625,11,3,8,116,116,113,0,1,16.8,météo très défavorable
2009-05-11,11,4,16,7,11,7,0.1,48,10,1018,17.875,11,1,9,113,116,113,0,1,17.4,météo très défavorable
2009-05-12,11,3,13,6,11,9,0,46,10,1023,30.625,11,0,9,116,116,116,0,1,17.4,météo très défavorable
2009-05-13,10,5,7,7,10,8,0,55,10,1027,56.375,10,2,9,113,116,122,0,1,16.2,météo très défavorable
2009-05-14,10,3,14,5,10,9,0,53,10,1029,9,10,1,8,113,113,113,0,1,17.4,météo très défavorable
2009-05-15,14,6,10,8,14,10,0.2,70,9.875,1026,41.25,14,8,13,116,116,116,0,1,16.8,météo correcte
2009-05-16,9,5,16,7,9,7,0,55,10,1026,20.25,9,3,7,113,113,113,0,1,16.8,météo très défavorable
2009-05-17,13,5,12,10,13,9,0,44,10,1025,2.5,13,2,12,113,113,113,0,1,18.9,météo correcte
2009-05-18,14,3,9,10,14,12,0,36,10,1022,2.5,14,0,14,113,113,113,0,1,19,météo correcte
2009-05-19,11,7,10,8,11,10,0.2,59,9.375,1019,58.5,11,5,10,119,119,116,0,1,18.2,météo défavorable
2009-05-20,14,6,14,10,13,11,0.1,54,10,1018,27.75,14,5,12,116,116,113,0,1,19.5,météo correcte
2009-05-21,13,6,11,10,13,11,0.1,57,10,1013,22.25,13,7,12,116,116,113,0,1,19.6,météo correcte
2009-05-22,12,5,13,10,12,10,0,61,8,1010,24.125,12,6,11,116,116,113,0,1,19.7,météo très défavorable
2009-05-23,14,6,11,11,14,13,0.4,63,9.875,1008,20.125,14,7,13,113,113,200,0,1,19.7,météo correcte
2009-05-24,13,8,9,10,13,11,0,52,10,1009,48.75,13,6,12,113,119,119,0,1,18.6,météo correcte
2009-05-25,16,7,15,10,15,13,0,40,10,1010,17.125,16,4,15,113,116,113,0,1,19.9,météo correcte
2009-05-26,12,7,12,11,12,8,1.7,63,9.875,1010,81.625,12,7,10,119,122,119,0,1,17.9,météo défavorable
2009-05-27,10,7,22,8,9,8,3.1,96,7.625,1000,94.75,10,9,6,143,122,122,0,1,17.5,météo défavorable
2009-05-28,11,7,24,9,11,10,0,45,10,1021,24.875,11,2,9,113,113,113,0,1,20.1,météo défavorable
2009-05-29,14,6,16,10,13,13,0.1,45,10,1030,30,14,6,11,113,119,113,0,1,19.9,météo correcte
2009-05-30,21,10,12,14,20,19,0,41,10,1033,4,24,10,20,113,113,113,0,1,20.2,météo favorable
2009-05-31,22,14,26,19,22,19,0,36,10,1032,8,24,9,22,113,113,113,0,1,20.3,météo favorable
2009-06-01,16,9,14,12,16,13,0,37,10,1024,31,16,6,16,116,113,113,0,1,20.3,météo correcte
2009-06-02,12,6,4,9,12,10,0,40,10,1020,34.375,12,2,12,113,116,116,0,1,19.9,météo défavorable
2009-06-03,10,5,8,5,9,7,3,69,9.25,1006,83.75,10,5,8,122,119,119,0,1,17.9,météo très défavorable
2009-06-04,10,7,28,7,10,8,0,43,10,1004,42.875,10,5,6,116,116,113,0,1,20,météo défavorable
2009-06-05,7,5,20,5,7,7,0,54,10,1008,68.5,7,0,4,122,116,119,0,1,18.9,météo très défavorable
2009-06-06,8,3,11,6,8,7,0,46,10,1011,29.625,8,0,6,113,116,116,0,1,20.3,météo très défavorable
2009-06-07,9,1,10,8,9,8,0,48,10,1014,32.5,9,0,7,116,116,113,0,1,20,météo très défavorable
2009-06-08,10,2,17,8,10,9,0,38,10,1015,33,10,0,8,113,116,116,0,1,20.3,météo très défavorable
2009-06-09,15,5,18,10,15,13,0.1,33,10,1017,29,15,1,13,116,116,113,0,1,20.3,météo correcte
2009-06-10,14,7,14,12,13,9,0,44,10,1018,32,14,5,12,113,119,116,0,1,19.9,météo correcte
2009-06-11,14,5,6,11,12,11,0.2,65,8,1011,69.125,14,8,12,116,119,119,0,1,19.3,météo très défavorable
2009-06-12,15,6,13,13,15,12,0,63,8.75,1013,27.125,15,8,14,113,116,113,0,1,20.3,météo correcte
2009-06-13,14,10,23,11,14,12,0.3,71,9,1014,66.75,14,10,12,119,116,122,0,1,19.4,météo défavorable
2009-06-14,12,10,18,11,10,12,0.9,99,9.875,1009,94.125,12,12,8,119,122,122,0,1,19,météo défavorable
2009-06-15,12,10,14,12,11,11,0.8,99,7,1001,59.5,12,11,9,116,122,116,0,1,19.8,météo défavorable
2009-06-16,10,7,6,7,10,10,1.9,83,8.875,1010,85.5,10,8,10,122,119,116,0,1,19.4,météo défavorable
2009-06-17,12,7,10,9,12,12,0,43,10,1015,30.75,13,2,12,113,116,116,0,1,20.3,météo défavorable
2009-06-18,13,7,5,11,13,11,0,45,10,1014,19.875,13,2,13,113,113,116,0,1,20.3,météo correcte
2009-06-19,11,8,12,11,11,10,0,57,10,1008,39.875,11,5,9,113,116,116,0,1,20.3,météo défavorable
2009-06-20,14,8,6,11,13,12,0,49,10,1009,50.125,14,4,13,119,113,116,0,1,20,météo correcte
2009-06-21,14,10,9,13,14,13,0,57,10,1021,26.625,14,7,13,116,116,113,0,1,20.3,météo correcte
2009-06-22,18,9,17,13,16,16,0,52,10,1024,20.875,18,8,16,116,116,113,0,1,20.3,météo favorable
2009-06-23,19,11,13,15,18,17,0,53,10,1026,22.5,19,9,18,113,116,116,0,1,20.3,météo favorable
2009-06-24,20,13,5,16,20,18,0,44,10,1028,26.5,20,8,20,116,116,113,0,1,20.3,météo favorable
2009-06-25,22,11,11,17,22,20,0,37,10,1029,4.5,24,9,22,113,113,113,0,1,20.3,météo favorable
2009-06-26,25,16,16,20,25,21,0,35,10,1029,4.75,25,10,25,113,113,113,0,1,20.3,météo idéale
2009-06-27,25,16,10,21,25,20,0,40,9.875,1026,22.75,25,13,25,113,113,116,0,1,20.3,météo idéale
2009-06-28,22,16,7,19,22,18,0,41,9.875,1023,23.5,24,10,22,113,113,116,0,1,20.3,météo favorable
2009-06-29,17,14,11,15,16,17,0,61,10,1027,41.125,17,11,16,116,116,113,0,1,20.1,météo correcte
2009-06-30,23,13,21,18,22,21,0,44,9.875,1026,15.75,25,12,22,113,113,113,0,1,20.3,météo favorable
2009-07-01,23,17,6,21,23,21,0,44,9.875,1019,26.125,25,13,23,113,116,113,0,1,20.3,météo favorable
2009-07-02,19,14,9,18,18,17,0,60,10,1020,49,19,10,18,116,119,116,0,1,19.8,météo correcte
2009-07-03,14,11,11,11,14,13,0.1,47,10,1019,42.375,14,10,14,119,113,113,0,1,19.8,météo correcte
2009-07-04,14,9,21,11,13,12,0,47,10,1011,47,14,7,11,116,116,119,0,1,19.8,météo correcte
2009-07-05,13,6,9,10,12,11,0,55,10,1012,64,13,5,11,122,116,113,0,1,19.5,météo correcte
2009-07-06,13,8,5,12,12,11,0.2,63,10,1009,72.125,13,7,12,122,122,116,0,1,18.9,météo défavorable
2009-07-07,9,7,18,7,8,9,0.7,91,9.375,1006,67.5,9,7,5,122,116,119,0,1,19.2,météo défavorable
2009-07-08,14,8,13,10,14,13,0,65,10,1009,48.25,15,8,13,122,113,113,0,1,19.4,météo correcte
2009-07-09,15,10,31,13,15,14,5.2,71,9.625,1009,67,15,14,13,122,113,122,0,1,18.8,météo défavorable
2009-07-10,16,13,15,15,16,13,0,75,10,1010,60.375,16,14,16,119,116,122,0,1,19.2,météo correcte
2009-07-11,17,12,13,15,17,15,0,57,10,1013,8.875,17,11,17,113,113,113,0,1,20.3,météo correcte
2009-07-12,17,10,11,16,16,15,0,70,10,1013,40.25,17,11,16,116,116,116,0,1,20.2,météo correcte
2009-07-13,17,11,10,15,17,16,0,63,9,1012,16.125,17,10,17,113,113,113,0,1,20.2,météo correcte
2009-07-14,19,10,13,15,19,18,0.3,55,9.875,1012,17.125,19,12,19,113,116,113,0,1,20.1,météo favorable
2009-07-15,20,13,13,16,20,17,0.1,60,10,1012,24.25,20,13,20,113,116,116,0,1,20,météo favorable
2009-07-16,18,11,4,17,17,16,1.1,84,8.875,1012,38.375,18,15,17,113,116,116,0,1,20,météo favorable
2009-07-17,19,12,12,16,18,17,0.1,63,9,1011,23.5,19,13,18,113,113,113,0,1,19.9,météo favorable
2009-07-18,18,10,4,13,18,16,0,46,10,1013,15.75,18,7,18,113,116,113,0,1,19.9,météo favorable
2009-07-19,19,12,9,16,19,16,0,47,10,1014,6.75,19,9,19,113,113,113,0,1,19.8,météo favorable
2009-07-20,18,13,15,16,18,14,1.6,50,9.875,1009,41,18,12,18,116,116,122,0,1,19.4,météo favorable
