DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,12,10,9,8,11,11,0.1,68,10,1031,54.875,12,6,8,119,119,113,,,,météo défavorable
2009-01-02,15,12,39,10,14,14,1.5,78,6.375,1023,53,15,11,9,116,263,266,,,,météo correcte
2009-01-03,16,13,17,11,15,15,16.7,87,7,1019,96.75,16,14,11,296,353,353,,,,météo très défavorable
2009-01-04,15,13,23,11,14,14,6.8,87,5.5,1016,91.875,15,12,10,266,266,119,,,,météo défavorable
2009-01-05,13,12,30,10,13,13,8.6,88,6.375,1014,95.125,13,11,9,353,266,266,,,,météo défavorable
2009-01-06,11,10,46,9,11,11,18.6,84,3,1017,100,11,8,6,266,266,266,,,,météo très défavorable
2009-01-07,9,8,25,9,8,8,1.1,75,7,1022,61.5,9,6,5,122,116,116,,,,météo défavorable
2009-01-08,12,11,21,10,12,12,1.3,76,8.875,1023,68.625,12,9,9,116,116,266,,,,météo défavorable
2009-01-09,13,10,52,8,12,12,5.7,89,6.5,1031,99.5,13,11,5,266,296,266,,,,météo défavorable
2009-01-10,10,9,24,8,10,10,0,80,10,1028,48,10,6,6,119,113,113,,,,météo défavorable
2009-01-11,10,8,40,7,9,9,0,82,10,1034,17.875,10,7,3,113,116,113,,,,météo défavorable
2009-01-12,10,8,37,7,9,9,0.5,85,9,1034,74,10,7,4,122,122,116,,,,météo défavorable
2009-01-13,15,12,23,9,14,14,3.2,78,9.625,1032,52.25,15,12,10,116,116,296,,,,météo correcte
2009-01-14,18,15,51,13,17,17,23.8,83,7.75,1024,85.125,18,15,15,302,302,353,,,,météo très défavorable
2009-01-15,16,15,21,15,16,16,0.6,83,9.75,1021,13.25,16,14,15,113,113,176,,,,météo correcte
2009-01-16,16,14,22,13,15,15,5.1,89,9.625,1019,51,16,13,14,353,353,116,,,,météo correcte
2009-01-17,14,12,25,10,13,13,8,84,8.375,1025,86.875,14,11,9,353,296,263,,,,météo défavorable
2009-01-18,15,12,17,10,14,14,0,70,10,1025,59.5,15,10,11,116,116,119,,,,météo correcte
2009-01-19,16,14,22,13,16,16,0,76,10,1020,7.5,16,12,13,113,113,113,,,,météo correcte
2009-01-20,16,14,12,14,15,15,0,78,10,1016,5.75,16,11,14,113,113,113,,,,météo correcte
2009-01-21,17,16,42,14,17,17,5.6,88,9.625,1015,71.375,17,14,16,122,296,116,,,,météo défavorable
2009-01-22,16,16,44,16,16,16,0.2,85,10,1015,61.25,16,14,16,116,116,119,,,,météo correcte
2009-01-23,21,17,47,14,20,20,1.1,74,9.75,1005,39.5,24,15,17,176,200,116,,,,météo correcte
2009-01-24,15,13,28,12,14,14,0,73,10,996,16.375,15,10,11,113,113,116,,,,météo correcte
2009-01-25,17,15,39,14,17,17,9.2,79,9.25,997,25.125,17,14,15,113,113,356,,,,météo correcte
2009-01-26,14,11,32,14,12,12,0,75,10,1009,15.625,14,9,9,116,113,113,,,,météo correcte
2009-01-27,18,15,43,14,17,17,0,81,10,1012,30,18,14,15,113,116,113,,,,météo favorable
2009-01-28,17,14,22,13,16,16,22.2,75,8.375,1006,38.5,17,11,13,299,116,113,,,,météo très défavorable
2009-01-29,14,13,5,13,14,14,1.8,69,9.5,1007,18.375,14,9,13,113,113,176,,,,météo correcte
2009-01-30,13,12,35,11,13,13,8.1,79,9.25,1012,29.625,13,9,9,176,113,113,,,,météo correcte
2009-01-31,11,10,31,9,11,11,1.8,80,8.875,1013,70.125,11,8,7,116,122,266,,,,météo défavorable
2009-02-01,10,10,21,9,10,10,1.6,80,7.875,1018,67.875,10,6,7,266,119,116,,,,météo défavorable
2009-02-02,13,12,33,11,13,13,9,81,9.125,1020,66.875,13,10,8,296,116,353,,,,météo défavorable
2009-02-03,19,16,24,15,18,18,1.3,85,9.875,1019,26.75,19,15,16,116,113,113,,,,météo favorable
2009-02-04,21,18,49,16,20,20,0,72,10,1014,31,24,16,18,113,113,113,,,,météo favorable
2009-02-05,17,15,26,14,16,16,0,75,10,1012,14,17,11,15,116,113,113,,,,météo correcte
2009-02-06,16,15,15,14,16,16,0.8,75,10,1011,11.625,16,11,14,113,113,386,,,,météo correcte
2009-02-07,19,16,19,14,18,18,0,81,10,1008,17.625,19,16,16,113,113,116,,,,météo favorable
2009-02-08,19,16,38,15,18,18,0.8,82,9.875,1002,18,19,14,16,116,113,113,,,,météo favorable
2009-02-09,16,14,25,13,15,15,3.8,77,8.5,1003,35.375,16,11,13,266,176,116,,,,météo correcte
2009-02-10,14,12,43,10,13,13,3.1,71,9.75,1013,11,14,8,8,113,113,113,,,,météo correcte
2009-02-11,20,15,27,11,18,18,0,72,10,1011,14.375,20,14,13,113,113,116,,,,météo favorable
2009-02-12,16,14,42,12,16,16,1.9,63,9.875,1002,25,16,10,11,116,113,116,,,,météo correcte
2009-02-13,14,11,18,10,13,13,3.3,74,9.875,1004,49.875,14,9,9,353,116,116,,,,météo correcte
2009-02-14,13,10,53,7,12,12,26.8,89,6.5,1006,89.375,13,10,5,356,302,266,,,,météo très défavorable
2009-02-15,7,4,37,7,5,5,13.6,84,7.75,1014,99.875,7,4,-1,389,353,353,,,,météo très défavorable
2009-02-16,8,7,19,7,8,8,16.3,79,8.75,1019,81.625,8,4,4,353,353,353,,,,météo très défavorable
2009-02-17,11,9,18,7,10,10,0,61,10,1021,27.875,11,3,6,113,116,119,,,,météo défavorable
2009-02-18,15,12,29,10,14,14,0,66,10,1016,30.875,15,8,10,113,116,116,,,,météo correcte
2009-02-19,13,11,46,9,13,13,1.1,75,9.125,1010,51.875,13,8,7,116,116,116,,,,météo correcte
2009-02-20,9,6,44,7,6,8,5.9,81,8.375,1013,64.625,9,4,0,116,119,353,,,,météo défavorable
2009-02-21,9,8,36,8,9,9,10.5,82,7.25,1020,94.75,9,6,4,266,353,119,,,,météo défavorable
2009-02-22,8,7,34,6,8,8,3.4,77,8.375,1020,79.25,8,4,3,122,119,119,,,,météo très défavorable
2009-02-23,8,7,49,7,7,7,5.6,84,7.75,1014,95.5,8,5,1,266,353,119,,,,météo très défavorable
2009-02-24,8,7,30,8,7,7,2.6,71,9.625,1017,48.625,8,4,3,176,116,116,,,,météo très défavorable
2009-02-25,9,8,54,7,9,9,3,84,8,1019,88.625,9,6,3,116,353,266,,,,météo défavorable
2009-02-26,9,8,54,7,8,8,0.7,80,8.375,1018,84.25,9,5,2,119,122,122,,,,météo défavorable
2009-02-27,10,9,22,8,10,10,0.7,71,8.375,1016,65.5,10,5,6,122,122,113,,,,météo défavorable
2009-02-28,8,8,36,8,8,8,4.2,71,9.75,1019,23.125,8,3,4,116,176,113,,,,météo très défavorable
2009-03-01,14,13,30,12,13,13,0,61,10,1021,5.625,14,6,10,113,113,113,,,,météo correcte
2009-03-02,16,14,21,13,15,15,0,69,10,1019,41.625,16,10,12,116,113,116,,,,météo correcte
2009-03-03,15,14,21,13,14,14,0,84,10,1017,26.25,15,12,12,116,113,113,,,,météo correcte
2009-03-04,18,15,22,14,17,17,0,83,10,1017,25.375,18,14,15,113,113,113,,,,météo favorable
2009-03-05,22,18,55,15,20,20,4.3,82,9.125,1012,35.125,25,18,18,119,263,113,,,,météo correcte
2009-03-06,18,16,50,14,18,18,0,76,10,998,19.75,18,13,16,113,113,113,,,,météo favorable
2009-03-07,16,14,39,14,15,15,0,70,9.875,998,38.625,16,10,12,116,113,113,,,,météo correcte
2009-03-08,14,13,22,13,14,14,4.2,78,9.5,1006,25,14,10,11,176,353,116,,,,météo correcte
2009-03-09,14,12,34,11,14,14,0,69,10,1011,4.375,14,8,10,113,113,113,,,,météo correcte
2009-03-10,15,13,48,12,15,15,0,71,10,1016,2,15,8,10,113,113,113,,,,météo correcte
2009-03-11,14,12,16,11,14,14,0.1,62,10,1018,33.375,14,8,12,113,116,113,,,,météo correcte
2009-03-12,15,12,34,10,14,14,4.7,85,8.625,1015,47.25,15,12,10,116,116,266,,,,météo correcte
2009-03-13,11,10,25,10,10,10,6.6,75,8.875,1016,68.875,11,6,7,353,353,113,,,,météo défavorable
2009-03-14,11,11,43,11,11,11,0.9,66,10,1018,6.625,11,5,7,113,113,113,,,,météo défavorable
2009-03-15,13,11,7,10,13,13,0,61,10,1023,23.625,13,5,11,119,116,113,,,,météo correcte
2009-03-16,13,12,10,11,12,12,0,66,10,1022,15.625,13,6,11,113,116,113,,,,météo correcte
2009-03-17,14,12,31,11,13,13,0,70,10,1022,24.875,14,8,9,116,116,113,,,,météo correcte
2009-03-18,11,10,12,9,11,11,6.8,81,8.875,1020,60.25,11,8,8,116,119,293,,,,météo défavorable
2009-03-19,8,8,50,8,8,8,3.5,66,9.625,1018,8.75,8,3,3,176,113,113,,,,météo très défavorable
2009-03-20,14,12,40,11,14,14,0,66,10,1019,28.5,14,8,9,113,119,113,,,,météo correcte
2009-03-21,20,15,54,12,18,18,13,86,7.25,1015,67.125,20,17,12,119,263,302,,,,météo défavorable
2009-03-22,13,9,34,11,10,9,0.9,82,8.75,1009,59.75,13,9,4,176,119,122,,,,météo correcte
2009-03-23,11,9,29,8,10,10,8.7,73,8.5,1010,56,11,6,6,353,353,113,,,,météo défavorable
2009-03-24,16,13,33,11,15,15,0,65,10,1011,12,16,9,11,113,116,113,,,,météo correcte
2009-03-25,18,15,45,15,16,18,0.9,74,9.875,1005,22,18,12,13,113,113,200,,,,météo favorable
2009-03-26,13,11,18,9,12,12,0.8,82,9,1010,76.375,13,9,9,116,116,122,,,,météo défavorable
2009-03-27,10,8,25,10,8,8,0.6,66,9.25,1018,18.5,10,4,6,113,113,113,,,,météo défavorable
2009-03-28,13,11,19,11,12,12,0,69,10,1021,10.125,13,7,10,113,113,113,,,,météo correcte
2009-03-29,16,15,26,14,16,16,0.2,70,10,1022,30.375,16,11,13,113,113,116,,,,météo correcte
2009-03-30,19,16,9,14,18,18,0,76,10,1019,50.625,19,14,16,122,113,116,,,,météo favorable
2009-03-31,19,17,15,15,18,18,0,74,10,1017,33.875,19,14,17,116,113,113,,,,météo favorable
2009-04-01,19,16,21,15,18,18,0.1,80,10,1016,62.25,19,15,16,116,122,122,,,,météo correcte
2009-04-02,18,15,26,14,17,17,0,79,10,1018,18,18,14,15,113,113,113,,,,météo favorable
