DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,34,19,10,19,32,30,0,47,10,1013,2.875,32,13,25,113,113,113,0,1,11.6,météo idéale
2009-01-02,35,18,9,18,32,30,0,45,10,1012,1.25,37,14,25,113,113,113,0,1,11.6,météo favorable
2009-01-03,35,16,4,16,33,28,0,44,10,1013,3.375,35,13,26,113,113,113,0,1,11.6,météo favorable
2009-01-04,36,17,4,17,33,31,0,44,10,1013,3.5,36,13,26,113,113,113,0,1,11.6,météo favorable
2009-01-05,35,18,7,18,32,31,0,41,10,1012,3.875,34,12,26,113,113,113,0,1,11.6,météo idéale
2009-01-06,34,17,8,17,32,31,0,44,10,1012,1.25,35,12,25,113,113,113,0,1,11.6,météo favorable
2009-01-07,34,17,8,17,32,30,0,42,10,1011,1.5,33,12,25,113,113,113,0,1,11.6,météo idéale
2009-01-08,31,21,8,21,25,29,0,52,10,1012,8.875,30,13,22,113,113,113,0,1,11.6,météo idéale
2009-01-09,34,20,10,20,31,31,0,41,10,1013,3.875,33,10,24,113,113,113,0,1,11.6,météo idéale
2009-01-10,34,16,11,16,32,30,0,39,10,1013,0,33,9,24,113,113,113,0,1,11.6,météo idéale
2009-01-11,34,15,9,15,32,30,0,32,10,1014,0,34,8,26,113,113,113,0,1,11.6,météo idéale
2009-01-12,34,15,9,15,32,31,0,32,10,1013,0,34,8,26,113,113,113,0,1,11.6,météo idéale
2009-01-13,34,16,8,16,32,29,0,34,10,1013,1.375,33,9,26,113,113,113,0,1,11.6,météo idéale
2009-01-14,34,18,12,18,32,31,0,43,10,1013,3.625,32,12,26,113,113,113,0,1,11.6,météo idéale
2009-01-15,34,19,16,19,32,31,0,43,10,1012,5,32,12,25,113,113,113,0,1,11.6,météo idéale
2009-01-16,33,21,16,21,31,29,0,48,10,1011,8.5,32,14,25,113,113,113,0,1,11.6,météo idéale
2009-01-17,31,21,16,21,31,29,0,52,10,1012,11,30,14,24,113,113,113,0,1,11.6,météo idéale
2009-01-18,35,20,11,20,32,31,0,47,10,1011,4.75,34,13,24,113,113,113,0,1,11.6,météo idéale
2009-01-19,32,22,13,22,30,29,0,48,10,1011,6.75,31,12,24,113,113,113,0,1,11.6,météo idéale
2009-01-20,33,20,6,20,33,29,0,51,10,1010,8.5,32,14,24,113,113,113,0,1,11.6,météo idéale
2009-01-21,35,20,8,20,32,32,0.1,50,10,1011,9.5,34,15,26,113,113,113,0,1,11.6,météo idéale
2009-01-22,35,20,7,20,32,31,0,61,10,1013,9,34,17,25,113,113,113,0,1,11.6,météo idéale
2009-01-23,35,18,6,18,32,29,0,56,10,1012,11.5,35,16,26,113,113,113,0,1,11.6,météo favorable
2009-01-24,33,19,5,19,30,30,0.2,67,9.875,1012,23,34,18,24,176,113,113,0,1,11.6,météo idéale
2009-01-25,33,19,8,19,32,30,0.2,62,9.875,1012,16.5,33,17,25,113,116,113,0,1,11.6,météo favorable
2009-01-26,33,21,8,21,32,29,0,50,10,1013,13.625,32,14,26,113,113,113,0,1,11.6,météo idéale
2009-01-27,33,18,8,18,32,28,0,54,10,1014,16.375,32,16,25,113,113,113,0,1,11.6,météo idéale
2009-01-28,32,20,8,20,30,28,0,63,10,1013,23.875,32,16,24,113,113,113,0,1,11.6,météo idéale
2009-01-29,35,19,9,19,31,32,0,59,10,1012,9.625,34,16,24,113,113,113,0,1,11.6,météo idéale
2009-01-30,35,18,8,18,32,32,0,47,10,1012,3.375,35,14,26,113,113,113,0,1,11.6,météo favorable
2009-01-31,36,19,5,19,33,31,0,51,10,1012,8,36,14,25,113,113,113,0,1,11.6,météo favorable
2009-02-01,36,20,9,20,32,31,0.3,51,10,1012,8.875,35,15,25,113,113,113,0,1,11.6,météo favorable
2009-02-02,35,21,14,21,32,32,0,57,10,1012,11.375,33,16,26,113,113,113,0,1,11.6,météo idéale
2009-02-03,35,21,10,21,32,31,0,52,10,1012,33.75,33,15,25,116,116,113,0,1,11.6,météo favorable
2009-02-04,34,19,11,19,32,32,0,54,10,1013,10,33,16,26,113,113,113,0,1,11.6,météo idéale
2009-02-05,36,21,8,21,33,31,0,54,10,1013,7.25,36,16,26,113,113,113,0,1,11.6,météo favorable
2009-02-06,37,20,6,20,34,31,0,52,10,1013,5.625,37,15,26,113,113,113,0,1,11.6,météo favorable
2009-02-07,36,21,8,21,32,31,0.4,61,10,1011,8.375,36,17,25,113,113,113,0,1,11.6,météo favorable
2009-02-08,35,21,7,21,32,31,0.6,57,10,1012,24.25,34,17,26,113,113,116,0,1,11.6,météo idéale
2009-02-09,35,19,17,19,33,32,0,51,10,1014,22.625,33,16,27,113,113,113,0,1,11.6,météo idéale
2009-02-10,34,20,18,20,32,32,0,44,10,1014,13.75,32,13,26,113,113,113,0,1,11.6,météo idéale
2009-02-11,35,18,13,18,33,33,0,53,10,1013,7.125,33,15,26,113,113,113,0,1,11.6,météo idéale
2009-02-12,35,19,11,19,32,32,0,52,10,1012,6.5,34,15,25,113,113,113,0,1,11.6,météo idéale
2009-02-13,35,19,14,19,32,32,0,48,10,1012,3.75,33,14,26,113,113,113,0,1,11.6,météo idéale
2009-02-14,35,19,12,19,32,33,0,41,10,1012,0.75,34,11,25,113,113,113,0,1,11.6,météo idéale
2009-02-15,36,17,8,17,33,33,0,37,10,1011,0.5,38,9,25,113,113,113,0,1,11.6,météo favorable
2009-02-16,37,18,6,18,33,31,0,39,10,1010,3.875,37,11,26,113,113,113,0,1,11.6,météo favorable
2009-02-17,36,17,9,17,35,32,0,40,10,1010,4,37,13,27,113,113,113,0,1,11.6,météo favorable
2009-02-18,34,20,9,20,34,30,0,46,10,1009,6.25,34,14,26,113,113,113,0,1,11.6,météo idéale
2009-02-19,35,20,13,20,32,31,0,53,10,1009,6.125,33,15,25,113,113,113,0,1,11.6,météo idéale
2009-02-20,35,19,10,19,34,31,0,47,10,1011,3.375,34,15,27,113,113,113,0,1,11.6,météo idéale
2009-02-21,35,20,14,20,33,33,0,40,10,1011,2.25,33,12,26,113,113,113,0,1,11.6,météo idéale
2009-02-22,35,19,11,19,34,33,0,37,10,1010,0.25,34,10,26,113,113,113,0,1,11.6,météo idéale
2009-02-23,35,18,13,18,34,33,0,36,10,1009,2.375,34,11,27,113,113,113,0,1,11.6,météo idéale
2009-02-24,36,18,12,18,34,33,0,46,10,1010,5.25,35,14,26,113,113,113,0,1,11.6,météo favorable
2009-02-25,35,18,17,18,32,33,0,54,10,1011,3.5,33,17,27,113,113,113,0,1,11.6,météo idéale
2009-02-26,36,19,14,19,33,33,0,43,10,1010,4.625,34,13,27,113,113,113,0,1,11.6,météo idéale
2009-02-27,31,20,10,20,30,27,0.1,50,10,1011,22.25,31,15,26,113,113,116,0,1,11.6,météo idéale
2009-02-28,36,21,11,21,31,31,0,56,10,1011,7.25,35,15,24,113,113,113,0,1,11.6,météo favorable
2009-03-01,35,20,8,20,34,31,0,44,10,1012,7.875,35,14,26,113,113,113,0,1,11.6,météo favorable
2009-03-02,34,21,10,21,33,32,0.4,55,9.875,1012,12,33,16,26,176,113,113,0,1,11.6,météo idéale
2009-03-03,35,23,12,23,32,33,0,49,10,1012,7.75,33,13,24,113,113,113,0,1,11.6,météo idéale
2009-03-04,36,23,13,23,33,33,0,40,10,1012,2.5,34,12,26,113,113,113,0,1,11.6,météo idéale
2009-03-05,36,20,10,20,34,33,0,42,10,1012,2.25,36,14,28,113,113,113,0,1,11.6,météo favorable
2009-03-06,36,19,17,19,34,33,0,42,10,1011,2.75,34,13,27,113,113,113,0,1,11.6,météo idéale
2009-03-07,35,20,17,20,32,33,0,41,10,1012,2,33,11,26,113,113,113,0,1,11.6,météo idéale
2009-03-08,36,19,9,19,34,28,0,40,10,1013,2.75,35,12,26,113,113,113,0,1,11.6,météo favorable
2009-03-09,37,20,6,20,34,33,0,41,10,1013,2,38,13,28,113,113,113,0,1,11.6,météo favorable
2009-03-10,36,18,8,18,36,31,0,39,10,1011,2.375,37,13,28,113,113,113,0,1,11.6,météo favorable
2009-03-11,33,22,10,22,33,30,0,52,10,1011,13,34,16,26,113,113,113,0,1,11.6,météo idéale
2009-03-12,36,19,9,19,35,32,0,48,10,1010,6,35,16,28,113,113,113,0,1,11.6,météo favorable
2009-03-13,35,20,13,20,33,31,0,51,10,1010,7.125,34,16,27,113,113,113,0,1,11.6,météo idéale
2009-03-14,35,20,15,20,33,32,0,50,10,1011,5.75,33,15,26,113,113,113,0,1,11.6,météo idéale
2009-03-15,36,19,9,19,34,30,0,58,10,1012,6.125,35,17,26,113,113,113,0,1,11.6,météo favorable
2009-03-16,37,20,9,20,34,32,0.2,64,10,1011,7.875,38,17,25,113,113,113,0,1,11.6,météo favorable
2009-03-17,34,20,11,20,34,32,0,51,10,1010,5.375,33,16,27,113,113,113,0,1,11.6,météo idéale
2009-03-18,36,20,9,20,34,29,0,52,10,1011,8.875,36,15,26,113,113,113,0,1,11.6,météo favorable
2009-03-19,36,20,8,20,34,33,0,54,10,1011,4.375,36,15,25,113,113,113,0,1,11.6,météo favorable
2009-03-20,36,19,9,19,32,32,0,51,10,1012,8.625,36,14,25,113,113,113,0,1,11.6,météo favorable
2009-03-21,38,17,7,17,34,33,0,48,10,1013,2.25,39,15,26,113,113,113,0,1,11.6,météo favorable
2009-03-22,36,18,9,18,35,32,0,45,10,1011,2.5,35,14,26,113,113,113,0,1,11.6,météo favorable
2009-03-23,36,19,9,19,33,30,0,54,10,1011,6.125,36,16,26,113,113,113,0,1,11.6,météo favorable
2009-03-24,36,18,12,18,33,33,0,64,10,1011,6.25,34,18,26,113,113,113,0,1,11.6,météo idéale
2009-03-25,36,18,7,18,34,31,0,51,10,1011,5.625,36,15,26,113,113,113,0,1,11.6,météo favorable
2009-03-26,35,18,14,18,33,32,0,43,10,1011,2.75,34,15,28,113,113,113,0,1,11.6,météo idéale
2009-03-27,36,18,8,18,35,33,0,45,10,1010,3,36,15,28,113,113,113,0,1,11.6,météo favorable
2009-03-28,36,21,6,21,35,33,0,44,10,1010,10.625,36,14,28,113,113,113,0,1,11.6,météo favorable
2009-03-29,36,22,5,22,36,29,0,52,10,1010,16.25,38,18,29,113,113,113,0,1,11.6,météo favorable
2009-03-30,35,19,4,19,35,28,1.3,64,9.875,1009,33.375,38,20,27,116,116,116,0,1,11.6,météo favorable
2009-03-31,31,19,12,19,31,23,3,85,8.625,1009,35.75,34,21,23,116,113,356,0,1,11.6,météo favorable
2009-04-01,28,19,5,19,27,24,6.9,80,8.375,1010,52.125,30,21,24,176,176,356,0,1,10.2,météo favorable
2009-04-02,24,19,12,19,24,21,4.8,92,7.75,1012,56.25,25,20,21,353,353,293,0,1,8.8,météo correcte
