DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,28,0,8,16,28,20,0,39,10,1018,0,27,13,25,113,113,113,0,1,8.7,météo favorable
2009-01-02,28,0,11,17,28,21,0,39,10,1016,0,27,13,25,113,113,113,0,1,8.7,météo favorable
2009-01-03,28,0,11,18,28,21,0,38,10,1017,1.625,27,15,25,113,113,113,0,1,8.7,météo favorable
2009-01-04,25,0,17,18,25,19,0,66,10,1017,10,26,16,22,116,113,113,0,1,8.7,météo favorable
2009-01-05,25,0,17,16,25,19,0,45,10,1017,5.25,25,13,23,113,113,113,0,1,8.7,météo favorable
2009-01-06,24,0,11,16,24,20,0,52,10,1016,15,25,14,21,113,113,116,0,1,8.7,météo favorable
2009-01-07,23,0,16,15,23,19,0,55,10,1017,15.25,25,14,21,113,113,116,0,1,8.7,météo favorable
2009-01-08,24,0,17,15,24,20,0,54,10,1019,20.125,25,13,21,113,113,113,0,1,8.7,météo favorable
2009-01-09,24,0,18,15,24,19,0,44,10,1021,4.5,25,12,22,113,113,113,0,1,8.7,météo favorable
2009-01-10,24,0,14,14,24,20,0,51,10,1021,8.375,25,15,22,113,113,113,0,1,8.7,météo favorable
2009-01-11,25,0,17,14,25,18,0,37,10,1020,2.25,25,13,23,113,113,113,0,1,8.7,météo favorable
2009-01-12,25,0,15,13,25,18,0,39,10,1021,2.875,25,13,22,113,113,113,0,1,8.7,météo favorable
2009-01-13,26,0,19,13,26,20,0,47,10,1021,8.125,26,16,23,113,113,113,0,1,8.7,météo favorable
2009-01-14,23,0,32,15,21,17,10.6,82,9.375,1022,50,25,16,18,113,353,308,0,1,5.6,météo très défavorable
2009-01-15,20,0,19,17,20,17,2,72,9.75,1022,32.5,20,15,18,116,113,176,0,1,8.7,météo favorable
2009-01-16,20,0,28,15,20,17,0,54,10,1023,3.625,20,11,19,113,113,113,0,1,8.7,météo favorable
2009-01-17,21,0,16,14,21,17,0,44,10,1023,7,21,10,19,113,113,113,0,1,8.7,météo favorable
2009-01-18,21,0,15,15,21,17,0,45,10,1021,17.25,21,10,19,113,113,116,0,1,8.7,météo favorable
2009-01-19,21,0,12,14,21,18,0,43,10,1019,51.25,21,9,19,116,122,113,0,1,4.1,météo très défavorable
2009-01-20,23,0,14,17,23,19,0,52,10,1019,18.875,24,12,21,113,113,113,0,1,8.7,météo favorable
2009-01-21,23,0,17,16,23,19,0,60,10,1020,16.625,25,14,21,113,113,116,0,1,8.7,météo favorable
2009-01-22,23,0,11,15,23,19,0,55,10,1019,13.25,24,14,21,113,113,113,0,1,8.7,météo favorable
2009-01-23,23,0,16,17,23,20,0.6,62,9.875,1016,28.875,25,15,21,113,116,176,0,1,7.2,météo favorable
2009-01-24,23,0,16,16,23,18,0,36,10,1016,6.25,23,13,20,113,113,113,0,1,8.7,météo favorable
2009-01-25,22,0,11,14,22,19,0,47,10,1018,14.625,24,10,19,116,113,113,0,1,8.7,météo favorable
2009-01-26,24,0,10,15,24,20,0,43,10,1019,1.5,24,12,21,113,113,113,0,1,8.7,météo favorable
2009-01-27,24,0,11,15,24,20,0,51,10,1018,1.375,25,14,21,113,113,113,0,1,8.7,météo favorable
2009-01-28,25,0,10,15,25,21,0,52,10,1017,2.375,25,15,22,113,113,113,0,1,8.7,météo favorable
2009-01-29,25,0,10,16,25,21,0,48,10,1019,3.25,25,15,23,113,113,113,0,1,8.7,météo favorable
2009-01-30,25,0,12,16,25,20,0,50,10,1019,2.25,25,13,22,113,113,113,0,1,8.7,météo favorable
2009-01-31,25,0,12,15,25,20,0,45,10,1018,0,25,13,23,113,113,113,0,1,8.7,météo favorable
2009-02-01,26,0,12,16,26,21,0,43,10,1018,0,26,13,24,113,113,113,0,1,8.7,météo favorable
2009-02-02,28,0,8,18,28,23,0,41,10,1018,1.125,27,13,25,113,113,113,0,1,8.7,météo favorable
2009-02-03,27,0,14,19,27,22,0,50,10,1017,1.75,27,16,24,113,113,113,0,1,8.7,météo favorable
2009-02-04,26,0,14,16,26,20,0,41,10,1017,0,25,15,23,113,113,113,0,1,8.7,météo favorable
2009-02-05,24,0,24,16,24,20,0,51,10,1018,0.625,25,11,22,113,113,113,0,1,8.7,météo favorable
2009-02-06,24,0,17,16,24,19,0,42,10,1019,0.625,25,13,22,113,113,113,0,1,8.7,météo favorable
2009-02-07,25,0,18,16,25,20,0,51,10,1019,2.375,25,13,22,113,113,113,0,1,8.7,météo favorable
2009-02-08,23,0,10,17,23,20,0,49,10,1019,17.75,25,13,22,113,116,113,0,1,8.7,météo favorable
2009-02-09,28,0,15,17,28,22,0,46,10,1019,7.5,27,13,24,113,113,113,0,1,8.7,météo favorable
2009-02-10,27,0,12,17,27,22,0,52,10,1018,4.125,27,15,24,113,113,113,0,1,8.7,météo favorable
2009-02-11,29,0,16,18,28,25,0,51,10,1015,6.875,28,14,25,113,113,113,0,1,8.7,météo favorable
2009-02-12,28,0,18,19,28,24,0,44,10,1015,11,28,15,25,113,113,113,0,1,8.7,météo favorable
2009-02-13,25,0,24,17,25,20,0,52,10,1015,10.375,25,13,22,113,113,113,0,1,8.7,météo favorable
2009-02-14,25,0,14,16,25,20,0,37,10,1017,0,25,11,23,113,113,113,0,1,8.7,météo favorable
2009-02-15,26,0,14,15,26,20,0,39,10,1017,3.25,25,11,23,113,113,113,0,1,8.7,météo favorable
2009-02-16,26,0,11,15,26,21,0,40,10,1017,17.125,26,12,23,113,113,116,0,1,8.7,météo favorable
2009-02-17,27,0,12,16,27,22,0,45,10,1017,24.5,26,12,24,116,116,113,0,1,11.6,météo favorable
2009-02-18,28,0,13,18,28,23,0,39,10,1017,13.125,28,14,25,113,113,116,0,1,11.6,météo favorable
2009-02-19,29,0,8,19,29,24,0,40,10,1016,10.625,28,13,26,113,113,113,0,1,11.6,météo favorable
2009-02-20,30,0,13,19,30,23,0,40,10,1016,2.25,29,14,26,113,113,113,0,1,11.6,météo favorable
2009-02-21,30,0,14,20,30,25,0,38,10,1017,4.125,29,13,27,113,113,113,0,1,11.6,météo favorable
2009-02-22,30,0,18,20,30,25,0,33,10,1013,5.75,29,11,27,116,113,113,0,1,11.6,météo favorable
2009-02-23,31,0,12,19,31,25,0,31,10,1013,0,29,11,27,113,113,113,0,1,11.6,météo favorable
2009-02-24,32,0,12,21,32,25,0,29,10,1015,0,31,11,29,113,113,113,0,1,11.6,météo favorable
2009-02-25,33,0,14,22,33,26,0,22,10,1015,0,31,10,30,113,113,113,0,1,11.6,météo favorable
2009-02-26,33,0,10,21,33,27,0,29,10,1013,0.25,31,12,29,113,113,113,0,1,11.6,météo favorable
2009-02-27,34,0,15,22,34,28,0,36,10,1014,0,32,13,30,113,113,113,0,1,11.6,météo favorable
