DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,6,3,31,3,5,5,1.3,83,9.625,1016,21.375,6,2,-3,113,113,182,,,,météo très défavorable
2009-01-02,6,4,27,4,6,6,1.3,83,9.125,1022,44.625,6,2,0,116,116,116,,,,météo très défavorable
2009-01-03,8,4,17,4,8,6,0,82,10,1025,25.625,8,2,0,116,116,113,,,,météo très défavorable
2009-01-04,12,2,11,2,11,8,0,87,10,1025,12.5,12,3,0,113,113,116,,,,météo très défavorable
2009-01-05,11,5,24,5,11,9,0.2,84,10,1022,17.75,11,6,2,113,113,113,,,,météo très défavorable
2009-01-06,7,5,21,5,7,6,0,84,10,1026,25.625,7,3,1,113,116,113,,,,météo très défavorable
2009-01-07,9,3,13,3,8,8,0.8,88,8.125,1026,53.375,9,5,0,116,119,263,,,,météo très défavorable
2009-01-08,11,2,9,2,10,8,0.3,91,9.875,1026,19.375,11,5,1,113,116,113,,,,météo très défavorable
2009-01-09,14,3,25,3,14,11,2.3,84,9.625,1021,34.875,14,9,2,113,116,353,,,,météo correcte
2009-01-10,6,3,33,3,5,5,3.8,81,9.125,1014,32.125,6,3,-2,182,182,182,,,,météo très défavorable
2009-01-11,5,1,30,1,4,4,0.8,83,10,1019,39,5,0,-4,113,116,116,,,,météo très défavorable
2009-01-12,6,1,37,1,5,5,2.5,81,9.875,1020,53.25,6,1,-5,326,113,116,,,,météo très défavorable
2009-01-13,4,1,26,1,4,4,0.4,78,10,1024,43.125,4,1,-4,116,116,116,,,,météo très défavorable
2009-01-14,8,2,25,2,7,5,1.3,90,9.5,1025,35.625,8,2,-2,113,116,317,,,,météo très défavorable
2009-01-15,5,1,18,1,4,4,1,85,10,1027,43.875,5,0,-4,326,116,113,,,,météo très défavorable
2009-01-16,7,1,20,1,7,6,0,85,10,1029,12.5,7,1,-3,113,113,116,,,,météo très défavorable
2009-01-17,10,3,14,3,10,8,0,83,10,1029,14.25,10,3,0,113,116,113,,,,météo très défavorable
2009-01-18,18,2,14,2,14,16,4.2,88,9.375,1028,37.875,18,14,0,116,176,116,,,,météo favorable
2009-01-19,13,7,30,10,10,7,2.1,80,9.75,1022,31,13,11,4,119,113,116,,,,météo correcte
2009-01-20,12,3,6,3,9,8,0,82,10,1023,24.25,12,2,1,116,116,113,,,,météo très défavorable
2009-01-21,11,4,8,4,11,9,10,89,9.25,1023,53.375,11,8,4,113,293,296,,,,météo très défavorable
2009-01-22,11,1,8,1,11,10,25.8,94,8.25,1019,49.375,11,10,-1,113,293,302,,,,météo très défavorable
2009-01-23,12,6,27,7,12,6,8.6,95,9.375,1015,70.25,12,8,2,116,116,122,,,,météo défavorable
2009-01-24,2,0,26,0,2,1,1.1,78,10,1021,50.75,2,0,-6,116,116,113,,,,météo très défavorable
2009-01-25,5,2,18,2,4,4,1,80,10,1022,59.75,5,0,-2,323,122,116,,,,météo très défavorable
2009-01-26,6,4,16,4,5,5,0.6,87,9.875,1024,64.375,6,2,0,116,122,116,,,,météo très défavorable
2009-01-27,7,3,14,3,7,5,0.2,84,10,1028,23.375,7,1,0,113,116,116,,,,météo très défavorable
2009-01-28,12,2,10,2,10,8,0,87,10,1029,2.375,12,2,-1,113,113,113,,,,météo très défavorable
2009-01-29,15,6,10,6,14,14,2.3,91,8.625,1027,36.75,15,12,4,113,119,263,,,,météo correcte
2009-01-30,17,11,17,11,16,16,26.5,93,7.625,1023,62.375,17,16,10,116,293,302,,,,météo très défavorable
2009-01-31,13,6,29,10,9,6,7.4,87,8.375,1018,76.625,13,12,2,296,266,119,,,,météo défavorable
2009-02-01,7,4,20,4,6,5,0.1,81,10,1028,47.625,7,2,0,119,116,113,,,,météo très défavorable
2009-02-02,12,0,5,0,10,7,0,89,10,1028,11.125,12,2,-2,113,113,113,,,,météo très défavorable
2009-02-03,9,3,8,3,8,8,19.7,94,8.25,1024,62.75,9,8,0,116,293,302,,,,météo très défavorable
2009-02-04,10,4,9,4,9,7,0.1,95,8,1023,37.25,10,5,2,143,113,116,,,,météo très défavorable
2009-02-05,13,2,16,2,11,10,0,88,10,1021,16.125,13,7,1,113,113,116,,,,météo correcte
2009-02-06,9,5,13,5,8,7,0,85,10,1023,22.125,9,4,3,116,113,116,,,,météo très défavorable
2009-02-07,13,1,15,1,11,9,0,77,10,1023,4.25,13,6,1,113,113,113,,,,météo très défavorable
2009-02-08,10,6,13,6,10,7,0,90,10,1022,7.125,10,5,3,113,113,113,,,,météo défavorable
2009-02-09,13,0,7,0,13,10,12.5,88,8.5,1022,37.5,13,8,-2,113,116,299,,,,météo très défavorable
2009-02-10,10,7,18,7,10,8,0.1,91,10,1014,31.5,10,5,3,116,113,116,,,,météo défavorable
2009-02-11,13,4,25,4,12,11,0.2,87,10,1013,19.75,13,6,1,113,113,113,,,,météo correcte
2009-02-12,13,7,9,7,13,10,0,89,10,1018,4.875,13,6,6,113,113,113,,,,météo correcte
2009-02-13,19,7,18,7,19,17,2.3,89,9.75,1017,41.375,19,16,5,116,116,293,,,,météo favorable
2009-02-14,18,14,23,16,18,14,5.7,89,9.625,1012,39.5,18,16,14,353,116,113,,,,météo favorable
2009-02-15,15,8,15,8,14,13,0,82,10,1016,8.625,15,9,6,113,113,113,,,,météo correcte
2009-02-16,11,5,28,7,8,5,0.6,75,8.75,1022,54.25,11,7,0,122,113,119,,,,météo très défavorable
2009-02-17,4,1,15,1,4,4,0,75,10,1026,35.625,4,0,-3,113,119,113,,,,météo très défavorable
2009-02-18,10,2,17,2,8,8,0,83,10,1025,15.875,10,1,-1,116,113,113,,,,météo très défavorable
2009-02-19,8,1,14,1,8,6,5.8,87,9.5,1026,52.5,8,6,-1,116,116,296,,,,météo très défavorable
2009-02-20,11,6,32,6,11,6,42.4,96,7.25,1014,69.75,11,10,1,299,119,116,,,,météo très défavorable
2009-02-21,8,3,18,3,5,8,0,82,10,1023,1.625,8,2,-1,113,113,113,,,,météo très défavorable
2009-02-22,15,1,14,1,15,13,13.7,92,9.25,1022,29.25,15,13,-2,113,113,302,,,,météo très défavorable
2009-02-23,11,7,17,7,10,10,17.8,93,6.625,1020,76.25,11,8,5,266,263,119,,,,météo très défavorable
2009-02-24,12,6,9,6,11,11,3.5,91,8.5,1020,54.875,12,10,4,176,293,119,,,,météo défavorable
2009-02-25,14,10,17,13,12,13,15,95,5.125,1016,67.875,14,12,8,302,263,266,,,,météo défavorable
2009-02-26,11,7,15,7,10,10,0,90,10,1022,41.625,11,7,5,116,116,116,,,,météo défavorable
2009-02-27,9,5,11,5,8,9,22,91,7.875,1021,82.625,9,8,3,293,293,302,,,,météo très défavorable
2009-02-28,11,5,11,5,9,10,0.4,91,9.25,1022,23.625,11,5,3,113,113,113,,,,météo très défavorable
2009-03-01,12,6,17,6,11,10,0,85,10,1023,25.125,12,5,4,116,113,113,,,,météo défavorable
2009-03-02,7,2,17,2,6,6,0.3,83,9.875,1026,27.375,7,2,0,113,116,113,,,,météo très défavorable
2009-03-03,9,3,12,3,7,7,4.6,92,8.375,1025,57.75,9,6,-1,116,263,293,,,,météo très défavorable
2009-03-04,10,4,10,4,8,9,1.9,92,6.75,1022,57.625,10,6,2,266,266,116,,,,météo très défavorable
2009-03-05,14,5,16,5,12,12,0.8,88,9.375,1024,25.75,14,9,3,113,116,116,,,,météo correcte
2009-03-06,17,10,26,15,15,10,22.5,94,8.125,1015,65,17,14,7,302,299,116,,,,météo très défavorable
2009-03-07,9,6,17,6,8,8,0,79,10,1023,19.875,9,4,3,116,113,113,,,,météo défavorable
2009-03-08,14,5,10,5,12,10,0,76,10,1023,35.25,14,5,4,116,113,116,,,,météo correcte
2009-03-09,13,4,5,4,13,11,4.9,86,7.875,1020,48.75,13,9,3,116,263,296,,,,météo correcte
2009-03-10,13,6,25,6,13,10,1.1,89,9,1020,13.125,13,5,3,113,113,113,,,,météo correcte
2009-03-11,10,4,14,4,9,8,0,87,10,1026,20.25,10,3,1,116,116,113,,,,météo très défavorable
2009-03-12,10,2,13,2,9,8,0,84,10,1030,20.375,10,3,0,113,113,113,,,,météo très défavorable
2009-03-13,21,6,32,6,17,21,16.3,89,7.75,1025,67.875,21,19,3,266,296,293,,,,météo très défavorable
2009-03-14,16,4,36,7,6,5,16,88,8.75,1018,61.75,16,14,-1,296,116,116,,,,météo très défavorable
2009-03-15,12,2,15,2,10,9,0,82,10,1020,0,12,3,-2,113,113,113,,,,météo très défavorable
