DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,0,27,19,25,19,0,71,10,1014,0.625,26,14,19,113,113,113,0,5,11.6,météo favorable
2009-01-02,27,0,26,20,27,20,0,63,10,1014,2.875,27,14,20,113,113,113,0,5,11.6,météo favorable
2009-01-03,26,0,22,20,26,20,0,58,10,1014,0.5,26,13,21,113,113,113,0,5,11.6,météo favorable
2009-01-04,27,0,24,22,27,21,0,45,10,1015,4.25,27,12,21,113,113,113,0,5,11.6,météo favorable
2009-01-05,28,0,26,22,28,22,0,48,10,1016,6.375,28,12,22,113,113,113,0,5,11.6,météo favorable
2009-01-06,28,0,26,22,28,21,0,66,10,1015,2.625,28,15,21,113,113,113,0,5,11.6,météo favorable
2009-01-07,27,0,27,21,27,20,0,60,10,1015,0,27,14,20,113,113,113,0,5,11.6,météo favorable
2009-01-08,26,0,28,20,26,20,0,63,10,1015,0,26,13,20,113,113,113,0,5,11.6,météo favorable
2009-01-09,27,0,27,20,27,20,0,63,10,1015,0,27,13,20,113,113,113,0,5,11.6,météo favorable
2009-01-10,27,0,30,21,27,21,0,59,10,1016,0,27,13,21,113,113,113,0,5,11.6,météo favorable
2009-01-11,26,0,24,20,26,20,0,68,10,1014,0,26,14,20,113,113,113,0,5,11.6,météo favorable
2009-01-12,26,0,26,19,26,21,0,71,10,1015,0,27,15,21,113,113,113,0,5,11.6,météo favorable
2009-01-13,27,0,21,19,27,21,0,67,10,1015,0.75,27,15,21,113,113,113,0,5,11.6,météo favorable
2009-01-14,27,0,25,21,27,21,0,67,10,1017,0.5,27,15,21,113,113,113,0,5,11.6,météo favorable
2009-01-15,26,0,25,20,26,20,0,66,10,1016,0,27,14,21,113,113,113,0,5,11.6,météo favorable
2009-01-16,25,0,20,20,25,20,0,63,10,1016,1.875,26,15,20,113,113,113,0,5,11.6,météo favorable
2009-01-17,26,0,21,20,26,21,0,56,10,1017,7.375,26,13,21,113,113,113,0,5,11.6,météo favorable
2009-01-18,27,0,22,21,27,21,0,53,10,1018,14.375,26,12,21,113,113,113,0,5,11.6,météo favorable
2009-01-19,27,0,25,21,27,21,0,50,10,1019,5.5,26,10,21,113,113,113,0,5,11.6,météo favorable
