DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,6,0,33,3,5,4,0,80,10,1016,17.875,6,2,-2,113,113,113,0,2,8.7,météo très défavorable
2009-01-02,8,0,25,4,7,6,0,82,10,1023,33,8,2,0,116,116,116,0,2,8.7,météo très défavorable
2009-01-03,9,0,16,4,8,7,0,80,10,1026,25,9,2,0,113,116,116,0,2,8.7,météo très défavorable
2009-01-04,11,0,12,4,10,8,0,84,10,1025,16.375,11,4,3,113,113,116,0,2,8.7,météo très défavorable
2009-01-05,11,0,26,5,10,9,0,82,10,1022,13.5,11,5,2,113,113,116,0,3,8.7,météo très défavorable
2009-01-06,9,0,23,5,8,7,0,81,10,1026,21.5,9,4,1,113,116,113,0,3,8.7,météo très défavorable
2009-01-07,7,0,16,4,7,6,0.1,86,10,1026,41.875,7,3,1,116,119,119,0,2,7,météo très défavorable
2009-01-08,9,0,7,3,9,7,0,90,10,1027,11.5,10,4,2,113,113,113,0,2,8.7,météo très défavorable
2009-01-09,10,0,28,4,9,8,0.3,81,9.875,1021,31.625,10,5,4,113,116,176,0,3,7,météo très défavorable
2009-01-10,6,0,35,4,6,4,0,81,10,1014,42.875,6,3,-1,113,116,113,0,2,7.1,météo très défavorable
2009-01-11,5,0,32,1,4,4,0,82,10,1019,37.375,5,1,-4,113,119,116,0,2,5.4,météo très défavorable
2009-01-12,5,0,40,3,3,3,0,79,10,1020,50.25,6,2,-4,119,113,116,0,2,7.1,météo très défavorable
2009-01-13,5,0,27,2,4,4,0,78,10,1024,39.25,5,1,-4,116,116,116,0,2,8.7,météo très défavorable
2009-01-14,7,0,28,3,6,4,0,88,10,1025,27.25,7,1,-1,113,116,119,0,2,7.1,météo très défavorable
2009-01-15,6,0,21,2,5,4,0,81,10,1027,40.25,6,0,-1,116,116,113,0,2,7.1,météo très défavorable
2009-01-16,8,0,22,2,7,6,0,83,10,1029,17,8,1,-3,113,116,116,0,2,8.7,météo très défavorable
2009-01-17,10,0,15,3,9,6,0,81,10,1029,14.25,10,4,-0,113,116,113,0,2,8.7,météo très défavorable
2009-01-18,13,0,14,5,11,10,0,86,10,1028,40.75,13,9,4,113,119,119,0,3,5.4,météo très défavorable
2009-01-19,13,0,32,9,9,7,0,75,10,1022,26,13,10,4,119,113,116,0,4,8.7,météo très défavorable
2009-01-20,10,0,7,3,9,7,0,80,10,1023,23.625,13,2,2,116,116,113,0,2,8.7,météo très défavorable
2009-01-21,9,0,9,5,9,6,0,86,10,1023,50.5,9,4,6,113,116,119,0,2,7.1,météo très défavorable
2009-01-22,7,0,10,4,7,6,0,92,10,1019,51,7,6,2,113,116,119,0,3,7.1,météo très défavorable
2009-01-23,11,0,30,7,11,6,0,94,10,1014,61.375,11,7,1,116,116,122,0,2,7.1,météo très défavorable
2009-01-24,3,0,28,-0,2,1,0.1,76,8.75,1020,41.75,3,0,-6,116,116,113,0,1,8.7,météo très défavorable
2009-01-25,6,0,21,1,5,4,0,78,10,1022,46.375,6,0,-3,116,119,113,0,1,7.1,météo très défavorable
2009-01-26,7,0,17,4,6,6,0,83,10,1024,58.5,7,2,0,116,119,116,0,2,5.5,météo très défavorable
2009-01-27,8,0,14,2,7,5,0,82,10,1028,27.125,8,1,-1,113,113,116,0,2,8.7,météo très défavorable
2009-01-28,10,0,13,3,8,8,0,84,10,1029,7,11,2,-0,113,113,113,0,2,8.7,météo très défavorable
2009-01-29,14,0,16,7,13,12,0.1,86,10,1027,30.125,14,10,6,113,119,116,0,3,7.1,météo très défavorable
2009-01-30,13,0,19,11,13,13,1.5,91,9.25,1023,74.375,13,12,9,122,116,263,0,3,3.9,météo très défavorable
2009-01-31,12,0,27,9,9,7,0,83,10,1019,63.125,12,10,3,119,119,116,0,4,5.5,météo très défavorable
2009-02-01,8,0,17,5,7,5,0,77,10,1029,46.25,8,3,1,119,116,113,0,3,7.1,météo très défavorable
2009-02-02,10,0,5,1,9,7,0,87,10,1029,10.75,11,2,2,113,113,113,0,2,8.7,météo très défavorable
2009-02-03,6,0,9,5,6,5,1,92,7.375,1024,60.875,7,4,3,116,263,266,0,3,3.9,météo très défavorable
2009-02-04,10,0,9,4,8,7,0,95,7,1023,36.875,10,5,2,143,113,116,0,1,8.7,météo très défavorable
2009-02-05,12,0,18,3,10,10,0,86,10,1021,19.125,12,6,3,113,113,119,0,2,8.7,météo très défavorable
2009-02-06,10,0,13,6,9,7,0,82,10,1024,20.125,10,5,4,116,113,116,0,3,8.7,météo très défavorable
2009-02-07,12,0,15,2,10,10,0,75,10,1023,5.5,12,7,4,113,113,113,0,2,8.7,météo très défavorable
2009-02-08,11,0,13,5,10,8,0,89,10,1022,2.875,11,5,2,113,113,113,0,3,8.7,météo très défavorable
2009-02-09,9,0,10,3,9,6,0.3,84,9,1022,45.25,9,4,2,116,116,266,0,2,7.2,météo très défavorable
2009-02-10,11,0,18,6,11,9,0,89,10,1014,25.25,11,5,3,116,113,116,0,2,8.7,météo très défavorable
2009-02-11,13,0,26,6,12,10,0,83,10,1013,14,13,5,3,113,113,113,0,3,8.7,météo très défavorable
2009-02-12,14,0,10,5,13,11,0,87,10,1018,3.625,15,8,9,113,113,113,0,3,8.7,météo très défavorable
2009-02-13,17,0,15,9,16,15,0,88,10,1017,39.75,17,15,8,116,113,116,0,3,7.2,météo très défavorable
2009-02-14,17,0,25,16,16,14,0,86,10,1012,40.375,18,16,13,116,116,113,0,5,7.2,météo très défavorable
2009-02-15,16,0,17,7,14,13,0,78,10,1016,13.75,16,8,7,113,113,113,0,3,8.7,météo très défavorable
2009-02-16,10,0,26,6,7,5,0,71,10,1023,56.25,10,5,0,116,113,122,0,4,7.2,météo très défavorable
2009-02-17,5,0,15,2,4,4,0,74,10,1026,54,5,0,-2,116,119,116,0,2,4.1,météo très défavorable
2009-02-18,10,0,17,3,8,8,0,80,10,1025,14,10,1,-1,116,113,113,0,2,8.7,météo très défavorable
2009-02-19,7,0,15,2,7,6,1.1,85,9.875,1026,50.25,7,3,0,116,119,293,0,2,5.7,météo très défavorable
2009-02-20,9,0,33,5,9,6,4.5,95,9.625,1013,59.25,9,6,1,116,116,116,0,1,8.7,météo très défavorable
2009-02-21,9,0,18,3,7,7,0,78,10,1022,0.75,9,1,-2,113,113,113,0,2,8.7,météo très défavorable
2009-02-22,9,0,17,3,9,8,0,90,10,1021,46.375,10,8,2,113,116,122,0,2,7.2,météo très défavorable
2009-02-23,12,0,15,8,12,9,0.3,91,9,1020,71.75,12,9,6,119,116,119,0,2,5.7,météo très défavorable
2009-02-24,9,0,12,7,8,9,0,89,10,1020,47.75,10,8,4,116,119,116,0,3,7.2,météo très défavorable
2009-02-25,14,0,12,11,11,12,0,92,10,1017,74.25,14,11,8,122,116,119,0,2,5.7,météo très défavorable
2009-02-26,10,0,19,8,9,9,0,88,10,1022,37.75,11,8,6,116,116,116,0,3,8.7,météo très défavorable
2009-02-27,7,0,12,6,5,7,0.3,88,9,1021,74.25,7,5,2,116,116,116,0,2,4.2,météo très défavorable
2009-02-28,11,0,10,4,10,9,0,89,10,1022,21.625,12,5,3,116,113,113,0,3,8.7,météo très défavorable
2009-03-01,12,0,16,6,11,9,0,81,10,1023,23.5,12,4,5,116,113,113,0,3,11.6,météo très défavorable
2009-03-02,8,0,21,3,7,6,0,81,10,1027,25.5,8,2,1,113,116,113,0,3,11.6,météo très défavorable
2009-03-03,5,0,14,3,5,4,0.1,89,10,1025,51.625,5,2,-0,116,116,116,0,2,11.6,météo très défavorable
2009-03-04,10,0,9,4,8,8,0,90,10,1021,58.5,10,6,2,122,119,113,0,2,8.7,météo très défavorable
2009-03-05,12,0,18,5,10,10,0.1,85,10,1024,24.125,12,8,4,113,116,116,0,3,11.6,météo très défavorable
2009-03-06,14,0,27,12,12,10,0.3,92,9,1015,57.125,14,11,7,266,116,116,0,4,10.2,météo très défavorable
2009-03-07,11,0,17,5,10,9,0,77,10,1022,14.625,11,4,2,116,113,113,0,3,11.6,météo très défavorable
2009-03-08,12,0,11,5,10,10,0,71,10,1023,34.25,13,4,5,116,113,116,0,3,11.6,météo très défavorable
2009-03-09,11,0,7,7,11,9,0,82,10,1020,47.625,11,7,6,116,116,119,0,3,8.8,météo très défavorable
2009-03-10,14,0,26,6,14,10,0,88,10,1019,9.25,14,6,3,113,113,113,0,2,11.6,météo très défavorable
2009-03-11,11,0,15,4,10,10,0,86,10,1025,21.875,11,4,2,116,116,116,0,3,11.6,météo très défavorable
2009-03-12,12,0,15,2,10,9,0,82,10,1030,19.375,12,3,3,113,113,116,0,2,11.6,météo très défavorable
2009-03-13,15,0,30,9,12,15,0,86,10,1026,64.375,15,13,6,116,119,119,0,3,6,météo très défavorable
2009-03-14,14,0,40,7,7,5,0,84,10,1017,53.875,14,13,0,119,116,116,0,3,10.2,météo très défavorable
2009-03-15,12,0,19,2,10,10,0,79,10,1020,0.125,12,3,-1,113,113,113,0,2,11.6,météo très défavorable
2009-03-16,15,0,23,7,13,13,0,80,10,1017,6.125,15,8,3,113,113,113,0,3,11.6,météo très défavorable
2009-03-17,18,0,21,11,16,15,0,78,10,1018,3.25,18,9,8,113,113,113,0,4,11.6,météo favorable
2009-03-18,20,0,18,10,18,17,0,72,10,1020,1.25,20,13,9,113,113,113,0,4,11.6,météo favorable
2009-03-19,19,0,12,12,19,16,0,94,10,1018,18.875,19,15,12,113,116,116,0,4,11.6,météo favorable
2009-03-20,15,0,24,15,14,11,0,91,10,1020,27.25,15,14,10,116,116,113,0,3,11.6,météo très défavorable
2009-03-21,16,0,9,5,14,13,0,78,10,1022,14.375,17,8,3,113,113,116,0,3,11.6,météo très défavorable
2009-03-22,19,0,24,13,19,17,0,88,10,1012,48.5,19,15,12,119,113,119,0,4,10.2,météo favorable
2009-03-23,12,0,14,9,11,10,0,78,10,1016,51.25,12,9,7,116,116,116,0,4,10.2,météo très défavorable
2009-03-24,13,0,11,5,12,11,0,79,10,1017,20.75,14,5,6,113,113,113,0,3,11.6,météo très défavorable
2009-03-25,10,0,30,8,10,7,0,84,10,1016,30.125,10,6,3,113,116,116,0,3,11.6,météo très défavorable
2009-03-26,12,0,28,2,10,10,0,68,10,1019,11.875,12,1,-2,113,113,113,0,2,12.2,météo très défavorable
2009-03-27,11,0,26,8,11,9,0,71,10,1021,20.375,12,3,4,113,113,116,0,3,12.6,météo très défavorable
2009-03-28,11,0,9,3,10,10,0,86,10,1021,34.625,11,2,2,116,116,113,0,3,12.7,météo très défavorable
2009-03-29,11,0,16,5,9,9,0,80,10,1025,49.75,11,3,2,113,119,119,0,3,10.5,météo très défavorable
2009-03-30,12,0,13,2,10,11,0,85,10,1027,21,12,4,1,113,116,113,0,3,12.7,météo très défavorable
2009-03-31,13,0,12,5,9,13,0,79,10,1024,22.125,14,6,3,116,116,113,0,3,12.7,météo très défavorable
2009-04-01,11,0,32,7,11,8,0,91,10,1019,22.625,11,7,4,113,116,113,0,3,12.7,météo très défavorable
2009-04-02,13,0,20,4,11,11,0,75,10,1024,21,13,4,1,113,116,113,0,3,12.8,météo très défavorable
2009-04-03,16,0,7,4,15,14,0,79,10,1026,25.75,17,4,4,113,116,116,0,3,12.8,météo très défavorable
2009-04-04,13,0,8,10,12,11,0.4,84,9,1022,49.875,13,9,10,116,266,116,0,4,11.9,météo très défavorable
2009-04-05,16,0,7,8,14,14,0,84,10,1016,38.875,17,9,7,116,116,113,0,3,12.8,météo très défavorable
2009-04-06,17,0,14,7,16,16,0,73,10,1015,3.75,18,11,7,113,113,113,0,3,12.8,météo très défavorable
2009-04-07,18,0,13,9,17,16,0,74,10,1019,3.75,19,9,6,113,113,113,0,4,12.9,météo favorable
2009-04-08,20,0,7,11,20,17,0,68,10,1021,7.5,24,10,11,116,113,113,0,4,12.9,météo favorable
2009-04-09,20,0,11,10,19,18,0,71,10,1023,6.125,24,10,12,113,113,113,0,4,12.9,météo favorable
2009-04-10,21,0,9,11,20,18,0,72,10,1024,0,25,12,13,113,113,113,0,4,12.9,météo favorable
2009-04-11,22,0,9,11,21,20,0,72,10,1022,0.25,24,12,14,113,113,113,0,4,12.9,météo favorable
2009-04-12,21,0,11,12,21,19,0,85,10,1018,6.875,24,13,16,113,113,113,0,4,13,météo favorable
2009-04-13,21,0,11,13,20,20,0,78,10,1013,11.375,24,13,12,113,113,113,0,5,13,météo favorable
2009-04-14,17,0,22,16,16,15,0.4,90,9,1007,65.875,17,15,15,266,119,116,0,5,9.4,météo très défavorable
2009-04-15,19,0,19,13,18,18,0,86,10,1008,22,19,12,12,116,113,113,0,4,13,météo favorable
