DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-5,-8,12,-7,-7,-8,0,93,9,1017,21,0,0,-12,113,113,116,0,1,5.7,météo très défavorable
2009-01-02,-8,-9,10,-9,-9,-9,0,98,2.75,1017,44,0,0,-13,143,116,143,0,1,5.8,météo très défavorable
2009-01-03,-7,-11,13,-11,-9,-8,0,97,5.75,1010,63.125,0,0,-15,143,119,122,0,1,1.4,météo très défavorable
2009-01-04,-8,-10,10,-10,-9,-10,0,98,2.25,1014,51.375,0,0,-15,143,143,143,0,1,5.8,météo très défavorable
2009-01-05,-3,-12,18,-12,-9,-6,0.3,96,5.75,1017,48.5,0,0,-16,113,116,122,0.2,1,5.8,météo très défavorable
2009-01-06,-0,-7,22,-2,-2,-3,1.4,97,8,1005,92.375,0,0,-7,122,122,122,1.2,1,1.5,météo très défavorable
2009-01-07,-9,-12,14,-11,-9,-12,0.4,97,5.75,1008,37.125,0,0,-16,119,116,143,0.3,1,5.8,météo très défavorable
2009-01-08,-2,-12,16,-11,-7,-5,0.2,98,3.625,1010,74.75,0,0,-15,143,119,122,0.1,1,1.5,météo très défavorable
2009-01-09,1,-5,18,0,-1,-5,0,97,6.25,1016,70.5,1,1,-7,248,122,260,0,1,3.6,météo très défavorable
2009-01-10,0,-5,14,-4,0,-1,0,100,6.25,1018,66.375,0,0,-6,260,119,116,0,1,1.5,météo très défavorable
2009-01-11,1,-1,24,-0,1,1,0.2,100,9.375,1011,89.625,1,1,-5,122,122,122,0.2,1,1.5,météo très défavorable
2009-01-12,3,1,26,2,3,3,1.3,100,8,997,100,3,3,-2,122,122,122,0,1,1.5,météo très défavorable
2009-01-13,3,3,18,3,3,3,0.5,99,8.875,997,100,3,3,-1,122,122,122,0,1,1.5,météo très défavorable
2009-01-14,2,-1,15,2,2,0,0.7,96,4.75,1010,97.75,2,2,-2,143,143,143,0.6,1,1.5,météo très défavorable
2009-01-15,-2,-8,18,-5,-6,-8,0.3,84,9,1026,67.75,0,0,-13,119,116,116,0.3,1,1.6,météo très défavorable
2009-01-16,-8,-10,7,-10,-8,-10,0,79,10,1033,11.25,0,0,-11,113,113,116,0,1,5.8,météo très défavorable
2009-01-17,-8,-11,9,-11,-8,-9,0,95,7,1033,42.375,0,0,-13,116,116,143,0,1,5.8,météo très défavorable
2009-01-18,-4,-7,12,-5,-4,-4,0.3,92,7.75,1024,89,0,0,-9,122,122,122,0.3,1,1.6,météo très défavorable
2009-01-19,-2,-3,12,-3,-2,-3,0.4,94,8.375,1010,100,0,0,-7,122,122,122,0.4,1,1.6,météo très défavorable
2009-01-20,-2,-3,19,-3,-2,-3,0.2,93,8.75,1007,100,0,0,-8,122,122,122,0.2,1,1.6,météo très défavorable
2009-01-21,-0,-3,12,-2,-0,0,0.4,98,6.5,1013,90.75,0,0,-5,143,260,122,0.3,1,1.7,météo très défavorable
2009-01-22,0,-4,8,-1,-2,-4,0.1,97,1.625,1013,98.375,0,0,-6,143,143,143,0.1,1,1.7,météo très défavorable
2009-01-23,-2,-5,12,-5,-2,-3,1.6,98,1.25,1001,96.125,0,0,-8,143,143,143,1.4,1,1.7,météo très défavorable
2009-01-24,-6,-8,21,-8,-8,-8,0,99,6.25,1002,71,0,0,-16,260,119,122,0,1,1.8,météo très défavorable
2009-01-25,-3,-7,14,-5,-3,-3,0,98,6.25,1006,99.25,0,0,-9,260,122,260,0,1,1.8,météo très défavorable
2009-01-26,-4,-4,9,-4,-4,-4,0,99,1.25,1009,98.75,0,0,-8,260,260,260,0,1,1.8,météo très défavorable
2009-01-27,-3,-6,5,-4,-3,-5,0.3,99,1.5,1015,95.5,0,0,-6,260,260,260,0.3,1,2.7,météo très défavorable
2009-01-28,-3,-5,4,-5,-3,-3,0,99,2.5,1019,90.625,0,0,-4,260,260,260,0,1,2.9,météo très défavorable
2009-01-29,-3,-8,8,-4,-3,-6,0,99,1.25,1026,77,0,0,-7,260,260,260,0,1,2.9,météo très défavorable
2009-01-30,-3,-7,8,-4,-3,-5,0,98,0,1034,84,0,0,-6,260,260,260,0,1,2.9,météo très défavorable
2009-01-31,-9,-11,8,-11,-9,-11,0,68,10,1036,26.75,0,0,-12,113,113,116,0,1,7.8,météo très défavorable
2009-02-01,-5,-12,13,-10,-5,-8,0,99,3,1035,57,0,0,-13,143,119,260,0,1,4.9,météo très défavorable
2009-02-02,-4,-8,9,-8,-4,-7,0,89,6.75,1029,6,0,0,-8,143,113,113,0,1,7.9,météo très défavorable
2009-02-03,-3,-7,17,-7,-3,-4,0,91,8.75,1024,23,0,0,-10,116,113,116,0,1,7.9,météo très défavorable
2009-02-04,-3,-5,10,-5,-3,-3,0,98,5,1008,94,0,0,-8,260,260,260,0.1,1,3,météo très défavorable
2009-02-05,-4,-6,13,-6,-5,-6,0.6,98,2.125,1004,92.25,0,0,-11,260,260,260,0.5,1,3,météo très défavorable
2009-02-06,-5,-8,13,-8,-5,-6,0.1,98,5.625,1002,90.75,0,0,-12,260,260,122,0.2,1,3,météo très défavorable
2009-02-07,-0,-5,10,-4,-0,-1,0.8,100,2.375,999,100,0,0,-6,260,260,260,0.6,1,3.1,météo très défavorable
2009-02-08,0,-1,20,-1,0,0,0.1,100,8.125,995,100,0,0,-5,260,122,122,0.1,1,3.1,météo très défavorable
2009-02-09,-0,-5,21,-3,-3,-5,0.2,96,9.375,1001,46,0,0,-11,122,113,113,0.1,1,6.8,météo très défavorable
2009-02-10,-2,-7,9,-7,-3,-3,0.2,99,2.5,1006,67.625,0,0,-9,260,260,260,0.2,1,3.1,météo très défavorable
2009-02-11,-2,-8,8,-3,-2,-7,0.3,99,1.25,1013,78.5,0,0,-5,260,260,260,0.3,1,5,météo très défavorable
2009-02-12,-7,-10,9,-10,-7,-10,0,99,0,1014,63.625,0,0,-12,260,260,260,0,1,6.9,météo très défavorable
2009-02-13,-7,-16,6,-13,-7,-14,0,98,0.25,1017,51.875,0,0,-14,260,260,260,0,1,8.7,météo très défavorable
2009-02-14,-5,-15,3,-13,-5,-6,0.2,100,2.5,1017,58.25,0,0,-8,260,260,260,0.1,1,5.1,météo très défavorable
2009-02-15,-5,-8,8,-6,-5,-7,0.4,98,2.5,1018,99.625,0,0,-9,260,260,260,0.3,1,3.4,météo très défavorable
2009-02-16,-7,-11,10,-11,-10,-11,0.1,98,0.625,1024,96.875,0,0,-16,260,260,260,0.1,1,3.4,météo très défavorable
2009-02-17,-9,-13,13,-13,-9,-11,0,99,3.75,1026,39.875,0,0,-16,116,116,116,0,1,8.7,météo très défavorable
2009-02-18,-9,-12,16,-12,-9,-11,0,99,3.75,1027,63,0,0,-16,260,116,122,0,1,8.7,météo très défavorable
2009-02-19,-8,-11,8,-11,-9,-9,0.2,99,4.25,1025,100,0,0,-14,143,143,260,0.1,1,3.6,météo très défavorable
2009-02-20,-5,-9,10,-9,-5,-5,0,98,0,1030,93.75,0,0,-10,260,260,260,0,1,3.6,météo très défavorable
2009-02-21,-5,-7,12,-7,-5,-7,0,98,1.75,1032,95.25,0,0,-11,260,143,260,0,1,3.7,météo très défavorable
2009-02-22,-3,-6,23,-6,-3,-5,1.1,98,7.375,1023,99.75,0,0,-13,122,122,122,0.9,1,3.7,météo très défavorable
2009-02-23,-4,-8,9,-7,-4,-7,0,98,1.75,1016,99.125,0,0,-9,260,143,260,0,1,3.7,météo très défavorable
2009-02-24,-1,-8,14,-4,-1,-1,0.3,98,3.75,1015,97.125,0,0,-6,122,260,260,0.3,1,3.7,météo très défavorable
2009-02-25,-1,-7,12,-6,-1,-5,0.1,98,1.25,1010,64.5,0,0,-8,260,260,260,0,1,5.4,météo très défavorable
2009-02-26,-2,-8,16,-5,-3,-2,1.1,99,4.625,1005,89.625,0,0,-8,260,122,260,0.9,1,3.8,météo très défavorable
2009-02-27,-2,-4,12,-3,-2,-4,0.8,99,1.5,1002,100,0,0,-7,260,260,260,0.7,1,3.8,météo très défavorable
2009-02-28,-6,-8,15,-8,-6,-7,0,98,7.5,1014,100,0,0,-12,122,122,260,0,1,3.8,météo très défavorable
2009-03-01,-7,-10,4,-10,-7,-10,0,99,2.5,1020,82.125,0,0,-10,260,122,260,0,1,3.8,météo très défavorable
2009-03-02,-5,-13,16,-11,-5,-6,0.2,99,2.5,1021,74.25,0,0,-13,260,122,260,0.2,1,3.9,météo très défavorable
2009-03-03,-1,-6,15,-5,-2,-1,0.4,99,3.75,1013,99.125,0,0,-9,260,260,260,0.3,1,3.9,météo très défavorable
2009-03-04,-0,-2,9,-0,0,-1,0.5,100,3.75,1014,99.25,0,0,-3,260,248,260,0.4,1,3.9,météo très défavorable
2009-03-05,0,-2,11,-2,0,0,0.1,100,2.5,1015,94.625,0,0,-5,260,248,248,0.1,1,5.4,météo très défavorable
2009-03-06,-0,-2,11,-2,0,-1,0,100,0,1015,93.625,0,0,-4,260,248,260,0,1,5.5,météo très défavorable
2009-03-07,-0,-2,11,-2,-0,-1,0.1,100,2.125,1014,85.125,0,0,-5,260,260,260,0.1,1,5.5,météo très défavorable
2009-03-08,-0,-4,12,-4,-1,-2,0.1,99,3.75,1013,87.625,0,0,-7,260,260,122,0.1,1,5.5,météo très défavorable
2009-03-09,-2,-4,13,-3,-3,-3,0.3,99,5,1004,100,0,0,-8,260,260,260,0.3,1,5.6,météo très défavorable
2009-03-10,-3,-4,16,-4,-3,-4,0.1,99,8.125,1002,100,0,0,-9,260,122,122,0.1,1,5.8,météo très défavorable
2009-03-11,-1,-4,9,-4,-1,-3,0.2,99,1.875,1016,100,0,0,-6,260,260,260,0.1,1,5.8,météo très défavorable
2009-03-12,-2,-7,9,-4,-2,-5,0,99,0,1019,87.125,0,0,-5,260,260,260,0,1,7.3,météo très défavorable
2009-03-13,0,-5,11,-2,0,-1,0.3,100,1.25,1018,91.25,0,0,-3,260,248,260,0.2,1,5.9,météo très défavorable
2009-03-14,0,-2,15,-1,0,0,0.6,100,7.125,1018,95.75,0,0,-4,122,122,248,0.5,1,5.9,météo très défavorable
2009-03-15,1,-2,5,-0,1,-2,0,100,0,1026,99.875,1,1,-1,260,248,260,0,1,5.9,météo très défavorable
2009-03-16,-0,-1,18,-1,-0,0,0.5,99,2.125,1026,99.875,0,0,-5,260,122,248,0.4,1,6,météo très défavorable
2009-03-17,1,-1,7,-1,1,-0,0.1,100,0.625,1015,99.125,1,1,-2,260,248,260,0.1,1,6,météo très défavorable
2009-03-18,-0,-2,13,-0,0,-1,0.5,100,2.125,1020,87.25,0,0,-4,260,248,260,0.4,1,6,météo très défavorable
2009-03-19,-1,-11,17,-5,-1,-7,0.1,99,3.125,1030,58.5,0,0,-9,119,119,260,0.1,1,7.4,météo très défavorable
2009-03-20,1,-8,23,-3,0,1,0.4,100,8.375,1028,76.125,1,1,-6,119,122,122,0.2,1,6.1,météo très défavorable
2009-03-21,0,-5,14,-2,0,-3,0,100,5,1011,87.625,0,0,-6,122,119,260,0,1,7.5,météo très défavorable
2009-03-22,-0,-7,8,-7,-0,-6,0.1,100,0.875,1010,76.75,0,0,-7,260,260,260,0.1,1,6.1,météo très défavorable
2009-03-23,-3,-8,12,-6,-3,-6,0.8,98,2.75,998,96,0,0,-9,260,260,260,0.8,1,6.2,météo très défavorable
2009-03-24,-4,-9,15,-8,-4,-7,0,98,7.5,1002,96.625,0,0,-12,122,119,260,0,1,6.2,météo très défavorable
2009-03-25,-3,-10,6,-10,-3,-5,0.9,99,2.75,1003,68.5,0,0,-8,260,116,260,0.7,1,7.6,météo très défavorable
2009-03-26,-3,-12,8,-12,-3,-7,0.1,99,1.25,1006,73.5,0,0,-12,260,260,260,0.1,1,6.2,météo très défavorable
2009-03-27,-3,-14,9,-9,-3,-8,0,98,2.25,1009,33.25,0,0,-8,143,143,260,0,1,11.6,météo très défavorable
2009-03-28,-0,-9,20,-7,-2,-0,2.2,99,6.5,1008,84.125,0,0,-9,122,122,260,1.9,1,6.5,météo très défavorable
2009-03-29,1,-1,7,-0,1,-0,0.4,100,2.125,1008,92.5,1,1,-2,260,248,260,0.4,1,8.4,météo très défavorable
2009-03-30,1,-2,19,-0,1,0,2,100,5.5,1011,97.375,1,1,-5,260,122,122,1.8,1,8.5,météo très défavorable
2009-03-31,1,0,17,0,1,1,0.1,100,6.875,1006,89.25,1,1,-4,119,119,248,0.1,1,8.5,météo très défavorable
