DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,3,1,18,1,3,3,0,90,10,1032,25.375,3,1,-4,113,113,113,,,,météo très défavorable
2009-01-02,4,1,22,1,3,3,0,90,10,1035,27.125,4,1,-4,116,113,113,,,,météo très défavorable
2009-01-03,4,0,13,0,3,3,0,84,10,1034,34.25,4,0,-2,113,113,119,,,,météo très défavorable
2009-01-04,6,2,19,2,5,5,0.8,88,9.375,1026,72,6,4,-2,119,116,116,,,,météo très défavorable
2009-01-05,5,1,24,1,4,4,1.3,81,9.625,1030,19.875,5,1,-4,113,113,113,,,,météo très défavorable
2009-01-06,5,1,25,1,4,5,2,87,9,1030,56,5,3,-4,116,116,266,,,,météo très défavorable
2009-01-07,7,5,14,5,7,6,5.2,97,4,1024,85.625,7,6,2,266,143,119,,,,météo très défavorable
2009-01-08,7,4,24,4,6,7,1.3,90,9.625,1025,43.125,7,5,0,116,113,116,,,,météo très défavorable
2009-01-09,6,4,31,4,6,6,0.2,88,10,1025,43.75,6,4,-1,113,119,116,,,,météo très défavorable
2009-01-10,10,5,60,5,9,9,13.1,90,9,1020,82.125,10,8,-2,119,296,302,,,,météo très défavorable
2009-01-11,12,8,55,8,11,11,56.3,93,6,1006,100,12,10,2,308,308,302,,,,météo très défavorable
2009-01-12,10,7,45,7,9,9,10.1,88,9,999,66.625,10,7,2,296,353,176,,,,météo défavorable
2009-01-13,6,5,22,5,6,6,2.1,84,9.25,1008,36.75,6,4,0,176,176,176,,,,météo très défavorable
2009-01-14,6,3,45,3,5,5,8,89,8.375,1010,51.125,6,4,-1,113,119,320,,,,météo très défavorable
2009-01-15,9,6,51,6,8,8,17,92,5.75,1000,99.25,9,8,0,296,302,266,,,,météo très défavorable
2009-01-16,8,6,45,6,8,8,14,94,8.375,1002,66.875,8,7,2,353,266,299,,,,météo très défavorable
2009-01-17,8,5,65,5,7,7,16.8,90,6.875,996,76.375,8,5,-1,389,296,308,,,,météo très défavorable
2009-01-18,5,3,48,3,5,5,15.8,89,7.875,982,75.375,5,3,-3,371,365,353,,,,météo très défavorable
2009-01-19,7,3,39,3,6,6,8.9,88,9.125,982,64.125,7,3,-4,302,353,182,,,,météo très défavorable
2009-01-20,5,4,39,4,5,5,11.2,89,8.25,984,80.625,5,3,-2,365,266,356,,,,météo très défavorable
2009-01-21,6,3,36,3,5,5,3.4,86,8.875,993,62.625,6,3,-2,182,116,266,,,,météo très défavorable
2009-01-22,10,5,49,5,9,9,20.1,90,8.75,979,81.125,10,5,-1,308,353,353,,,,météo très défavorable
2009-01-23,6,3,42,3,6,6,10.8,85,8.375,977,57.5,6,4,-2,182,389,356,,,,météo très défavorable
2009-01-24,5,3,30,3,4,4,5.6,82,9.25,984,31.25,5,2,-2,353,176,182,,,,météo très défavorable
2009-01-25,6,4,43,4,6,6,13.9,94,7.5,982,80.5,6,5,-3,302,389,176,,,,météo très défavorable
2009-01-26,5,5,20,5,5,5,1.5,92,10,1003,79.25,5,4,1,353,116,122,,,,météo très défavorable
2009-01-27,7,6,29,6,7,7,7.2,95,7.375,1007,79.75,7,6,1,302,296,176,,,,météo très défavorable
2009-01-28,7,5,23,5,6,6,1.5,93,9.875,1012,38.25,7,5,2,176,113,113,,,,météo très défavorable
2009-01-29,8,4,42,4,7,7,0.9,92,7,1012,63,8,6,-1,116,266,266,,,,météo très défavorable
2009-01-30,8,5,51,5,7,7,12.2,91,5.75,1006,99,8,6,-1,302,296,302,,,,météo très défavorable
2009-01-31,7,5,38,5,6,6,17.4,83,6.75,1012,87.75,7,3,-1,302,266,122,,,,météo très défavorable
2009-02-01,4,2,36,2,3,3,0,82,10,1018,27.625,4,1,-5,113,116,116,,,,météo très défavorable
2009-02-02,3,1,34,1,3,3,0.8,79,10,1019,68.25,3,0,-5,116,122,326,,,,météo très défavorable
2009-02-03,5,0,49,0,4,4,5.5,88,8.625,1002,67.25,5,2,-8,317,317,113,,,,météo très défavorable
2009-02-04,3,-2,15,-2,2,2,3.2,87,8.75,997,37.875,3,0,-7,113,116,332,,,,météo très défavorable
2009-02-05,3,0,33,0,2,2,8.9,84,4.625,997,65.625,3,0,-7,227,227,329,,,,météo très défavorable
2009-02-06,4,1,32,1,3,3,0.3,79,10,997,14.375,4,0,-4,113,116,113,,,,météo très défavorable
2009-02-07,2,0,41,0,2,2,0,80,10,1003,33.625,2,0,-7,119,113,113,,,,météo très défavorable
2009-02-08,3,-2,19,-2,2,2,2.3,87,9,1003,66.125,3,1,-3,116,119,332,,,,météo très défavorable
2009-02-09,3,1,15,1,3,3,2.2,89,9.125,996,60.75,3,1,-2,116,116,116,,,,météo très défavorable
2009-02-10,2,1,21,1,1,1,0.5,87,10,1008,45.25,2,0,-4,116,116,116,,,,météo très défavorable
2009-02-11,4,1,21,3,1,1,2.8,89,9.875,1024,27.5,4,3,-4,113,113,113,,,,météo très défavorable
2009-02-12,8,2,30,2,3,8,14.6,96,8.75,1025,81.625,8,7,-4,326,302,296,,,,météo très défavorable
2009-02-13,6,3,17,3,5,5,5.7,93,5.75,1025,100,6,5,-1,296,296,296,,,,météo très défavorable
2009-02-14,7,4,19,4,6,6,1.5,96,7.625,1026,87,7,5,0,119,119,266,,,,météo très défavorable
2009-02-15,8,7,21,7,8,8,3.2,96,7.75,1024,75,8,7,3,266,116,119,,,,météo très défavorable
