DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,27,25,42,25,27,26,0,75,10,1015,36.75,30,22,25,116,113,113,,,,météo favorable
2009-01-02,27,25,39,25,27,26,0,78,10,1015,9.75,30,23,25,113,113,113,,,,météo idéale
2009-01-03,26,24,32,24,26,25,0,77,10,1015,11.375,29,22,24,113,113,113,,,,météo idéale
2009-01-04,26,24,25,24,26,25,0,76,10,1015,0,29,22,24,113,113,113,,,,météo idéale
2009-01-05,28,25,22,25,28,26,0,72,10,1015,0,30,22,25,113,113,113,,,,météo idéale
2009-01-06,27,24,32,24,27,26,0,74,10,1015,0.5,30,22,24,113,113,113,,,,météo idéale
2009-01-07,25,23,34,23,25,24,0,76,10,1016,14.375,26,20,23,113,113,116,,,,météo idéale
2009-01-08,23,22,39,22,23,23,0,71,10,1016,23,25,18,22,113,116,113,,,,météo favorable
2009-01-09,23,22,37,22,23,23,0,71,10,1018,17.125,25,17,22,113,113,113,,,,météo favorable
2009-01-10,24,23,33,23,24,23,0,70,10,1019,21,26,18,23,116,113,113,,,,météo idéale
2009-01-11,25,23,32,23,25,24,0,76,10,1017,16.75,27,20,23,113,113,113,,,,météo idéale
2009-01-12,24,23,39,23,24,23,0,73,10,1016,10,26,19,23,113,113,113,,,,météo idéale
2009-01-13,25,23,41,23,25,24,0,75,10,1017,12.125,26,20,23,113,113,113,,,,météo idéale
2009-01-14,24,22,37,22,24,23,0,72,10,1017,17.75,25,18,22,113,122,113,,,,météo correcte
2009-01-15,24,22,41,22,24,23,0,70,10,1018,16.25,26,18,22,113,119,113,,,,météo correcte
2009-01-16,24,22,49,22,24,23,0,75,10,1018,16.5,25,19,22,113,113,116,,,,météo idéale
2009-01-17,23,22,46,22,23,22,0,76,10,1020,11.5,25,18,22,116,116,113,,,,météo favorable
2009-01-18,24,22,55,22,24,23,0,73,10,1020,1.375,26,18,22,113,113,113,,,,météo idéale
2009-01-19,24,22,48,22,24,23,0,73,10,1020,0.125,26,19,22,113,113,113,,,,météo idéale
2009-01-20,24,22,42,22,24,23,0,74,10,1019,0,25,19,22,113,113,113,,,,météo idéale
2009-01-21,24,22,42,22,24,23,0,77,10,1018,8.375,26,19,22,113,113,116,,,,météo idéale
2009-01-22,23,22,45,22,23,22,0,69,10,1018,0,25,17,22,113,113,113,,,,météo favorable
2009-01-23,24,22,44,22,24,23,0,68,10,1018,0,26,17,22,113,113,113,,,,météo idéale
2009-01-24,24,22,41,22,24,23,0,65,10,1017,0.25,26,17,22,113,113,113,,,,météo idéale
2009-01-25,24,22,37,22,24,23,0,70,10,1017,0,26,18,22,113,113,113,,,,météo idéale
2009-01-26,23,22,38,22,23,23,0,77,10,1018,3.375,25,19,22,113,113,113,,,,météo favorable
2009-01-27,23,21,36,21,23,22,0,78,10,1018,7.625,25,19,21,113,113,113,,,,météo favorable
2009-01-28,23,21,33,21,23,22,0,80,10,1017,9.625,25,19,21,113,113,113,,,,météo favorable
2009-01-29,23,21,30,21,23,22,0,79,10,1016,6.125,25,19,21,113,113,113,,,,météo favorable
2009-01-30,23,21,33,21,23,22,0,77,10,1016,1.875,25,18,21,113,113,113,,,,météo favorable
2009-01-31,23,22,37,22,23,22,0,77,10,1016,10,25,19,22,113,113,113,,,,météo favorable
2009-02-01,24,21,36,21,24,22,0,79,10,1015,7.625,26,20,21,113,113,113,,,,météo idéale
2009-02-02,23,21,33,21,23,22,0,79,10,1017,8.75,25,19,21,113,113,113,,,,météo favorable
2009-02-03,23,21,30,21,23,22,0,78,10,1017,7.75,25,18,21,113,113,113,,,,météo favorable
2009-02-04,23,21,31,21,23,22,0,79,10,1018,26.75,25,19,21,113,113,116,,,,météo favorable
2009-02-05,23,21,35,21,23,22,0,80,10,1018,31.75,25,19,21,113,113,116,,,,météo favorable
2009-02-06,23,21,41,21,23,22,0,74,10,1019,23.625,25,17,21,113,116,116,,,,météo favorable
2009-02-07,23,21,42,21,23,22,0,75,10,1018,24.875,25,18,21,113,116,113,,,,météo favorable
2009-02-08,24,21,39,21,24,22,0,72,10,1017,23.125,25,18,21,113,116,113,,,,météo favorable
2009-02-09,23,21,26,21,23,22,0,73,10,1016,10,25,18,21,113,113,113,,,,météo favorable
2009-02-10,25,22,25,22,25,23,0,74,10,1016,3.625,26,19,22,113,113,113,,,,météo idéale
2009-02-11,26,23,27,23,26,24,0,75,10,1015,2.125,27,20,23,113,113,113,,,,météo idéale
2009-02-12,25,23,30,23,25,24,0,76,10,1014,2.375,27,20,23,113,113,113,,,,météo idéale
2009-02-13,24,22,37,22,24,23,0,79,10,1014,3.375,26,20,22,113,113,113,,,,météo idéale
2009-02-14,23,22,35,22,23,23,0,79,10,1014,17.875,25,19,22,113,113,116,,,,météo favorable
2009-02-15,22,21,37,21,22,21,0,78,10,1015,4.5,25,18,21,113,113,113,,,,météo favorable
2009-02-16,23,21,37,21,23,22,0,76,10,1015,6.25,25,18,21,113,113,113,,,,météo favorable
2009-02-17,22,21,34,21,22,21,0,74,10,1016,4.625,25,17,21,113,113,113,,,,météo favorable
2009-02-18,22,21,34,21,22,22,0,77,10,1015,3.625,25,18,21,113,113,113,,,,météo favorable
2009-02-19,22,21,39,21,22,22,0,74,10,1016,4.5,25,17,21,113,113,113,,,,météo favorable
