DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,10,0,24,8,9,10,0,57,10,1008,18.25,10,1,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-02,12,0,24,8,10,12,0.1,52,10,1013,5.75,12,4,5,113,113,113,0,1,8.7,météo très défavorable
2009-01-03,11,0,32,8,9,11,0,62,10,1019,14.125,11,3,5,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,11,0,31,8,10,11,0,64,10,1021,19.125,12,3,5,116,113,113,0,1,8.7,météo très défavorable
2009-01-05,12,0,26,8,10,12,0,76,10,1019,42.5,12,5,5,116,113,116,0,1,8.7,météo très défavorable
2009-01-06,12,0,26,9,10,12,0,78,10,1021,48.125,12,7,6,119,113,116,0,1,8.7,météo très défavorable
2009-01-07,11,0,33,8,9,10,0.2,80,10,1024,59.875,11,7,4,116,116,116,0,1,5.4,météo très défavorable
2009-01-08,11,0,34,8,10,11,0.9,80,8.625,1027,61,11,6,4,263,263,113,0,1,3.7,météo très défavorable
2009-01-09,10,0,47,10,10,8,0.5,93,8.375,1023,85.5,10,8,5,122,266,122,0,1,3.7,météo très défavorable
2009-01-10,13,0,42,12,10,9,0.2,70,10,1006,19.25,13,6,6,113,116,116,0,1,8.7,météo très défavorable
2009-01-11,10,0,21,5,7,10,0,53,10,1016,6.375,10,2,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,11,0,50,9,11,9,0.4,68,9.375,1016,13,11,5,5,113,263,113,0,1,8.7,météo très défavorable
2009-01-13,10,0,33,8,9,10,0,60,10,1018,5.375,10,3,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-14,11,0,26,8,8,11,0,62,10,1021,0.875,11,3,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-15,10,0,24,7,7,8,0,66,10,1023,14,10,2,3,113,113,116,0,1,8.7,météo très défavorable
2009-01-16,12,0,21,5,8,12,0,57,10,1026,6.5,12,4,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-17,12,0,15,9,9,11,0,64,10,1027,6.75,12,4,7,113,113,116,0,1,8.7,météo très défavorable
2009-01-18,12,0,11,9,9,12,0,82,10,1028,32.125,12,6,7,113,116,116,0,1,8.7,météo très défavorable
2009-01-19,16,0,51,16,15,14,5.3,66,9.5,1016,32.125,16,13,11,356,113,113,0,1,8.7,météo très défavorable
2009-01-20,10,0,26,8,9,10,0,65,10,1022,70.625,11,7,5,119,122,119,0,1,5.4,météo très défavorable
2009-01-21,13,0,27,9,11,12,0,91,10,1022,75.5,13,10,7,122,116,122,0,1,5.4,météo très défavorable
2009-01-22,11,0,35,10,10,11,0.6,94,9,1019,94.25,11,10,6,122,119,266,0,1,3.8,météo très défavorable
2009-01-23,16,0,32,12,11,16,0,91,10,1014,61.125,16,11,8,122,113,116,0,1,7.1,météo très défavorable
2009-01-24,14,0,25,11,8,7,0,73,10,1016,25.5,14,6,5,113,116,116,0,1,8.7,météo très défavorable
2009-01-25,10,0,39,6,9,10,0,54,10,1019,3.875,10,1,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-26,12,0,35,8,10,11,0,52,10,1021,14.5,12,3,5,113,113,116,0,1,8.7,météo très défavorable
2009-01-27,11,0,18,10,10,11,0,57,10,1026,47.5,11,5,6,116,116,116,0,1,8.7,météo très défavorable
2009-01-28,11,0,31,8,9,10,0,88,10,1030,97.375,11,8,4,122,122,122,0,1,4,météo très défavorable
2009-01-29,13,0,27,10,11,13,0.5,90,9,1029,91.375,13,11,7,119,266,122,0,1,4,météo très défavorable
2009-01-30,15,0,13,13,14,15,1,89,9.875,1024,91.625,15,13,13,122,119,122,0,1,4,météo très défavorable
2009-01-31,17,0,63,17,9,10,0.2,87,9.375,1008,89.5,17,15,3,122,119,263,0,1,4,météo très défavorable
2009-02-01,11,0,43,9,10,11,0,61,10,1021,16.75,11,5,6,113,113,113,0,1,8.7,météo très défavorable
2009-02-02,10,0,26,7,8,9,0,69,10,1025,31.375,10,6,3,113,113,119,0,1,8.7,météo très défavorable
2009-02-03,14,0,17,10,12,14,0,65,10,1022,41.75,14,8,9,116,113,119,0,1,8.7,météo très défavorable
2009-02-04,12,0,35,9,10,10,0.8,86,9,1020,95,12,8,5,266,122,122,0,1,4,météo très défavorable
2009-02-05,12,0,17,10,10,12,0.1,82,10,1020,57.625,12,8,7,122,122,113,0,1,5.6,météo très défavorable
2009-02-06,12,0,32,10,11,11,0,59,10,1019,10.25,12,7,7,113,113,113,0,1,8.7,météo très défavorable
2009-02-07,12,0,17,6,8,12,0.1,75,10,1020,52,12,6,4,119,119,116,0,1,5.6,météo très défavorable
2009-02-08,12,0,25,10,11,11,0,68,10,1018,5.25,13,5,8,113,113,113,0,1,8.7,météo très défavorable
2009-02-09,11,0,22,7,9,11,0,79,10,1021,74.125,11,8,5,119,122,119,0,1,4.1,météo très défavorable
2009-02-10,12,0,24,9,11,12,0,72,10,1009,34.625,13,7,6,116,113,116,0,1,8.7,météo très défavorable
2009-02-11,10,0,26,8,9,10,0,86,10,1011,49,10,7,5,122,119,113,0,1,5.6,météo très défavorable
2009-02-12,15,0,25,9,11,14,0,59,10,1019,12.25,15,6,7,113,113,116,0,1,8.7,météo très défavorable
2009-02-13,18,0,49,15,16,17,0,73,10,1019,33.625,18,14,12,116,116,116,0,1,8.7,météo favorable
2009-02-14,20,0,69,19,19,19,0.2,85,9,1006,50.125,20,16,18,266,113,113,0,1,8.7,météo favorable
2009-02-15,17,0,28,14,14,17,0,83,10,1011,32.375,17,12,11,116,116,113,0,1,7.2,météo très défavorable
2009-02-16,16,0,37,14,14,11,0,55,10,1010,24.25,16,7,12,113,113,116,0,1,8.7,météo très défavorable
2009-02-17,8,0,40,5,7,8,1.4,66,9.75,1020,40.625,8,3,-0,182,113,113,0,1,8.7,météo très défavorable
2009-02-18,10,0,14,6,7,10,0.2,63,9.875,1020,51.75,10,2,2,317,116,116,0,1,8.7,météo très défavorable
2009-02-19,10,0,24,6,7,10,0,65,10,1024,55.375,10,4,2,119,116,122,0,1,8.7,météo très défavorable
2009-02-20,17,0,62,14,17,16,1.6,88,10,1019,61.625,17,15,11,122,353,113,0,1,5.7,météo très défavorable
2009-02-21,11,0,15,8,8,10,0,66,10,1020,21.375,11,4,5,116,116,113,0,1,7.2,météo très défavorable
2009-02-22,14,0,44,9,13,14,0,64,10,1022,16.375,15,8,8,113,113,116,0,1,8.7,météo très défavorable
2009-02-23,17,0,62,17,9,9,1.9,94,9.875,1019,79,17,15,4,122,296,116,0,1,4.2,météo très défavorable
2009-02-24,11,0,29,9,10,11,0.4,83,8,1024,73.25,11,9,6,116,266,266,0,1,4.2,météo très défavorable
2009-02-25,16,0,27,12,16,13,0,90,10,1017,77,16,14,9,119,122,116,0,1,4.2,météo très défavorable
2009-02-26,13,0,31,10,10,9,0.2,88,9,1021,95.75,13,10,6,122,122,122,0,1,4.2,météo très défavorable
2009-02-27,9,0,40,9,7,7,0.4,95,9,1021,100,9,8,2,266,122,122,0,1,4.2,météo très défavorable
2009-02-28,10,0,34,8,9,10,0.2,72,10,1024,82.125,11,6,5,122,116,119,0,1,7.2,météo très défavorable
2009-03-01,10,0,31,9,9,10,5.4,90,9.375,1023,93.375,11,8,5,296,296,122,0,1,4.2,météo très défavorable
2009-03-02,11,0,35,9,9,11,0.3,67,10,1023,33.375,11,7,4,353,113,113,0,1,8.7,météo très défavorable
2009-03-03,8,0,30,6,8,7,1,84,9.875,1025,74.25,8,6,3,119,119,296,0,1,4.2,météo très défavorable
2009-03-04,10,0,46,7,9,10,0,94,10,1018,74.25,10,7,3,122,116,119,0,1,8.7,météo très défavorable
2009-03-05,13,0,31,8,10,12,0,69,10,1025,15.625,13,6,5,113,113,113,0,1,8.7,météo très défavorable
2009-03-06,16,0,24,14,15,13,2,87,8.875,1024,86.125,16,14,12,266,296,122,0,1,4.3,météo très défavorable
2009-03-07,16,0,30,12,12,14,0,68,10,1019,35.5,16,12,8,113,113,116,0,1,8.7,météo très défavorable
2009-03-08,14,0,41,11,11,12,0,88,10,1020,94.75,14,10,7,122,122,122,0,1,4.3,météo très défavorable
2009-03-09,13,0,25,12,13,13,0.4,83,10,1021,81,13,10,10,119,116,353,0,1,5.7,météo très défavorable
2009-03-10,16,0,36,11,14,16,1.6,76,8.875,1011,58.25,16,11,10,296,113,113,0,1,10.2,météo très défavorable
2009-03-11,12,0,18,7,9,12,0.2,64,10,1019,24.625,12,5,5,116,116,113,0,1,10.2,météo très défavorable
2009-03-12,10,0,32,7,9,10,0,56,10,1030,4.5,11,1,3,113,113,113,0,1,11.6,météo très défavorable
2009-03-13,15,0,35,11,13,14,0,71,10,1029,58.375,15,11,10,116,116,122,0,1,10.2,météo très défavorable
2009-03-14,18,0,63,18,15,12,3.6,83,9.625,1013,70.375,18,15,10,302,116,113,0,1,7.4,météo très défavorable
2009-03-15,13,0,13,9,10,12,0,54,10,1015,6,13,6,8,113,113,113,0,1,11.6,météo très défavorable
2009-03-16,15,0,48,11,13,15,0,55,10,1015,1.875,16,7,9,113,113,113,0,1,11.6,météo très défavorable
2009-03-17,17,0,50,16,17,17,0,59,10,1018,4.625,17,9,17,113,113,113,0,1,11.6,météo très défavorable
2009-03-18,17,0,42,16,17,17,0,62,10,1022,3,17,12,16,113,113,113,0,1,11.6,météo très défavorable
2009-03-19,18,0,45,17,17,18,0,81,10,1019,3.5,18,15,17,113,113,113,0,1,11.6,météo favorable
2009-03-20,18,0,49,17,17,15,0.7,87,9.375,1013,46.625,18,15,16,263,122,113,0,1,8.8,météo très défavorable
2009-03-21,15,0,19,8,12,14,0,64,10,1020,10.25,15,9,8,113,113,113,0,1,11.6,météo très défavorable
2009-03-22,17,0,58,17,17,17,1.8,80,9.875,1018,81.875,17,16,16,122,122,296,0,1,7.4,météo très défavorable
2009-03-23,18,0,38,14,15,14,0.1,64,10,1011,34.625,18,16,12,113,113,119,0,1,11.6,météo favorable
2009-03-24,12,0,31,8,10,12,0.6,85,9,1015,85.25,12,9,4,122,119,119,0,1,6.1,météo très défavorable
2009-03-25,13,0,19,12,13,13,0.3,82,9.875,1013,23.125,13,9,9,113,116,176,0,1,10.2,météo très défavorable
2009-03-26,12,0,28,8,9,12,0.5,69,10,1015,35.375,12,8,3,353,113,113,0,1,10.2,météo très défavorable
2009-03-27,12,0,21,11,11,12,0,66,10,1015,17.625,12,5,8,113,113,116,0,1,11.6,météo très défavorable
2009-03-28,10,0,27,8,8,9,0.2,85,9,1017,66.125,10,6,3,122,266,116,0,1,7.5,météo très défavorable
2009-03-29,11,0,30,8,9,11,0.1,73,10,1022,54.125,11,5,4,116,113,116,0,1,8.9,météo très défavorable
2009-03-30,11,0,27,7,10,11,0.3,67,9.375,1025,43,11,5,5,263,113,113,0,1,12.7,météo très défavorable
2009-03-31,14,0,18,11,12,14,0,78,10,1024,75.875,14,9,9,122,122,116,0,1,9.3,météo très défavorable
2009-04-01,14,0,15,12,12,14,2.4,89,9.25,1018,49.125,14,10,9,296,116,113,0,1,11.9,météo très défavorable
2009-04-02,14,0,39,9,12,14,0,61,10,1019,27.75,14,7,6,116,113,113,0,1,12.8,météo très défavorable
2009-04-03,14,0,15,9,12,14,0,65,10,1023,21.25,14,9,9,116,116,113,0,1,12.8,météo très défavorable
2009-04-04,17,0,36,14,16,16,0.1,64,10,1022,27.5,17,13,15,113,113,119,0,1,12.8,météo très défavorable
2009-04-05,16,0,21,14,14,15,0.3,78,9,1013,65.25,16,13,12,119,119,116,0,1,9.3,météo très défavorable
2009-04-06,17,0,14,13,15,16,0.3,73,9.875,1013,15.625,17,10,13,176,113,113,0,1,12.8,météo très défavorable
2009-04-07,17,0,13,15,16,17,0,72,10,1019,2.625,17,11,14,113,113,113,0,1,12.9,météo très défavorable
2009-04-08,18,0,19,17,18,18,0,64,10,1020,17,18,11,17,113,116,113,0,1,12.9,météo favorable
2009-04-09,19,0,17,16,19,18,0,63,10,1024,3.25,19,12,17,113,113,113,0,1,12.9,météo favorable
2009-04-10,19,0,24,18,18,18,0,63,10,1024,0,19,12,18,113,113,113,0,1,12.9,météo favorable
2009-04-11,19,0,15,17,19,18,0,70,10,1022,7.375,21,15,18,113,113,116,0,1,12.9,météo favorable
2009-04-12,18,0,22,15,17,18,0,85,10,1021,43,18,14,16,119,119,113,0,1,10.7,météo très défavorable
2009-04-13,19,0,26,17,19,19,0,69,10,1012,15.625,19,14,18,113,113,113,0,1,13,météo favorable
2009-04-14,19,0,34,19,19,18,0,83,10,1009,58.625,19,16,18,116,116,122,0,1,10.7,météo très défavorable
2009-04-15,20,0,25,19,20,20,2.8,78,9.625,1004,30.625,20,18,19,113,113,113,0,1,13,météo favorable
2009-04-16,20,0,20,17,19,19,0,73,10,1011,4.5,20,15,18,113,113,113,0,1,13.1,météo favorable
2009-04-17,18,0,30,17,16,14,0,93,10,1015,67.125,18,15,12,116,122,122,0,1,9.4,météo très défavorable
2009-04-18,17,0,19,14,16,17,0,85,10,1017,49.75,17,14,14,119,116,113,0,1,12,météo très défavorable
2009-04-19,19,0,32,16,18,18,0,76,10,1019,5,19,14,18,113,113,113,0,1,13.1,météo favorable
2009-04-20,18,0,23,16,17,18,0,75,10,1019,24.375,18,13,17,116,116,116,0,1,13.1,météo favorable
2009-04-21,20,0,33,19,19,19,0,84,10,1015,84.5,20,18,19,119,116,122,0,1,10.7,météo très défavorable
2009-04-22,20,0,33,20,20,20,0,76,10,1005,18.25,21,19,20,113,113,113,0,1,13.2,météo favorable
2009-04-23,19,0,13,15,18,19,0,64,10,1016,38.375,19,13,17,113,116,119,0,1,12.1,météo favorable
