DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,0,8,23,26,24,4.3,98,5.25,1010,81,30,24,24,143,119,248,0,1,6,météo très défavorable
2009-01-02,25,0,5,23,25,23,8.6,98,4.75,1011,96.625,28,24,24,248,143,248,0,1,6,météo très défavorable
2009-01-03,23,0,4,22,23,22,27.3,100,3.375,1012,92.625,26,23,22,248,248,248,0,1,6,météo très défavorable
2009-01-04,26,0,5,22,26,23,3.6,98,6,1012,87,30,24,23,248,119,248,0,1,6,météo très défavorable
2009-01-05,27,0,6,22,27,22,1.3,100,3.75,1011,85.625,30,24,23,248,119,248,0,1,7.4,météo très défavorable
2009-01-06,30,0,6,22,30,24,4.8,95,4.125,1012,64.375,34,26,24,143,116,143,0,1,10.2,météo très défavorable
2009-01-07,30,0,8,21,30,24,1.8,96,4.25,1013,61,33,24,24,143,116,143,0,1,10.2,météo très défavorable
2009-01-08,29,0,13,21,29,24,4.2,97,4.75,1013,66.875,32,25,24,143,116,248,0,1,10.2,météo très défavorable
2009-01-09,26,0,6,22,26,23,0,92,5.25,1014,71.125,28,22,23,248,119,116,0,1,8.8,météo très défavorable
2009-01-10,25,0,6,21,23,21,0.2,95,4.125,1014,64.875,27,21,21,143,119,143,0,1,8.8,météo très défavorable
2009-01-11,29,0,9,20,29,23,2,97,6.375,1014,67.875,31,23,23,116,116,143,0,1,7.4,météo très défavorable
2009-01-12,28,0,6,20,28,23,0.8,98,4.875,1016,73.25,31,22,23,248,116,248,0,1,8.8,météo très défavorable
2009-01-13,26,0,14,21,26,23,1.6,95,4.5,1016,82.375,29,22,23,143,122,143,0,1,6,météo très défavorable
2009-01-14,25,0,8,21,25,22,2.6,96,5.5,1016,70.625,28,23,22,248,122,143,0,1,8.8,météo très défavorable
2009-01-15,29,0,11,20,29,23,0.9,90,6.625,1016,48.75,30,22,23,143,116,116,0,1,11.6,météo favorable
2009-01-16,28,0,9,20,28,23,0.3,88,6.625,1015,59.625,30,21,23,143,116,116,0,1,11.6,météo très défavorable
2009-01-17,31,0,13,21,31,24,0.9,87,10,1015,43.625,33,22,24,116,116,116,0,1,11.6,météo favorable
2009-01-18,30,0,9,20,30,24,0,77,6.75,1013,49.75,32,21,25,143,116,116,0,1,10.2,météo favorable
2009-01-19,31,0,11,20,31,26,0,69,10,1012,30.875,33,21,26,113,113,119,0,1,10.2,météo favorable
2009-01-20,31,0,8,21,31,25,1.1,79,9,1012,54,34,21,25,116,116,119,0,1,8.8,météo favorable
2009-01-21,32,0,8,21,32,26,0,78,10,1012,48.375,35,24,26,116,116,119,0,1,10.2,météo favorable
2009-01-22,33,0,9,21,33,27,0,65,10,1011,20.25,35,21,27,113,113,116,0,1,11.6,météo favorable
2009-01-23,32,0,10,21,32,25,0.2,77,9.875,1010,14.125,35,21,25,113,113,113,0,1,11.6,météo favorable
2009-01-24,29,0,8,22,29,23,0.8,95,7.875,1012,42.375,32,23,24,116,116,143,0,1,11.6,météo favorable
2009-01-25,25,0,8,23,25,23,3.3,99,5.5,1012,93.5,28,24,23,143,122,248,0,1,6,météo très défavorable
2009-01-26,27,0,10,22,26,24,0.5,93,5,1012,76.375,30,23,24,248,116,116,0,1,10.2,météo très défavorable
2009-01-27,31,0,8,21,31,24,1.8,90,6.375,1012,55.875,33,23,24,143,116,119,0,1,10.2,météo très défavorable
2009-01-28,32,0,6,21,32,25,1,74,6.625,1012,55.875,34,21,26,143,119,116,0,1,10.2,météo très défavorable
2009-01-29,30,0,6,22,30,23,2.3,94,10,1012,68.25,33,24,24,116,119,119,0,1,6,météo très défavorable
2009-01-30,25,0,4,22,25,23,0,90,7,1011,64.25,28,22,23,143,119,119,0,1,7.4,météo très défavorable
2009-01-31,26,0,6,22,25,23,0.1,95,5.5,1012,67.375,29,22,23,248,116,116,0,1,10.2,météo très défavorable
2009-02-01,32,0,7,21,32,25,0.7,78,9.75,1013,49.875,34,21,25,116,116,116,0,1,11.6,météo favorable
2009-02-02,32,0,7,20,32,26,0.2,68,9,1012,32.125,34,20,26,116,113,116,0,1,11.6,météo favorable
2009-02-03,31,0,4,21,31,23,0,91,10,1012,34.875,34,22,23,116,116,116,0,1,11.6,météo favorable
2009-02-04,32,0,6,22,32,23,1.4,95,9,1013,46.5,36,22,23,116,116,143,0,1,10.2,météo favorable
2009-02-05,30,0,5,22,30,24,2.6,91,6.5,1012,74.875,33,23,24,143,116,122,0,1,10.2,météo très défavorable
2009-02-06,23,0,7,22,23,22,2,96,8.5,1012,66.875,26,22,22,119,119,116,0,1,10.2,météo très défavorable
2009-02-07,29,0,9,21,29,25,0.4,77,9.875,1011,54.875,32,22,25,116,116,119,0,1,10.2,météo favorable
2009-02-08,32,0,7,21,32,25,0.8,80,10,1013,45,34,22,25,116,116,116,0,1,11.6,météo favorable
