DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,20,12,8,13,14,15,5.6,92,8.5,1015,27.375,20,14,12,113,116,116,0,1,11.6,météo favorable
2009-01-02,22,11,10,12,15,22,0.1,81,9,1015,27.125,25,13,11,116,116,116,0,1,11.6,météo favorable
2009-01-03,20,12,11,12,16,18,0.6,84,8.75,1015,32.25,20,14,13,116,113,116,0,1,11.6,météo favorable
2009-01-04,23,12,14,13,15,23,0,70,10,1015,13.625,25,12,13,113,113,113,0,1,11.6,météo favorable
2009-01-05,21,11,10,12,15,21,0.2,81,8.75,1015,26.625,24,13,11,113,113,113,0,1,11.6,météo favorable
2009-01-06,19,12,11,13,15,19,0.6,88,8.5,1014,30.125,19,13,12,113,113,113,0,1,11.6,météo favorable
2009-01-07,20,13,12,13,14,20,2.6,93,9.875,1014,26,20,14,13,116,116,113,0,1,11.6,météo favorable
2009-01-08,20,13,11,14,14,20,1.3,93,8.75,1015,25.875,20,14,14,113,116,116,0,1,11.6,météo favorable
2009-01-09,20,12,8,13,14,20,0.3,88,9,1015,22.875,20,13,13,113,113,116,0,1,11.6,météo favorable
2009-01-10,19,11,12,12,15,19,0.7,89,7.125,1015,41,19,13,13,116,116,116,0,1,11.6,météo favorable
2009-01-11,22,11,11,11,14,22,0.6,90,9.375,1016,28.25,24,13,11,116,116,116,0,1,11.6,météo favorable
2009-01-12,19,12,11,12,14,19,0.2,86,9,1015,30.375,19,13,12,116,116,116,0,1,11.6,météo favorable
2009-01-13,18,11,7,12,14,17,1.7,82,9.875,1016,34.875,18,13,12,113,116,116,0,1,11.6,météo favorable
2009-01-14,19,11,10,13,13,19,0.9,95,8.375,1017,34.25,19,13,12,116,143,113,0,1,11.6,météo correcte
2009-01-15,21,11,14,11,14,21,0.1,91,10,1016,20.5,21,13,11,113,113,113,0,1,11.6,météo favorable
2009-01-16,21,9,10,10,14,21,0.7,98,7.625,1017,26.625,24,13,9,113,113,113,0,1,10.2,météo favorable
2009-01-17,22,10,13,11,15,22,1,98,4.875,1017,56,25,14,10,248,113,113,0,1,10.2,météo correcte
2009-01-18,22,13,5,13,15,21,3.3,96,7.625,1018,29.625,25,15,13,143,116,116,0,1,11.6,météo favorable
2009-01-19,23,14,13,14,16,23,4.5,98,7.5,1017,47.125,25,17,14,113,248,113,0,1,8.8,météo correcte
2009-01-20,21,15,12,15,16,21,7,98,5.875,1016,51.125,24,17,15,248,143,113,0,1,11.6,météo correcte
2009-01-21,21,15,8,15,15,19,3.7,93,8.625,1017,49,21,15,15,116,116,116,0,1,10.2,météo favorable
2009-01-22,15,12,10,12,13,15,8.9,98,7,1017,52.875,15,14,12,113,248,116,0,1,10.2,météo correcte
2009-01-23,17,10,8,14,13,16,2.8,81,8.75,1017,30.875,17,13,11,113,116,116,0,1,11.6,météo correcte
2009-01-24,22,11,13,12,13,22,0.1,65,10,1016,12.875,25,14,12,113,113,113,0,1,11.6,météo favorable
2009-01-25,23,12,14,12,15,23,0.6,98,5.5,1014,35.625,25,14,12,248,143,113,0,1,10.2,météo correcte
2009-01-26,19,15,4,15,15,19,4,97,5.5,1015,46.875,19,16,15,143,248,116,0,1,8.8,météo correcte
2009-01-27,23,11,17,12,14,23,0,90,7.5,1016,35.625,25,14,11,113,113,113,0,1,11.6,météo favorable
2009-01-28,21,11,15,12,15,21,0.3,98,6.5,1014,35.75,24,14,11,143,113,113,0,1,10.2,météo favorable
2009-01-29,17,13,4,13,15,16,4.1,93,9.5,1016,28,17,15,13,113,116,116,0,1,11.6,météo correcte
2009-01-30,21,12,10,13,13,21,0.3,89,9.375,1017,21.875,24,13,12,113,116,113,0,1,11.6,météo favorable
2009-01-31,18,12,6,13,14,18,2,98,3.25,1018,63.875,18,14,12,248,248,116,0,1,10.2,météo correcte
2009-02-01,19,12,10,12,15,17,0.7,86,9.375,1016,28.75,19,14,12,113,113,116,0,1,11.6,météo favorable
2009-02-02,22,13,16,14,15,22,0.6,88,9.375,1015,26.5,25,13,13,116,116,113,0,1,11.6,météo favorable
2009-02-03,17,11,6,12,14,17,0.9,88,8.125,1015,26.25,17,13,12,113,113,116,0,1,11.6,météo correcte
2009-02-04,21,13,9,13,14,21,0.5,81,9.375,1016,32.25,21,14,13,116,116,116,0,1,11.6,météo favorable
2009-02-05,22,13,14,13,14,22,3.3,93,9.125,1017,36.125,25,14,13,116,116,116,0,1,11.6,météo favorable
2009-02-06,20,12,10,13,15,18,0.1,87,10,1016,26.125,20,13,12,113,116,116,0,1,11.6,météo favorable
2009-02-07,23,11,16,13,14,23,0.1,70,8.75,1016,29.125,25,14,11,113,113,113,0,1,11.6,météo favorable
2009-02-08,21,11,6,12,14,21,0.7,93,8,1016,38.625,21,14,11,113,116,116,0,1,11.6,météo favorable
2009-02-09,18,11,9,11,14,17,3.2,88,8.375,1015,39.75,18,15,11,116,113,116,0,1,11.6,météo favorable
2009-02-10,19,13,11,13,15,19,1.1,84,9.25,1014,27.5,19,13,13,116,113,116,0,1,11.6,météo favorable
2009-02-11,15,13,10,13,13,15,9.9,98,8.125,1017,53.125,15,14,12,116,116,248,0,1,8.8,météo correcte
2009-02-12,20,13,11,13,13,20,3.5,93,9.625,1016,39.875,20,14,13,116,116,116,0,1,11.6,météo favorable
2009-02-13,21,13,14,13,15,21,0.9,93,9.75,1015,25.25,21,14,13,116,113,113,0,1,11.6,météo favorable
2009-02-14,22,11,14,12,15,22,3.2,97,7.375,1013,27.875,25,16,11,143,113,113,0,1,11.6,météo favorable
2009-02-15,19,14,8,14,16,18,3.5,99,6.25,1015,49.875,19,16,14,248,143,116,0,1,10.2,météo correcte
2009-02-16,21,14,10,14,16,19,5.7,93,7.875,1014,38.375,21,17,14,116,116,116,0,1,11.6,météo favorable
2009-02-17,17,15,7,16,15,16,13.3,96,4.625,1015,72.5,17,16,15,248,143,143,0,1,7.4,météo défavorable
2009-02-18,20,14,10,14,15,20,1.2,89,6.875,1015,44,20,14,14,116,116,116,0,1,11.6,météo favorable
