DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,-6,12,-6,1,-1,1.4,95,8.875,1032,43.25,1,0,-5,113,116,122,0,2,8.7,météo très défavorable
2009-01-02,-0,-5,9,-5,-1,-3,8.9,99,2.375,1022,88.5,0,0,-6,260,143,260,7.6,1,5.2,météo très défavorable
2009-01-03,-3,-9,13,-7,-8,-8,13.7,99,1.5,1022,100,0,0,-14,143,260,260,11.6,1,3.4,météo très défavorable
2009-01-04,-7,-9,10,-7,-7,-8,7.7,100,0.75,1018,100,0,0,-12,260,260,260,6.6,1,3.4,météo très défavorable
2009-01-05,-4,-21,5,-21,-4,-12,0,100,0,1018,61,0,0,-13,260,260,260,0,1,6.9,météo très défavorable
2009-01-06,-4,-22,6,-11,-4,-6,0.3,99,1.875,1021,86.75,0,0,-9,260,260,260,0.3,1,3.4,météo très défavorable
2009-01-07,-1,-7,10,-7,-1,-2,0,99,0,1022,78.5,0,0,-6,260,260,260,0,1,3.4,météo très défavorable
2009-01-08,0,-8,18,-1,-1,-8,2.4,100,1.75,1031,98.5,0,0,-11,260,122,260,2.1,1,3.4,météo très défavorable
2009-01-09,-3,-11,11,-11,-3,-4,0,99,0,1033,98.5,0,0,-10,260,260,260,0,1,3.4,météo très défavorable
2009-01-10,-3,-8,11,-4,-3,-5,0.6,100,3.375,1032,99.875,0,0,-7,260,260,260,0.5,1,3.5,météo très défavorable
2009-01-11,-3,-23,11,-22,-3,-8,0,99,0.75,1036,10.375,0,0,-12,260,143,143,0,1,8.7,météo très défavorable
2009-01-12,-0,-10,10,-8,-0,-7,0,100,5,1037,43,0,0,-8,113,260,113,0,2,5.2,météo très défavorable
2009-01-13,-1,-6,18,-6,-2,-1,9.8,99,8.25,1032,83.625,0,0,-8,116,122,122,0,1,3.5,météo très défavorable
2009-01-14,-0,-1,14,-0,-1,-0,1.7,100,7.75,1022,100,0,0,-5,122,122,122,0,1,3.5,météo très défavorable
2009-01-15,2,1,11,1,2,1,0,100,0,1021,100,2,2,-2,248,248,248,0,1,3.5,météo très défavorable
2009-01-16,1,-3,10,1,0,-1,0,100,1.25,1024,97.875,1,1,-4,248,248,260,0,1,3.5,météo très défavorable
2009-01-17,-0,-8,5,-7,-0,-4,0,98,1.75,1027,53.875,0,0,-5,260,143,143,0,1,7,météo très défavorable
2009-01-18,2,-4,12,-3,2,-1,0,99,6.25,1026,65.75,3,2,-3,116,248,116,0,1,3.5,météo très défavorable
2009-01-19,4,1,12,1,4,2,0.3,99,0.25,1018,99.375,4,4,-1,248,248,248,0,1,3.5,météo très défavorable
2009-01-20,7,1,11,1,7,3,0.2,97,3.5,1015,77.375,7,6,0,119,143,248,0,1,7,météo très défavorable
2009-01-21,5,3,19,4,5,5,8.4,99,8,1011,100,5,5,0,122,122,122,0,1,3.7,météo très défavorable
2009-01-22,7,6,14,6,7,6,5.1,99,3.5,1010,100,7,6,4,248,143,248,0,2,3.7,météo très défavorable
2009-01-23,6,3,5,5,5,4,10.6,99,6.875,1000,93,6,6,3,122,143,122,0,1,3.7,météo très défavorable
2009-01-24,5,3,8,3,5,3,0.3,96,2.5,993,76.125,5,4,2,143,119,248,0,1,3.7,météo très défavorable
2009-01-25,7,3,15,5,7,4,8.6,94,6.375,998,89.625,7,5,4,248,200,122,0,1,5.4,météo très défavorable
2009-01-26,6,2,17,2,6,4,0.2,89,6,1010,61.875,6,4,2,143,116,143,0,1,7,météo très défavorable
2009-01-27,4,1,21,2,3,3,9,97,5.375,1010,75.375,4,3,-2,119,122,143,0,1,3.7,météo très défavorable
