DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,-1,15,-6,1,-3,2.5,81,10,1019,16,1,0,-5,113,113,362,,,,météo très défavorable
2009-01-02,4,0,11,-5,4,-3,0,38,10,1020,5.875,4,0,-2,113,113,113,,,,météo très défavorable
2009-01-03,5,2,18,-3,5,-2,0,61,9,1021,9,5,0,-1,116,113,143,,,,météo très défavorable
2009-01-04,3,-1,17,-3,3,-2,1.6,94,8.875,1018,23.875,3,0,-6,113,113,293,,,,météo très défavorable
2009-01-05,0,-2,18,-5,-1,-3,1.6,80,9,1016,21.125,0,0,-6,113,176,317,,,,météo très défavorable
2009-01-06,1,-2,17,-6,1,-3,0.5,57,10,1018,7.25,1,0,-4,113,113,113,,,,météo très défavorable
2009-01-07,2,-1,17,-5,2,-3,0,49,10,1022,5.5,2,0,-4,113,113,113,,,,météo très défavorable
2009-01-08,3,0,16,-4,3,-3,0,62,10,1023,10.375,3,0,-3,113,113,113,,,,météo très défavorable
2009-01-09,4,1,18,-4,4,-3,0,57,10,1024,8.375,4,0,-1,113,113,116,,,,météo très défavorable
2009-01-10,4,1,17,-3,4,-2,0,59,10,1022,6.25,4,0,-1,113,113,113,,,,météo très défavorable
2009-01-11,3,1,17,-4,3,-3,0,55,10,1021,5.875,3,0,-2,113,113,113,,,,météo très défavorable
2009-01-12,5,3,15,-3,5,-1,0,49,10,1023,4.625,5,0,1,113,113,113,,,,météo très défavorable
2009-01-13,5,4,15,-2,5,0,0.2,68,9.375,1025,12.875,5,0,1,113,113,263,,,,météo très défavorable
2009-01-14,8,5,15,-1,8,1,0,53,10,1025,6.75,8,0,3,113,113,116,,,,météo très défavorable
2009-01-15,8,6,18,0,8,1,0,55,10,1024,8.75,8,0,4,113,113,116,,,,météo très défavorable
2009-01-16,9,6,15,0,9,3,0,45,10,1024,7.25,9,0,4,113,113,113,,,,météo défavorable
2009-01-17,11,8,18,1,11,4,0,41,10,1022,12.625,11,0,6,116,116,113,,,,météo défavorable
2009-01-18,9,6,18,1,9,2,0,31,10,1020,0.625,9,0,5,113,113,113,,,,météo défavorable
2009-01-19,9,6,18,0,9,2,0,33,10,1019,0.5,9,0,4,113,113,113,,,,météo défavorable
2009-01-20,9,5,17,0,9,2,0,36,10,1017,1.25,9,0,3,113,113,113,,,,météo très défavorable
2009-01-21,12,8,17,2,12,4,0,34,10,1019,1.5,12,0,6,113,113,113,,,,météo défavorable
2009-01-22,11,9,16,0,11,4,0,36,10,1018,10.375,11,0,8,116,113,113,,,,météo défavorable
2009-01-23,12,9,15,2,12,6,0,29,10,1017,0.5,12,0,8,113,113,113,,,,météo défavorable
2009-01-24,12,10,17,3,12,5,0,34,10,1018,1.125,12,0,8,113,113,113,,,,météo défavorable
2009-01-25,10,6,19,0,10,4,0,43,10,1017,10.625,10,0,5,113,113,113,,,,météo défavorable
2009-01-26,10,6,21,0,10,2,0,44,10,1015,7.625,10,0,5,113,113,116,,,,météo défavorable
2009-01-27,7,4,18,-1,7,1,0,55,10,1016,10.125,7,0,1,113,113,116,,,,météo très défavorable
2009-01-28,9,5,18,-2,9,2,0,27,10,1016,1.375,9,0,3,113,113,113,,,,météo très défavorable
2009-01-29,8,7,17,-1,8,2,0,35,10,1019,1.375,8,0,5,113,113,113,,,,météo très défavorable
2009-01-30,8,5,21,-2,8,2,0,35,10,1017,3.125,8,0,3,113,113,113,,,,météo très défavorable
2009-01-31,7,3,21,-2,7,0,0,28,10,1016,0.5,7,0,1,113,113,113,,,,météo très défavorable
2009-02-01,8,5,22,-3,8,0,0,24,10,1019,0.75,8,0,2,113,113,113,,,,météo très défavorable
2009-02-02,5,3,21,-3,5,-1,0,30,10,1018,2.5,5,0,1,113,113,113,,,,météo très défavorable
2009-02-03,6,3,18,-3,6,0,0,29,10,1019,1.125,6,0,1,113,113,113,,,,météo très défavorable
2009-02-04,7,3,20,-4,7,0,0,35,10,1019,1.625,7,0,1,113,113,113,,,,météo très défavorable
2009-02-05,8,5,19,-2,8,2,0,38,10,1019,2.625,8,0,4,113,113,113,,,,météo très défavorable
2009-02-06,8,5,19,-2,8,2,0,41,10,1020,3.125,8,0,4,113,113,113,,,,météo très défavorable
2009-02-07,8,5,19,-2,8,2,0,38,10,1019,3.375,8,0,3,113,113,113,,,,météo très défavorable
2009-02-08,9,6,19,-1,9,2,0,32,10,1020,1.625,9,0,5,113,113,113,,,,météo défavorable
2009-02-09,10,7,18,-1,10,3,0,24,10,1020,0.125,10,0,7,113,113,113,,,,météo défavorable
2009-02-10,10,7,19,-1,10,3,0,32,10,1020,1.125,10,0,6,113,113,113,,,,météo défavorable
2009-02-11,8,6,22,-1,8,2,0,28,10,1019,1,8,0,5,113,113,113,,,,météo très défavorable
2009-02-12,9,0,20,-2,8,3,0.4,31,9.875,1016,8.625,9,0,-3,116,113,113,,,,météo très défavorable
2009-02-13,10,6,18,-1,10,3,0,33,10,1016,0.875,10,0,5,113,113,113,,,,météo défavorable
2009-02-14,11,8,19,0,11,4,0,26,10,1016,1,11,0,7,113,113,113,,,,météo défavorable
2009-02-15,10,6,20,0,10,3,0,18,10,1016,0,10,0,5,113,113,113,,,,météo défavorable
2009-02-16,10,6,19,-2,10,3,0,19,10,1019,0,10,0,5,113,113,113,,,,météo défavorable
2009-02-17,10,8,19,0,10,3,0,18,10,1020,0,10,0,7,113,113,113,,,,météo défavorable
2009-02-18,9,6,22,-1,9,3,0,23,10,1018,0.25,9,0,4,113,113,113,,,,météo défavorable
2009-02-19,9,6,22,-1,9,3,0,28,10,1016,1.5,9,0,4,113,113,113,,,,météo défavorable
2009-02-20,9,5,21,-2,9,3,0,29,10,1019,1,9,0,4,113,113,113,,,,météo très défavorable
2009-02-21,9,6,26,-1,9,2,0,19,10,1018,0.5,9,0,3,113,113,113,,,,météo défavorable
2009-02-22,8,5,25,-3,8,1,0,27,10,1013,1.625,8,0,3,113,113,113,,,,météo très défavorable
2009-02-23,6,2,22,-4,6,1,0,40,10,1014,6,6,0,1,113,113,113,,,,météo très défavorable
