DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,23,17,9,19,22,19,6.8,99,5.875,1014,71.75,25,21,19,113,116,248,0,1,11.9,météo défavorable
2009-01-02,24,17,9,17,24,19,4.9,96,6.25,1015,61.875,26,19,19,248,116,143,0,1,10.6,météo correcte
2009-01-03,25,17,10,18,25,19,2.2,97,4.5,1015,56.375,27,19,19,143,116,143,0,1,12.8,météo correcte
2009-01-04,25,17,8,18,25,19,7.2,100,4.625,1015,68.875,26,21,20,248,113,248,0,1,11.9,météo défavorable
2009-01-05,20,17,7,18,18,18,0,99,1.75,1016,93,21,18,18,248,143,143,0,1,8,météo défavorable
2009-01-06,22,16,7,17,22,19,0,97,5.25,1014,70.5,25,19,19,143,116,248,0,1,12.8,météo défavorable
2009-01-07,21,17,7,18,20,18,10.2,99,2.875,1014,81.875,24,18,18,248,116,248,0,1,10.6,météo défavorable
2009-01-08,22,15,8,19,22,19,1.2,97,5.875,1015,58.875,25,20,19,116,116,248,0,1,12.8,météo correcte
2009-01-09,24,16,9,19,23,18,3.6,98,5.125,1016,49.625,25,20,18,116,116,248,0,1,12.8,météo favorable
2009-01-10,24,17,8,19,24,19,14,99,6.5,1016,64.875,26,20,19,119,116,248,0,1,10.6,météo défavorable
2009-01-11,20,18,3,18,19,18,22.1,100,3.25,1016,84.375,20,19,18,248,143,248,0,1,9.3,météo très défavorable
2009-01-12,21,17,7,18,19,17,2.3,99,5,1016,67.375,21,18,17,248,143,248,0,1,11.9,météo défavorable
2009-01-13,23,16,4,17,21,17,3.4,95,4.625,1017,56.5,25,17,17,143,116,143,0,1,12.8,météo correcte
2009-01-14,24,15,8,19,24,19,1.8,98,7.125,1016,51.5,25,20,19,116,116,248,0,1,12.8,météo favorable
