DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-1,0,12,-7,-1,-6,0,91,10,1028,1.875,0,0,-9,113,113,113,0,2,8.7,météo très défavorable
2009-01-02,-3,0,19,-7,-3,-7,0,90,10,1023,57.75,0,0,-11,119,122,116,0.1,2,3.3,météo très défavorable
2009-01-03,-4,0,15,-10,-4,-8,0,90,10,1025,30.125,0,0,-11,113,119,113,0,2,5.1,météo très défavorable
2009-01-04,-4,0,19,-9,-4,-8,0,83,10,1023,7.75,0,0,-12,113,113,113,0,2,8.7,météo très défavorable
2009-01-05,-5,0,9,-10,-5,-7,0.1,91,9.625,1024,42.875,0,0,-11,113,116,122,0.1,2,8.7,météo très défavorable
2009-01-06,-6,0,17,-8,-6,-10,0.4,78,9,1028,69.875,0,0,-15,122,116,119,0.3,1,8.7,météo très défavorable
2009-01-07,-5,0,12,-12,-5,-7,0,95,9,1027,48.75,0,0,-12,122,119,113,0,2,5.1,météo très défavorable
2009-01-08,-4,0,28,-7,-4,-7,0,88,10,1030,47.75,0,0,-13,116,119,113,0,1,5.1,météo très défavorable
2009-01-09,-4,0,24,-10,-4,-6,0,76,10,1034,21.25,0,0,-13,113,116,113,0,2,8.7,météo très défavorable
2009-01-10,-1,0,28,-6,-1,-1,0.1,89,9.375,1029,62,0,0,-9,119,122,119,0.1,2,3.3,météo très défavorable
2009-01-11,-3,0,13,-7,-3,-7,0,93,9,1038,20.125,0,0,-9,143,113,113,0,1,8.7,météo très défavorable
2009-01-12,-1,0,10,-8,-1,-6,0,87,10,1037,0.875,0,0,-9,113,113,113,0,2,8.7,météo très défavorable
2009-01-13,1,0,19,-7,1,-1,0,88,10,1034,20.5,2,0,-7,113,116,113,0,2,8.7,météo très défavorable
2009-01-14,6,0,19,-1,6,3,0.2,91,9,1026,52,6,4,-2,116,116,122,0,2,8.7,météo très défavorable
2009-01-15,5,0,13,3,5,1,1.4,97,6.875,1019,77.375,5,4,0,122,116,143,0,1,6.9,météo très défavorable
2009-01-16,2,0,22,2,1,0,2.4,94,7.75,1018,87,2,1,-5,143,122,122,0.3,2,3.4,météo très défavorable
2009-01-17,0,0,33,-1,0,-2,0.3,82,7.5,1021,99.5,0,0,-8,122,122,122,0,1,3.4,météo très défavorable
2009-01-18,-1,0,18,-5,-1,-5,0,84,10,1021,18.625,0,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-19,0,0,12,-5,0,-2,0.2,91,8.375,1013,36.25,0,0,-5,113,119,143,0,2,5.2,météo très défavorable
2009-01-20,3,0,14,-4,3,-1,0,90,8,1019,24,3,0,-5,143,113,116,0,2,8.7,météo très défavorable
2009-01-21,7,0,29,1,7,4,0,94,10,1021,34.5,7,4,0,116,113,113,0,2,6.9,météo très défavorable
2009-01-22,9,0,29,5,9,5,0.2,91,9,1021,45.5,9,6,2,116,113,116,0,1,8.7,météo très défavorable
2009-01-23,6,0,20,4,6,5,3.5,90,7.625,1011,65.875,6,4,1,116,116,116,0,2,5.2,météo très défavorable
2009-01-24,9,0,22,6,9,7,0.3,94,9,997,74.125,9,7,4,122,119,116,0,1,5.2,météo très défavorable
2009-01-25,9,0,13,5,9,7,1,95,6.625,1002,87.75,9,7,5,248,122,143,0,2,3.4,météo très défavorable
2009-01-26,6,0,19,5,5,6,2.9,95,6.875,1006,100,6,5,2,122,122,122,0,2,3.5,météo très défavorable
2009-01-27,9,0,8,5,9,5,0.2,93,5.25,1014,82.25,9,6,4,248,116,248,0,1,7,météo très défavorable
2009-01-28,7,0,23,4,7,6,0.3,90,6.875,1014,87,8,5,3,122,119,119,0,1,3.5,météo très défavorable
2009-01-29,6,0,21,6,6,6,3,92,7.75,1012,100,6,6,2,122,122,122,0,2,3.6,météo très défavorable
2009-01-30,4,0,30,2,2,0,0.9,84,8,1016,94.75,4,2,-5,122,119,122,0,1,3.6,météo très défavorable
2009-01-31,1,0,23,-1,1,0,0.2,81,8.75,1017,99.75,1,0,-4,122,122,122,0.2,1,3.7,météo très défavorable
2009-02-01,1,0,15,0,1,0,0.7,89,7.125,1024,97.75,1,0,-4,122,122,122,0.6,1,3.7,météo très défavorable
2009-02-02,1,0,6,-1,1,-1,0,77,10,1027,54.375,1,0,-2,116,116,116,0,1,5.4,météo très défavorable
2009-02-03,4,0,24,-2,2,3,0.9,94,8.875,1027,84,4,4,-5,122,122,122,0.1,2,3.7,météo très défavorable
2009-02-04,10,0,28,6,9,9,1.7,94,8.875,1018,94.5,10,8,3,122,122,122,0,1,3.7,météo très défavorable
2009-02-05,10,0,4,4,10,4,0,90,6.75,1007,58,11,6,6,143,116,116,0,2,7,météo très défavorable
2009-02-06,12,0,11,3,12,6,0,74,8.75,1007,33.375,12,4,7,248,113,116,0,2,8.7,météo très défavorable
2009-02-07,12,0,18,4,12,7,0.2,90,9,1007,32.5,13,8,7,113,113,119,0,2,8.7,météo très défavorable
2009-02-08,10,0,28,9,10,9,1.9,91,5.75,1004,99.875,11,8,7,122,200,200,0,2,3.7,météo très défavorable
2009-02-09,12,0,14,8,12,6,0.1,81,9,1004,69,12,8,7,122,113,119,0,2,8.7,météo très défavorable
2009-02-10,6,0,23,3,6,2,0,72,10,1008,61.125,6,1,0,122,119,113,0,1,5.4,météo très défavorable
2009-02-11,9,0,15,3,9,5,0.4,77,9.375,1006,61.25,9,4,4,119,116,119,0,2,8.7,météo très défavorable
2009-02-12,6,0,30,6,3,6,7.2,100,6,1004,96.5,6,6,-2,122,122,122,0,1,3.8,météo très défavorable
2009-02-13,3,0,13,1,0,-1,2.8,99,9,1004,61.5,3,1,-3,119,122,116,0.3,2,5.4,météo très défavorable
2009-02-14,3,0,6,-1,3,0,0,76,10,1007,43,4,0,0,116,116,116,0,2,8.7,météo très défavorable
2009-02-15,5,0,22,1,5,1,0,71,10,1013,45.5,5,0,-2,113,116,119,0,1,8.7,météo très défavorable
2009-02-16,1,0,24,0,1,-2,0,64,10,1016,65.125,1,0,-5,119,122,116,0,2,3.8,météo très défavorable
2009-02-17,3,0,20,-3,3,-1,0,62,10,1017,36.625,3,0,-5,113,116,122,0,2,8.7,météo très défavorable
2009-02-18,5,0,10,-1,5,0,0,72,9,1017,59.375,5,0,1,116,122,116,0,1,5.5,météo très défavorable
2009-02-19,5,0,19,1,5,2,0.4,85,6,1017,78,5,2,0,143,122,122,0,1,4,météo très défavorable
2009-02-20,3,0,23,1,3,1,0,70,10,1020,88.875,3,0,-3,122,122,122,0,1,4,météo très défavorable
2009-02-21,1,0,25,-2,1,-3,0,65,10,1023,73.125,1,0,-7,122,119,119,0,2,5.6,météo très défavorable
2009-02-22,0,0,16,-4,0,-3,0,63,10,1022,77.625,0,0,-6,122,116,116,0,1,5.6,météo très défavorable
2009-02-23,0,0,7,-5,0,-4,0,78,8,1020,54.125,0,0,-4,116,122,113,0,1,4.1,météo très défavorable
2009-02-24,2,0,10,-5,2,-3,0,60,10,1024,31.5,2,0,-4,113,116,116,0,2,8.7,météo très défavorable
2009-02-25,1,0,18,-4,1,-4,0,57,10,1026,20.875,1,0,-5,116,113,113,0,2,8.7,météo très défavorable
2009-02-26,4,0,9,-4,4,-2,0,51,9,1026,17.125,4,0,-1,113,116,116,0,1,8.7,météo très défavorable
