DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,31,0,11,23,31,23,0,79,10,1014,2.375,38,21,25,113,113,113,0,1,11.6,météo favorable
2009-01-02,32,0,13,23,31,25,0,69,10,1015,7.375,40,20,26,113,113,113,0,1,11.6,météo très défavorable
2009-01-03,32,0,10,24,31,26,0,67,10,1016,12.625,35,20,27,113,113,113,0,1,11.6,météo favorable
2009-01-04,32,0,10,24,31,26,0,67,10,1015,23.75,35,20,27,113,113,113,0,1,11.6,météo favorable
2009-01-05,32,0,13,24,32,26,0,64,10,1013,16.75,35,20,27,113,113,113,0,1,11.6,météo favorable
2009-01-06,31,0,14,24,31,26,0,74,10,1013,14.875,38,21,26,113,113,113,0,1,11.6,météo favorable
2009-01-07,32,0,11,24,31,23,0,80,10,1014,9,36,20,24,113,113,113,0,1,11.6,météo favorable
2009-01-08,31,0,12,25,31,26,0,74,10,1015,28.25,35,22,27,113,116,116,0,1,11.6,météo favorable
2009-01-09,33,0,13,25,33,27,0,72,10,1016,16.875,37,22,28,113,113,116,0,1,11.6,météo favorable
2009-01-10,33,0,9,25,33,25,0,69,10,1015,9.625,36,21,26,113,113,113,0,1,11.6,météo favorable
2009-01-11,33,0,10,25,33,23,0,78,10,1016,8.625,37,20,24,113,113,113,0,1,11.6,météo favorable
2009-01-12,33,0,4,25,33,23,0,75,10,1016,3.625,42,21,24,113,113,113,0,1,11.6,météo très défavorable
2009-01-13,32,0,6,24,32,23,0,74,10,1017,4.25,39,20,24,113,113,113,0,1,11.6,météo favorable
2009-01-14,32,0,7,24,32,26,0,59,10,1017,6.625,36,21,27,113,113,113,0,1,11.6,météo favorable
2009-01-15,32,0,10,24,32,27,0,61,10,1017,14.25,34,19,27,113,116,113,0,1,11.6,météo favorable
2009-01-16,33,0,6,24,33,24,0,73,10,1017,6.125,36,20,25,113,113,113,0,1,11.6,météo favorable
2009-01-17,32,0,9,23,32,23,0,76,10,1016,5,38,20,24,113,113,113,0,1,11.6,météo favorable
2009-01-18,32,0,9,24,32,25,0,70,10,1015,13.75,37,20,26,113,113,116,0,1,11.6,météo favorable
2009-01-19,32,0,10,24,32,23,0,75,10,1014,5.875,39,19,24,113,113,113,0,1,11.6,météo favorable
2009-01-20,32,0,10,24,32,21,0,84,10,1014,0.25,41,23,25,113,113,113,0,1,11.6,météo très défavorable
2009-01-21,33,0,10,23,32,21,0,80,10,1015,0,41,21,25,113,113,113,0,1,11.6,météo très défavorable
2009-01-22,32,0,15,23,32,22,0,78,10,1014,0.75,38,21,24,113,113,113,0,1,11.6,météo favorable
2009-01-23,32,0,12,24,32,24,0,76,10,1013,4.5,37,21,25,113,113,113,0,1,11.6,météo favorable
2009-01-24,32,0,14,24,32,22,0,83,10,1012,1.625,34,23,26,113,113,113,0,1,11.6,météo favorable
2009-01-25,33,0,12,24,33,22,0,77,10,1013,0.875,39,20,25,113,113,113,0,1,11.6,météo favorable
2009-01-26,33,0,12,25,33,25,0,74,10,1013,18.875,37,21,26,113,113,116,0,1,11.6,météo favorable
2009-01-27,33,0,9,26,33,24,0.1,86,10,1014,37.125,37,23,25,113,116,116,0,1,11.6,météo favorable
2009-01-28,33,0,15,25,32,26,0,80,10,1013,23,39,23,27,113,113,113,0,1,11.6,météo favorable
2009-01-29,34,0,13,26,34,25,0,78,10,1014,5.5,44,23,27,113,113,113,0,1,11.6,météo très défavorable
2009-01-30,33,0,11,24,33,24,0,69,10,1013,8.75,34,22,25,113,113,113,0,1,11.6,météo favorable
2009-01-31,33,0,12,24,33,23,0,74,10,1013,1,40,22,27,113,113,113,0,1,11.6,météo très défavorable
2009-02-01,33,0,12,24,33,25,0,78,10,1014,0.5,42,24,28,113,113,113,0,6,11.6,météo très défavorable
2009-02-02,33,0,14,25,33,25,0,76,10,1015,1.75,41,23,27,113,113,113,0,6,11.6,météo très défavorable
2009-02-03,33,0,13,25,33,25,0,73,10,1015,3.875,37,22,27,113,113,113,0,6,11.6,météo favorable
2009-02-04,32,0,17,25,32,26,0,76,10,1015,6.375,36,23,27,113,113,113,0,6,11.6,météo favorable
2009-02-05,33,0,16,25,32,26,0,74,10,1015,9.625,37,22,27,113,113,113,0,6,11.6,météo favorable
2009-02-06,33,0,14,25,32,25,0,73,10,1014,4.75,37,21,27,113,113,113,0,6,11.6,météo favorable
2009-02-07,33,0,13,25,33,25,0,68,10,1013,5.375,39,20,26,113,113,113,0,6,11.6,météo favorable
2009-02-08,34,0,15,25,33,25,0,76,10,1015,12.625,38,22,27,113,113,113,0,6,11.6,météo favorable
2009-02-09,33,0,11,24,33,23,0,76,10,1015,3,37,20,25,113,113,113,0,6,11.6,météo favorable
2009-02-10,33,0,15,24,33,26,0,72,10,1015,3.125,38,22,27,113,113,113,0,6,11.6,météo favorable
2009-02-11,31,0,16,25,31,26,0,75,10,1015,6.625,36,23,27,113,113,113,0,6,11.6,météo favorable
2009-02-12,30,0,16,26,29,26,0.5,77,9.75,1014,17.375,33,23,27,176,176,113,0,6,11.6,météo favorable
2009-02-13,31,0,20,26,31,26,0,70,10,1013,9.625,33,22,27,113,113,113,0,6,11.6,météo favorable
2009-02-14,31,0,17,26,31,26,0,75,10,1013,13.5,35,22,27,116,113,113,0,6,11.6,météo favorable
2009-02-15,32,0,18,26,32,26,0,76,10,1012,7.25,36,23,28,113,113,113,0,6,11.6,météo favorable
2009-02-16,33,0,17,26,33,25,0,77,10,1012,1.375,42,24,28,113,113,113,0,6,11.6,météo très défavorable
2009-02-17,33,0,14,25,33,23,0,77,10,1014,1.5,40,23,27,113,113,113,0,6,11.6,météo très défavorable
2009-02-18,34,0,14,24,33,25,0,68,10,1013,1.625,41,20,27,113,113,113,0,6,11.6,météo très défavorable
2009-02-19,34,0,14,26,34,26,0,70,10,1012,5.875,38,23,29,113,113,113,0,6,11.6,météo favorable
2009-02-20,34,0,12,25,34,25,0,70,10,1013,4.25,42,20,26,113,113,113,0,6,11.6,météo très défavorable
2009-02-21,34,0,13,26,33,27,0,72,10,1013,11.875,39,22,28,113,113,113,0,6,11.6,météo favorable
2009-02-22,34,0,14,27,34,27,0,76,10,1011,11.875,40,24,28,113,113,113,0,6,11.6,météo très défavorable
2009-02-23,34,0,15,27,34,28,0,73,10,1012,13.25,40,25,28,113,113,113,0,6,11.6,météo très défavorable
2009-02-24,33,0,19,29,33,27,0,80,10,1013,11.875,38,25,28,113,113,113,0,6,11.6,météo favorable
2009-02-25,33,0,17,29,33,27,0,78,8,1012,10.25,40,25,28,113,113,113,0,5,11.6,météo très défavorable
2009-02-26,32,0,14,29,30,26,0,89,9,1011,16.875,38,25,27,113,116,113,0,6,11.6,météo favorable
