DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,33,0,24,26,33,30,1.5,81,9.875,1011,28.875,36,24,26,113,116,113,0,1,13.3,météo favorable
2009-01-02,32,0,23,26,32,30,0.4,79,9.875,1012,28.375,35,22,26,113,176,116,0,1,13.3,météo favorable
2009-01-03,32,0,17,25,32,30,1.5,74,9.875,1012,38.875,36,23,25,116,176,353,0,1,13.3,météo favorable
2009-01-04,30,0,13,26,30,28,3,83,9.625,1012,29.25,33,23,26,176,176,176,0,1,13.3,météo favorable
2009-01-05,30,0,21,26,30,29,1.7,84,9.75,1012,36,34,23,26,176,353,176,0,1,13.3,météo très défavorable
2009-01-06,33,0,22,26,33,30,0.3,79,9.875,1011,37.125,37,23,26,176,116,116,0,1,13.3,météo favorable
2009-01-07,34,0,27,26,34,31,0,76,10,1011,11.5,39,24,26,113,113,113,0,1,13.3,météo favorable
2009-01-08,35,0,22,27,35,32,0,70,10,1011,16.125,39,22,27,113,113,116,0,1,13.3,météo favorable
2009-01-09,36,0,21,26,36,33,0,75,10,1012,8.625,41,21,26,113,113,113,0,1,13.3,météo très défavorable
2009-01-10,35,0,23,27,35,29,0,68,9.75,1010,18.25,40,23,27,113,113,200,0,1,13.3,météo très défavorable
2009-01-11,35,0,21,27,35,31,0,78,10,1009,13.75,38,23,27,113,113,116,0,1,13.3,météo favorable
2009-01-12,34,0,18,27,32,32,0,72,10,1009,34.125,37,22,27,113,116,116,0,1,13.3,météo favorable
2009-01-13,31,0,10,27,31,30,1.5,72,9.625,1011,33.75,36,23,27,116,176,176,0,1,13.3,météo favorable
2009-01-14,33,0,15,26,33,30,1.7,75,9.75,1011,32.375,37,22,27,116,176,353,0,1,13.3,météo favorable
2009-01-15,33,0,20,26,33,28,2.6,78,9.75,1011,34,37,23,27,113,176,176,0,1,13.2,météo favorable
2009-01-16,31,0,14,26,31,28,3.8,84,9.75,1011,39.625,35,24,26,293,116,176,0,1,13.2,météo favorable
2009-01-17,29,0,10,26,28,28,2.9,87,9,1010,68,33,25,26,266,353,353,0,1,10.8,météo très défavorable
2009-01-18,27,0,20,26,27,26,16.9,90,8.625,1009,59.375,32,25,26,356,356,299,0,1,12,météo très défavorable
2009-01-19,31,0,26,25,31,27,18.1,88,8.375,1008,57.875,37,25,25,353,356,359,0,1,12,météo très défavorable
2009-01-20,26,0,30,25,25,24,15.2,91,8.875,1007,76,29,24,25,356,296,299,0,1,8.3,météo très défavorable
2009-01-21,30,0,38,24,30,25,9.8,87,9.375,1007,57.625,33,23,24,116,353,356,0,1,13.2,météo très défavorable
2009-01-22,30,0,22,23,29,28,0,84,10,1012,12.25,32,21,23,113,113,113,0,1,13.2,météo favorable
2009-01-23,31,0,21,23,31,28,0,80,10,1012,9.625,33,20,23,113,113,113,0,1,13.2,météo favorable
2009-01-24,32,0,22,24,32,29,0,75,10,1013,18.5,35,21,24,113,113,113,0,1,13.2,météo favorable
