DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-7,-19,18,-15,-7,-10,0,94,8,1028,30.375,0,0,-17,113,113,326,0,1,8.7,météo très défavorable
2009-01-02,-5,-10,17,-10,-5,-8,0,94,8,1025,66.75,0,0,-15,116,119,143,0,1,5.2,météo très défavorable
2009-01-03,-4,-10,14,-10,-4,-7,0,95,7,1024,38.125,0,0,-12,143,116,143,0,1,8.7,météo très défavorable
2009-01-04,-3,-6,15,-5,-3,-4,0.6,96,9,1023,59.125,0,0,-10,116,335,329,0.6,1,8.7,météo très défavorable
2009-01-05,-0,-8,10,-7,-1,-4,0,99,3.5,1020,62.5,0,0,-9,143,143,260,0,1,8.7,météo très défavorable
2009-01-06,-1,-3,13,-3,-1,-2,0,98,5.5,1019,61.875,0,0,-6,116,260,119,0,1,6.9,météo très défavorable
2009-01-07,-3,-6,17,-3,-4,-5,3.3,98,5.75,1019,85.5,0,0,-10,338,338,326,2.8,1,3.4,météo très défavorable
2009-01-08,-5,-15,18,-6,-6,-7,0.2,98,5,1025,65.75,0,0,-12,332,332,260,0.2,1,3.4,météo très défavorable
2009-01-09,-6,-20,27,-15,-6,-12,0.4,98,4.625,1031,41,0,0,-21,260,335,119,0.3,1,8.7,météo très défavorable
2009-01-10,-7,-15,13,-12,-7,-13,0,99,5.25,1033,65.875,0,0,-17,122,116,260,0,1,7,météo très défavorable
2009-01-11,-7,-12,17,-11,-7,-9,0.7,97,4.125,1028,53.25,0,0,-15,329,335,335,0.6,1,8.7,météo très défavorable
2009-01-12,-5,-7,24,-6,-6,-6,1.9,98,6.375,1034,97.5,0,0,-14,338,338,332,1.5,1,3.5,météo très défavorable
2009-01-13,-2,-7,18,-6,-2,-5,0.2,97,8.375,1037,65,0,0,-12,332,119,143,0.1,1,5.2,météo très défavorable
2009-01-14,0,-14,7,-14,0,-8,0,99,5.5,1037,38.5,0,0,-11,113,248,143,0,1,3.5,météo très défavorable
2009-01-15,3,-10,10,-10,3,-7,0,99,5.75,1032,19.25,3,3,-9,113,248,143,0,1,7,météo très défavorable
2009-01-16,1,-12,8,-12,1,-3,0,100,3.5,1028,29.75,1,1,-6,113,248,143,0,1,5.2,météo très défavorable
2009-01-17,1,-4,8,-4,1,-4,0,100,0.75,1021,43.5,1,1,-5,143,248,260,0,1,5.2,météo très défavorable
2009-01-18,-1,-10,15,-2,-2,-6,0,98,4.5,1024,46.125,0,0,-10,119,116,143,0,1,9.7,météo très défavorable
2009-01-19,-2,-14,6,-10,-3,-8,0,99,0.5,1025,34.25,0,0,-8,260,260,260,0,1,9.7,météo très défavorable
2009-01-20,-0,-14,15,-8,-0,-4,0,92,7.75,1020,21.375,0,0,-8,113,113,116,0,1,9.8,météo très défavorable
2009-01-21,-0,-5,10,-4,-0,-3,0,94,9,1029,37.375,0,0,-6,116,116,113,0,1,9.8,météo très défavorable
2009-01-22,2,-8,10,-7,1,-4,0,92,10,1032,3.75,2,0,-8,113,113,113,0,1,9.8,météo très défavorable
2009-01-23,0,-6,24,-6,0,-5,0,89,10,1028,15.25,0,0,-12,113,113,116,0,1,9.8,météo très défavorable
2009-01-24,-2,-8,23,-6,-2,-6,0,84,10,1020,35.125,0,0,-12,119,113,113,0,1,9.8,météo très défavorable
2009-01-25,3,-10,6,-10,1,-2,0,96,7.75,1014,20.125,3,0,-5,113,116,143,0,1,9.9,météo très défavorable
2009-01-26,2,-4,7,-4,2,-1,0.1,96,4.75,1014,43.875,3,0,-3,143,116,143,0,1,9.9,météo très défavorable
2009-01-27,3,-0,16,1,3,0,0.7,97,3.875,1017,73.375,3,2,-4,248,263,119,0,1,6.6,météo très défavorable
2009-01-28,4,-1,6,-0,3,0,0,94,5.5,1019,53.25,4,1,-2,260,113,116,0,1,9.9,météo très défavorable
2009-01-29,2,-2,17,-2,1,-1,0,92,8,1018,44.25,2,0,-6,116,113,116,0,1,9.9,météo très défavorable
2009-01-30,2,-5,6,-5,2,-2,0.1,96,7,1013,35.75,2,0,-3,143,116,143,0,1,9.9,météo très défavorable
2009-01-31,3,-3,10,-1,3,-0,0,95,4.75,1013,33.375,3,0,-3,143,116,143,0,1,10,météo très défavorable
2009-02-01,1,-4,9,-4,1,-2,0.1,93,7,1019,35.25,1,0,-5,143,116,116,0,1,10,météo très défavorable
2009-02-02,1,-3,17,-2,1,-3,0,84,10,1024,31.875,1,0,-7,116,113,113,0,1,10,météo très défavorable
2009-02-03,-1,-4,17,-4,-1,-4,0.1,85,9.625,1027,25.5,0,0,-8,116,329,113,0.1,1,10.1,météo très défavorable
2009-02-04,-1,-11,15,-11,-1,-5,0,90,10,1029,27.125,0,0,-10,113,113,116,0,1,10.1,météo très défavorable
2009-02-05,4,-5,15,-4,4,-1,0,92,10,1024,27.5,4,0,-4,113,113,113,0,1,10.1,météo très défavorable
2009-02-06,4,-2,14,-1,4,0,0,91,8,1016,46.5,4,0,-3,143,113,116,0,1,10,météo très défavorable
2009-02-07,4,-4,9,-3,3,1,0,91,9,1014,38.125,4,1,-1,116,116,116,0,1,10.2,météo très défavorable
2009-02-08,5,-2,7,-1,4,0,0,91,6.5,1017,26,5,1,-1,260,116,113,0,1,10.2,météo très défavorable
