DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,0,22,2,4,1,0,83,10,1028,63.375,4,1,-3,122,122,116,0,1,4.8,météo très défavorable
2009-01-02,3,-1,24,-0,3,1,0,92,10,1030,32.125,3,0,-6,113,116,116,0,1,6.8,météo très défavorable
2009-01-03,3,0,12,0,3,2,0,91,10,1030,74.625,4,1,-3,116,119,122,0,1,2.9,météo très défavorable
2009-01-04,6,3,13,3,6,4,0.4,92,9.375,1027,57.25,6,4,-1,116,113,122,0,1,7.8,météo très défavorable
2009-01-05,4,-0,18,2,3,2,0.1,90,9,1027,26.25,4,2,-4,113,113,113,0,1,7.8,météo très défavorable
2009-01-06,2,-3,12,-3,1,-1,0,91,10,1029,7.125,2,0,-6,113,113,113,0,1,7.8,météo très défavorable
2009-01-07,6,-0,10,-0,6,4,0,97,5.75,1027,52.125,6,5,-1,260,116,119,0,1,6.8,météo très défavorable
2009-01-08,6,1,28,1,5,3,0,93,10,1028,21.125,6,3,-3,113,116,113,0,1,7.9,météo très défavorable
2009-01-09,6,2,28,3,6,3,0,90,10,1024,38.5,6,3,-1,119,119,116,0,1,4.9,météo très défavorable
2009-01-10,9,3,47,7,7,8,2.5,90,9.75,1018,87.5,9,7,1,119,122,122,0,1,3,météo très défavorable
2009-01-11,12,10,52,12,12,11,3.1,92,8.625,1008,97.375,12,11,8,122,122,119,0,1,3,météo défavorable
2009-01-12,9,5,22,8,9,6,2.4,92,8.125,1003,57.5,9,7,4,119,116,248,0,1,8,météo très défavorable
2009-01-13,7,2,14,5,7,3,0.2,92,9.875,1010,45.375,7,5,1,116,116,113,0,1,8,météo très défavorable
2009-01-14,11,3,46,4,8,10,7.1,97,9.25,1010,85.25,11,9,-2,122,122,122,0,1,3,météo très défavorable
2009-01-15,10,7,44,9,9,8,0.4,88,9,1003,71.25,10,9,4,116,122,119,0,1,4.9,météo défavorable
2009-01-16,9,5,46,6,9,7,3.7,94,8.625,1003,60.875,9,7,1,119,113,116,0,1,6.8,météo très défavorable
2009-01-17,8,3,64,5,5,5,5.2,96,9.25,999,61.375,8,6,-2,113,122,116,0,1,4.9,météo très défavorable
2009-01-18,5,3,49,3,5,4,3.3,93,9.25,990,62.5,5,4,-2,116,200,116,0,1,3,météo très défavorable
2009-01-19,4,1,23,2,4,4,2.4,93,9,979,63.375,5,4,-3,116,116,116,0.1,1,4.9,météo très défavorable
2009-01-20,5,2,27,2,5,3,3.9,96,9.5,995,59.75,5,3,-2,116,200,116,0,1,4.9,météo très défavorable
2009-01-21,10,2,37,3,3,10,1.8,98,8.875,996,74.75,10,10,-3,116,122,122,0,1,3.1,météo très défavorable
2009-01-22,11,4,38,6,6,4,1.4,83,9,983,82.5,11,10,-1,122,116,122,0,1,5,météo très défavorable
2009-01-23,5,3,31,3,5,4,1.7,85,8.75,982,55.375,5,3,-2,119,116,116,0,1,6.9,météo très défavorable
2009-01-24,6,3,25,3,5,4,0.3,85,9.25,988,58.25,6,5,-1,119,116,119,0,1,8.7,météo très défavorable
2009-01-25,5,3,20,4,5,3,0.8,88,9.25,984,55.75,6,4,-0,119,113,122,0,1,8.7,météo très défavorable
2009-01-26,8,4,14,5,8,6,0.2,85,9,1002,45.625,8,6,0,113,113,122,0,1,8.7,météo très défavorable
2009-01-27,10,5,16,7,8,6,0.2,85,9,1010,82.25,10,9,5,122,122,122,0,1,5.1,météo très défavorable
2009-01-28,9,5,27,5,9,7,0,94,10,1011,33.5,9,7,2,113,116,116,0,1,8.7,météo très défavorable
2009-01-29,11,6,45,8,8,10,5.1,92,9.375,1008,89.75,11,10,3,122,200,200,0,1,3.3,météo défavorable
2009-01-30,11,6,29,9,9,7,1.7,92,8.875,1001,76.875,11,9,5,116,116,143,0,1,5.1,météo défavorable
2009-01-31,6,5,12,6,5,5,1.8,99,1.625,1005,100,7,6,2,248,248,248,0,1,3.4,météo très défavorable
2009-02-01,6,-0,28,4,4,1,1.2,90,9.875,1013,50.75,6,5,-2,119,116,113,0,1,8.7,météo très défavorable
2009-02-02,3,-1,25,-1,3,0,0,83,10,1013,42.25,4,0,-7,116,113,119,0,1,8.7,météo très défavorable
2009-02-03,3,-1,29,2,3,1,0.5,94,9.875,1000,86.875,3,2,-3,122,122,122,0,1,3.4,météo très défavorable
2009-02-04,4,-0,32,1,3,2,0,94,10,994,74.125,4,2,-4,119,122,116,0,1,3.4,météo très défavorable
2009-02-05,3,0,31,2,2,0,0.8,84,9,1000,46.25,3,1,-5,122,113,113,0.6,1,6.9,météo très défavorable
2009-02-06,5,0,27,0,5,2,0.1,90,10,1002,28,5,0,-3,113,116,116,0,1,8.7,météo très défavorable
2009-02-07,5,-2,24,1,5,-1,0,82,10,1007,48.75,5,0,-3,119,116,113,0,1,7,météo très défavorable
2009-02-08,7,-0,34,-0,6,4,1.3,94,8.375,1003,56.375,7,4,0,122,113,116,0.3,1,7,météo très défavorable
2009-02-09,5,-0,17,1,5,2,0,91,10,998,31.125,5,3,1,116,116,113,0,1,8.7,météo très défavorable
2009-02-10,7,0,21,2,6,4,0.9,87,9.875,1014,44.375,7,4,-0,116,119,116,0,1,5.2,météo très défavorable
2009-02-11,6,2,9,2,6,5,0,96,9,1024,38.625,7,4,1,116,113,116,0,1,8.7,météo très défavorable
2009-02-12,11,4,20,7,11,8,0.2,97,7.75,1025,75.75,11,9,6,248,119,119,0,1,3.5,météo très défavorable
2009-02-13,10,5,12,6,10,6,0,96,6,1025,41,10,7,4,143,116,116,0,1,8.7,météo très défavorable
2009-02-14,9,4,19,4,9,8,0.4,94,9,1026,73.125,9,7,3,122,119,119,0,1,5.4,météo très défavorable
2009-02-15,10,7,21,7,10,9,0,92,10,1027,64.375,10,7,4,116,116,119,0,1,7,météo défavorable
2009-02-16,10,6,25,6,10,8,0,92,10,1028,49.25,10,7,4,116,122,119,0,1,5.4,météo défavorable
2009-02-17,10,5,14,5,10,7,0,95,9,1030,40.375,10,7,3,143,116,116,0,1,8.7,météo très défavorable
2009-02-18,8,4,21,4,8,8,0.2,93,10,1029,60,8,6,1,116,119,119,0,1,5.4,météo très défavorable
2009-02-19,9,5,16,7,9,6,0.2,91,8,1032,75.5,9,7,5,143,116,119,0,1,7.1,météo très défavorable
2009-02-20,9,2,18,2,9,6,0,93,10,1033,38.125,9,6,2,116,116,116,0,1,8.7,météo très défavorable
2009-02-21,10,5,25,5,10,9,0.3,86,9,1034,64.625,10,8,3,113,119,122,0,1,5.4,météo très défavorable
2009-02-22,10,8,18,8,10,9,0,91,10,1033,62.625,11,9,5,113,119,116,0,1,8.5,météo défavorable
2009-02-23,10,7,16,9,10,9,0.1,94,10,1031,93.375,10,8,7,122,122,122,0,1,5.3,météo défavorable
2009-02-24,9,6,12,7,9,7,0,89,10,1029,84.875,9,7,6,122,119,116,0,1,6.9,météo défavorable
2009-02-25,10,7,22,8,10,8,0.3,86,9,1028,72.375,10,7,5,122,116,119,0,1,8.5,météo défavorable
2009-02-26,10,7,31,7,10,10,0,87,10,1028,74.125,10,8,4,116,122,122,0,1,6.9,météo défavorable
2009-02-27,9,8,22,9,9,8,0.5,88,9,1021,100,9,8,5,122,122,122,0,1,5.4,météo défavorable
2009-02-28,10,7,26,8,10,7,2.1,94,8.875,1013,88.375,10,8,5,122,122,119,0,1,5.4,météo défavorable
2009-03-01,9,5,26,5,8,6,0.1,87,10,1015,49.25,9,5,3,113,119,116,0,1,10.1,météo très défavorable
2009-03-02,9,6,31,8,9,8,0.6,92,9,1016,84.5,9,7,5,122,122,116,0,1,7,météo défavorable
2009-03-03,6,1,31,6,4,2,3.8,99,8.25,1011,86.625,6,4,-2,122,122,119,0.2,1,5.5,météo très défavorable
2009-03-04,5,0,24,1,5,2,2.9,91,9,983,55.75,5,2,-3,200,116,119,0.2,1,8.6,météo très défavorable
2009-03-05,7,0,20,4,7,4,1.3,81,10,1003,45.25,7,4,1,116,116,116,0,1,11.1,météo très défavorable
2009-03-06,10,3,26,5,9,8,0.7,95,9,1008,67.375,10,8,2,119,122,116,0,1,7.1,météo très défavorable
2009-03-07,11,6,40,7,11,10,3,95,8.625,1009,80.875,11,10,7,122,122,122,0,1,5.6,météo défavorable
2009-03-08,6,3,39,4,4,4,2.3,87,9.625,1005,57.5,6,3,-3,200,119,200,0,1,8.6,météo très défavorable
2009-03-09,7,4,27,5,7,5,4.6,85,9.375,1012,66.75,7,7,2,116,122,119,0,1,5.6,météo très défavorable
2009-03-10,10,7,17,9,10,9,1.5,91,9.875,1017,87.625,10,9,6,122,122,119,0,1,5.6,météo défavorable
2009-03-11,11,8,34,10,11,11,2.6,95,9.875,1018,100,11,10,8,122,122,122,0,1,5.7,météo défavorable
2009-03-12,11,4,24,7,11,8,0,86,10,1020,34.375,11,8,6,116,116,116,0,1,11.6,météo très défavorable
2009-03-13,10,6,35,7,9,10,1.2,92,6,1019,97.125,10,9,4,122,122,122,0,1,5.9,météo défavorable
2009-03-14,10,7,31,8,10,8,0,75,10,1026,61.75,11,6,5,119,119,113,0,1,10.2,météo défavorable
2009-03-15,11,7,26,7,11,10,0,86,10,1030,66.75,11,7,6,119,122,119,0,1,6,météo défavorable
2009-03-16,11,6,20,6,10,9,0.3,84,8.375,1032,66.125,11,8,5,116,122,119,0,1,7.4,météo défavorable
2009-03-17,14,6,21,6,12,11,0,85,9,1032,35.5,14,8,5,116,122,113,0,1,10.2,météo correcte
2009-03-18,16,4,14,4,13,12,0,81,9,1031,3.875,16,10,5,143,113,113,0,1,11.6,météo correcte
2009-03-19,15,3,19,3,12,12,0,74,10,1028,2.625,15,8,4,113,113,113,0,1,11.6,météo correcte
2009-03-20,14,5,24,5,13,11,0,78,10,1029,1.5,15,8,5,113,113,113,0,1,11.6,météo correcte
2009-03-21,11,3,20,5,11,9,0,88,6.75,1039,36.25,12,7,7,248,116,113,0,1,10.2,météo très défavorable
2009-03-22,12,5,24,6,12,9,0,84,8,1039,40.125,12,7,7,116,116,116,0,1,10.2,météo très défavorable
2009-03-23,9,7,30,9,9,7,0.2,90,9,1031,84.25,9,7,5,122,122,122,0,1,6.1,météo défavorable
2009-03-24,10,3,29,5,10,9,0.6,93,9,1026,79.875,10,8,4,119,122,122,0,1,6.1,météo très défavorable
2009-03-25,10,8,30,8,10,9,0.3,77,9,1013,92.25,10,7,5,122,119,122,0,1,6.2,météo défavorable
2009-03-26,10,6,36,9,7,7,1.9,80,9.875,1005,87.25,10,9,2,119,122,116,0,1,7.7,météo défavorable
2009-03-27,8,5,32,5,8,6,3.3,74,8.875,1004,72.625,8,4,2,119,122,122,0,1,9,météo très défavorable
2009-03-28,7,0,33,4,7,6,0,65,10,1015,76.375,7,3,-1,119,122,116,0,1,7.7,météo très défavorable
2009-03-29,8,3,32,4,6,8,2.4,97,6.5,1014,89.625,9,8,1,116,122,248,0,1,6.5,météo très défavorable
2009-03-30,12,5,19,6,11,10,0.1,96,7,1021,48.375,12,9,7,119,119,113,0,1,9,météo très défavorable
2009-03-31,13,5,13,5,13,11,0,83,8,1022,17.75,13,8,7,143,113,116,0,1,11.6,météo correcte
2009-04-01,13,5,21,5,12,11,0,89,8.75,1023,51.375,13,8,6,248,119,116,0,1,9.1,météo correcte
2009-04-02,14,3,22,3,13,12,0,76,10,1023,6.875,14,8,6,113,113,113,0,1,11.6,météo correcte
2009-04-03,10,6,24,6,8,10,3.8,96,8.625,1016,70.875,11,9,3,119,122,116,0,1,7.8,météo défavorable
2009-04-04,10,6,26,6,10,8,0,72,10,1022,37.625,10,6,5,119,113,116,0,1,10.3,météo défavorable
2009-04-05,10,5,26,5,10,9,0.1,74,10,1022,67.25,10,5,5,116,122,122,0,1,9.7,météo très défavorable
2009-04-06,10,6,30,6,10,8,0.5,94,9,1009,66.875,11,7,4,122,116,113,0,1,12.1,météo défavorable
2009-04-07,8,6,25,7,8,8,2.2,98,9.125,1000,88.125,8,7,1,122,122,200,0,1,8.6,météo très défavorable
2009-04-08,11,6,23,7,11,9,0.8,74,9.875,1004,68.25,11,6,6,119,119,116,0,1,9.8,météo défavorable
2009-04-09,11,5,21,11,9,6,6.1,97,7.25,996,97.25,11,10,6,122,143,119,0,1,8.6,météo très défavorable
2009-04-10,8,4,21,4,8,7,0.5,81,8.875,1003,60.25,9,5,4,116,116,116,0,1,12.2,météo très défavorable
2009-04-11,11,4,17,5,10,9,0.8,86,9,1013,62.25,11,8,5,122,119,116,0,1,9.8,météo très défavorable
