DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,6,3,23,4,6,3,0.1,78,9.625,1025,16.625,7,1,-1,113,113,113,0.1,1,8.7,météo très défavorable
2009-01-02,9,2,10,4,9,4,0,74,10,1026,5,11,2,5,113,113,113,0,1,8.7,météo très défavorable
2009-01-03,12,5,12,6,12,7,0,77,10,1025,29.875,12,4,4,116,113,113,0,1,8.7,météo très défavorable
2009-01-04,12,5,14,7,12,7,0,49,10,1022,19.125,12,0,5,113,113,116,0,1,8.7,météo très défavorable
2009-01-05,14,6,17,9,14,8,0,80,10,1021,10.875,14,7,8,113,113,113,0,1,8.7,météo correcte
2009-01-06,15,7,13,9,15,9,0,40,10,1019,1.875,16,2,7,113,113,113,0,1,8.7,météo correcte
2009-01-07,15,7,18,10,15,10,0.1,85,10,1019,17.75,15,9,8,113,113,116,0,1,8.7,météo correcte
2009-01-08,13,9,17,10,13,10,0.4,88,9.875,1022,34.75,13,9,9,116,116,113,0,1,8.7,météo correcte
2009-01-09,13,8,11,10,13,8,0.4,88,9,1023,38.125,13,8,9,122,113,113,0,1,8.7,météo correcte
2009-01-10,14,6,10,10,14,9,0.1,73,10,1024,17.125,14,7,9,113,113,116,0,1,8.7,météo correcte
2009-01-11,12,7,16,9,12,8,2.5,92,10,1024,40.5,12,9,8,119,116,113,0,1,7.1,météo défavorable
2009-01-12,11,5,14,7,11,6,0,68,10,1028,1.375,12,3,6,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,13,3,13,6,13,7,0,50,10,1030,2.875,14,0,5,113,113,113,0,1,8.7,météo correcte
2009-01-14,15,6,15,8,15,10,0,34,10,1030,27.875,15,0,6,116,119,113,0,1,7.1,météo correcte
2009-01-15,18,9,17,11,18,12,0,35,10,1028,14.125,19,0,9,113,113,116,0,1,8.7,météo favorable
2009-01-16,17,10,20,12,17,14,0,35,10,1023,27.375,17,1,11,116,116,113,0,1,8.7,météo correcte
2009-01-17,15,9,17,11,15,10,0.5,77,9.875,1017,16.5,15,9,10,113,113,113,0,1,8.7,météo correcte
2009-01-18,14,8,12,10,14,9,0,88,10,1021,26,14,9,10,116,113,113,0,1,8.7,météo correcte
2009-01-19,13,6,14,10,12,10,0,82,10,1021,38.625,13,8,9,113,122,116,0,1,5.4,météo correcte
2009-01-20,13,8,9,10,13,9,0,88,10,1019,44.875,13,8,9,119,116,113,0,1,7.1,météo correcte
2009-01-21,17,8,18,10,17,13,0,61,10,1021,15.125,19,7,8,113,113,113,0,1,8.7,météo correcte
2009-01-22,20,11,16,13,20,13,0,44,10,1021,1,24,5,12,113,113,113,0,1,8.7,météo favorable
2009-01-23,17,10,28,12,17,13,0,30,10,1018,37.625,17,1,9,116,116,119,0,1,7.1,météo correcte
2009-01-24,15,9,20,12,14,9,1.3,82,9.875,1013,30.75,15,8,9,113,116,116,0,1,8.7,météo correcte
2009-01-25,16,8,20,10,16,9,0,75,10,1015,10.75,16,7,8,113,113,113,0,1,8.7,météo correcte
2009-01-26,17,9,26,12,17,12,0,74,10,1018,34.125,17,9,10,113,113,116,0,1,7.1,météo correcte
2009-01-27,16,10,10,11,16,11,0,85,10,1021,40.375,16,9,11,113,119,119,0,1,7.1,météo correcte
2009-01-28,20,11,18,14,20,13,0,47,10,1018,20.125,20,5,12,116,113,113,0,1,8.7,météo favorable
2009-01-29,15,9,24,13,15,10,0.7,72,9.75,1013,15.625,15,8,9,113,113,113,0,1,8.7,météo correcte
2009-01-30,12,9,27,9,12,9,1.8,85,9.875,1013,68.125,12,6,6,122,119,116,0,1,5.6,météo défavorable
2009-01-31,10,7,27,9,10,9,8.4,93,8.875,1014,66.875,10,9,5,116,200,200,0,1,5.6,météo défavorable
2009-02-01,11,9,13,9,11,10,3.6,92,9.75,1022,63.125,11,9,7,119,116,116,0,1,7.1,météo défavorable
2009-02-02,12,8,14,10,11,9,1.5,91,9.875,1024,54,12,9,9,119,119,113,0,1,5.6,météo défavorable
2009-02-03,16,7,13,10,16,10,0,76,10,1026,3.875,16,7,10,113,113,113,0,1,8.7,météo correcte
