DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,19,8,10,9,19,9,0,43,10,1019,7,21,0,10,113,113,113,0,4,8.7,météo favorable
2009-01-02,19,8,9,10,19,11,0,35,10,1020,13.625,20,0,11,113,113,113,0,4,8.7,météo favorable
2009-01-03,18,8,12,10,18,14,0.2,33,9.875,1019,44.75,18,1,13,116,116,176,0,4,7.1,météo favorable
2009-01-04,17,10,8,10,17,10,1.1,62,9.875,1019,25.5,18,5,10,113,113,113,0,3,8.7,météo correcte
2009-01-05,18,9,9,9,18,9,0.1,64,10,1018,10.875,18,4,10,113,113,113,0,4,8.7,météo favorable
2009-01-06,16,8,8,9,16,8,0,61,10,1020,10.5,17,3,10,113,113,113,0,4,8.7,météo correcte
2009-01-07,17,9,12,11,14,10,0.4,56,9.875,1025,25.25,17,2,9,176,116,113,0,4,8.7,météo correcte
2009-01-08,20,9,10,10,20,11,0,39,10,1026,9.375,20,0,11,113,113,113,0,4,8.7,météo favorable
2009-01-09,19,8,7,9,19,12,0,35,10,1028,19.5,20,0,12,113,113,116,0,4,8.7,météo favorable
2009-01-10,19,9,11,10,19,12,0,37,10,1025,5.5,20,0,11,113,113,113,0,4,8.7,météo favorable
2009-01-11,20,9,10,10,20,10,0,46,10,1023,15.625,22,0,10,113,116,116,0,4,8.7,météo favorable
2009-01-12,20,8,11,9,20,10,0,33,10,1025,20.875,21,0,10,113,113,116,0,4,8.7,météo favorable
2009-01-13,20,8,11,10,20,11,0,30,10,1027,15.875,22,0,12,113,113,113,0,4,8.7,météo favorable
2009-01-14,22,9,10,10,22,13,0,44,10,1027,14,22,2,13,113,113,113,0,4,8.7,météo favorable
2009-01-15,23,10,9,14,23,15,0,29,10,1025,28.25,23,0,15,113,116,113,0,5,8.7,météo favorable
2009-01-16,19,11,10,14,19,13,1.4,66,9.25,1023,44.625,20,7,12,263,353,176,0,4,8.7,météo correcte
2009-01-17,21,11,13,13,21,12,3,74,9.75,1022,25.5,24,10,14,176,113,113,0,3,8.7,météo favorable
2009-01-18,11,10,22,11,11,11,6.3,94,8.375,1021,58.125,12,11,8,353,389,176,0,4,5.4,météo défavorable
2009-01-19,19,10,11,12,19,12,0.8,66,10,1023,15.5,21,11,13,113,113,113,0,3,8.7,météo favorable
2009-01-20,21,9,9,9,21,12,0,45,10,1023,12.625,23,4,12,113,113,116,0,4,8.7,météo favorable
2009-01-21,22,9,11,11,22,13,0,44,10,1018,24.875,22,3,14,113,116,113,0,4,8.7,météo favorable
2009-01-22,21,11,8,12,21,13,0,48,10,1019,16.375,24,6,14,113,113,113,0,4,7.1,météo favorable
2009-01-23,23,12,10,13,23,15,0,48,10,1019,18.125,24,5,15,113,113,116,0,5,8.7,météo favorable
