DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-1,0,23,-2,-4,-6,0,73,10,1023,10.5,0,0,-10,113,113,113,0,1,5.8,météo très défavorable
2009-01-02,-4,0,25,-8,-6,-6,0,93,10,1022,37.625,0,0,-14,116,113,116,0,1,5.8,météo très défavorable
2009-01-03,-2,0,13,-4,-4,-5,0,90,10,1012,79.75,0,0,-8,122,122,116,0,1,2.5,météo très défavorable
2009-01-04,-5,0,21,-8,-7,-10,0.3,84,9.375,1017,26,0,0,-14,116,113,113,0.2,1,6.6,météo très défavorable
2009-01-05,-6,0,22,-8,-8,-8,0,96,10,1022,48.125,0,0,-16,122,113,116,0,1,6.6,météo très défavorable
2009-01-06,-0,0,38,-4,-1,-0,0.1,86,9.625,1015,50.375,0,0,-11,119,116,122,0.1,1,6.6,météo très défavorable
2009-01-07,-3,0,28,-6,-5,-7,0,84,10,1014,3.875,0,0,-14,113,113,113,0,1,6.7,météo très défavorable
2009-01-08,2,0,30,-8,-3,1,0,94,10,1017,49,2,1,-13,116,122,116,0,1,4.6,météo très défavorable
2009-01-09,4,0,33,4,4,1,0,93,10,1019,24.375,4,2,-3,116,113,113,0,1,6.7,météo très défavorable
2009-01-10,2,0,28,1,2,2,0,95,10,1020,40.25,2,1,-5,113,116,116,0,1,6.8,météo très défavorable
2009-01-11,4,0,38,1,2,3,0.3,92,9,1017,80.625,4,2,-5,116,122,122,0,1,2.6,météo très défavorable
2009-01-12,5,0,44,5,5,5,0,91,10,1003,98,5,3,-2,122,119,122,0,1,2.6,météo très défavorable
2009-01-13,5,0,33,4,4,4,0,90,10,1002,95.625,5,3,-2,122,122,122,0,1,2.6,météo très défavorable
2009-01-14,4,0,28,2,3,0,0,92,10,1012,32.375,5,3,-4,113,113,116,0,1,6.9,météo très défavorable
2009-01-15,0,0,29,-2,-2,-4,0,71,10,1027,68.375,0,0,-9,122,119,116,0,1,4.6,météo très défavorable
2009-01-16,-4,0,12,-7,-4,-5,0,73,10,1032,11.5,0,0,-9,113,113,116,0,1,7,météo très défavorable
2009-01-17,-3,0,15,-5,-3,-3,0,80,10,1031,60.25,0,0,-9,116,113,119,0,1,7,météo très défavorable
2009-01-18,-0,0,24,-1,-1,-1,0.1,84,10,1019,93.25,0,0,-7,122,122,122,0.1,1,2.6,météo très défavorable
2009-01-19,2,0,26,-1,0,1,0.2,92,9.375,1003,100,2,1,-6,122,122,122,0.2,1,2.7,météo très défavorable
