DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,28,20,27,14,26,27,0,35,10,1023,15.25,26,6,20,113,113,116,,,,météo idéale
2009-01-02,32,23,30,19,29,31,0.3,24,10,1017,15.625,30,7,23,113,113,113,,,,météo idéale
2009-01-03,30,25,21,22,29,26,0,37,10,1015,4.125,29,11,25,113,113,113,,,,météo idéale
2009-01-04,36,28,30,23,34,35,0,25,10,1011,1.5,35,12,28,113,113,113,,,,météo favorable
2009-01-05,28,24,31,24,28,24,0,43,10,1006,5.125,27,11,24,113,113,113,,,,météo idéale
2009-01-06,25,22,18,18,25,24,0,47,10,1008,30.375,25,12,22,116,113,116,,,,météo favorable
2009-01-07,24,21,24,16,24,21,0,43,10,1015,9.875,25,10,21,113,113,113,,,,météo idéale
2009-01-08,26,20,33,14,24,24,0,58,10,1018,3.375,26,12,20,113,113,113,,,,météo idéale
2009-01-09,35,25,25,18,33,33,0,35,10,1015,3,33,11,25,113,113,113,,,,météo idéale
2009-01-10,35,29,32,25,35,34,1.1,28,9.75,1013,18.75,33,11,29,113,200,386,,,,météo correcte
2009-01-11,30,23,37,22,30,23,5,67,9.5,1015,14.375,30,16,23,113,113,386,,,,météo favorable
2009-01-12,30,23,28,19,26,27,3.6,62,9.875,1017,28.375,30,16,23,113,113,116,,,,météo favorable
2009-01-13,27,21,20,21,21,27,1.2,65,9.25,1010,37.875,27,15,21,116,263,113,,,,météo correcte
2009-01-14,35,26,23,20,34,33,0,37,10,1007,4,33,13,26,113,113,113,,,,météo idéale
2009-01-15,25,21,19,19,23,25,0,33,10,1017,7,25,10,21,113,113,113,,,,météo idéale
2009-01-16,31,26,30,22,30,29,0,27,10,1006,11.375,29,11,26,113,113,113,,,,météo idéale
2009-01-17,21,16,33,18,16,18,4.4,62,9.625,1018,40.25,21,13,16,116,293,116,,,,météo correcte
2009-01-18,26,17,17,12,22,26,0,42,10,1020,7,25,5,17,113,113,113,,,,météo idéale
2009-01-19,28,23,19,18,26,28,0,36,10,1015,6,28,11,23,113,113,113,,,,météo idéale
2009-01-20,35,26,18,20,33,33,0,35,10,1014,2.375,33,12,26,113,113,113,,,,météo idéale
2009-01-21,30,26,26,25,29,26,0,44,10,1012,2.375,30,13,26,113,113,113,,,,météo idéale
2009-01-22,38,29,31,23,36,37,0,29,10,1012,1.5,37,13,29,113,113,113,,,,météo favorable
2009-01-23,39,31,30,28,36,38,0,29,10,1008,2.625,39,12,31,113,113,113,,,,météo favorable
2009-01-24,36,31,33,29,36,32,0,22,10,1004,8.75,34,9,31,113,113,113,,,,météo idéale
