DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,14,7,7,7,10,12,0,90,10,1020,27,14,8,6,113,113,113,,,,météo correcte
2009-01-02,13,6,6,5,10,11,0.1,94,8,1020,32.375,13,9,6,143,113,116,,,,météo correcte
2009-01-03,9,2,8,2,5,7,0,85,10,1018,5.75,9,4,0,113,113,113,,,,météo très défavorable
2009-01-04,8,1,5,0,5,5,0,94,9.625,1022,1.625,8,1,1,113,113,113,,,,météo très défavorable
2009-01-05,7,2,8,0,5,5,0,92,7.375,1021,47.75,7,2,0,143,119,116,,,,météo très défavorable
2009-01-06,3,-2,9,-1,2,1,4.3,93,9.375,1017,47.75,3,0,-5,296,326,116,,,,météo très défavorable
2009-01-07,0,-4,8,-4,-2,-1,0.1,85,9,1021,27.625,0,0,-4,113,116,116,,,,météo très défavorable
2009-01-08,1,-4,10,-4,-2,0,0,73,10,1021,32.125,1,0,-7,116,116,113,,,,météo très défavorable
2009-01-09,3,-3,8,-4,0,2,0.6,93,9.125,1023,36.5,3,0,-6,113,116,116,,,,météo très défavorable
2009-01-10,7,-1,6,-2,3,5,0.8,94,7.5,1027,30.875,7,2,-3,143,116,113,,,,météo très défavorable
2009-01-11,11,1,7,-1,5,9,0,88,10,1031,2,11,5,-2,113,113,113,,,,météo très défavorable
2009-01-12,10,1,11,1,5,9,0,73,10,1030,18.125,10,1,-1,113,116,116,,,,météo très défavorable
2009-01-13,7,3,12,2,6,6,4.6,96,9.5,1023,56.875,7,5,0,116,116,296,,,,météo très défavorable
2009-01-14,10,4,8,4,7,9,1.5,95,9.625,1021,22.625,10,6,3,176,113,113,,,,météo très défavorable
2009-01-15,12,3,10,2,7,11,0,77,10,1017,15.625,12,4,0,113,113,113,,,,météo très défavorable
2009-01-16,12,4,9,3,8,11,0,81,10,1022,6.25,12,5,2,113,113,113,,,,météo très défavorable
2009-01-17,11,4,11,3,8,10,0,88,10,1025,8.625,11,5,2,113,113,113,,,,météo très défavorable
2009-01-18,11,7,20,6,10,11,1.8,87,7.375,1019,50.625,11,8,4,116,116,263,,,,météo défavorable
2009-01-19,12,8,23,11,12,10,18.7,94,7.75,1013,55.625,12,10,6,116,176,302,,,,météo très défavorable
2009-01-20,8,6,21,5,7,7,13.5,90,9.125,1005,55.625,8,5,3,176,176,353,,,,météo très défavorable
2009-01-21,7,5,17,5,6,6,14,96,8.875,1015,78.625,7,6,2,353,353,353,,,,météo très défavorable
2009-01-22,9,6,19,5,7,9,17.1,92,7.5,1014,79.5,9,8,2,263,296,296,,,,météo très défavorable
2009-01-23,14,11,31,10,13,13,57,94,6.5,999,92.875,14,12,8,308,302,296,,,,météo très défavorable
2009-01-24,12,7,68,9,7,8,24.5,92,8.375,1008,59.625,12,10,2,353,299,353,,,,météo très défavorable
2009-01-25,8,6,18,5,7,7,11.8,96,9.25,1008,35,8,7,2,113,116,302,,,,météo très défavorable
2009-01-26,8,6,22,5,8,8,12.7,95,9.625,1009,73.75,8,7,3,353,353,353,,,,météo très défavorable
2009-01-27,9,6,8,6,8,9,7.1,94,7.75,1018,56,9,6,5,353,266,113,,,,météo défavorable
2009-01-28,11,6,15,7,8,11,3.4,95,5.25,1018,71.625,11,10,5,143,176,296,,,,météo défavorable
2009-01-29,14,7,8,6,10,13,0,92,7.375,1015,28.625,14,10,5,143,113,116,,,,météo correcte
2009-01-30,17,9,10,8,12,16,0,91,10,1014,13.625,17,11,7,113,113,113,,,,météo correcte
2009-01-31,14,7,9,7,11,12,0.1,93,9.625,1007,34.75,14,9,6,113,116,119,,,,météo correcte
2009-02-01,13,8,9,8,10,11,0.7,92,7,1002,33.625,13,8,6,116,113,116,,,,météo correcte
2009-02-02,11,6,10,6,9,10,2.7,93,7.875,996,58.25,11,6,4,263,116,116,,,,météo défavorable
2009-02-03,9,3,11,3,5,8,2.5,87,9.75,1002,35,9,4,2,116,116,113,,,,météo très défavorable
2009-02-04,13,7,21,6,10,12,0.6,74,9.25,998,26.875,13,5,4,113,113,116,,,,météo correcte
2009-02-05,13,8,21,8,10,12,2.1,69,9,995,25.625,13,4,5,263,113,113,,,,météo correcte
2009-02-06,8,6,17,5,7,8,6.6,92,9.625,994,59.375,8,6,4,113,296,119,,,,météo très défavorable
2009-02-07,6,3,14,5,6,4,15.5,92,9.75,1005,72.375,6,5,0,353,353,296,,,,météo très défavorable
2009-02-08,7,3,15,3,5,6,5.1,93,7.875,1012,73.625,7,6,3,353,263,119,,,,météo très défavorable
2009-02-09,14,9,24,8,12,14,4.2,91,8.625,1013,44.25,14,9,7,293,113,116,,,,météo correcte
2009-02-10,12,6,28,10,9,8,12.9,94,8.5,1022,67.625,12,7,3,353,353,353,,,,météo défavorable
2009-02-11,6,4,10,3,5,6,48.9,100,7.5,1023,84.25,6,6,2,353,302,302,,,,météo très défavorable
2009-02-12,9,5,6,5,7,8,4.3,95,8.25,1026,72.75,9,6,5,266,116,116,,,,météo très défavorable
