DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,12,0,12,9,12,10,0,84,10,1022,35.625,12,8,10,113,113,116,0,1,8.7,météo très défavorable
2009-01-02,11,0,7,10,11,10,0,88,10,1019,75.375,12,9,10,122,119,119,0,1,5.2,météo très défavorable
2009-01-03,11,0,22,9,11,9,0,87,10,1017,60.875,11,8,6,119,119,119,0,1,5.2,météo très défavorable
2009-01-04,10,0,15,7,10,8,0,78,10,1019,15.375,12,6,5,116,113,113,0,1,8.7,météo très défavorable
2009-01-05,9,0,24,5,8,5,0,65,10,1019,17.125,9,1,1,113,116,113,0,1,8.7,météo très défavorable
2009-01-06,7,0,9,5,7,5,2.6,84,9.625,1014,63,7,4,3,116,119,119,0,1,5.2,météo très défavorable
2009-01-07,6,0,16,3,4,3,1,73,9.875,1017,42.375,6,1,-1,116,113,116,0,1,8.7,météo très défavorable
2009-01-08,4,0,17,1,4,4,2.9,75,9.625,1021,51.25,4,0,-1,113,119,122,0,1,5.2,météo très défavorable
2009-01-09,10,0,24,7,9,8,2.1,86,9.875,1021,61.25,10,7,5,119,119,116,0,1,5.2,météo très défavorable
2009-01-10,10,0,13,8,9,8,5.8,92,9.5,1026,56,10,7,6,119,116,116,0,1,8.7,météo très défavorable
2009-01-11,12,0,18,7,11,9,0.2,79,9.875,1030,17.75,12,7,5,116,113,113,0,1,8.7,météo très défavorable
2009-01-12,12,0,13,7,12,8,0,67,10,1029,0.875,14,4,6,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,10,0,27,6,10,7,0.1,64,10,1023,30.625,10,2,3,116,116,116,0,1,8.7,météo très défavorable
2009-01-14,12,0,19,7,11,8,0,73,10,1018,30.125,12,4,6,119,113,113,0,1,8.7,météo très défavorable
2009-01-15,10,0,11,6,10,8,0,71,10,1018,5.25,11,4,6,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,11,0,15,7,11,9,0,83,10,1024,22.875,11,7,6,113,116,116,0,1,8.7,météo très défavorable
