DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,19,0,20,12,18,18,0,63,10,1024,18.25,20,7,11,116,116,113,0,4,14.5,météo favorable
2009-01-02,23,0,23,12,21,22,0,73,10,1023,4.125,24,10,11,113,113,113,0,4,14.5,météo favorable
2009-01-03,27,0,19,14,25,26,0,79,10,1019,11.375,26,12,13,113,113,113,0,5,14.5,météo favorable
2009-01-04,29,0,17,18,27,28,0,50,10,1015,10.375,28,12,18,113,113,113,0,6,14.5,météo favorable
2009-01-05,32,0,33,20,30,32,0,45,10,1010,6.25,30,13,20,113,113,113,0,6,14.5,météo favorable
2009-01-06,29,0,19,20,29,25,0,68,9.5,1008,38.25,29,16,20,113,116,200,0,5,14.5,météo favorable
2009-01-07,22,0,25,17,22,20,3.3,86,9.75,1013,22.75,24,16,17,113,113,113,0,4,14.5,météo favorable
2009-01-08,24,0,33,15,24,22,0,73,10,1018,17.375,25,14,16,113,113,113,0,5,14.5,météo favorable
2009-01-09,25,0,27,18,25,23,0,86,10,1020,0.875,26,16,18,113,113,113,0,5,14.5,météo favorable
2009-01-10,27,0,37,19,26,25,0,76,10,1021,4.75,27,16,19,113,113,113,0,5,14.5,météo favorable
2009-01-11,24,0,30,18,24,22,0,81,10,1020,7.375,26,17,18,113,113,116,0,6,14.5,météo favorable
2009-01-12,24,0,30,18,23,22,0,90,10,1019,17.5,25,18,18,116,113,113,0,5,14.5,météo favorable
2009-01-13,24,0,31,19,24,23,0,87,10,1015,27.125,26,17,19,113,113,116,0,5,14.5,météo favorable
2009-01-14,26,0,30,18,25,24,0,87,10,1012,19,27,17,18,113,113,113,0,5,14.5,météo favorable
2009-01-15,25,0,32,18,25,21,0,87,10,1014,9.125,26,17,18,116,113,113,0,6,14.5,météo favorable
2009-01-16,30,0,18,15,27,30,0,89,10,1014,2.5,29,16,15,113,113,113,0,5,14.5,météo favorable
2009-01-17,31,0,47,22,31,18,0.5,84,9,1011,35.25,31,17,18,113,113,266,0,6,13.4,météo favorable
2009-01-18,19,0,34,16,19,18,0.3,62,9,1021,36.75,19,11,16,119,113,113,0,4,13.4,météo favorable
2009-01-19,24,0,21,11,22,24,0,69,10,1021,8.125,25,9,10,113,113,113,0,4,14.5,météo favorable
2009-01-20,28,0,25,18,27,26,0,50,10,1017,6.375,28,13,18,113,113,113,0,5,14.5,météo favorable
2009-01-21,32,0,21,20,30,30,0,51,10,1016,3.375,31,13,20,113,113,113,0,6,14.5,météo favorable
2009-01-22,31,0,32,22,30,29,0,48,10,1019,2.5,31,14,22,113,113,113,0,6,14.5,météo favorable
2009-01-23,30,0,37,22,28,28,0,72,10,1018,4.5,30,17,22,113,116,113,0,6,14.5,météo favorable
2009-01-24,30,0,40,23,29,28,0,59,10,1013,9.875,31,17,23,113,113,113,0,6,14.5,météo favorable
2009-01-25,24,0,37,20,20,21,0.2,86,9.875,1018,26.875,26,17,19,113,176,113,0,6,13.4,météo favorable
2009-01-26,21,0,28,15,21,20,0,74,10,1020,5.625,24,11,14,113,113,113,0,5,14.5,météo favorable
2009-01-27,23,0,33,15,23,21,0,86,10,1021,1.5,25,15,15,113,113,113,0,5,14.5,météo favorable
2009-01-28,24,0,33,18,24,22,0,85,10,1021,0,25,16,18,113,113,113,0,5,14.4,météo favorable
