DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,-1,30,1,0,-1,0.1,71,9.875,1025,25.75,2,0,-6,119,113,113,0,1,6.8,météo très défavorable
2009-01-02,-0,-2,31,-2,-2,-0,0.4,78,7.75,1024,43.75,0,0,-9,119,116,116,0,1,6.8,météo très défavorable
2009-01-03,1,-1,20,0,-1,-1,3.3,85,5.5,1014,100,1,0,-5,122,122,122,2,1,2.6,météo très défavorable
2009-01-04,-1,-3,22,-3,-3,-2,1.3,80,8.75,1017,51.625,0,0,-8,116,119,113,1.1,1,4.6,météo très défavorable
2009-01-05,-2,-4,18,-4,-3,-3,0,83,10,1023,38,0,0,-9,113,122,113,0,1,2.6,météo très défavorable
2009-01-06,3,-2,41,-1,1,2,2.7,86,7.75,1021,56.125,3,0,-8,113,116,122,0,1,4.6,météo très défavorable
2009-01-07,2,-3,41,-0,-2,-3,2.2,72,9,1015,37.625,2,0,-10,116,116,113,1.9,1,7,météo très défavorable
2009-01-08,4,-3,42,-2,-1,4,0.3,88,9,1019,64.625,4,3,-9,116,122,122,0.2,1,2.6,météo très défavorable
2009-01-09,5,3,38,5,5,4,0,88,10,1021,25.875,5,3,-1,113,113,113,0,1,7,météo très défavorable
2009-01-10,4,2,27,3,3,3,0,90,10,1023,20,4,2,-2,113,113,116,0,1,7,météo très défavorable
2009-01-11,3,3,44,3,3,3,0,76,10,1022,55.625,3,2,-3,113,116,116,0,1,7.1,météo très défavorable
2009-01-12,5,4,49,5,5,5,0,80,10,1011,58.5,5,2,-1,116,116,122,0,1,7.1,météo très défavorable
2009-01-13,5,4,38,4,4,4,0.6,88,9,1007,94,5,3,-2,122,122,122,0,1,2.7,météo très défavorable
2009-01-14,5,3,25,4,5,3,0,93,10,1012,62.125,5,3,-1,116,116,116,0,1,4.7,météo très défavorable
2009-01-15,2,-1,29,1,0,-1,0.3,83,6.5,1025,82.375,2,0,-6,122,122,122,0,1,2.7,météo très défavorable
2009-01-16,-0,-2,22,-2,-1,-1,0,71,10,1030,73.25,0,0,-6,122,119,119,0,1,4.7,météo très défavorable
2009-01-17,-1,-2,18,-2,-1,-1,0,73,10,1030,67,0,0,-7,116,116,122,0,1,2.7,météo très défavorable
2009-01-18,1,-1,29,0,0,1,0.1,79,9.375,1019,80.875,1,0,-6,122,119,122,0.1,1,2.7,météo très défavorable
2009-01-19,3,1,28,1,3,3,0.2,91,9.875,1002,100,3,2,-3,122,122,122,0,1,2.7,météo très défavorable
2009-01-20,4,2,40,2,3,4,0.3,91,9,1003,76.375,4,3,-3,122,122,119,0,1,2.8,météo très défavorable
2009-01-21,3,2,16,2,2,2,0,86,10,1012,22.625,3,2,-1,113,113,116,0,1,7.4,météo très défavorable
2009-01-22,3,2,12,2,2,2,0.1,89,9.375,1010,87,3,1,-1,122,122,122,0.1,1,2.8,météo très défavorable
2009-01-23,3,2,31,2,2,2,0.1,84,10,1001,70.75,3,1,-3,119,116,119,0,1,6.7,météo très défavorable
2009-01-24,4,3,39,3,4,4,2.4,93,6.875,991,100,4,3,-2,122,122,122,0,1,2.8,météo très défavorable
2009-01-25,4,3,7,3,4,3,0.2,90,9.875,1002,89.5,4,3,2,119,122,122,0,1,2.8,météo très défavorable
2009-01-26,3,3,9,3,3,3,0.7,92,9.875,1010,86.125,3,2,1,122,122,119,0,1,2.8,météo très défavorable
2009-01-27,2,2,13,2,2,2,1.7,91,7,1018,98.75,2,1,-2,122,122,122,1.5,1,3.2,météo très défavorable
2009-01-28,2,1,14,1,1,1,0,84,10,1021,61,2,0,-3,119,116,119,0,1,8.5,météo très défavorable
2009-01-29,2,1,16,1,2,2,0.1,88,9.625,1026,75.25,2,0,-3,116,122,122,0.1,1,3.2,météo très défavorable
2009-01-30,1,0,15,0,1,1,0.4,83,8.75,1030,94.125,1,0,-4,122,122,122,0.3,1,3.2,météo très défavorable
2009-01-31,1,-2,26,1,-2,-2,0.3,76,8.375,1031,68.375,1,0,-8,122,116,116,0.2,1,6.9,météo très défavorable
2009-02-01,-2,-4,18,-4,-2,-3,0,73,10,1033,39.5,0,0,-8,116,116,116,0,1,8.6,météo très défavorable
2009-02-02,-1,-3,15,-3,-1,-1,0,73,10,1030,19.5,0,0,-7,113,113,113,0,1,8.7,météo très défavorable
2009-02-03,1,-2,26,-1,1,-0,0,74,10,1024,20.25,1,0,-6,113,116,116,0,1,8.7,météo très défavorable
2009-02-04,-1,-1,19,-1,-1,-1,0,81,10,1007,78.375,0,0,-7,116,122,122,0,1,5.1,météo très défavorable
2009-02-05,2,-1,22,0,2,2,0,90,10,1002,100,2,2,-4,122,122,122,0,1,3.3,météo très défavorable
2009-02-06,3,2,27,3,3,3,3.9,96,9.625,999,98.5,3,3,-2,122,122,122,0,1,3.3,météo très défavorable
