DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,10,5,10,5,10,7,0,71,10,1030,12.375,13,6,7,113,113,113,0,1,8.7,météo très défavorable
2009-01-02,14,7,18,8,14,11,0,83,10,1023,41.625,14,9,9,116,116,116,0,1,8.7,météo correcte
2009-01-03,14,11,10,11,14,12,2.1,87,8.25,1017,70.5,15,11,13,119,119,122,0,1,5.3,météo défavorable
2009-01-04,14,10,10,10,14,11,0,86,10,1014,54.875,14,11,11,119,116,119,0,1,8.7,météo correcte
2009-01-05,11,9,18,10,11,11,15,89,9.375,1013,81,12,10,9,119,119,122,0,1,3.7,météo défavorable
2009-01-06,9,8,34,9,9,8,0.5,87,8,1017,88.625,9,8,5,122,122,122,0,1,3.7,météo défavorable
2009-01-07,9,7,13,8,9,8,0,79,10,1022,70.75,10,6,7,119,119,116,0,1,3.7,météo défavorable
2009-01-08,13,7,23,8,13,11,0,83,10,1023,64.125,13,9,10,116,119,119,0,1,3.7,météo correcte
2009-01-09,11,8,27,10,9,8,3.1,91,8.625,1029,90.75,12,10,5,122,122,122,0,1,3.7,météo défavorable
2009-01-10,9,8,19,8,9,8,0,82,10,1027,79.75,10,6,6,122,122,116,0,1,3.7,météo défavorable
2009-01-11,9,6,37,8,9,7,0,78,10,1032,51.5,9,6,2,119,116,113,0,1,7,météo défavorable
2009-01-12,8,6,29,6,7,7,0,83,10,1033,75.625,8,5,3,122,116,116,0,1,5.4,météo très défavorable
2009-01-13,12,7,20,8,10,11,1.6,89,8.875,1031,78.25,12,10,8,122,122,119,0,1,3.7,météo défavorable
2009-01-14,15,13,32,13,14,14,6.2,90,8.5,1023,62.75,15,13,12,122,119,113,0,1,5.4,météo correcte
2009-01-15,16,11,9,11,16,12,0,89,10,1020,10.75,17,12,13,113,113,113,0,1,8.7,météo correcte
2009-01-16,14,10,17,10,14,10,0.3,88,9.875,1017,23.5,15,11,11,113,116,113,0,1,8.7,météo correcte
2009-01-17,11,8,22,8,11,10,0,81,10,1025,42.625,11,8,8,113,116,122,0,1,7,météo défavorable
2009-01-18,14,9,15,9,14,11,0,74,10,1025,40.875,14,8,10,116,113,113,0,1,8.7,météo correcte
2009-01-19,16,10,15,11,16,13,0,76,10,1019,11.125,17,12,13,113,113,113,0,1,8.7,météo correcte
2009-01-20,16,9,13,9,16,13,0,81,10,1016,16,17,11,13,113,113,116,0,1,8.7,météo correcte
2009-01-21,16,14,37,14,16,15,0,88,10,1014,63.75,16,13,13,116,116,119,0,1,5.4,météo correcte
2009-01-22,15,14,30,14,15,15,0.1,89,10,1014,63.125,16,13,13,116,119,116,0,1,3.8,météo correcte
2009-01-23,15,10,28,11,13,11,0.1,79,9.875,999,24.625,15,13,9,200,116,113,0,1,8.7,météo correcte
2009-01-24,16,8,18,9,16,13,0,84,10,997,19,16,11,12,113,113,116,0,1,8.7,météo correcte
2009-01-25,16,11,22,14,14,11,0.7,81,9.875,1000,32.75,16,12,9,113,122,113,0,1,7.1,météo correcte
2009-01-26,16,11,20,11,16,12,0,74,10,1012,8.625,16,10,12,113,113,113,0,1,8.7,météo correcte
2009-01-27,17,10,30,12,17,14,2.1,79,9.875,1013,21.25,17,11,13,113,113,116,0,1,8.7,météo correcte
2009-01-28,14,10,16,10,14,11,0,69,10,1006,20.5,14,10,10,113,113,113,0,1,8.7,météo correcte
2009-01-29,13,8,13,8,13,10,0.9,76,9.875,1007,16.125,14,8,9,113,113,116,0,1,8.7,météo correcte
2009-01-30,12,9,28,10,12,9,1.1,80,10,1011,44.875,12,8,7,119,116,113,0,1,7.1,météo défavorable
2009-01-31,9,7,21,8,8,7,3.7,94,8.625,1014,91.875,10,7,3,122,122,122,0,1,3.8,météo défavorable
2009-02-01,11,7,11,7,11,9,2.8,75,9.625,1017,44.5,12,7,8,113,113,119,0,1,8.7,météo défavorable
2009-02-02,14,11,9,12,14,12,0,88,10,1019,54.75,16,12,13,119,116,113,0,1,8.7,météo correcte
2009-02-03,16,11,20,11,16,13,0,86,10,1019,31.125,17,12,14,113,116,116,0,1,8.7,météo correcte
2009-02-04,18,13,31,15,18,14,0,75,10,1013,13.25,18,11,13,113,113,113,0,1,8.7,météo favorable
2009-02-05,17,12,23,12,17,14,0,67,10,1012,13,18,11,15,113,113,113,0,1,8.7,météo correcte
2009-02-06,16,10,25,10,16,13,0,86,9.875,1012,12.75,16,11,13,113,116,113,0,1,8.7,météo correcte
2009-02-07,16,11,27,11,16,14,0,85,10,1008,18,16,12,15,113,116,113,0,1,8.7,météo correcte
2009-02-08,17,11,30,14,17,13,0,72,9.75,1003,26.25,17,13,10,200,113,113,0,1,8.7,météo correcte
2009-02-09,14,10,20,11,14,10,0,69,10,1006,30.125,14,8,9,113,113,113,0,1,8.7,météo correcte
2009-02-10,14,9,24,9,14,12,0.1,62,10,1013,23.5,16,7,9,116,113,116,0,1,7.1,météo correcte
2009-02-11,16,9,25,10,16,14,0,82,10,1011,16.5,16,11,12,113,116,113,0,1,10.8,météo correcte
2009-02-12,13,9,33,9,13,11,0,76,10,1004,24.25,13,8,8,113,116,116,0,1,10.8,météo correcte
2009-02-13,12,8,13,8,12,9,0.8,78,10,1005,33.875,12,6,7,113,116,119,0,1,10.1,météo défavorable
2009-02-14,8,5,28,5,7,7,1,88,9.5,1006,74.5,8,6,1,116,119,200,0,1,5.4,météo très défavorable
