DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,33,24,7,24,33,26,2.4,87,10,1009,47.25,39,24,24,116,116,353,,,,météo favorable
2009-01-02,33,25,8,25,33,27,4,86,9.625,1009,38.875,39,26,25,176,176,353,,,,météo favorable
2009-01-03,32,25,9,25,32,28,3.6,89,9.5,1009,38.25,39,26,25,116,176,113,,,,météo favorable
2009-01-04,32,25,8,25,32,27,8.4,82,9.375,1010,39.5,38,26,25,116,353,386,,,,météo correcte
2009-01-05,31,25,9,25,30,30,6.7,90,9.375,1010,45.5,38,26,25,116,353,176,,,,météo correcte
2009-01-06,33,24,10,24,33,27,4.4,89,9.5,1010,35.5,41,25,24,116,176,176,,,,météo correcte
2009-01-07,32,24,8,24,32,27,4.5,92,9,1011,33.75,38,25,24,176,176,176,,,,météo favorable
2009-01-08,30,25,10,25,29,29,9.1,93,9.375,1011,46.875,38,27,25,119,353,353,,,,météo correcte
2009-01-09,32,23,11,23,32,28,2.9,90,9.625,1010,35.75,37,24,23,116,176,386,,,,météo favorable
2009-01-10,32,24,12,24,31,30,3.7,86,9.75,1009,27.125,38,25,24,116,386,113,,,,météo correcte
2009-01-11,32,24,14,24,31,29,0.6,89,9.875,1009,15.5,37,24,24,113,113,116,,,,météo favorable
2009-01-12,30,25,6,25,29,29,13.2,93,9.25,1011,43.375,39,27,25,176,176,353,,,,météo défavorable
2009-01-13,30,25,10,25,29,29,10.8,90,9.5,1012,57.875,40,28,25,122,176,386,,,,météo correcte
2009-01-14,30,25,8,25,29,29,12.1,92,9,1011,54.875,38,26,25,353,353,176,,,,météo correcte
2009-01-15,28,24,8,24,27,27,11.8,93,7.75,1012,78,35,26,24,266,353,296,,,,météo défavorable
2009-01-16,32,23,10,23,32,27,7,94,7.25,1011,77.25,38,24,23,266,116,353,,,,météo défavorable
2009-01-17,33,23,8,23,33,29,4,92,9.875,1011,44.5,39,25,23,116,116,353,,,,météo favorable
2009-01-18,33,25,7,25,33,29,2.7,88,9.75,1011,54.375,39,24,25,353,116,353,,,,météo favorable
2009-01-19,28,25,9,25,28,28,5.7,88,8.5,1010,55.125,34,26,25,116,263,353,,,,météo correcte
2009-01-20,26,23,9,23,25,25,32.5,95,7.75,1011,75.625,29,25,23,296,308,296,,,,météo très défavorable
2009-01-21,31,23,6,23,31,29,3.4,88,9.75,1011,49.5,38,25,23,119,116,176,,,,météo favorable
2009-01-22,31,24,11,24,31,26,4.6,89,9.75,1011,38.5,38,25,24,116,116,353,,,,météo favorable
2009-01-23,31,24,6,24,31,29,7,90,9.125,1010,37.875,38,26,24,116,176,386,,,,météo favorable
2009-01-24,32,24,5,24,32,29,17.2,94,8.25,1010,26.625,39,26,24,176,176,176,,,,météo très défavorable
2009-01-25,31,24,4,24,31,26,24,92,7.75,1010,54.25,37,26,24,356,353,356,,,,météo très défavorable
