DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,18,14,9,14,18,15,0.3,99,2.75,1011,87,18,15,15,248,116,248,0,1,8.9,météo défavorable
2009-01-02,17,13,6,13,17,15,2.8,99,6,1012,68.125,18,15,13,263,353,293,0,1,8.9,météo défavorable
2009-01-03,18,13,7,13,18,15,5.6,98,6.125,1012,77.25,19,15,14,248,353,353,0,1,8.9,météo défavorable
2009-01-04,18,13,6,13,17,15,5,100,5.125,1012,79,18,15,13,248,353,302,0,1,10.5,météo défavorable
2009-01-05,15,14,4,14,15,14,10.2,100,5.5,1012,81.625,15,15,14,302,302,296,0,1,7.9,météo défavorable
2009-01-06,16,14,4,14,16,14,20.1,100,3.5,1013,96.875,16,15,14,302,296,308,0,1,7.9,météo très défavorable
2009-01-07,16,13,4,14,16,15,14.5,99,3.5,1012,95.625,16,16,14,302,302,356,0,1,7.9,météo défavorable
2009-01-08,17,14,6,14,17,15,13.5,100,3.75,1012,93.625,17,16,15,302,293,356,0,1,9.2,météo défavorable
2009-01-09,17,14,7,14,17,15,19,100,4.75,1012,83.25,17,15,14,296,263,302,0,1,10.5,météo très défavorable
2009-01-10,20,12,9,12,20,15,1.1,99,6,1010,67.875,20,14,12,248,116,176,0,1,12.6,météo défavorable
2009-01-11,22,9,7,10,22,13,0.4,91,6.25,1012,44,24,12,10,113,113,113,0,1,12.6,météo favorable
2009-01-12,22,11,4,11,22,14,1.5,76,10,1013,24.875,25,14,11,113,113,353,0,1,12.6,météo favorable
2009-01-13,18,14,3,14,18,15,6.5,97,5.25,1013,76.125,18,16,15,248,353,356,0,1,10.5,météo défavorable
2009-01-14,19,14,1,14,19,15,13.9,98,4.25,1013,84.25,19,17,14,266,353,359,0,1,9.2,météo défavorable
2009-01-15,15,13,5,14,15,13,29.4,100,3.25,1015,98.5,15,15,14,308,302,296,0,1,7.9,météo très défavorable
2009-01-16,18,12,5,12,18,15,3.5,97,6.25,1014,56.375,19,15,12,263,176,293,0,1,12.6,météo correcte
2009-01-17,16,13,4,13,16,14,12.1,100,5.625,1014,78.125,16,15,13,293,299,302,0,1,9.2,météo défavorable
2009-01-18,17,13,4,13,17,15,10.5,100,4.75,1014,72,17,16,14,299,266,356,0,1,10.5,météo défavorable
2009-01-19,16,14,4,14,16,15,17.8,100,3.5,1013,97,16,16,15,302,356,356,0,1,7.9,météo très défavorable
2009-01-20,17,14,5,14,17,15,14,100,4.625,1014,77.5,17,16,14,296,353,356,0,1,10.5,météo défavorable
2009-01-21,19,14,5,14,19,15,3.6,100,6.125,1013,71.75,19,15,14,248,176,353,0,1,12.6,météo défavorable
2009-01-22,16,13,4,14,16,15,5.1,100,5.125,1013,81.875,16,15,14,266,353,353,0,1,9.2,météo défavorable
2009-01-23,19,10,5,11,19,15,2.4,99,4.875,1013,69.625,19,15,11,248,176,353,0,1,11.8,météo défavorable
2009-01-24,16,14,3,14,16,14,11.6,99,3.625,1013,84.875,17,16,15,266,356,299,0,1,9.2,météo défavorable
2009-01-25,17,14,5,14,17,15,17.7,100,3.75,1012,86.75,17,16,15,302,356,356,0,1,10.5,météo très défavorable
2009-01-26,17,14,4,14,16,14,8.3,100,5.5,1013,75.125,18,15,14,296,299,353,0,1,11.8,météo défavorable
2009-01-27,18,12,4,12,18,15,3.1,100,5,1012,75.875,19,16,12,248,353,353,0,1,11.8,météo défavorable
2009-01-28,16,14,5,14,16,15,13.9,100,3.5,1011,96.375,16,16,15,302,356,356,0,1,7.9,météo défavorable
2009-01-29,16,14,4,14,16,15,5.8,100,5.125,1011,77.25,16,15,14,296,293,293,0,1,10.5,météo défavorable
2009-01-30,16,15,3,15,16,15,9.9,100,4.375,1010,93.875,16,16,15,296,353,296,0,1,7.9,météo défavorable
2009-01-31,16,15,3,15,16,15,30.1,100,3.25,1011,100,17,16,15,302,356,302,0,1,7.9,météo très défavorable
2009-02-01,16,14,3,14,16,15,15.3,100,3.5,1011,97.375,16,16,14,302,356,302,0,1,7.9,météo défavorable
2009-02-02,18,13,4,13,18,15,9.3,99,5,1010,77.75,18,17,14,263,176,356,0,1,9.2,météo défavorable
2009-02-03,18,14,3,14,17,15,18.3,100,5.375,1009,85.75,18,17,15,266,356,308,0,1,10.5,météo très défavorable
2009-02-04,16,15,2,15,16,15,27.8,100,3.25,1010,98.25,17,16,15,302,302,302,0,1,7.9,météo très défavorable
2009-02-05,17,15,2,15,17,15,19.4,100,4.75,1009,96.875,17,16,15,302,356,308,0,1,7.9,météo très défavorable
2009-02-06,16,14,4,14,16,15,27.4,100,3.125,1010,94.625,16,16,14,299,302,308,0,1,7.9,météo très défavorable
2009-02-07,16,13,2,13,16,14,21.8,100,3.75,1012,98,17,16,14,302,296,302,0,1,7.8,météo très défavorable
2009-02-08,16,13,4,13,16,15,9.4,99,3.375,1013,91.25,17,16,14,266,356,302,0,1,7.8,météo défavorable
2009-02-09,17,13,5,13,17,15,6.3,100,4.125,1013,85,18,16,13,266,353,353,0,1,9.2,météo défavorable
2009-02-10,17,14,5,14,17,15,5,100,3.875,1014,85.875,17,16,14,296,353,353,0,1,9.2,météo défavorable
2009-02-11,18,11,9,11,18,15,2.6,99,5.25,1012,80.125,18,15,11,248,353,353,0,1,9.2,météo défavorable
2009-02-12,17,13,4,13,16,14,14.8,100,5.75,1012,68.75,17,16,14,293,299,353,0,1,11.8,météo défavorable
2009-02-13,16,15,3,15,16,15,14.9,100,3.5,1013,99.5,16,16,15,302,356,356,0,1,7.8,météo défavorable
2009-02-14,17,14,3,14,17,15,16.3,100,5,1013,95.25,17,16,14,296,356,356,0,1,7.8,météo très défavorable
2009-02-15,17,14,6,14,17,15,29.3,100,2.75,1013,94.25,17,16,14,266,353,308,0,1,9.2,météo très défavorable
2009-02-16,15,13,3,13,15,13,20.5,100,3.75,1013,92.125,15,15,14,296,293,302,0,1,7.8,météo très défavorable
2009-02-17,16,13,3,13,16,14,11.5,99,4.25,1013,91,16,15,13,296,293,302,0,1,9.2,météo défavorable
2009-02-18,15,13,4,13,15,14,15.8,100,3.75,1012,100,16,15,14,296,302,302,0,1,7.8,météo défavorable
2009-02-19,16,13,3,13,16,14,11.5,100,4.875,1012,94,16,15,13,302,302,299,0,1,7.8,météo défavorable
2009-02-20,17,13,4,13,17,14,8.5,100,5.125,1013,81.875,17,16,13,263,353,302,0,1,10.5,météo défavorable
