DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,15,14,28,14,15,14,3.8,79,9,1012,81.5,15,12,12,353,353,353,,,,météo défavorable
2009-01-02,14,12,17,11,13,13,1.1,75,7.875,1021,69.75,14,8,10,122,266,113,,,,météo défavorable
2009-01-03,19,12,10,9,17,19,0,67,10,1022,21.375,19,9,12,113,116,113,,,,météo favorable
2009-01-04,22,15,16,11,20,20,0,67,10,1017,10.625,24,11,15,113,113,113,,,,météo favorable
2009-01-05,24,16,15,11,22,23,0,60,10,1015,11.75,25,12,16,113,113,113,,,,météo idéale
2009-01-06,25,18,19,14,24,22,0,80,10,1012,25.875,26,18,18,113,113,113,,,,météo idéale
2009-01-07,18,15,18,14,17,17,1.6,89,6.125,1015,63.125,18,13,15,266,263,113,,,,météo correcte
2009-01-08,14,12,22,11,14,14,0.5,63,9,1022,42,14,9,11,263,119,113,,,,météo correcte
2009-01-09,20,13,18,9,18,18,0,69,10,1023,22,20,11,13,113,116,113,,,,météo favorable
2009-01-10,19,14,19,12,18,17,0,72,10,1016,33.5,19,10,13,119,113,113,,,,météo favorable
2009-01-11,19,13,17,10,18,18,0,68,10,1015,20.625,19,10,14,116,113,113,,,,météo favorable
2009-01-12,22,16,14,12,20,21,0,83,9,1018,13.375,25,13,16,143,113,113,,,,météo favorable
2009-01-13,32,21,14,16,29,31,0,49,10,1015,1.875,32,14,21,113,113,113,,,,météo idéale
2009-01-14,26,19,21,22,22,19,0,72,10,1013,6.875,27,16,19,113,113,113,,,,météo idéale
2009-01-15,18,15,22,14,17,17,0,72,10,1017,15,18,10,15,113,113,113,,,,météo favorable
2009-01-16,16,15,24,14,16,16,0.5,67,9,1023,59.125,16,11,13,266,119,113,,,,météo correcte
2009-01-17,19,15,17,12,17,18,0.1,66,10,1024,12.875,19,9,14,113,113,113,,,,météo favorable
2009-01-18,24,15,15,10,22,23,0,61,10,1022,1.75,25,12,15,113,113,113,,,,météo idéale
2009-01-19,30,19,15,14,27,27,0,51,10,1016,5.75,29,14,19,113,113,113,,,,météo idéale
2009-01-20,25,21,22,16,25,22,0.7,55,9.875,1010,10,26,12,21,113,113,113,,,,météo idéale
2009-01-21,24,17,14,12,22,23,0.3,74,10,1011,19.875,25,14,17,119,113,113,,,,météo idéale
2009-01-22,23,17,28,19,22,16,5,79,9.75,1004,42.875,25,13,17,113,116,299,,,,météo favorable
2009-01-23,25,14,13,12,21,25,0,65,10,1007,25.25,26,13,13,116,116,113,,,,météo favorable
2009-01-24,20,15,27,16,16,18,1.2,67,7,1015,64.25,20,14,13,266,266,113,,,,météo correcte
2009-01-25,22,15,14,11,20,20,0,64,10,1019,3,24,10,14,113,113,113,,,,météo favorable
