DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,0,-6,18,-6,0,-2,0,68,10,1038,16.875,0,0,-12,116,113,113,,,,météo très défavorable
2009-01-02,1,-6,9,-6,1,-5,0,41,10,1037,14.375,1,0,-10,113,116,116,,,,météo très défavorable
2009-01-03,4,-6,8,-6,4,-1,0,28,10,1034,31,4,0,-6,113,113,116,,,,météo très défavorable
2009-01-04,3,-4,14,-4,3,-1,0.1,76,10,1031,40,3,0,-6,113,116,119,,,,météo très défavorable
2009-01-05,2,-4,12,-4,2,-2,0,90,10,1034,19.375,2,0,-8,113,113,113,,,,météo très défavorable
2009-01-06,2,-4,12,-4,2,-3,0,67,10,1033,21.875,2,0,-6,113,113,113,,,,météo très défavorable
2009-01-07,4,-4,10,-4,4,-3,0,59,10,1034,31.125,4,0,-8,122,113,113,,,,météo très défavorable
2009-01-08,5,-5,12,-5,5,-1,0.1,46,10,1033,26.5,5,0,-8,116,113,113,,,,météo très défavorable
2009-01-09,-2,-6,27,-6,-3,-3,1.7,78,10,1035,59.25,0,0,-13,122,326,113,,,,météo très défavorable
2009-01-10,1,-7,15,-7,-1,-3,0,54,10,1035,0,1,0,-14,113,113,113,,,,météo très défavorable
2009-01-11,-2,-6,23,-6,-3,-3,1.5,78,10,1036,33.875,0,0,-12,113,116,326,,,,météo très défavorable
2009-01-12,-2,-8,27,-8,-3,-5,0,60,10,1039,0,0,0,-16,113,113,113,,,,météo très défavorable
2009-01-13,1,-7,15,-7,1,-2,0,32,10,1038,1.125,1,0,-13,113,113,113,,,,météo très défavorable
2009-01-14,-2,-5,21,-5,-3,-3,0,78,10,1042,13.5,0,0,-12,116,116,113,,,,météo très défavorable
2009-01-15,3,-8,15,-8,1,-2,0,49,10,1038,1.5,3,0,-14,113,113,113,,,,météo très défavorable
2009-01-16,5,-3,7,-3,5,-1,0,54,10,1029,5.5,5,0,-6,113,113,113,,,,météo très défavorable
2009-01-17,6,-3,14,-3,6,2,0,71,10,1027,21.625,6,0,-6,113,113,116,,,,météo très défavorable
2009-01-18,6,-1,24,-1,5,3,0,48,10,1024,11.875,6,0,-6,113,113,113,,,,météo très défavorable
2009-01-19,7,-1,17,-1,7,4,0,34,10,1025,28.5,7,0,-5,113,116,119,,,,météo très défavorable
2009-01-20,8,0,15,0,7,4,0,76,10,1023,38,8,0,-5,113,116,122,,,,météo très défavorable
2009-01-21,12,1,19,1,10,8,0,58,10,1023,8.5,12,0,-2,113,113,113,,,,météo très défavorable
2009-01-22,5,-5,41,3,0,-5,0.2,65,9.875,1030,18.75,5,0,-13,113,122,113,,,,météo très défavorable
2009-01-23,-7,-12,36,-12,-9,-9,0,22,10,1036,2.75,0,0,-22,113,113,113,,,,météo très défavorable
2009-01-24,-2,-12,28,-12,-3,-4,0,18,10,1034,0,0,0,-20,113,113,113,,,,météo très défavorable
2009-01-25,2,-7,18,-7,2,-1,0,21,10,1025,0.25,2,0,-12,113,113,113,,,,météo très défavorable
2009-01-26,5,-5,12,-5,4,1,0,25,10,1028,0.125,5,0,-9,113,113,113,,,,météo très défavorable
2009-01-27,8,-4,24,-4,7,5,0,35,10,1026,0.875,8,0,-8,113,113,113,,,,météo très défavorable
2009-01-28,11,1,24,1,10,7,0,45,10,1022,11,11,0,-4,113,113,116,,,,météo très défavorable
2009-01-29,10,3,12,3,10,6,0,81,10,1023,12.125,10,0,2,113,113,113,,,,météo très défavorable
2009-01-30,7,0,15,0,7,4,0,95,8,1025,7.5,7,0,-3,143,113,113,,,,météo très défavorable
2009-01-31,11,-2,7,-2,9,6,0,71,10,1027,17.5,11,0,-4,116,113,113,,,,météo très défavorable
2009-02-01,10,0,11,0,9,7,0,63,10,1029,35.125,10,0,-2,116,116,113,,,,météo très défavorable
2009-02-02,7,1,19,1,7,4,0.9,86,8.625,1026,73,7,1,-1,116,119,122,,,,météo très défavorable
2009-02-03,5,0,16,0,4,3,1.3,63,9.125,1028,59,5,0,-4,122,116,119,,,,météo très défavorable
2009-02-04,11,1,17,1,10,9,0,85,10,1024,18,11,3,-2,116,113,113,,,,météo très défavorable
2009-02-05,9,2,15,2,9,6,0,87,10,1027,14,9,3,-1,116,113,113,,,,météo très défavorable
2009-02-06,12,2,11,2,11,8,0,69,10,1028,21.75,12,1,0,113,113,116,,,,météo très défavorable
2009-02-07,11,4,16,4,10,7,0,81,10,1029,18.5,11,2,2,116,113,113,,,,météo très défavorable
2009-02-08,8,-1,7,-1,8,5,2.1,62,8.625,1030,46.75,8,0,-3,116,116,266,,,,météo très défavorable
2009-02-09,11,3,15,3,8,10,1.7,93,7,1023,45.125,11,2,1,266,116,113,,,,météo très défavorable
2009-02-10,17,3,21,3,15,14,0,47,10,1018,1.375,17,0,-1,113,113,113,,,,météo correcte
2009-02-11,17,7,19,7,16,13,0,42,10,1014,5.875,17,0,6,113,113,113,,,,météo correcte
2009-02-12,18,9,27,9,14,17,0.2,70,9.375,1007,35.25,18,9,5,119,113,116,,,,météo favorable
2009-02-13,13,2,35,5,3,2,2,80,8.75,1014,58.625,13,8,-4,266,122,113,,,,météo correcte
2009-02-14,13,1,11,1,9,9,0,65,10,1018,29,13,0,-2,116,116,113,,,,météo très défavorable
2009-02-15,2,-1,29,1,2,-1,0,74,10,1031,41.25,2,0,-6,119,119,116,,,,météo très défavorable
2009-02-16,5,-4,18,-4,5,2,0,32,10,1035,22.125,5,0,-7,113,113,116,,,,météo très défavorable
2009-02-17,6,-5,10,-5,3,4,0,54,10,1036,37.625,6,0,-9,116,113,113,,,,météo très défavorable
2009-02-18,9,1,12,1,8,6,0.2,69,10,1029,38.25,9,0,-3,116,116,116,,,,météo très défavorable
2009-02-19,5,2,12,2,5,5,4.1,83,8.625,1026,76.875,5,1,1,329,317,119,,,,météo très défavorable
2009-02-20,4,-3,24,-3,2,4,0,41,10,1027,0.25,4,0,-10,113,113,113,,,,météo très défavorable
2009-02-21,12,-2,30,-2,9,9,0,44,10,1022,7.5,12,0,-8,113,113,113,,,,météo très défavorable
2009-02-22,6,1,30,3,6,1,0,62,10,1022,27.25,6,0,-3,116,113,113,,,,météo très défavorable
2009-02-23,7,-3,12,-3,6,5,0,52,10,1022,43,7,0,-6,119,113,116,,,,météo très défavorable
2009-02-24,9,2,19,2,9,4,1.1,60,9.375,1022,48.25,9,0,0,113,113,119,,,,météo très défavorable
2009-02-25,4,-2,19,-2,4,2,0.3,58,9.875,1030,19.5,4,0,-8,113,113,113,,,,météo très défavorable
2009-02-26,6,-2,10,-2,5,4,0,41,10,1030,52.625,6,0,-5,113,116,119,,,,météo très défavorable
2009-02-27,9,-1,12,-1,8,6,0,33,10,1027,23.875,9,0,-4,116,116,113,,,,météo très défavorable
2009-02-28,11,-1,5,-1,9,9,0,61,10,1029,22.625,11,0,-3,116,116,113,,,,météo très défavorable
2009-03-01,6,-1,27,-1,6,1,0,42,10,1037,28.25,6,0,-4,116,116,116,,,,météo très défavorable
2009-03-02,3,-4,11,-4,2,1,0,48,10,1037,64.375,3,0,-7,116,116,122,,,,météo très défavorable
2009-03-03,11,-2,11,-2,9,8,0,31,10,1028,19.875,11,0,-6,113,113,113,,,,météo très défavorable
2009-03-04,11,1,15,1,11,8,0,67,10,1022,22.625,11,0,-2,113,113,113,,,,météo très défavorable
2009-03-05,12,3,19,3,9,9,3.7,77,9.75,1020,56.375,12,1,1,296,119,113,,,,météo très défavorable
2009-03-06,8,1,21,1,7,7,0,47,10,1029,7,8,0,-4,113,113,113,,,,météo très défavorable
2009-03-07,14,1,23,1,13,11,0,24,10,1027,23,14,0,-3,116,113,113,,,,météo très défavorable
2009-03-08,18,6,18,6,15,15,0.2,38,10,1019,22.125,18,1,2,116,113,113,,,,météo favorable
2009-03-09,10,7,25,7,10,7,0,48,10,1025,9.875,10,0,3,113,113,113,,,,météo défavorable
2009-03-10,12,2,15,2,11,9,0,33,10,1026,17.625,12,0,-1,113,116,116,,,,météo très défavorable
2009-03-11,14,4,24,4,13,10,0,49,10,1027,21,14,0,2,116,116,113,,,,météo correcte
2009-03-12,8,4,13,6,8,4,14.5,99,7.875,1024,80.875,8,4,1,122,266,302,,,,météo très défavorable
2009-03-13,3,1,35,1,3,1,1.5,57,9.75,1028,19,3,2,-5,116,113,113,,,,météo très défavorable
2009-03-14,12,-1,19,-1,10,10,0,25,10,1027,0,12,0,-5,113,113,113,,,,météo très défavorable
2009-03-15,20,6,31,6,19,18,0,62,10,1016,1.125,20,0,2,113,113,113,,,,météo favorable
2009-03-16,22,10,18,10,21,19,0,34,10,1014,1,22,0,9,113,113,113,,,,météo favorable
2009-03-17,26,14,32,14,25,23,0,38,10,1010,3.625,25,6,13,113,113,113,,,,météo favorable
2009-03-18,31,15,15,15,29,27,0,58,10,1006,0.125,29,8,15,113,113,113,,,,météo idéale
2009-03-19,18,7,32,9,10,7,0,67,10,1021,3.875,18,9,3,113,113,113,,,,météo favorable
2009-03-20,19,5,19,5,17,15,0,47,10,1021,11.75,19,0,5,113,113,113,,,,météo favorable
2009-03-21,17,8,24,8,15,14,1.5,78,10,1014,60.375,17,9,5,116,353,122,,,,météo correcte
2009-03-22,10,4,35,5,7,4,0,51,10,1024,7.875,10,2,0,113,113,113,,,,météo très défavorable
2009-03-23,14,2,13,2,11,11,0,44,10,1025,16,14,0,1,116,113,113,,,,météo correcte
2009-03-24,4,2,19,2,3,2,8.2,90,7.625,1026,43.625,4,1,-2,113,338,119,,,,météo très défavorable
2009-03-25,13,-1,22,-1,11,11,0,72,9.375,1026,1.375,13,0,-6,113,113,113,,,,météo très défavorable
2009-03-26,13,6,20,6,13,9,0,45,10,1024,9.375,13,0,4,113,113,113,,,,météo correcte
2009-03-27,15,4,10,4,15,11,0,51,10,1027,30.125,15,0,2,113,113,116,,,,météo correcte
2009-03-28,16,6,26,6,16,10,0,51,10,1025,16.375,16,0,2,113,113,113,,,,météo correcte
2009-03-29,14,3,11,3,12,11,0.7,64,10,1026,28,14,2,0,113,113,116,,,,météo correcte
2009-03-30,6,3,12,3,5,5,17.5,100,8.5,1028,76.125,6,4,0,302,296,116,,,,météo très défavorable
2009-03-31,10,0,14,0,9,7,0,79,10,1030,31.875,10,0,-3,116,113,116,,,,météo très défavorable
2009-04-01,12,1,21,1,10,10,0,44,10,1032,3.375,12,0,-3,113,113,113,,,,météo très défavorable
2009-04-02,16,4,16,4,16,11,0,43,10,1029,25,16,0,1,113,113,116,,,,météo correcte
2009-04-03,14,7,11,7,14,13,0.4,57,9.375,1023,53.625,14,2,6,119,116,116,,,,météo correcte
2009-04-04,20,7,8,7,19,17,0,65,10,1022,4.75,20,3,7,113,113,113,,,,météo favorable
2009-04-05,21,11,12,11,21,18,0,68,10,1023,9.5,22,5,11,113,113,116,,,,météo favorable
2009-04-06,25,12,19,12,23,23,0,51,10,1018,1,24,2,11,113,113,113,,,,météo favorable
2009-04-07,26,14,15,14,25,22,0,42,10,1017,15,24,2,13,113,113,116,,,,météo favorable
2009-04-08,27,15,13,15,27,23,0,48,10,1021,9.125,26,4,14,113,113,113,,,,météo idéale
2009-04-09,27,15,18,15,27,23,0,44,10,1023,0.375,25,3,14,113,113,113,,,,météo idéale
2009-04-10,25,14,26,14,25,20,0,36,10,1021,1.625,24,1,14,113,113,113,,,,météo favorable
2009-04-11,17,13,17,13,16,16,0.9,77,9.75,1018,44.625,17,12,12,116,176,116,,,,météo correcte
2009-04-12,28,13,8,13,27,23,0,83,10,1016,12.5,28,12,13,113,113,113,,,,météo favorable
2009-04-13,26,16,22,16,26,19,0.1,71,10,1011,22.875,26,11,15,113,113,113,,,,météo idéale
