DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,7,0,16,-0,7,1,0,44,10,1034,0,8,0,-4,113,113,113,0,2,8.7,météo très défavorable
2009-01-02,8,0,14,-1,8,1,0,76,10,1035,1.5,8,0,-4,113,113,113,0,2,8.7,météo très défavorable
2009-01-03,11,0,9,2,11,5,0,91,9,1031,5.625,13,5,1,113,113,113,0,2,8.7,météo très défavorable
2009-01-04,14,0,11,7,14,8,0,90,8,1026,36.625,15,8,5,116,116,119,0,1,8.7,météo très défavorable
2009-01-05,12,0,13,7,12,9,0.1,89,10,1027,68.875,13,8,5,116,119,122,0,3,4,météo très défavorable
2009-01-06,12,0,8,9,12,10,0,89,10,1026,84.5,13,9,8,119,119,122,0,2,4,météo très défavorable
2009-01-07,9,0,15,7,9,6,0,85,10,1030,92.625,10,8,3,122,119,119,0,2,4,météo très défavorable
2009-01-08,9,0,15,4,9,5,0,82,10,1032,45.25,9,3,2,116,116,116,0,1,8.7,météo très défavorable
2009-01-09,10,0,15,3,10,4,0,76,10,1034,0.25,10,1,2,113,113,113,0,2,8.7,météo très défavorable
2009-01-10,7,0,14,-1,7,1,0,54,10,1034,0,10,0,-4,113,113,113,0,2,8.7,météo très défavorable
2009-01-11,11,0,7,0,11,2,0,57,10,1031,0,15,0,2,113,113,113,0,2,8.7,météo très défavorable
2009-01-12,7,0,15,1,7,2,0,55,10,1038,0.875,10,0,-2,113,113,113,0,2,8.7,météo très défavorable
2009-01-13,7,0,10,-2,7,-1,0,41,10,1038,0.25,11,0,-3,113,113,113,0,2,8.7,météo très défavorable
2009-01-14,10,0,12,-0,10,2,0,36,10,1036,0,14,0,1,113,113,113,0,2,8.7,météo très défavorable
2009-01-15,9,0,8,-0,9,2,0,60,10,1036,5.5,13,1,-0,113,113,113,0,2,8.7,météo très défavorable
2009-01-16,15,0,9,3,15,5,0,89,10,1031,0.25,19,6,4,113,113,113,0,2,8.7,météo très défavorable
2009-01-17,16,0,6,8,16,11,0.1,95,7,1027,30.25,16,11,11,113,116,143,0,2,5.6,météo très défavorable
2009-01-18,21,0,12,11,21,11,0,81,9,1024,16.125,24,10,11,113,113,113,0,3,8.7,météo favorable
2009-01-19,15,0,13,8,15,8,0,69,10,1025,17.375,15,5,8,113,116,113,0,3,8.7,météo très défavorable
2009-01-20,17,0,5,9,17,10,0,91,10,1022,29,17,9,10,116,116,116,0,3,8.7,météo très défavorable
2009-01-21,18,0,10,12,18,12,0.3,74,9.375,1021,42,19,9,12,113,116,119,0,4,8.7,météo favorable
2009-01-22,15,0,7,9,15,11,0,90,10,1021,67.625,15,10,9,122,119,113,0,2,4.1,météo très défavorable
2009-01-23,9,0,24,6,7,2,0,76,10,1033,35.75,9,8,1,119,113,113,0,3,8.7,météo très défavorable
2009-01-24,6,0,14,-2,6,1,0,30,10,1034,17,7,0,-6,113,113,116,0,2,8.7,météo très défavorable
2009-01-25,8,0,8,-0,8,3,0,48,10,1029,13.375,12,0,-0,113,113,113,0,2,8.7,météo très défavorable
2009-01-26,5,0,8,5,2,1,5.7,96,8.375,1029,73.625,5,1,-1,119,119,143,0,2,4.1,météo très défavorable
2009-01-27,6,0,10,2,5,4,1.7,90,7.875,1028,79.5,6,2,-1,122,122,116,0,1,5.6,météo très défavorable
2009-01-28,12,0,11,7,12,10,0.2,92,9,1024,96.375,12,10,5,122,122,122,0,2,4.1,météo très défavorable
2009-01-29,15,0,9,11,15,11,6,93,7.625,1019,80.875,15,12,11,122,116,122,0,3,7.2,météo très défavorable
2009-01-30,13,0,14,9,13,8,0,93,9,1022,41.125,13,9,7,116,116,113,0,2,8.7,météo très défavorable
2009-01-31,13,0,10,6,13,7,0,85,10,1025,2.5,17,8,8,113,113,113,0,3,8.7,météo très défavorable
2009-02-01,14,0,8,7,14,11,0.2,97,8,1027,36.25,14,11,7,113,116,143,0,2,7.2,météo très défavorable
2009-02-02,16,0,5,12,16,12,0,97,5,1023,75.375,17,15,13,119,116,248,0,3,7.2,météo très défavorable
2009-02-03,14,0,9,13,13,11,1.2,93,6.875,1023,86.625,14,12,11,119,122,122,0,3,4.1,météo très défavorable
2009-02-04,14,0,5,10,14,11,1.1,93,7,1022,74.75,14,12,11,116,119,119,0,3,4.1,météo très défavorable
2009-02-05,14,0,11,11,14,11,0.3,95,6.75,1025,81.5,14,12,10,143,119,119,0,3,4.1,météo très défavorable
2009-02-06,16,0,10,9,16,10,0,93,9,1025,32.875,18,12,9,116,113,116,0,3,8.7,météo très défavorable
2009-02-07,17,0,8,10,17,11,0,95,6,1024,22.5,19,14,10,116,113,143,0,2,8.7,météo très défavorable
2009-02-08,16,0,12,10,16,10,0.3,91,7,1025,45.5,16,11,10,116,113,116,0,2,8.7,météo très défavorable
2009-02-09,20,0,12,12,20,12,0,92,10,1022,25.875,20,14,11,113,116,116,0,4,8.7,météo favorable
2009-02-10,14,0,10,9,14,10,0,97,6,1022,43.125,14,11,9,113,116,143,0,2,8.7,météo très défavorable
2009-02-11,20,0,9,12,20,13,0,94,8,1017,10.375,25,16,12,113,113,113,0,2,8.7,météo favorable
2009-02-12,20,0,22,14,20,16,0.1,92,7.5,1012,52.625,20,15,15,113,113,116,0,3,8.7,météo favorable
2009-02-13,25,0,14,19,25,19,0,84,10,1009,23.75,27,17,20,113,113,113,0,4,8.7,météo favorable
2009-02-14,18,0,13,14,18,13,0,88,10,1017,50.125,19,15,12,116,113,119,0,5,8.7,météo favorable
2009-02-15,17,0,14,12,17,11,0.3,84,9,1022,78,17,12,9,116,119,122,0,3,5.7,météo très défavorable
2009-02-16,9,0,16,8,8,6,0.5,91,9,1029,100,9,7,4,122,122,122,0,2,4.2,météo très défavorable
2009-02-17,7,0,12,6,7,6,0.5,92,9,1029,100,7,6,4,122,122,122,0,2,4.2,météo très défavorable
2009-02-18,9,0,10,7,9,8,0.5,95,4,1026,99.875,9,8,5,143,122,143,0,2,4.2,météo très défavorable
2009-02-19,18,0,11,11,17,15,0,95,6.75,1019,61.125,19,17,12,143,116,116,0,2,8.7,météo très défavorable
2009-02-20,14,0,15,9,14,9,0,79,10,1025,23.625,15,8,7,113,113,113,0,4,8.7,météo très défavorable
2009-02-21,13,0,12,8,13,10,0,89,10,1025,60.875,13,10,9,116,116,119,0,2,8.7,météo très défavorable
2009-02-22,21,0,15,14,21,17,0,93,8,1012,47.75,25,18,15,113,116,116,0,3,8.7,météo favorable
2009-02-23,13,0,9,12,13,11,0,92,10,1016,92.625,13,12,11,119,122,122,0,3,4.2,météo très défavorable
2009-02-24,20,0,12,14,20,15,0,92,8.75,1015,40.25,20,16,15,113,116,116,0,3,8.7,météo favorable
2009-02-25,15,0,13,14,14,10,0.5,91,8.625,1021,92.25,16,16,9,119,122,122,0,4,4.2,météo très défavorable
2009-02-26,12,0,10,9,11,10,0,93,10,1022,94.375,12,10,7,122,122,122,0,2,4.2,météo très défavorable
2009-02-27,11,0,13,8,11,8,0,91,10,1023,90.5,12,8,6,122,122,122,0,2,4.2,météo très défavorable
2009-02-28,8,0,13,7,8,6,0,90,10,1026,95.625,9,6,4,122,122,122,0,2,4.3,météo très défavorable
2009-03-01,9,0,14,6,8,6,0.3,89,9.375,1029,72.5,9,6,4,263,122,116,0,2,4.3,météo très défavorable
2009-03-02,7,0,13,7,6,6,1.3,94,8.875,1027,84.75,7,6,4,119,122,119,0,3,4.3,météo très défavorable
2009-03-03,9,0,14,5,9,6,3.6,92,7.75,1024,69.75,9,6,4,116,119,122,0,2,4.3,météo très défavorable
2009-03-04,10,0,11,6,9,8,8.7,96,5.5,1021,84.5,10,8,4,143,122,143,0,2,4.3,météo très défavorable
2009-03-05,12,0,14,10,12,10,10.6,96,3.75,1019,95.25,12,11,8,143,143,122,0,2,5.9,météo très défavorable
2009-03-06,8,0,16,6,8,7,1.8,92,9.25,1027,70.5,8,7,3,122,119,119,0,3,7.3,météo très défavorable
2009-03-07,6,0,12,5,5,4,0.8,97,5.375,1025,75.625,6,5,1,116,143,248,0,3,5.9,météo très défavorable
2009-03-08,12,0,11,5,12,8,2.5,95,6.875,1021,27.75,13,9,3,113,116,143,0,1,11.6,météo très défavorable
2009-03-09,16,0,10,8,16,10,0.4,94,7.375,1023,21.25,17,11,7,143,113,113,0,2,11.6,météo très défavorable
2009-03-10,15,0,10,11,15,9,0,90,10,1023,2.375,17,13,10,113,113,113,0,3,11.6,météo très défavorable
2009-03-11,10,0,12,10,10,10,3.5,96,4.625,1021,93.5,11,10,9,143,143,143,0,2,6,météo très défavorable
2009-03-12,18,0,12,12,18,15,0,97,5.5,1019,67.125,19,17,13,248,116,143,0,3,10.2,météo très défavorable
2009-03-13,15,0,18,14,9,4,3.9,97,7.25,1029,87.125,16,15,1,122,119,116,0,3,7.4,météo très défavorable
2009-03-14,11,0,9,4,11,6,0,94,8,1030,21.5,16,9,2,116,113,113,0,1,11.6,météo très défavorable
2009-03-15,14,0,16,8,14,9,0,92,10,1025,0.625,15,12,10,113,113,113,0,2,11.6,météo très défavorable
2009-03-16,20,0,17,12,20,12,0,95,8,1019,0.75,25,16,14,113,113,143,0,3,11.6,météo favorable
